#projection.x	projection.y	projection.z	knotoid_type	polynomial	PD_code
-0.476895544	0.811528304	-0.337627681	3_1m	 - A^(-16) + A^(-12) + A^(-4)	PD[X[0,4,1,3],X[4,2,5,1],X[2,6,3,5]];
-0.00762787772	0.834265821	-0.551309673	2_1s|2_1m	 - A^(-10) + A^(-6) + A^(-4)	PD[X[2,1,3,0],X[1,4,2,3]];
0.000552683625	-0.956858012	0.290555398	2_1s|2_1m	 - A^(-10) + A^(-6) + A^(-4)	PD[X[0,3,1,2],X[3,2,4,1]];
-0.429930264	-0.873199732	-0.229526026	6_62m	 - A^(-12) - 2*A^(-10) + A^(-8) + 4*A^(-6) + 2*A^(-4) - 2*A^(-2) - 2 + A^(4)	PD[X[8,1,9,0],X[2,11,3,10],X[9,7,10,8],X[3,13,4,12],X[13,5,14,4],X[5,11,6,12],X[1,6,2,7]];
0.959321805	-0.157170504	-0.234518883	3_1m	 - A^(-16) + A^(-12) + A^(-4)	PD[X[0,4,1,3],X[2,6,3,5],X[4,2,5,1]];
0.0696949936	0.0342197466	-0.996981252	UNKNOWN	 - A^(-14) + 2*A^(-10) + 3*A^(-8) - 2*A^(-6) - 6*A^(-4) - A^(-2) + 6 + 4*A^(2) - 2*A^(4) - 3*A^(6) + A^(10)	PD[X[6,13,7,12],X[13,6,14,5],X[8,1,9,0],X[2,7,3,8],X[10,3,11,4],X[4,11,5,12],X[1,10,2,9]];
-0.039991423	0.999080456	-0.0154573163	0_1	 + 1	PD[];
0.995056195	0.0782625441	-0.0611403594	3_1m	 - A^(-16) + A^(-12) + A^(-4)	PD[X[4,2,5,1],X[0,4,1,3],X[2,6,3,5]];
0.815378864	0.410230086	-0.408495513	3_1m	 - A^(-16) + A^(-12) + A^(-4)	PD[X[0,4,1,3],X[4,2,5,1],X[2,6,3,5]];
0.561356412	-0.706352101	0.431214201	6_45|6_45ms	 + A^(-16) - 2*A^(-12) - 2*A^(-10) + 3*A^(-8) + 3*A^(-6) - 2*A^(-4) - 3*A^(-2) + 1 + 3*A^(2) - A^(6)	PD[X[3,0,4,1],X[6,13,7,12],X[1,12,2,11],X[10,3,11,2],X[9,4,10,5],X[5,8,6,9],X[13,8,14,7]];
