#projection.x	projection.y	projection.z	knotoid_type	polynomial	PD_code
0.0566475513	-0.757832766	0.649985041	3_1m	 - A^(-16) + A^(-12) + A^(-4)	PD[X[5,1,6,0],X[1,5,2,4],X[2,8,3,7],X[6,4,7,3]];
-0.0109273484	0.815142964	0.57915675	6_71s|6_71m	 - A^(-20) - A^(-18) + A^(-16) + 3*A^(-14) + A^(-12) - 3*A^(-10) - 2*A^(-8) + A^(-6) + 2*A^(-4)	PD[X[1,11,2,10],X[6,4,7,5],X[12,4,13,3],X[5,1,6,0],X[2,8,3,9],X[7,12,8,11],X[13,10,14,9]];
-0.33811866	-0.125018298	0.932762669	4_6s|4_6m	 - A^(-22) + A^(-18) - A^(-14) + A^(-10) + A^(-8)	PD[X[9,6,10,5],X[0,4,1,3],X[1,8,2,7],X[6,3,7,2],X[4,9,5,8]];
0.897189057	0.277544306	-0.34354178	4_6s|4_6m	 - A^(-22) + A^(-18) - A^(-14) + A^(-10) + A^(-8)	PD[X[7,1,8,0],X[2,6,3,5],X[10,5,11,4],X[3,12,4,11],X[9,2,10,1],X[6,9,7,8]];
0.519077617	0.296175992	0.801771918	4_6s|4_6m	 - A^(-22) + A^(-18) - A^(-14) + A^(-10) + A^(-8)	PD[X[1,10,2,9],X[0,6,1,5],X[8,5,9,4],X[6,3,7,2],X[3,8,4,7]];
-0.370888331	0.926150597	0.0684610661	4_4s|4_4m	 - A^(-18) - A^(-16) + A^(-14) + 2*A^(-12) - A^(-8) + A^(-4)	PD[X[0,8,1,7],X[4,11,5,10],X[1,12,2,11],X[9,4,10,3],X[2,6,3,5],X[6,8,7,9]];
-0.350234747	0.0348212275	-0.936014479	4_6s|4_6m	 - A^(-22) + A^(-18) - A^(-14) + A^(-10) + A^(-8)	PD[X[7,1,8,0],X[6,9,7,8],X[5,3,6,2],X[3,10,4,9],X[11,2,12,1],X[10,5,11,4]];
-0.408227383	-0.412156944	-0.81454101	4_6s|4_6m	 - A^(-22) + A^(-18) - A^(-14) + A^(-10) + A^(-8)	PD[X[5,1,6,0],X[4,9,5,8],X[9,2,10,1],X[2,7,3,6],X[7,4,8,3]];
0.949092031	0.0348040818	0.313070267	3_1m	 - A^(-16) + A^(-12) + A^(-4)	PD[X[0,4,1,3],X[4,2,5,1],X[2,6,3,5]];
0.433967665	0.27903082	-0.856629364	4_6s|4_6m	 - A^(-22) + A^(-18) - A^(-14) + A^(-10) + A^(-8)	PD[X[0,6,1,5],X[4,2,5,1],X[10,3,11,2],X[3,10,4,9],X[8,7,9,6],X[7,12,8,11]];
-0.0740253977	-0.848644541	-0.523758231	6_71s|6_71m	 - A^(-20) - A^(-18) + A^(-16) + 3*A^(-14) + A^(-12) - 3*A^(-10) - 2*A^(-8) + A^(-6) + 2*A^(-4)	PD[X[14,6,15,5],X[13,10,14,9],X[2,16,3,15],X[1,7,2,6],X[10,13,11,12],X[11,1,12,0],X[3,7,4,8],X[8,4,9,5]];
0.973284179	-0.000811942109	0.229602369	3_1m	 - A^(-16) + A^(-12) + A^(-4)	PD[X[0,4,1,3],X[4,2,5,1],X[2,6,3,5]];
-0.144534165	0.879635541	-0.453156915	3_1m	 - A^(-16) + A^(-12) + A^(-4)	PD[X[0,6,1,5],X[4,2,5,1],X[7,3,8,2],X[3,7,4,6]];
-0.985613799	-0.135607133	-0.100876875	3_1m	 - A^(-16) + A^(-12) + A^(-4)	PD[X[3,1,4,0],X[1,5,2,4],X[5,3,6,2]];
-0.511168452	0.559185185	-0.652701112	3_1m	 - A^(-16) + A^(-12) + A^(-4)	PD[X[3,1,4,0],X[1,5,2,4],X[5,3,6,2]];
0.599189338	0.31849808	0.734527814	4_6s|4_6m	 - A^(-22) + A^(-18) - A^(-14) + A^(-10) + A^(-8)	PD[X[0,9,1,8],X[1,5,2,4],X[9,6,10,5],X[6,3,7,2],X[3,8,4,7]];
-0.224133325	-0.972376877	-0.0651725461	0_1	 + 1	PD[];
0.613480863	0.541383962	0.574930115	6_71s|6_71m	 - A^(-20) - A^(-18) + A^(-16) + 3*A^(-14) + A^(-12) - 3*A^(-10) - 2*A^(-8) + A^(-6) + 2*A^(-4)	PD[X[12,9,13,8],X[7,12,8,11],X[3,9,4,10],X[6,4,7,5],X[5,1,6,0],X[13,3,14,2],X[1,11,2,10]];
-0.588504979	-0.306434836	-0.748170823	4_6s|4_6m	 - A^(-22) + A^(-18) - A^(-14) + A^(-10) + A^(-8)	PD[X[6,9,7,8],X[3,10,4,9],X[4,2,5,1],X[11,6,12,5],X[7,1,8,0],X[10,3,11,2]];
-0.977553563	0.108507388	0.180596728	3_1m	 - A^(-16) + A^(-12) + A^(-4)	PD[X[3,1,4,0],X[1,5,2,4],X[5,3,6,2]];
-0.460719352	-0.763232856	0.453004731	2_1s|2_1m	 - A^(-10) + A^(-6) + A^(-4)	PD[X[3,1,4,0],X[5,2,6,1],X[2,5,3,4]];
0.751587698	-0.614172555	0.24064082	2_1s|2_1m	 - A^(-10) + A^(-6) + A^(-4)	PD[X[0,8,1,7],X[8,2,9,1],X[2,10,3,11],X[3,14,4,13],X[12,5,13,4],X[5,12,6,11],X[9,6,10,7]];
-0.211229634	-0.176398413	0.961387353	4_6s|4_6m	 - A^(-22) + A^(-18) - A^(-14) + A^(-10) + A^(-8)	PD[X[0,8,1,7],X[9,4,10,3],X[8,7,9,6],X[4,11,5,10],X[1,12,2,11],X[2,6,3,5]];
-0.232544167	0.481444278	-0.84506486	3_1m	 - A^(-16) + A^(-12) + A^(-4)	PD[X[3,1,4,0],X[1,5,2,4],X[5,3,6,2]];
-0.571050601	-0.177904846	0.801405688	4_6s|4_6m	 - A^(-22) + A^(-18) - A^(-14) + A^(-10) + A^(-8)	PD[X[1,5,2,4],X[2,11,3,10],X[11,8,12,7],X[5,1,6,0],X[6,9,7,8],X[9,4,10,3]];
0.218210612	0.869033305	-0.44403293	2_1s|2_1m	 - A^(-10) + A^(-6) + A^(-4)	PD[X[0,4,1,3],X[1,6,2,5],X[4,3,5,2]];
-0.838761835	-0.22026007	0.497959924	4_6s|4_6m	 - A^(-22) + A^(-18) - A^(-14) + A^(-10) + A^(-8)	PD[X[5,3,6,2],X[8,5,9,4],X[3,8,4,7],X[0,7,1,6],X[9,2,10,1]];
-0.180715028	0.944617233	0.273934958	0_1	 + 1	PD[];
-0.54177566	-0.225363677	-0.809747089	4_6s|4_6m	 - A^(-22) + A^(-18) - A^(-14) + A^(-10) + A^(-8)	PD[X[8,5,9,4],X[7,2,8,1],X[3,1,4,0],X[2,7,3,6],X[5,10,6,9]];
0.524787071	0.843553657	-0.114086627	2_1s|2_1m	 - A^(-10) + A^(-6) + A^(-4)	PD[X[0,4,1,3],X[1,6,2,5],X[4,3,5,2]];
-0.918592815	0.278581413	-0.280320596	3_1m	 - A^(-16) + A^(-12) + A^(-4)	PD[X[3,1,4,0],X[1,5,2,4],X[5,3,6,2]];
-0.552350761	-0.83029248	-0.0743171219	0_1	 + 1	PD[];
