#projection.x	projection.y	projection.z	knotoid_type	polynomial	PD_code
-0.845081962	-0.377245371	0.378843513	2_1s|2_1m	 - A^(-10) + A^(-6) + A^(-4)	PD[X[0,5,1,4],X[3,2,4,1],X[2,6,3,5]];
0.540725099	0.0538230646	-0.839475696	3_1m	 - A^(-16) + A^(-12) + A^(-4)	PD[X[4,2,5,1],X[2,6,3,5],X[0,4,1,3]];
-0.629117821	0.529394481	-0.569168034	3_1m	 - A^(-16) + A^(-12) + A^(-4)	PD[X[4,2,5,1],X[0,4,1,3],X[2,6,3,5]];
-0.326241527	0.408095335	0.852657413	4_4s|4_4m	 - A^(-18) - A^(-16) + A^(-14) + 2*A^(-12) - A^(-8) + A^(-4)	PD[X[8,1,9,0],X[1,10,2,9],X[6,14,7,13],X[7,4,8,5],X[3,15,4,14],X[12,6,13,5],X[2,11,3,12],X[15,11,16,10]];
-0.496240551	-0.195152184	-0.845967459	4_4s|4_4m	 - A^(-18) - A^(-16) + A^(-14) + 2*A^(-12) - A^(-8) + A^(-4)	PD[X[0,9,1,8],X[9,2,10,1],X[10,16,11,15],X[14,8,15,7],X[13,5,14,4],X[5,13,6,12],X[3,6,4,7],X[11,2,12,3]];
0.553315738	0.291950871	0.780132286	4_4s|4_4m	 - A^(-18) - A^(-16) + A^(-14) + 2*A^(-12) - A^(-8) + A^(-4)	PD[X[8,1,9,0],X[1,10,2,9],X[7,4,8,5],X[2,16,3,15],X[3,10,4,11],X[12,6,13,5],X[6,14,7,13],X[14,12,15,11]];
-0.0312280206	0.278856811	0.959824822	4_4s|4_4m	 - A^(-18) - A^(-16) + A^(-14) + 2*A^(-12) - A^(-8) + A^(-4)	PD[X[8,1,9,0],X[1,10,2,9],X[2,11,3,12],X[7,15,8,14],X[4,14,5,13],X[12,6,13,5],X[15,11,16,10],X[6,3,7,4]];
-0.518214114	0.842848465	-0.145122695	2_1s|2_1m	 - A^(-10) + A^(-6) + A^(-4)	PD[X[3,2,4,1],X[0,3,1,2]];
0.0144774067	-0.440251617	-0.897757717	4_4s|4_4m	 - A^(-18) - A^(-16) + A^(-14) + 2*A^(-12) - A^(-8) + A^(-4)	PD[X[0,9,1,8],X[9,2,10,1],X[14,8,15,7],X[11,2,12,3],X[3,6,4,7],X[5,13,6,12],X[10,16,11,15],X[13,5,14,4]];
0.182678539	0.739892655	-0.64744684	5_3s|5_3m	 + A^(-8) - A^(-6) - 2*A^(-4) + 3 + 2*A^(2) - A^(4) - A^(6)	PD[X[0,7,1,8],X[8,1,9,2],X[6,3,7,2],X[3,6,4,5],X[9,5,10,4]];
0.182080731	-0.688664375	-0.701846127	4_4s|4_4m	 - A^(-18) - A^(-16) + A^(-14) + 2*A^(-12) - A^(-8) + A^(-4)	PD[X[15,3,16,2],X[10,3,11,4],X[4,7,5,8],X[13,7,14,6],X[11,15,12,14],X[5,13,6,12],X[0,9,1,8],X[9,2,10,1]];
0.84651144	0.433403533	-0.309159764	2_1s|2_1m	 - A^(-10) + A^(-6) + A^(-4)	PD[X[4,1,5,0],X[1,4,2,3],X[5,3,6,2]];
-0.189365836	0.905279198	-0.380276418	2_1|2_1ms	 + A^(4) + A^(6) - A^(10)	PD[X[0,2,1,3],X[3,1,4,2]];
-0.996798695	-0.069949066	-0.038723242	3_1m	 - A^(-16) + A^(-12) + A^(-4)	PD[X[3,7,4,6],X[0,6,1,5],X[4,2,5,1],X[7,3,8,2]];
0.468550907	-0.870261225	-0.152004763	2_1s|2_1m	 - A^(-10) + A^(-6) + A^(-4)	PD[X[2,1,3,0],X[1,4,2,3]];
-0.91818919	0.391494547	0.0605031447	3_1m	 - A^(-16) + A^(-12) + A^(-4)	PD[X[5,3,6,2],X[7,0,8,1],X[1,5,2,4],X[3,7,4,6]];
-0.509664332	-0.116014724	-0.852515602	4_4s|4_4m	 - A^(-18) - A^(-16) + A^(-14) + 2*A^(-12) - A^(-8) + A^(-4)	PD[X[0,9,1,8],X[9,2,10,1],X[15,3,16,2],X[4,7,5,8],X[13,7,14,6],X[5,13,6,12],X[10,3,11,4],X[11,15,12,14]];
0.338886249	0.29449347	-0.893548939	5_11s|5_11m	 - A^(-12) - A^(-10) + 2*A^(-8) + 2*A^(-6) - A^(-4) - 2*A^(-2) + 1 + 2*A^(2) - A^(6)	PD[X[0,8,1,9],X[10,5,11,4],X[7,3,8,2],X[3,7,4,6],X[9,1,10,2],X[5,12,6,11]];
0.482538345	-0.36064752	-0.798179248	3_1m	 - A^(-16) + A^(-12) + A^(-4)	PD[X[4,2,5,1],X[0,4,1,3],X[2,6,3,5]];
