#projection.x	projection.y	projection.z	knotoid_type	polynomial	PD_code
0.73193943	0.6768499	0.0783510273	4_7|4_7ms	 - A^(-4) + 2 + A^(2) - A^(6)	PD[X[0,6,1,5],X[4,6,5,7],X[3,1,4,2],X[7,3,8,2]];
0.0191973319	-0.634490903	-0.77269189	3_1m	 - A^(-16) + A^(-12) + A^(-4)	PD[X[1,7,2,6],X[5,9,6,8],X[7,3,8,2],X[9,5,10,4],X[0,3,1,4]];
-0.820672576	0.167735232	-0.546224692	6_45|6_45ms	 + A^(-16) - 2*A^(-12) - 2*A^(-10) + 3*A^(-8) + 3*A^(-6) - 2*A^(-4) - 3*A^(-2) + 1 + 3*A^(2) - A^(6)	PD[X[0,3,1,4],X[9,2,10,1],X[6,11,7,10],X[2,9,3,8],X[4,7,5,8],X[11,6,12,5]];
0.251292216	0.141914769	0.957451002	6_45|6_45ms	 + A^(-16) - 2*A^(-12) - 2*A^(-10) + 3*A^(-8) + 3*A^(-6) - 2*A^(-4) - 3*A^(-2) + 1 + 3*A^(2) - A^(6)	PD[X[3,0,4,1],X[1,10,2,9],X[8,3,9,2],X[7,4,8,5],X[5,12,6,11],X[10,7,11,6]];
0.0540912353	0.0271237816	0.99816754	UNKNOWN	 + A^(-10) + 2*A^(-8) - 2*A^(-6) - 5*A^(-4) - A^(-2) + 6 + 5*A^(2) - 2*A^(4) - 5*A^(6) - A^(8) + 2*A^(10) + 2*A^(12) - A^(16)	PD[X[8,15,9,16],X[17,14,18,13],X[12,19,13,18],X[3,5,4,6],X[4,20,5,19],X[6,2,7,3],X[11,2,12,1],X[16,9,17,10],X[0,15,1,14],X[10,7,11,8]];
-0.328575452	0.184791096	0.926223744	3_1m	 - A^(-16) + A^(-12) + A^(-4)	PD[X[8,6,9,5],X[4,10,5,9],X[6,2,7,1],X[3,0,4,1],X[2,8,3,7]];
0.731021844	-0.486278169	-0.478686334	3_1m	 - A^(-16) + A^(-12) + A^(-4)	PD[X[0,3,1,4],X[7,3,8,2],X[5,9,6,8],X[9,5,10,4],X[1,7,2,6]];
0.290644414	-0.936964944	-0.193965252	0_1	 + 1	PD[];
0.272128651	-0.470301496	-0.83950134	3_1m	 - A^(-16) + A^(-12) + A^(-4)	PD[X[0,3,1,4],X[1,7,2,6],X[7,3,8,2],X[9,5,10,4],X[5,9,6,8]];
-0.508949861	0.67882421	-0.529308729	UNKNOWN	 + A^(-10) + 2*A^(-8) - 2*A^(-6) - 5*A^(-4) - A^(-2) + 6 + 5*A^(2) - 2*A^(4) - 5*A^(6) - A^(8) + 2*A^(10) + 2*A^(12) - A^(16)	PD[X[18,13,19,12],X[15,8,16,9],X[19,5,20,4],X[14,1,15,0],X[3,12,4,11],X[6,2,7,3],X[1,7,2,8],X[9,16,10,17],X[5,10,6,11],X[13,18,14,17]];
0.0184621546	-0.197593437	0.980110189	UNKNOWN	 + A^(-10) + 2*A^(-8) - 2*A^(-6) - 5*A^(-4) - A^(-2) + 6 + 5*A^(2) - 2*A^(4) - 5*A^(6) - A^(8) + 2*A^(10) + 2*A^(12) - A^(16)	PD[X[3,19,4,18],X[6,15,7,16],X[2,15,3,14],X[8,0,9,1],X[10,5,11,6],X[17,14,18,13],X[12,5,13,4],X[16,9,17,10],X[1,7,2,8],X[11,20,12,19]];
-0.0777748156	-0.925048296	0.371802002	6_108|6_108ms	 + A^(-2) + 1 - A^(2) - 2*A^(4) + 2*A^(8) + A^(10) - A^(14)	PD[X[6,10,7,11],X[8,14,9,13],X[7,3,8,4],X[12,4,13,5],X[1,5,2,6],X[9,3,10,2],X[0,12,1,11]];
0.369971936	0.418002618	0.829695473	3_1m	 - A^(-16) + A^(-12) + A^(-4)	PD[X[3,0,4,1],X[6,2,7,1],X[2,8,3,7],X[8,6,9,5],X[4,10,5,9]];
0.186567217	0.863638965	-0.468316572	6_108|6_108ms	 + A^(-2) + 1 - A^(2) - 2*A^(4) + 2*A^(8) + A^(10) - A^(14)	PD[X[0,8,1,7],X[10,6,11,7],X[5,11,6,12],X[13,3,14,2],X[12,10,13,9],X[3,1,4,2],X[4,8,5,9]];
-0.69586096	0.378676014	0.610231104	3_1m	 - A^(-16) + A^(-12) + A^(-4)	PD[X[3,0,4,1],X[2,8,3,7],X[4,10,5,9],X[8,6,9,5],X[6,2,7,1]];
0.26918779	0.939982635	0.209691631	2_1s|2_1m	 - A^(-10) + A^(-6) + A^(-4)	PD[X[0,3,1,2],X[3,2,4,1]];
0.985237471	0.167718517	0.0343165309	3_1m	 - A^(-16) + A^(-12) + A^(-4)	PD[X[0,4,1,3],X[2,6,3,5],X[4,2,5,1]];
-0.405375902	0.0413672902	-0.913213625	6_45|6_45ms	 + A^(-16) - 2*A^(-12) - 2*A^(-10) + 3*A^(-8) + 3*A^(-6) - 2*A^(-4) - 3*A^(-2) + 1 + 3*A^(2) - A^(6)	PD[X[0,3,1,4],X[9,2,10,1],X[2,9,3,8],X[4,7,5,8],X[11,6,12,5],X[6,11,7,10]];
0.823375624	-0.563679674	-0.065710023	3_1m	 - A^(-16) + A^(-12) + A^(-4)	PD[X[5,1,6,0],X[6,4,7,3],X[1,5,2,4],X[2,8,3,7]];
-0.729386486	-0.541450241	0.418123176	UNKNOWN	 + A^(-10) + 2*A^(-8) - 2*A^(-6) - 5*A^(-4) - A^(-2) + 6 + 5*A^(2) - 2*A^(4) - 5*A^(6) - A^(8) + 2*A^(10) + 2*A^(12) - A^(16)	PD[X[10,17,11,18],X[3,14,4,13],X[12,1,13,0],X[11,8,12,9],X[14,21,15,20],X[5,16,6,17],X[7,1,8,2],X[18,9,19,10],X[2,6,3,7],X[21,16,22,15],X[4,20,5,19]];
-0.437358549	0.353692108	0.826812792	3_1m	 - A^(-16) + A^(-12) + A^(-4)	PD[X[3,0,4,1],X[8,6,9,5],X[2,8,3,7],X[4,10,5,9],X[6,2,7,1]];
