#projection.x	projection.y	projection.z	knotoid_type	polynomial	PD_code
-0.932131341	-0.260271798	-0.251773221	3_1m	 - A^(-16) + A^(-12) + A^(-4)	PD[X[4,8,5,7],X[8,4,9,3],X[9,0,10,1],X[1,7,2,6],X[5,3,6,2]];
0.193438446	-0.899725122	-0.39124963	3_1m	 - A^(-16) + A^(-12) + A^(-4)	PD[X[5,3,6,2],X[1,5,2,4],X[3,1,4,0]];
-0.860370992	0.483926431	0.159928001	3_1m	 - A^(-16) + A^(-12) + A^(-4)	PD[X[1,5,2,4],X[5,3,6,2],X[3,1,4,0]];
-0.242572559	0.960324147	-0.137608449	0_1	 + 1	PD[];
-0.278974144	0.292508151	-0.914665189	5_3s|5_3m	 + A^(-8) - A^(-6) - 2*A^(-4) + 3 + 2*A^(2) - A^(4) - A^(6)	PD[X[9,5,10,4],X[8,1,9,2],X[6,3,7,2],X[3,6,4,5],X[0,7,1,8]];
0.0281117159	0.741579513	-0.670275732	0_1	 + 1	PD[];
0.562381126	-0.601683003	0.567190473	5_3s|5_3m	 + A^(-8) - A^(-6) - 2*A^(-4) + 3 + 2*A^(2) - A^(4) - A^(6)	PD[X[1,8,2,9],X[4,10,5,9],X[2,7,3,6],X[5,4,6,3],X[7,0,8,1]];
-0.452582348	-0.702061247	-0.549799257	3_1m	 - A^(-16) + A^(-12) + A^(-4)	PD[X[9,0,10,1],X[4,8,5,7],X[8,4,9,3],X[1,7,2,6],X[5,3,6,2]];
0.18710927	-0.755840775	-0.627451069	3_1m	 - A^(-16) + A^(-12) + A^(-4)	PD[X[2,6,3,5],X[4,2,5,1],X[0,4,1,3]];
0.949859361	-0.171146232	0.261679501	3_1m	 - A^(-16) + A^(-12) + A^(-4)	PD[X[7,5,8,4],X[3,9,4,8],X[0,9,1,10],X[6,2,7,1],X[2,6,3,5]];
-0.199402428	0.740065685	-0.642293899	0_1	 + 1	PD[];
-0.0296506467	-0.655226727	0.754850167	0_1	 + 1	PD[];
0.694703705	0.681263577	-0.2307958	2_1s|2_1m	 - A^(-10) + A^(-6) + A^(-4)	PD[X[5,3,6,2],X[1,4,2,3],X[4,1,5,0]];
0.73072538	-0.580514969	0.359225262	5_3s|5_3m	 + A^(-8) - A^(-6) - 2*A^(-4) + 3 + 2*A^(2) - A^(4) - A^(6)	PD[X[1,8,2,9],X[7,0,8,1],X[4,10,5,9],X[5,4,6,3],X[2,7,3,6]];
-0.46965842	-0.799139585	-0.375229121	3_1m	 - A^(-16) + A^(-12) + A^(-4)	PD[X[9,0,10,1],X[8,4,9,3],X[1,7,2,6],X[5,3,6,2],X[4,8,5,7]];
0.883194349	-0.254291016	0.394086059	5_3s|5_3m	 + A^(-8) - A^(-6) - 2*A^(-4) + 3 + 2*A^(2) - A^(4) - A^(6)	PD[X[9,0,10,1],X[1,10,2,11],X[6,12,7,11],X[3,8,4,7],X[8,5,9,4],X[2,5,3,6]];
0.477020353	-0.843312626	-0.247538677	3_1m	 - A^(-16) + A^(-12) + A^(-4)	PD[X[1,5,2,4],X[5,3,6,2],X[3,1,4,0]];
-0.11210725	-0.992460669	-0.0495356908	2_1s|2_1m	 - A^(-10) + A^(-6) + A^(-4)	PD[X[2,1,3,0],X[1,4,2,3]];
0.751550564	0.0838185812	0.654328813	5_11s|5_11m	 - A^(-12) - A^(-10) + 2*A^(-8) + 2*A^(-6) - A^(-4) - 2*A^(-2) + 1 + 2*A^(2) - A^(6)	PD[X[8,0,9,1],X[4,11,5,10],X[11,6,12,5],X[2,8,3,7],X[6,4,7,3],X[1,9,2,10]];
0.408858702	0.576258576	0.707644413	3_1m	 - A^(-16) + A^(-12) + A^(-4)	PD[X[6,4,7,3],X[2,8,3,7],X[5,1,6,0],X[1,5,2,4]];
0.0661938095	0.448341089	-0.891408239	0_1	 + 1	PD[];
-0.602826839	-0.63522805	0.482788905	0_1	 + 1	PD[];
-0.408531408	-0.89814189	-0.162613755	2_1s|2_1m	 - A^(-10) + A^(-6) + A^(-4)	PD[X[2,1,3,0],X[1,4,2,3]];
-0.0701777201	-0.910363977	0.407814317	0_1	 + 1	PD[];
0.0871120773	0.91745586	-0.388183245	0_1	 + 1	PD[];
-0.910782328	0.164212327	-0.378826955	3_1m	 - A^(-16) + A^(-12) + A^(-4)	PD[X[4,8,5,7],X[9,0,10,1],X[1,7,2,6],X[5,3,6,2],X[8,4,9,3]];
0.728430769	0.336658837	0.596698787	3_1m	 - A^(-16) + A^(-12) + A^(-4)	PD[X[6,4,7,3],X[2,8,3,7],X[5,1,6,0],X[1,5,2,4]];
-0.0112624181	0.999680708	-0.0226194523	0_1	 + 1	PD[];
