#projection.x	projection.y	projection.z	knotoid_type	polynomial	PD_code
-0.0104647415	0.487201776	-0.873226728	6_108|6_108ms	 + A^(-2) + 1 - A^(2) - 2*A^(4) + 2*A^(8) + A^(10) - A^(14)	PD[X[2,10,3,9],X[12,2,13,1],X[10,6,11,7],X[5,11,6,12],X[3,7,4,8],X[13,9,14,8],X[4,0,5,1]];
-0.494199751	-0.543852907	0.678226084	6_108|6_108ms	 + A^(-2) + 1 - A^(2) - 2*A^(4) + 2*A^(8) + A^(10) - A^(14)	PD[X[12,4,13,5],X[7,3,8,4],X[5,11,6,12],X[1,11,2,10],X[0,6,1,7],X[8,14,9,13],X[9,3,10,2]];
0.677030704	-0.356098174	0.644067944	6_37s|6_37m	 + A^(-4) + 2*A^(-2) - 1 - 4*A^(2) - A^(4) + 3*A^(6) + 3*A^(8) - A^(10) - A^(12)	PD[X[9,1,10,0],X[7,11,8,12],X[14,1,15,2],X[2,4,3,5],X[3,16,4,15],X[8,5,9,6],X[12,6,13,7],X[10,14,11,13]];
-0.986347214	-0.16384471	-0.0165554881	3_1m	 - A^(-16) + A^(-12) + A^(-4)	PD[X[3,1,4,0],X[1,5,2,4],X[5,3,6,2]];
-0.363296689	0.6442121	-0.673057416	6_37s|6_37m	 + A^(-4) + 2*A^(-2) - 1 - 4*A^(2) - A^(4) + 3*A^(6) + 3*A^(8) - A^(10) - A^(12)	PD[X[7,13,8,14],X[12,8,13,9],X[4,9,5,10],X[0,6,1,7],X[15,11,16,10],X[5,1,6,2],X[3,12,4,11],X[14,3,15,2]];
0.308113414	-0.0925674303	-0.946835463	UNKNOWN	 + A^(-10) + 2*A^(-8) - 2*A^(-6) - 5*A^(-4) - A^(-2) + 6 + 5*A^(2) - 2*A^(4) - 5*A^(6) - A^(8) + 2*A^(10) + 2*A^(12) - A^(16)	PD[X[15,12,16,13],X[21,5,22,4],X[1,7,2,8],X[5,10,6,11],X[3,12,4,11],X[14,21,15,20],X[16,1,17,0],X[9,18,10,19],X[17,8,18,9],X[6,2,7,3],X[19,14,20,13]];
0.789862855	0.0335935865	0.612362753	UNKNOWN	 + A^(-10) + 2*A^(-8) - 2*A^(-6) - 5*A^(-4) - A^(-2) + 6 + 5*A^(2) - 2*A^(4) - 5*A^(6) - A^(8) + 2*A^(10) + 2*A^(12) - A^(16)	PD[X[0,17,1,16],X[13,20,14,19],X[3,5,4,6],X[7,1,8,2],X[20,15,21,14],X[4,22,5,21],X[8,17,9,18],X[18,9,19,10],X[10,3,11,2],X[12,15,13,16],X[11,6,12,7]];
-0.974093469	-0.127318114	-0.186901075	3_1m	 - A^(-16) + A^(-12) + A^(-4)	PD[X[0,3,1,4],X[1,7,2,6],X[9,5,10,4],X[7,3,8,2],X[5,9,6,8]];
0.825896368	-0.54688769	-0.137146065	3_1m	 - A^(-16) + A^(-12) + A^(-4)	PD[X[0,4,1,3],X[2,6,3,5],X[4,2,5,1]];
0.290151566	0.16351732	0.942907289	UNKNOWN	 + A^(-10) + 2*A^(-8) - 2*A^(-6) - 5*A^(-4) - A^(-2) + 6 + 5*A^(2) - 2*A^(4) - 5*A^(6) - A^(8) + 2*A^(10) + 2*A^(12) - A^(16)	PD[X[13,20,14,19],X[12,15,13,16],X[0,17,1,16],X[8,17,9,18],X[10,7,11,8],X[4,22,5,21],X[20,15,21,14],X[18,9,19,10],X[6,2,7,3],X[3,5,4,6],X[11,2,12,1]];
0.781821177	0.553755848	0.286548614	3_1m	 - A^(-16) + A^(-12) + A^(-4)	PD[X[3,0,4,1],X[6,2,7,1],X[8,6,9,5],X[4,10,5,9],X[2,8,3,7]];
-0.274539438	0.895991102	0.349038741	3_1m	 - A^(-16) + A^(-12) + A^(-4)	PD[X[2,8,3,7],X[8,6,9,5],X[4,10,5,9],X[6,2,7,1],X[3,0,4,1]];
-0.737201864	-0.495887071	-0.458943814	3_1m	 - A^(-16) + A^(-12) + A^(-4)	PD[X[0,4,1,3],X[4,2,5,1],X[2,6,3,5]];
-0.924584165	0.372166078	-0.0814649141	3_1m	 - A^(-16) + A^(-12) + A^(-4)	PD[X[0,4,1,3],X[4,2,5,1],X[2,6,3,5]];
0.316181438	0.812780857	0.489302133	3_1m	 - A^(-16) + A^(-12) + A^(-4)	PD[X[3,0,4,1],X[6,2,7,1],X[4,10,5,9],X[2,8,3,7],X[8,6,9,5]];
0.133726164	0.990216247	0.0398634882	2_1s|2_1m	 - A^(-10) + A^(-6) + A^(-4)	PD[X[2,1,3,0],X[1,4,2,3]];
-0.204719673	0.546798064	0.811850807	UNKNOWN	 + A^(-10) + 2*A^(-8) - 2*A^(-6) - 5*A^(-4) - A^(-2) + 6 + 5*A^(2) - 2*A^(4) - 5*A^(6) - A^(8) + 2*A^(10) + 2*A^(12) - A^(16)	PD[X[13,20,14,19],X[12,7,13,8],X[2,17,3,16],X[3,5,4,6],X[20,15,21,14],X[8,0,9,1],X[10,17,11,18],X[18,9,19,10],X[11,2,12,1],X[4,22,5,21],X[6,15,7,16]];
0.344892043	0.77992052	0.522277188	3_1m	 - A^(-16) + A^(-12) + A^(-4)	PD[X[5,1,6,0],X[1,5,2,4],X[2,8,3,7],X[6,4,7,3]];
0.623294295	-0.766651648	-0.154108639	3_1m	 - A^(-16) + A^(-12) + A^(-4)	PD[X[7,0,8,1],X[1,8,2,9],X[14,4,15,3],X[4,16,5,15],X[12,5,13,6],X[6,10,7,9],X[16,14,17,13],X[11,3,12,2],X[17,11,18,10]];
-0.22640968	0.973647699	-0.0273644892	3_2|3_2ms	 + A^(-8) - A^(-4) - A^(-2) + 1 + A^(2)	PD[X[3,0,4,1],X[1,6,2,5],X[4,3,5,2]];
-0.16993315	0.768869239	-0.61641124	6_108|6_108ms	 + A^(-2) + 1 - A^(2) - 2*A^(4) + 2*A^(8) + A^(10) - A^(14)	PD[X[2,10,3,9],X[11,1,12,0],X[10,6,11,7],X[3,7,4,8],X[13,9,14,8],X[5,1,6,2],X[4,12,5,13]];
0.931306003	-0.101843854	-0.349709819	2_1s|2_1m	 - A^(-10) + A^(-6) + A^(-4)	PD[X[0,3,1,2],X[3,2,4,1]];
0.933160846	-0.178287099	0.312129052	2_1s|2_1m	 - A^(-10) + A^(-6) + A^(-4)	PD[X[1,4,2,3],X[2,1,3,0]];
-0.111982245	-0.959937142	-0.256867008	3_1m	 - A^(-16) + A^(-12) + A^(-4)	PD[X[3,1,4,0],X[1,5,2,4],X[5,3,6,2]];
0.797085518	-0.602269921	-0.0438818685	3_1m	 - A^(-16) + A^(-12) + A^(-4)	PD[X[1,5,2,4],X[3,1,4,0],X[5,3,6,2]];
0.630263674	-0.754033218	0.184936764	6_45|6_45ms	 + A^(-16) - 2*A^(-12) - 2*A^(-10) + 3*A^(-8) + 3*A^(-6) - 2*A^(-4) - 3*A^(-2) + 1 + 3*A^(2) - A^(6)	PD[X[1,12,2,11],X[10,3,11,2],X[3,0,4,1],X[9,4,10,5],X[5,8,6,9],X[6,13,7,12],X[13,8,14,7]];
-0.275533579	0.957580076	0.0843898361	3_1m	 - A^(-16) + A^(-12) + A^(-4)	PD[X[1,5,2,4],X[3,7,4,6],X[5,3,6,2],X[0,8,1,7]];
-0.13952831	0.626944089	0.766467846	UNKNOWN	 + A^(-10) + 2*A^(-8) - 2*A^(-6) - 5*A^(-4) - A^(-2) + 6 + 5*A^(2) - 2*A^(4) - 5*A^(6) - A^(8) + 2*A^(10) + 2*A^(12) - A^(16)	PD[X[13,4,14,3],X[6,17,7,18],X[1,7,2,8],X[11,16,12,17],X[4,15,5,14],X[10,5,11,6],X[8,0,9,1],X[18,9,19,10],X[12,21,13,20],X[2,20,3,19],X[21,16,22,15]];
-0.615499779	0.782923943	-0.0904992875	3_1m	 - A^(-16) + A^(-12) + A^(-4)	PD[X[0,4,1,3],X[4,2,5,1],X[2,6,3,5]];
-0.804760361	-0.574933049	-0.147691404	3_1m	 - A^(-16) + A^(-12) + A^(-4)	PD[X[3,1,4,0],X[5,3,6,2],X[1,5,2,4]];
-0.298633948	-0.896640367	-0.326885021	3_1m	 - A^(-16) + A^(-12) + A^(-4)	PD[X[0,3,1,4],X[1,7,2,6],X[9,5,10,4],X[7,3,8,2],X[5,9,6,8]];
0.422424129	0.876713026	0.230069825	3_1m	 - A^(-16) + A^(-12) + A^(-4)	PD[X[4,2,5,1],X[2,6,3,5],X[0,4,1,3]];
-0.000759323791	-0.945711734	-0.325005754	3_1m	 - A^(-16) + A^(-12) + A^(-4)	PD[X[1,5,2,4],X[5,3,6,2],X[3,1,4,0]];
0.18165332	-0.0720671137	0.98071831	UNKNOWN	 + A^(-10) + 2*A^(-8) - 2*A^(-6) - 5*A^(-4) - A^(-2) + 6 + 5*A^(2) - 2*A^(4) - 5*A^(6) - A^(8) + 2*A^(10) + 2*A^(12) - A^(16)	PD[X[20,15,21,14],X[11,16,12,17],X[8,0,9,1],X[12,3,13,2],X[4,22,5,21],X[13,20,14,19],X[10,5,11,6],X[18,9,19,10],X[3,16,4,15],X[1,7,2,8],X[6,17,7,18]];
-0.15442041	0.195575791	-0.96845467	UNKNOWN	 + A^(-10) + 2*A^(-8) - 2*A^(-6) - 5*A^(-4) - A^(-2) + 6 + 5*A^(2) - 2*A^(4) - 5*A^(6) - A^(8) + 2*A^(10) + 2*A^(12) - A^(16)	PD[X[17,6,18,7],X[14,21,15,20],X[7,1,8,2],X[16,11,17,12],X[2,13,3,12],X[21,5,22,4],X[0,8,1,9],X[9,18,10,19],X[19,14,20,13],X[5,10,6,11],X[15,4,16,3]];
-0.737714252	-0.671945785	0.0653187884	3_1m	 - A^(-16) + A^(-12) + A^(-4)	PD[X[3,1,4,0],X[1,5,2,4],X[5,3,6,2]];
0.837977896	-0.543081363	0.0534385503	3_1m	 - A^(-16) + A^(-12) + A^(-4)	PD[X[5,1,6,0],X[1,5,2,4],X[2,8,3,7],X[6,4,7,3]];
0.601377431	0.431849446	0.672198811	3_1m	 - A^(-16) + A^(-12) + A^(-4)	PD[X[1,5,2,4],X[5,3,6,2],X[3,1,4,0]];
-0.495811153	-0.615580748	-0.612561542	3_1m	 - A^(-16) + A^(-12) + A^(-4)	PD[X[4,2,5,1],X[7,3,8,2],X[0,6,1,5],X[3,7,4,6]];
-0.0913295616	-0.450495804	-0.888094838	UNKNOWN	 + A^(-10) + 2*A^(-8) - 2*A^(-6) - 5*A^(-4) - A^(-2) + 6 + 5*A^(2) - 2*A^(4) - 5*A^(6) - A^(8) + 2*A^(10) + 2*A^(12) - A^(16)	PD[X[7,1,8,2],X[6,11,7,12],X[3,14,4,13],X[0,8,1,9],X[16,5,17,6],X[15,22,16,21],X[20,13,21,12],X[9,18,10,19],X[17,10,18,11],X[14,5,15,4],X[19,3,20,2]];
0.749617973	-0.656207098	-0.0864010374	3_1m	 - A^(-16) + A^(-12) + A^(-4)	PD[X[7,5,8,4],X[3,1,4,0],X[6,2,7,1],X[2,6,3,5]];
