#projection.x	projection.y	projection.z	knotoid_type	polynomial	PD_code
0.574878569	-0.0887259812	0.813413997	2_1s|2_1m	 - A^(-10) + A^(-6) + A^(-4)	PD[X[0,3,1,2],X[3,2,4,1]];
0.335409439	-0.434416537	-0.835932282	0_1	 + 1	PD[];
0.330296316	-0.140348671	0.933384484	0_1	 + 1	PD[];
-0.514567971	0.572295455	-0.638512111	0_1	 + 1	PD[];
0.713430959	0.0981835698	0.693812837	0_1	 + 1	PD[];
0.512509514	-0.567343947	-0.644557866	0_1	 + 1	PD[];
-0.0973159003	-0.992814789	-0.069630526	0_1	 + 1	PD[];
-0.208068112	0.977865766	-0.0220500557	0_1	 + 1	PD[];
0.0837212935	0.10825099	-0.990591979	2_1s|2_1m	 - A^(-10) + A^(-6) + A^(-4)	PD[X[2,1,3,0],X[1,4,2,3]];
0.461083202	-0.778228324	-0.426336669	0_1	 + 1	PD[];
0.739168195	-0.343624837	0.579268807	0_1	 + 1	PD[];
0.476020403	-0.698272443	0.534621521	0_1	 + 1	PD[];
0.853037917	-0.0213681917	-0.52141127	0_1	 + 1	PD[];
-0.950528526	-0.031470585	0.309039033	0_1	 + 1	PD[];
-0.0875546291	-0.086396791	0.992406057	2_1s|2_1m	 - A^(-10) + A^(-6) + A^(-4)	PD[X[0,3,1,2],X[3,2,4,1]];
0.0212852018	-0.954614818	-0.297081621	0_1	 + 1	PD[];
-0.203296971	0.685741855	-0.698876563	0_1	 + 1	PD[];
-0.800843616	-0.335808568	0.49586501	0_1	 + 1	PD[];
0.365049429	-0.842949292	0.395190341	0_1	 + 1	PD[];
0.468140713	-0.763412871	-0.44502254	0_1	 + 1	PD[];
0.0581972611	0.575588034	-0.815666289	0_1	 + 1	PD[];
0.467660499	0.638880401	-0.610839988	0_1	 + 1	PD[];
0.158419042	0.851728038	0.499462468	0_1	 + 1	PD[];
-0.0276156051	0.27049467	-0.962325315	0_1	 + 1	PD[];
-0.538066967	-0.467447651	-0.70141046	2_1s|2_1m	 - A^(-10) + A^(-6) + A^(-4)	PD[X[2,1,3,0],X[1,4,2,3]];
0.200318466	-0.253279375	0.946425945	0_1	 + 1	PD[];
0.648102588	-0.0781412357	0.757533486	0_1	 + 1	PD[];
-0.512866128	0.854140934	-0.0860906406	0_1	 + 1	PD[];
0.337040661	-0.73228572	0.591744216	0_1	 + 1	PD[];
-0.0675101956	0.94194592	0.328907673	0_1	 + 1	PD[];
-0.74786089	-0.464190938	-0.474584937	0_1	 + 1	PD[];
0.273242794	0.197756007	-0.941398394	0_1	 + 1	PD[];
-0.808236409	0.386189543	-0.4445352	0_1	 + 1	PD[];
0.958952198	0.0264726175	0.282329386	0_1	 + 1	PD[];
-0.334941906	0.341013097	-0.878364382	0_1	 + 1	PD[];
0.0758895175	-0.805267826	0.588034446	0_1	 + 1	PD[];
-0.908486185	-0.416212322	-0.0376849412	0_1	 + 1	PD[];
0.638662828	-0.769432215	0.00915740523	0_1	 + 1	PD[];
0.997874446	0.0207768118	0.061764989	0_1	 + 1	PD[];
-0.17720053	0.950164516	0.256490479	0_1	 + 1	PD[];
-0.393201916	-0.00917837825	0.919406336	2_1s|2_1m	 - A^(-10) + A^(-6) + A^(-4)	PD[X[0,3,1,2],X[3,2,4,1]];
0.973122601	-0.194576428	-0.123176364	0_1	 + 1	PD[];
-0.582857413	-0.106705621	-0.8055378	0_1	 + 1	PD[];
0.516233173	0.668831691	0.534946241	2_1s|2_1m	 - A^(-10) + A^(-6) + A^(-4)	PD[X[0,3,1,2],X[3,2,4,1]];
-0.30857539	-0.746693229	-0.589262633	0_1	 + 1	PD[];
-0.111503993	-0.495502577	-0.86141979	2_1s|2_1m	 - A^(-10) + A^(-6) + A^(-4)	PD[X[2,1,3,0],X[1,4,2,3]];
0.816594753	0.319559633	-0.480681444	0_1	 + 1	PD[];
-0.980885482	-0.06438455	-0.183625435	0_1	 + 1	PD[];
-0.69457296	0.399413374	0.598362231	0_1	 + 1	PD[];
0.333343572	0.738098597	-0.586594002	0_1	 + 1	PD[];
0.707831991	0.379379643	-0.595856492	0_1	 + 1	PD[];
0.765124502	0.470027051	-0.440067118	0_1	 + 1	PD[];
-0.0814457002	0.778353369	-0.622521189	0_1	 + 1	PD[];
-0.716861392	-0.690462053	-0.0968085639	0_1	 + 1	PD[];
-0.930183467	-0.0350790321	-0.365415079	0_1	 + 1	PD[];
-0.857323112	-0.310137596	-0.410867074	0_1	 + 1	PD[];
0.960753008	-0.277389979	0.00290798396	0_1	 + 1	PD[];
-0.539221835	-0.669122729	-0.51138497	2_1s|2_1m	 - A^(-10) + A^(-6) + A^(-4)	PD[X[2,1,3,0],X[1,4,2,3]];
0.0760505822	0.879727088	-0.469357604	0_1	 + 1	PD[];
0.535120213	-0.627551934	0.56553066	0_1	 + 1	PD[];
0.278950566	-0.812623479	0.511692938	0_1	 + 1	PD[];
-0.248102387	-0.634989195	0.731596834	0_1	 + 1	PD[];
-0.774768585	0.406902984	0.483904538	0_1	 + 1	PD[];
-0.675606229	0.729844991	-0.104319281	0_1	 + 1	PD[];
0.683256804	-0.638822559	-0.353646543	0_1	 + 1	PD[];
0.226075855	0.74999436	-0.621609337	0_1	 + 1	PD[];
-0.174580173	0.814943674	0.552619735	0_1	 + 1	PD[];
-0.672929738	0.232518728	-0.702211228	0_1	 + 1	PD[];
-0.282441995	-0.959017925	-0.0226083775	0_1	 + 1	PD[];
0.798918344	0.382017296	0.46453446	0_1	 + 1	PD[];
0.240999941	0.790067445	0.56365988	0_1	 + 1	PD[];
0.144182727	-0.54792526	-0.82400804	0_1	 + 1	PD[];
-0.526289991	-0.494430276	-0.69177854	2_1s|2_1m	 - A^(-10) + A^(-6) + A^(-4)	PD[X[2,1,3,0],X[1,4,2,3]];
-0.64515459	-0.76217558	-0.053515797	0_1	 + 1	PD[];
0.0264472926	0.638417022	0.769236145	0_1	 + 1	PD[];
