#projection.x	projection.y	projection.z	knotoid_type	polynomial	PD_code
0.605534389	-0.776787627	-0.173000248	0_1	 + 1	PD[];
0.790392095	0.0128639798	0.612466206	0_1	 + 1	PD[];
0.26764475	0.951211217	0.153504096	0_1	 + 1	PD[];
0.323738606	0.452758537	0.830784583	3_1m	 - A^(-16) + A^(-12) + A^(-4)	PD[X[0,4,1,3],X[4,2,5,1],X[2,6,3,5]];
-0.851859261	0.233481983	0.468851749	0_1	 + 1	PD[];
0.212628529	0.890138376	-0.403041909	0_1	 + 1	PD[];
0.996079908	0.0115184502	-0.0877048601	2_1s|2_1m	 - A^(-10) + A^(-6) + A^(-4)	PD[X[0,5,1,4],X[3,2,4,1],X[2,6,3,5]];
-0.411713403	0.906335751	-0.0951187708	0_1	 + 1	PD[];
-0.757446026	0.0334724376	-0.652039197	2_1s|2_1m	 - A^(-10) + A^(-6) + A^(-4)	PD[X[0,3,1,2],X[3,2,4,1]];
0.191713709	0.846294531	0.497022556	3_1m	 - A^(-16) + A^(-12) + A^(-4)	PD[X[0,4,1,3],X[4,2,5,1],X[2,6,3,5]];
0.455183543	-0.504877984	0.733420864	0_1	 + 1	PD[];
0.908618915	0.170404623	-0.381279335	2_1s|2_1m	 - A^(-10) + A^(-6) + A^(-4)	PD[X[2,1,3,0],X[1,4,2,3]];
0.800401141	0.0396918574	0.598149288	0_1	 + 1	PD[];
-0.12509803	0.989016886	0.0787151968	0_1	 + 1	PD[];
0.196511839	0.593549407	0.780437184	3_1m	 - A^(-16) + A^(-12) + A^(-4)	PD[X[0,4,1,3],X[4,2,5,1],X[2,6,3,5]];
0.0325264531	-0.586512956	0.809286465	0_1	 + 1	PD[];
0.341710584	0.117709296	0.932404632	0_1	 + 1	PD[];
-0.231673313	0.686290036	0.689444315	0_1	 + 1	PD[];
0.360207159	0.378128536	0.852801039	3_1m	 - A^(-16) + A^(-12) + A^(-4)	PD[X[3,1,4,0],X[1,5,2,4],X[5,3,6,2]];
-0.602090297	0.139888848	-0.786077849	2_1s|2_1m	 - A^(-10) + A^(-6) + A^(-4)	PD[X[0,3,1,2],X[3,2,4,1]];
-0.0345359698	-0.258898343	-0.96528696	2_1s|2_1m	 - A^(-10) + A^(-6) + A^(-4)	PD[X[2,1,3,0],X[1,4,2,3]];
-0.846674904	-0.440553197	-0.298419985	2_1s|2_1m	 - A^(-10) + A^(-6) + A^(-4)	PD[X[0,3,1,2],X[3,2,4,1]];
-0.42028335	-0.586147127	-0.692671243	3_1m	 - A^(-16) + A^(-12) + A^(-4)	PD[X[3,1,4,0],X[1,5,2,4],X[5,3,6,2]];
-0.408837167	-0.867119531	-0.284527485	3_1m	 - A^(-16) + A^(-12) + A^(-4)	PD[X[3,1,4,0],X[1,5,2,4],X[5,3,6,2]];
-0.757846379	0.557218279	0.339376863	0_1	 + 1	PD[];
-0.189349033	0.954602333	-0.229959407	0_1	 + 1	PD[];
-0.355691249	-0.254600609	0.899256507	0_1	 + 1	PD[];
0.789661452	-0.208327735	-0.57709128	0_1	 + 1	PD[];
-0.0664974293	-0.806440793	0.587563902	0_1	 + 1	PD[];
0.894172143	-0.163536383	0.416787752	0_1	 + 1	PD[];
-0.938943721	0.144861302	-0.312089559	0_1	 + 1	PD[];
0.262664496	-0.233572359	-0.936189786	2_1s|2_1m	 - A^(-10) + A^(-6) + A^(-4)	PD[X[2,1,3,0],X[1,4,2,3]];
-0.485716355	0.433046272	-0.759309257	0_1	 + 1	PD[];
-0.705011016	-0.39530055	-0.588809768	2_1s|2_1m	 - A^(-10) + A^(-6) + A^(-4)	PD[X[0,4,1,3],X[1,6,2,5],X[4,3,5,2]];
0.394262505	-0.91573643	-0.077355457	0_1	 + 1	PD[];
0.807864863	-0.436940477	0.395521659	0_1	 + 1	PD[];
-0.147928548	0.973239426	-0.175846992	0_1	 + 1	PD[];
0.0386813302	0.413543466	0.909662331	3_1m	 - A^(-16) + A^(-12) + A^(-4)	PD[X[0,4,1,3],X[4,2,5,1],X[2,6,3,5]];
-0.105675141	0.881233406	0.460717319	3_1m	 - A^(-16) + A^(-12) + A^(-4)	PD[X[0,4,1,3],X[4,2,5,1],X[2,6,3,5]];
0.565076865	-0.82092868	0.0822449857	0_1	 + 1	PD[];
0.633291264	-0.667941912	-0.390891004	0_1	 + 1	PD[];
0.691465996	-0.72229024	0.013099079	0_1	 + 1	PD[];
0.678096785	0.417484547	-0.60488958	0_1	 + 1	PD[];
0.49724149	-0.501113081	0.708263073	0_1	 + 1	PD[];
-0.977665574	-0.2098935	0.0107118343	3_1m	 - A^(-16) + A^(-12) + A^(-4)	PD[X[5,1,6,0],X[1,5,2,4],X[2,8,3,7],X[6,4,7,3]];
-0.672200626	-0.691236392	0.265214195	2_1s|2_1m	 - A^(-10) + A^(-6) + A^(-4)	PD[X[2,1,3,0],X[1,4,2,3]];
0.863437546	0.367514475	0.345555661	2_1s|2_1m	 - A^(-10) + A^(-6) + A^(-4)	PD[X[3,1,4,0],X[5,2,6,1],X[2,5,3,4]];
-0.664160891	-0.338733947	0.666445515	0_1	 + 1	PD[];
-0.32820048	-0.943808423	-0.0388600887	0_1	 + 1	PD[];
-0.518688574	0.18657981	0.834356122	2_1s|2_1m	 - A^(-10) + A^(-6) + A^(-4)	PD[X[0,3,1,2],X[3,2,4,1]];
-0.676538541	0.601111914	-0.425394017	0_1	 + 1	PD[];
0.0165059597	0.300031886	-0.95378636	0_1	 + 1	PD[];
-0.798004946	0.139169575	-0.586361608	0_1	 + 1	PD[];
-0.429418543	0.830720084	0.354265235	0_1	 + 1	PD[];
0.200208283	-0.93367022	0.296945388	0_1	 + 1	PD[];
0.00208191446	0.880943948	0.473216046	3_1m	 - A^(-16) + A^(-12) + A^(-4)	PD[X[0,4,1,3],X[4,2,5,1],X[2,6,3,5]];
-0.645837995	-0.741045276	-0.183698622	3_1m	 - A^(-16) + A^(-12) + A^(-4)	PD[X[3,1,4,0],X[1,5,2,4],X[5,3,6,2]];
-0.375763425	0.335693842	-0.863777455	0_1	 + 1	PD[];
-0.0128151392	0.988894481	-0.14806579	0_1	 + 1	PD[];
0.696490075	0.683254593	0.219236713	2_1s|2_1m	 - A^(-10) + A^(-6) + A^(-4)	PD[X[2,1,3,0],X[1,4,2,3]];
0.540137367	-0.503763286	0.674147	0_1	 + 1	PD[];
0.766307034	0.626465797	0.142527659	2_1s|2_1m	 - A^(-10) + A^(-6) + A^(-4)	PD[X[2,1,3,0],X[1,4,2,3]];
0.0289809474	-0.788760097	-0.6140176	3_1m	 - A^(-16) + A^(-12) + A^(-4)	PD[X[3,1,4,0],X[1,5,2,4],X[5,3,6,2]];
-0.673694673	-0.179915398	0.716774676	2_1s|2_1m	 - A^(-10) + A^(-6) + A^(-4)	PD[X[0,3,1,2],X[3,2,4,1]];
-0.51055436	0.815596622	0.272279996	0_1	 + 1	PD[];
-0.589702051	0.252153941	-0.767248253	2_1s|2_1m	 - A^(-10) + A^(-6) + A^(-4)	PD[X[0,3,1,2],X[3,2,4,1]];
-0.49575363	-0.783200746	0.375266479	0_1	 + 1	PD[];
-0.98274976	0.0257904586	0.183133177	0_1	 + 1	PD[];
0.126109834	-0.549647085	0.825823463	0_1	 + 1	PD[];
0.259492049	-0.672514445	-0.693100424	0_1	 + 1	PD[];
0.47194143	-0.860745057	-0.190759623	0_1	 + 1	PD[];
-0.156340151	-0.968112248	0.195745838	0_1	 + 1	PD[];
0.156199385	0.840120746	-0.519421682	0_1	 + 1	PD[];
0.273344488	-0.671159119	-0.68907781	0_1	 + 1	PD[];
-0.572503177	-0.749350309	-0.332737475	3_1m	 - A^(-16) + A^(-12) + A^(-4)	PD[X[3,1,4,0],X[1,5,2,4],X[5,3,6,2]];
-0.843849597	0.113182574	0.52450697	0_1	 + 1	PD[];
0.287921878	0.0674001971	-0.955279124	2_1s|2_1m	 - A^(-10) + A^(-6) + A^(-4)	PD[X[2,1,3,0],X[1,4,2,3]];
-0.934558644	0.326571032	0.141249787	0_1	 + 1	PD[];
0.130816199	-0.89646411	0.423366534	0_1	 + 1	PD[];
-0.85660209	-0.00646672197	-0.515937051	0_1	 + 1	PD[];
0.374645901	-0.832496842	-0.408153718	0_1	 + 1	PD[];
0.684852056	-0.631293325	0.363931862	0_1	 + 1	PD[];
-0.373303439	-0.645821007	0.66600283	0_1	 + 1	PD[];
-0.333892267	0.740721131	0.582964974	0_1	 + 1	PD[];
-0.826600364	-0.402187745	0.393670999	3_1m	 - A^(-16) + A^(-12) + A^(-4)	PD[X[3,1,4,0],X[1,5,2,4],X[5,3,6,2]];
-0.999848314	-0.0169185016	-0.00413688412	0_1	 + 1	PD[];
0.294672648	-0.426107119	0.855336632	0_1	 + 1	PD[];
-0.641813268	-0.25399592	-0.723575706	2_1s|2_1m	 - A^(-10) + A^(-6) + A^(-4)	PD[X[0,4,1,3],X[1,6,2,5],X[4,3,5,2]];
0.507291925	0.833934702	0.217273598	3_1m	 - A^(-16) + A^(-12) + A^(-4)	PD[X[0,4,1,3],X[4,2,5,1],X[2,6,3,5]];
-0.742874211	0.616330688	-0.261293683	0_1	 + 1	PD[];
-0.27663878	0.749095206	0.601936341	0_1	 + 1	PD[];
0.748257126	-0.472904406	0.465266265	0_1	 + 1	PD[];
0.501235612	-0.365407202	-0.784372639	0_1	 + 1	PD[];
-0.288516389	0.463068477	0.838048853	0_1	 + 1	PD[];
0.202025754	-0.837573637	-0.507598264	0_1	 + 1	PD[];
-0.334165424	0.440217781	-0.83339173	0_1	 + 1	PD[];
-0.697897489	0.714777044	0.0450873878	0_1	 + 1	PD[];
0.682118223	0.362463084	0.635086799	2_1s|2_1m	 - A^(-10) + A^(-6) + A^(-4)	PD[X[3,1,4,0],X[5,2,6,1],X[2,5,3,4]];
-0.122811092	0.0420447507	-0.991539043	0_1	 + 1	PD[];
0.456152462	-0.568834978	-0.684362257	0_1	 + 1	PD[];
0.839532847	-0.413433428	0.352501629	0_1	 + 1	PD[];
0.243243789	-0.313529555	-0.917895243	2_1s|2_1m	 - A^(-10) + A^(-6) + A^(-4)	PD[X[2,1,3,0],X[1,4,2,3]];
-0.909479702	-0.414204452	-0.0357958619	2_1s|2_1m	 - A^(-10) + A^(-6) + A^(-4)	PD[X[0,5,1,4],X[3,2,4,1],X[2,6,3,5]];
0.251104833	0.14082228	-0.957661448	0_1	 + 1	PD[];
