#projection.x	projection.y	projection.z	knotoid_type	polynomial	PD_code
-0.223814328	-0.46142491	-0.858483662	2_1s|2_1m	 - A^(-10) + A^(-6) + A^(-4)	PD[X[0,3,1,2],X[3,2,4,1]];
-0.556616663	-0.745069382	0.367490826	0_1	 + 1	PD[];
-0.382377987	-0.87234847	0.304623083	0_1	 + 1	PD[];
-0.946252447	-0.323351256	0.00709029147	0_1	 + 1	PD[];
0.674937057	0.309196701	-0.669968185	0_1	 + 1	PD[];
-0.76419289	-0.369568588	-0.528609766	2_1s|2_1m	 - A^(-10) + A^(-6) + A^(-4)	PD[X[0,3,1,2],X[3,2,4,1]];
-0.708005245	-0.424795886	-0.564160463	2_1s|2_1m	 - A^(-10) + A^(-6) + A^(-4)	PD[X[0,3,1,2],X[3,2,4,1]];
0.713589221	-0.578181658	-0.395596251	2_1s|2_1m	 - A^(-10) + A^(-6) + A^(-4)	PD[X[2,1,3,0],X[1,4,2,3]];
0.404734409	0.0942226358	-0.909567014	0_1	 + 1	PD[];
0.0771551842	-0.818709116	-0.569001284	2_1s|2_1m	 - A^(-10) + A^(-6) + A^(-4)	PD[X[0,3,1,2],X[3,2,4,1]];
-0.596818214	0.802372591	0.00249897316	2_1s|2_1m	 - A^(-10) + A^(-6) + A^(-4)	PD[X[0,3,1,2],X[3,2,4,1]];
0.314326972	-0.94675489	-0.069668741	0_1	 + 1	PD[X[2,1,3,0],X[3,1,4,2]];
0.714634372	0.522759688	-0.464779543	0_1	 + 1	PD[];
-0.493536995	-0.671382473	-0.552871422	2_1s|2_1m	 - A^(-10) + A^(-6) + A^(-4)	PD[X[0,3,1,2],X[3,2,4,1]];
0.778369569	0.213485109	-0.59039387	0_1	 + 1	PD[];
-0.625474048	0.0615279392	-0.777815227	2_1s|2_1m	 - A^(-10) + A^(-6) + A^(-4)	PD[X[2,0,3,1],X[3,2,4,1],X[4,7,5,6],X[7,6,8,5]];
0.969391506	-0.084926382	-0.230364096	3_2|3_2ms	 + A^(-8) - A^(-4) - A^(-2) + 1 + A^(2)	PD[X[4,0,5,1],X[7,2,8,1],X[2,7,3,6],X[5,4,6,3]];
0.943275309	-0.187416556	-0.274056063	2_1s|2_1m	 - A^(-10) + A^(-6) + A^(-4)	PD[X[2,1,3,0],X[1,4,2,3]];
-0.548703929	-0.826889327	-0.123199182	0_1	 + 1	PD[];
-0.38163647	0.811988133	0.441620739	2_1s|2_1m	 - A^(-10) + A^(-6) + A^(-4)	PD[X[2,1,3,0],X[1,4,2,3]];
0.937699057	-0.347442797	-0.00199539494	2_1s|2_1m	 - A^(-10) + A^(-6) + A^(-4)	PD[X[2,1,3,0],X[1,4,2,3]];
0.377219392	-0.0373796481	-0.925369273	0_1	 + 1	PD[];
0.0756017332	0.997127799	0.00453104358	0_1	 + 1	PD[];
-0.371742238	-0.375940599	-0.848808797	2_1s|2_1m	 - A^(-10) + A^(-6) + A^(-4)	PD[X[0,3,1,2],X[3,2,4,1]];
-0.358553378	0.617470411	-0.700121251	2_1s|2_1m	 - A^(-10) + A^(-6) + A^(-4)	PD[X[0,3,1,2],X[3,2,4,1]];
-0.345322186	-0.634682686	-0.691325159	2_1s|2_1m	 - A^(-10) + A^(-6) + A^(-4)	PD[X[0,3,1,2],X[3,2,4,1]];
0.391696143	0.0433859351	0.919071157	2_1s|2_1m	 - A^(-10) + A^(-6) + A^(-4)	PD[X[2,1,3,0],X[1,4,2,3]];
0.893177178	0.272753354	0.357547392	2_1s*2_1s|2_1m*2_1s|2_1m*2_1m|6_25s|6_25m	 + A^(-20) - 2*A^(-16) - 2*A^(-14) + A^(-12) + 2*A^(-10) + A^(-8)	PD[X[0,3,1,2],X[3,2,4,1],X[6,5,7,4],X[5,8,6,7]];
-0.775957601	0.604101806	-0.181523575	0_1	 + 1	PD[];
0.66651775	-0.480187468	-0.570240374	0_1	 + 1	PD[X[2,0,3,1],X[3,2,4,1]];
-0.64921794	-0.386496935	-0.655084869	2_1s|2_1m	 - A^(-10) + A^(-6) + A^(-4)	PD[X[0,3,1,2],X[3,2,4,1]];
0.772621104	0.223216644	0.594332364	2_1s|2_1m	 - A^(-10) + A^(-6) + A^(-4)	PD[X[2,1,3,0],X[1,4,2,3]];
-0.831206216	0.283619801	0.478179919	0_1	 + 1	PD[];
0.247485091	-0.957849419	0.145861647	0_1	 + 1	PD[X[2,1,3,0],X[3,1,4,2]];
-0.132890537	0.624301404	-0.769797286	2_1|2_1ms	 + A^(4) + A^(6) - A^(10)	PD[X[0,6,1,5],X[3,1,4,2],X[2,7,3,8],X[4,6,5,7]];
0.825754889	-0.544345264	0.147706115	2_1s|2_1m	 - A^(-10) + A^(-6) + A^(-4)	PD[X[2,1,3,0],X[1,4,2,3]];
0.321296328	-0.569747988	0.756409876	2_1s|2_1m	 - A^(-10) + A^(-6) + A^(-4)	PD[X[3,1,4,0],X[5,2,6,1],X[2,5,3,4]];
0.668076964	0.130780839	-0.732509073	0_1	 + 1	PD[X[0,3,1,2],X[1,3,2,4]];
0.9824439	-0.103269894	0.155368311	0_1	 + 1	PD[];
-0.141797909	-0.202294224	0.96900485	0_1	 + 1	PD[];
-0.488621643	-0.782505892	-0.385918928	2_1s|2_1m	 - A^(-10) + A^(-6) + A^(-4)	PD[X[0,3,1,2],X[3,2,4,1]];
-0.524998456	0.395697964	0.753524879	0_1	 + 1	PD[];
-0.109103932	-0.0435485096	0.993075958	4_2s|4_2m|6_30s|6_30m	 - A^(-12) - A^(-10) + A^(-8) + 2*A^(-6) + A^(-4) - A^(-2)	PD[X[4,1,5,0],X[6,2,7,1],X[2,8,3,7],X[5,3,6,4]];
0.67990525	0.0534703819	0.731347913	2_1s|2_1m	 - A^(-10) + A^(-6) + A^(-4)	PD[X[2,1,3,0],X[1,4,2,3]];
0.835814577	0.344970533	0.427094047	2_1s|2_1m	 - A^(-10) + A^(-6) + A^(-4)	PD[X[2,1,3,0],X[1,4,2,3]];
-0.783379352	0.615858365	-0.0838764883	2_1s|2_1m	 - A^(-10) + A^(-6) + A^(-4)	PD[X[0,3,1,2],X[3,2,4,1]];
-0.980736892	-0.188154757	-0.0524684233	0_1	 + 1	PD[X[2,1,3,0],X[3,1,4,2]];
-0.927366894	-0.32350347	-0.187979118	0_1	 + 1	PD[];
0.438741071	0.727009899	-0.528169366	0_1	 + 1	PD[];
0.425732799	-0.87723442	0.221836327	0_1	 + 1	PD[X[2,1,3,0],X[3,1,4,2]];
0.925269117	0.282816136	-0.252768856	0_1	 + 1	PD[];
-0.762311442	0.477090117	0.437340012	0_1	 + 1	PD[];
0.0286734181	-0.13520622	0.990402501	2_1s|2_1m	 - A^(-10) + A^(-6) + A^(-4)	PD[X[2,1,3,0],X[1,4,2,3]];
-0.0688010356	-0.470557978	0.879682674	3_2|3_2ms	 + A^(-8) - A^(-4) - A^(-2) + 1 + A^(2)	PD[X[0,3,1,4],X[5,2,6,1],X[2,5,3,4]];
0.690103551	0.33250996	0.642801848	2_1s|2_1m	 - A^(-10) + A^(-6) + A^(-4)	PD[X[2,1,3,0],X[1,4,2,3]];
0.991302847	0.0987211927	-0.087021789	2_1|2_1ms	 + A^(4) + A^(6) - A^(10)	PD[X[2,0,3,1],X[1,3,2,4]];
-0.10912735	-0.87895874	0.464244283	0_1	 + 1	PD[];
0.921250546	-0.302965664	-0.243945152	0_1	 + 1	PD[];
0.284190205	0.958099569	-0.0357930707	0_1	 + 1	PD[];
