#projection.x	projection.y	projection.z	knotoid_type	polynomial	PD_code
-0.0379580272	-0.915061535	-0.401524066	0_1	 + 1	PD[];
0.790453925	-0.241142554	0.563056712	4_8s|4_8m	 - A^(-18) + A^(-14) + A^(-12) - A^(-10) - A^(-8) + A^(-6) + A^(-4)	PD[X[6,1,7,0],X[5,8,6,9],X[1,8,2,7],X[9,4,10,3],X[2,5,3,4]];
-0.86761043	-0.494816075	-0.0490835411	2_1|2_1ms	 + A^(4) + A^(6) - A^(10)	PD[X[0,2,1,3],X[3,1,4,2]];
-0.422420983	-0.856322271	0.297107189	0_1	 + 1	PD[];
-0.0865009924	-0.513984936	0.85342666	2_1s|2_1m	 - A^(-10) + A^(-6) + A^(-4)	PD[X[2,1,3,0],X[1,4,2,3]];
-0.776189871	-0.325350421	0.540070724	5_6s|5_6m	 - A^(-10) + A^(-8) + 2*A^(-6) - 2*A^(-2) - 1 + A^(2) + A^(4)	PD[X[0,4,1,3],X[8,1,9,2],X[2,7,3,8],X[4,7,5,6],X[9,6,10,5]];
0.270318795	-0.86889825	-0.414660801	0_1	 + 1	PD[];
-0.767298555	-0.63024796	0.118492349	2_1s|2_1m	 - A^(-10) + A^(-6) + A^(-4)	PD[X[0,5,1,4],X[3,2,4,1],X[2,6,3,5]];
0.29725114	0.682754913	0.667448491	0_1	 + 1	PD[];
0.0663762844	-0.508763893	-0.858343457	0_1	 + 1	PD[];
0.417533802	0.59690952	-0.685101853	2_1s|2_1m	 - A^(-10) + A^(-6) + A^(-4)	PD[X[0,3,1,2],X[3,2,4,1]];
-0.863056325	-0.505073973	-0.00583619205	2_1|2_1ms	 + A^(4) + A^(6) - A^(10)	PD[X[0,2,1,3],X[3,1,4,2]];
0.78353064	0.345228727	0.516620618	0_1	 + 1	PD[];
-0.861251329	0.147169453	0.486402405	0_1	 + 1	PD[];
-0.592878834	-0.548318663	-0.589780749	0_1	 + 1	PD[];
0.143511749	-0.317592923	-0.937304173	0_1	 + 1	PD[];
0.775402316	0.586680422	0.233575108	0_1	 + 1	PD[];
-0.827238206	-0.547977945	0.12408514	2_1*2_1s|2_1s*2_1ms|2_1*2_1m|2_1m*2_1ms|6_19|6_19ms|6_19s|6_19m	 - A^(-6) - A^(-4) + A^(-2) + 3 + A^(2) - A^(4) - A^(6)	PD[X[5,1,6,0],X[1,3,2,4],X[7,2,8,3],X[4,7,5,6]];
0.929078895	0.101705251	-0.355624026	0_1	 + 1	PD[];
-0.617920445	0.529810179	0.580926414	0_1	 + 1	PD[X[2,1,3,0],X[3,1,4,2]];
-0.0406912492	-0.98473501	-0.169237058	0_1	 + 1	PD[];
0.469172466	0.12930215	-0.873589235	0_1	 + 1	PD[];
0.59978522	0.310608694	0.737414354	0_1	 + 1	PD[];
0.366954946	0.799552062	-0.475458271	2_1s|2_1m	 - A^(-10) + A^(-6) + A^(-4)	PD[X[0,3,1,2],X[3,2,4,1]];
0.850867362	-0.124212741	-0.510485972	0_1	 + 1	PD[X[0,3,1,2],X[1,3,2,4]];
0.748502834	-0.646930775	-0.145684867	0_1	 + 1	PD[];
0.588316926	0.703374694	0.398932619	0_1	 + 1	PD[];
-0.561799852	-0.55559966	0.612935514	0_1	 + 1	PD[];
-0.221040436	-0.931621043	-0.288484588	0_1	 + 1	PD[];
-0.236211475	0.851845822	0.467507042	0_1	 + 1	PD[];
0.519852916	-0.528804976	-0.67090852	0_1	 + 1	PD[X[0,3,1,2],X[1,3,2,4]];
-0.251604736	-0.0262279989	0.967474625	2_1|2_1ms	 + A^(4) + A^(6) - A^(10)	PD[X[2,0,3,1],X[1,3,2,4]];
