#projection.x	projection.y	projection.z	knotoid_type	polynomial	PD_code
0.211007275	0.77962414	0.589628807	0_1	 + 1	PD[];
0.0545452697	0.979461429	0.194113686	0_1	 + 1	PD[];
-0.778554968	0.435540428	0.451837025	0_1	 + 1	PD[];
0.542190727	-0.19700914	0.816833285	0_1	 + 1	PD[];
0.674921206	-0.692136798	0.255789012	0_1	 + 1	PD[];
-0.269759822	0.704413275	0.656529951	0_1	 + 1	PD[];
0.00515174587	0.636647196	-0.771137995	0_1	 + 1	PD[];
-0.136008183	0.981396223	0.135510989	0_1	 + 1	PD[];
-0.229585954	0.639764107	-0.7334795	0_1	 + 1	PD[];
-0.784866304	0.618159386	-0.0431724302	0_1	 + 1	PD[];
-0.41091633	0.289760681	-0.864399513	0_1	 + 1	PD[];
0.463029502	-0.647746134	0.605002997	0_1	 + 1	PD[X[2,0,3,1],X[3,2,4,1]];
0.762999491	0.646382967	0.00456475327	0_1	 + 1	PD[];
0.509039574	0.277570622	0.814759634	0_1	 + 1	PD[];
-0.245884676	0.868085967	0.431239469	0_1	 + 1	PD[];
0.765969552	-0.577958278	0.281522421	0_1	 + 1	PD[];
-0.616631467	-0.692485673	0.37447193	0_1	 + 1	PD[];
-0.246929482	-0.437991537	-0.86440109	0_1	 + 1	PD[];
-0.928183044	0.358653147	0.0992177278	0_1	 + 1	PD[];
-0.480861691	-0.231519523	-0.845677684	0_1	 + 1	PD[];
-0.370454224	0.8727356	0.317956349	0_1	 + 1	PD[];
-0.938777723	0.314575744	0.140493733	0_1	 + 1	PD[];
-0.975905039	0.191440186	-0.104690063	0_1	 + 1	PD[];
-0.661275988	0.326421737	-0.67539834	0_1	 + 1	PD[];
0.501014857	0.785095437	-0.364155554	0_1	 + 1	PD[];
0.44800699	-0.241276508	0.860857354	0_1	 + 1	PD[];
0.721814584	-0.409794817	0.557720284	0_1	 + 1	PD[];
-0.889517512	0.0388671395	0.455244924	0_1	 + 1	PD[];
-0.557580355	0.826738224	0.0748869604	0_1	 + 1	PD[];
-0.437591566	0.746450307	-0.501323808	0_1	 + 1	PD[];
0.541860059	-0.767995163	0.34142511	0_1	 + 1	PD[];
-0.500331271	-0.13900411	-0.85460311	0_1	 + 1	PD[];
0.601409292	-0.469239944	-0.646622562	0_1	 + 1	PD[];
0.860040589	-0.481545044	0.168655139	0_1	 + 1	PD[];
0.586065289	-0.47196232	0.658619044	0_1	 + 1	PD[];
0.805631002	-0.491559978	0.330647057	0_1	 + 1	PD[];
-0.69783531	0.662442976	-0.272387927	0_1	 + 1	PD[];
-0.548316201	0.755563486	-0.35843153	0_1	 + 1	PD[];
-0.547047727	0.808876934	-0.215538607	0_1	 + 1	PD[X[0,3,1,2],X[1,3,2,4]];
-0.313372827	-0.737756626	0.5979236	0_1	 + 1	PD[];
-0.828053676	0.55549796	-0.0758229923	0_1	 + 1	PD[];
-0.923611191	0.014603261	-0.383052363	0_1	 + 1	PD[];
-0.041853546	0.644530953	-0.763431812	0_1	 + 1	PD[];
0.906144975	-0.0519317805	-0.419767047	0_1	 + 1	PD[];
-0.158398894	0.745394329	-0.647531532	0_1	 + 1	PD[];
-0.887746912	0.246526735	-0.388754407	0_1	 + 1	PD[];
0.683358272	-0.51602035	-0.516473108	0_1	 + 1	PD[];
