#projection.x	projection.y	projection.z	knotoid_type	polynomial	PD_code
0.141262047	0.448889489	-0.882350985	0_1	 + 1	PD[];
-0.642887497	-0.254430144	0.722468662	0_1	 + 1	PD[];
-0.0368219094	0.210495505	0.976901115	0_1	 + 1	PD[];
0.905670865	-0.154253291	-0.394925571	0_1	 + 1	PD[];
0.778102773	-0.565912796	-0.272578028	0_1	 + 1	PD[];
-0.181316427	0.820527761	0.542087213	0_1	 + 1	PD[];
-0.866780177	-0.348869574	0.356345541	0_1	 + 1	PD[];
0.687983774	-0.237821046	0.685652592	2_1s|2_1m	 - A^(-10) + A^(-6) + A^(-4)	PD[X[2,1,3,0],X[1,4,2,3]];
0.197477873	0.167051279	0.96596913	0_1	 + 1	PD[];
0.166456768	-0.938793895	-0.301592716	0_1	 + 1	PD[];
0.703693099	0.591455844	-0.393695322	0_1	 + 1	PD[];
-0.439340444	0.389554639	0.809461029	0_1	 + 1	PD[];
0.352258377	0.765238732	0.538816962	0_1	 + 1	PD[];
-0.109812451	-0.2881827	-0.951258092	0_1	 + 1	PD[];
0.830377316	-0.47177258	-0.296486334	0_1	 + 1	PD[];
-0.752504926	-0.55821902	0.349467971	0_1	 + 1	PD[];
-0.0738552433	-0.325476677	-0.942661305	0_1	 + 1	PD[];
-0.519955919	0.815911935	0.252850861	0_1	 + 1	PD[];
-0.535458041	0.843141248	-0.0489644897	2_1s|2_1m	 - A^(-10) + A^(-6) + A^(-4)	PD[X[0,3,1,2],X[3,2,4,1]];
-0.392286019	0.725887132	-0.564977479	2_1s|2_1m	 - A^(-10) + A^(-6) + A^(-4)	PD[X[0,3,1,2],X[3,2,4,1]];
-0.456669331	0.886363632	-0.0762406364	2_1s|2_1m	 - A^(-10) + A^(-6) + A^(-4)	PD[X[0,3,1,2],X[3,2,4,1]];
0.887996986	-0.352649502	-0.29512655	0_1	 + 1	PD[];
0.966031625	-0.247703091	-0.0736619211	0_1	 + 1	PD[];
-0.0264123656	-0.998449272	0.0490044798	0_1	 + 1	PD[];
-0.286165692	0.334948204	0.897729858	0_1	 + 1	PD[];
-0.693546611	0.611013488	-0.381648551	2_1s|2_1m	 - A^(-10) + A^(-6) + A^(-4)	PD[X[0,3,1,2],X[3,2,4,1]];
0.549491489	0.136144205	-0.824332371	0_1	 + 1	PD[];
0.798732716	-0.6001077	0.0435522385	0_1	 + 1	PD[];
0.918368093	-0.144533973	-0.368388351	0_1	 + 1	PD[];
-0.482297011	0.446806643	0.753494139	0_1	 + 1	PD[];
0.928038083	0.352629103	0.119991804	0_1	 + 1	PD[];
0.797071498	0.391592905	0.459708629	0_1	 + 1	PD[];
-0.114828173	0.041983599	0.992497792	0_1	 + 1	PD[];
-0.921941707	7.36269082e-06	-0.387328657	0_1	 + 1	PD[];
0.220249511	0.950968231	-0.21713953	0_1	 + 1	PD[];
0.5097314	-0.049571837	-0.858904263	0_1	 + 1	PD[];
0.716560077	0.541797564	0.439314301	0_1	 + 1	PD[X[0,3,1,2],X[1,3,2,4]];
0.83443841	0.488086955	0.255897761	0_1	 + 1	PD[];
0.519637105	-0.575962403	-0.631066232	0_1	 + 1	PD[];
0.193470153	0.5710498	-0.797791593	0_1	 + 1	PD[];
0.602409109	-0.776265902	-0.185780824	0_1	 + 1	PD[];
-0.301003788	-0.922689936	-0.240914925	0_1	 + 1	PD[];
0.136356695	0.657305598	0.741185674	0_1	 + 1	PD[];
0.019015757	0.989143335	0.145718438	0_1	 + 1	PD[];
0.891606332	0.330810935	0.309196173	0_1	 + 1	PD[];
0.0234486834	0.228016685	0.973374825	0_1	 + 1	PD[];
0.613223355	-0.471517335	0.633741682	2_1s|2_1m	 - A^(-10) + A^(-6) + A^(-4)	PD[X[2,1,3,0],X[1,4,2,3]];
-0.0960787604	-0.945158404	0.312160956	0_1	 + 1	PD[];
-0.0338853259	-0.658772513	0.751578712	0_1	 + 1	PD[];
-0.772924476	0.546241727	-0.322812221	0_1	 + 1	PD[];
-0.588324303	-0.737351995	0.331943594	0_1	 + 1	PD[];
-0.506048855	-0.564563042	-0.652060678	2_1s|2_1m	 - A^(-10) + A^(-6) + A^(-4)	PD[X[0,3,1,2],X[3,2,4,1]];
-0.909040486	0.207687979	0.361263196	0_1	 + 1	PD[];
-0.779715614	-0.577213416	0.242627769	0_1	 + 1	PD[];
-0.278763507	-0.956118511	0.0901570865	0_1	 + 1	PD[];
0.130960464	-0.792385014	-0.595798075	0_1	 + 1	PD[];
-0.778597774	-0.625775734	0.0467999666	0_1	 + 1	PD[];
-0.214856212	0.49578478	-0.841447717	2_1s|2_1m	 - A^(-10) + A^(-6) + A^(-4)	PD[X[0,4,1,3],X[1,6,2,5],X[4,3,5,2]];
-0.569006643	-0.715723328	0.404934017	0_1	 + 1	PD[];
0.718642271	-0.655811666	-0.231223582	0_1	 + 1	PD[];
-0.542475449	0.83421347	0.0990367248	0_1	 + 1	PD[];
0.540837186	-0.254862249	0.80158616	2_1s|2_1m	 - A^(-10) + A^(-6) + A^(-4)	PD[X[2,1,3,0],X[1,4,2,3]];
-0.332027167	0.659087458	0.674804922	0_1	 + 1	PD[];
-0.0848337933	-0.402879048	0.911313173	0_1	 + 1	PD[];
0.838267224	-0.512572091	0.185951372	0_1	 + 1	PD[];
