#projection.x	projection.y	projection.z	knotoid_type	polynomial	PD_code
0.0520903856	-0.971632433	-0.230688115	0_1	 + 1	PD[];
0.474975492	-0.689437935	-0.546876235	0_1	 + 1	PD[];
-0.243540429	0.368513506	0.89715431	2_1s|2_1m	 - A^(-10) + A^(-6) + A^(-4)	PD[X[0,4,1,3],X[1,6,2,5],X[4,3,5,2]];
-0.166904662	-0.0995146701	0.980938155	3_1m	 - A^(-16) + A^(-12) + A^(-4)	PD[X[5,1,6,0],X[1,5,2,4],X[2,8,3,7],X[6,4,7,3]];
-0.664264267	-0.093884782	0.741578473	3_1m	 - A^(-16) + A^(-12) + A^(-4)	PD[X[0,4,1,3],X[4,2,5,1],X[2,6,3,5]];
0.00374888135	-0.178605083	0.983913701	3_1m	 - A^(-16) + A^(-12) + A^(-4)	PD[X[0,4,1,3],X[4,2,5,1],X[2,6,3,5]];
0.896715486	0.0502615321	-0.439744376	3_1m	 - A^(-16) + A^(-12) + A^(-4)	PD[X[3,1,4,0],X[1,5,2,4],X[5,3,6,2]];
0.937788432	0.314613122	-0.146872192	3_1m	 - A^(-16) + A^(-12) + A^(-4)	PD[X[0,4,1,3],X[4,2,5,1],X[2,6,3,5]];
-0.196395217	-0.951579385	-0.236485926	0_1	 + 1	PD[];
0.153920545	-0.34970953	0.92412754	2_1s|2_1m	 - A^(-10) + A^(-6) + A^(-4)	PD[X[2,1,3,0],X[1,4,2,3]];
0.399455467	0.844535144	-0.35664509	2_1s|2_1m	 - A^(-10) + A^(-6) + A^(-4)	PD[X[0,5,1,4],X[3,2,4,1],X[2,6,3,5]];
-0.527602267	0.719882379	-0.451004665	0_1	 + 1	PD[];
0.405820312	-0.686745901	0.603067112	0_1	 + 1	PD[];
0.845263576	-0.496155695	-0.19839106	2_1s|2_1m	 - A^(-10) + A^(-6) + A^(-4)	PD[X[0,3,1,2],X[3,2,4,1]];
0.0239331075	0.957958977	-0.285905239	0_1	 + 1	PD[];
0.912232275	0.300013593	-0.278969747	3_1m	 - A^(-16) + A^(-12) + A^(-4)	PD[X[3,1,4,0],X[1,5,2,4],X[5,3,6,2]];
0.2469821	0.559634311	0.791081083	2_1s|2_1m	 - A^(-10) + A^(-6) + A^(-4)	PD[X[0,4,1,3],X[1,6,2,5],X[4,3,5,2]];
0.758022436	-0.269885322	0.593770915	0_1	 + 1	PD[];
0.862210372	-0.247518479	-0.441959134	3_1m	 - A^(-16) + A^(-12) + A^(-4)	PD[X[0,4,1,3],X[4,2,5,1],X[2,6,3,5]];
0.583707286	-0.445639493	0.6787424	0_1	 + 1	PD[];
-0.582815928	0.786319648	-0.205004893	0_1	 + 1	PD[];
0.977845211	0.135545756	0.159518312	2_1s|2_1m	 - A^(-10) + A^(-6) + A^(-4)	PD[X[0,3,1,2],X[3,2,4,1]];
-0.303995762	-0.942356164	0.139826451	2_1s|2_1m	 - A^(-10) + A^(-6) + A^(-4)	PD[X[0,3,1,2],X[3,2,4,1]];
0.594914205	0.579011315	0.55751501	3_1m	 - A^(-16) + A^(-12) + A^(-4)	PD[X[3,1,4,0],X[1,5,2,4],X[5,3,6,2]];
-0.10352709	-0.128342603	0.986311471	3_1m	 - A^(-16) + A^(-12) + A^(-4)	PD[X[5,1,6,0],X[1,5,2,4],X[2,8,3,7],X[6,4,7,3]];
0.860844234	-0.507281136	0.0401628404	2_1s|2_1m	 - A^(-10) + A^(-6) + A^(-4)	PD[X[0,3,1,2],X[3,2,4,1]];
-0.273431548	-0.704715923	-0.65468363	2_1s|2_1m	 - A^(-10) + A^(-6) + A^(-4)	PD[X[2,1,3,0],X[1,4,2,3]];
0.690613474	-0.642879252	-0.331299408	0_1	 + 1	PD[];
0.716857842	-0.147343632	0.681472442	0_1	 + 1	PD[];
0.864750018	-0.452866368	-0.217070171	2_1s|2_1m	 - A^(-10) + A^(-6) + A^(-4)	PD[X[0,4,1,3],X[1,6,2,5],X[4,3,5,2]];
-0.832047096	0.546176904	0.0968938554	2_1s|2_1m	 - A^(-10) + A^(-6) + A^(-4)	PD[X[3,1,4,0],X[5,2,6,1],X[2,5,3,4]];
0.489247406	-0.830854528	-0.265174904	0_1	 + 1	PD[];
0.625193873	-0.734762385	-0.263166981	0_1	 + 1	PD[];
0.280616499	0.929363922	-0.239868884	2_1s|2_1m	 - A^(-10) + A^(-6) + A^(-4)	PD[X[2,1,3,0],X[1,4,2,3]];
0.502191646	0.491327459	-0.711618492	3_1m	 - A^(-16) + A^(-12) + A^(-4)	PD[X[3,1,4,0],X[1,5,2,4],X[5,3,6,2]];
-0.751903146	0.270051052	-0.601426711	0_1	 + 1	PD[];
0.166756114	0.930626321	0.325771468	0_1	 + 1	PD[];
-0.229377024	0.332031229	-0.91495434	2_1s|2_1m	 - A^(-10) + A^(-6) + A^(-4)	PD[X[0,3,1,2],X[3,2,4,1]];
-0.0582507126	0.547083113	-0.835049054	2_1s|2_1m	 - A^(-10) + A^(-6) + A^(-4)	PD[X[0,3,1,2],X[3,2,4,1]];
0.390660751	0.539387113	0.745952894	2_1s|2_1m	 - A^(-10) + A^(-6) + A^(-4)	PD[X[0,3,1,2],X[3,2,4,1]];
0.597425217	-0.785890908	0.159557481	0_1	 + 1	PD[];
0.987099319	0.155366424	0.0386808598	2_1s|2_1m	 - A^(-10) + A^(-6) + A^(-4)	PD[X[0,3,1,2],X[3,2,4,1]];
0.633802851	-0.309901832	-0.708699373	2_1s|2_1m	 - A^(-10) + A^(-6) + A^(-4)	PD[X[3,1,4,0],X[5,2,6,1],X[2,5,3,4]];
0.512240942	-0.8270008	0.231687061	0_1	 + 1	PD[];
-0.472346017	-0.34864388	0.809528681	3_1m	 - A^(-16) + A^(-12) + A^(-4)	PD[X[0,4,1,3],X[4,2,5,1],X[2,6,3,5]];
-0.975563914	-0.201800708	-0.0868994985	2_1s|2_1m	 - A^(-10) + A^(-6) + A^(-4)	PD[X[2,1,3,0],X[1,4,2,3]];
0.732827119	0.525940537	-0.431683873	3_1m	 - A^(-16) + A^(-12) + A^(-4)	PD[X[3,1,4,0],X[1,5,2,4],X[5,3,6,2]];
0.0768615854	0.659907746	0.747404886	2_1s|2_1m	 - A^(-10) + A^(-6) + A^(-4)	PD[X[0,4,1,3],X[1,6,2,5],X[4,3,5,2]];
0.854803625	-0.223444778	0.468383596	0_1	 + 1	PD[];
0.902390222	0.424875057	0.0719240732	2_1s|2_1m	 - A^(-10) + A^(-6) + A^(-4)	PD[X[0,3,1,2],X[3,2,4,1]];
-0.79311916	-0.0415083812	-0.607650436	2_1s|2_1m	 - A^(-10) + A^(-6) + A^(-4)	PD[X[2,1,3,0],X[1,4,2,3]];
-0.357537498	-0.785732438	0.504768732	3_1m	 - A^(-16) + A^(-12) + A^(-4)	PD[X[0,4,1,3],X[4,2,5,1],X[2,6,3,5]];
0.720900661	-0.586849118	0.368660209	0_1	 + 1	PD[];
0.811500153	-0.580998781	-0.062513337	0_1	 + 1	PD[];
-0.923801645	0.342262165	0.171601662	2_1s|2_1m	 - A^(-10) + A^(-6) + A^(-4)	PD[X[2,1,3,0],X[1,4,2,3]];
-0.0672466576	-0.825350028	0.56060255	2_1s|2_1m	 - A^(-10) + A^(-6) + A^(-4)	PD[X[0,3,1,2],X[3,2,4,1]];
0.136163947	-0.716748224	-0.683908885	2_1s|2_1m	 - A^(-10) + A^(-6) + A^(-4)	PD[X[2,1,3,0],X[1,4,2,3]];
-0.619156457	-0.768466558	-0.161568658	2_1s|2_1m	 - A^(-10) + A^(-6) + A^(-4)	PD[X[0,3,1,2],X[3,2,4,1]];
0.113793139	-0.925453218	0.361368875	0_1	 + 1	PD[];
-0.0730111054	-0.980129038	0.184435481	0_1	 + 1	PD[];
-0.162135408	-0.731060017	0.662769463	3_1m	 - A^(-16) + A^(-12) + A^(-4)	PD[X[0,4,1,3],X[4,2,5,1],X[2,6,3,5]];
0.74328678	0.179481534	-0.644446384	3_1m	 - A^(-16) + A^(-12) + A^(-4)	PD[X[3,1,4,0],X[1,5,2,4],X[5,3,6,2]];
-0.240421584	0.949386533	0.202145179	0_1	 + 1	PD[];
-0.124290323	0.975149376	0.183400136	0_1	 + 1	PD[];
0.247783734	-0.628816926	-0.737015939	2_1s|2_1m	 - A^(-10) + A^(-6) + A^(-4)	PD[X[3,1,4,0],X[5,2,6,1],X[2,5,3,4]];
-0.377664844	0.842944534	-0.383162861	0_1	 + 1	PD[];
-0.400292263	0.666749491	0.62865827	2_1s|2_1m	 - A^(-10) + A^(-6) + A^(-4)	PD[X[0,3,1,2],X[3,2,4,1]];
-0.534157236	0.733447906	-0.420392931	0_1	 + 1	PD[];
0.527614409	-0.84540963	0.0830998984	0_1	 + 1	PD[];
-0.833712456	-0.488617465	-0.257247961	3_1m	 - A^(-16) + A^(-12) + A^(-4)	PD[X[0,4,1,3],X[4,2,5,1],X[2,6,3,5]];
-0.635274644	-0.0559697355	-0.770255487	0_1	 + 1	PD[];
0.243393753	0.969868528	0.010701376	2_1s|2_1m	 - A^(-10) + A^(-6) + A^(-4)	PD[X[2,1,3,0],X[1,4,2,3]];
-0.775195475	0.23089509	-0.588013123	0_1	 + 1	PD[];
