#projection.x	projection.y	projection.z	knotoid_type	polynomial	PD_code
-0.163225303	0.708757128	0.686309576	2_1s|2_1m	 - A^(-10) + A^(-6) + A^(-4)	PD[X[3,1,4,0],X[5,2,6,1],X[2,5,3,4]];
-0.148076258	-0.988022141	-0.043424299	2_1s|2_1m	 - A^(-10) + A^(-6) + A^(-4)	PD[X[0,4,1,3],X[1,6,2,5],X[4,3,5,2]];
0.216092881	0.288000488	0.932930644	0_1	 + 1	PD[];
-0.231411725	-0.520936741	-0.821628581	0_1	 + 1	PD[];
0.820450388	0.563149987	-0.0986065613	0_1	 + 1	PD[];
0.937149194	-0.13241574	0.322827293	2_1s|2_1m	 - A^(-10) + A^(-6) + A^(-4)	PD[X[0,3,1,2],X[3,2,4,1]];
-0.188263577	-0.843292427	0.503403126	2_1s|2_1m	 - A^(-10) + A^(-6) + A^(-4)	PD[X[2,1,3,0],X[1,4,2,3]];
-0.386607306	0.227631498	-0.893710631	0_1	 + 1	PD[];
-0.353618003	-0.201358246	-0.913459996	0_1	 + 1	PD[];
0.927639328	0.296108898	-0.227606672	2_1s|2_1m	 - A^(-10) + A^(-6) + A^(-4)	PD[X[3,1,4,0],X[5,2,6,1],X[2,5,3,4]];
-0.554659718	-0.365026941	0.7477352	2_1s|2_1m	 - A^(-10) + A^(-6) + A^(-4)	PD[X[0,3,1,2],X[3,2,4,1]];
-0.04896195	0.973464592	0.223538399	2_1s|2_1m	 - A^(-10) + A^(-6) + A^(-4)	PD[X[3,1,4,0],X[5,2,6,1],X[2,5,3,4]];
0.277832328	-0.651189923	-0.706230049	0_1	 + 1	PD[];
-0.441410225	0.58572939	0.679763264	2_1s|2_1m	 - A^(-10) + A^(-6) + A^(-4)	PD[X[3,1,4,0],X[5,2,6,1],X[2,5,3,4]];
0.195029826	0.445338044	-0.873863487	0_1	 + 1	PD[];
0.00345912203	-0.226926777	0.973905679	0_1	 + 1	PD[];
0.176316507	-0.959555088	-0.219468727	2_1s|2_1m	 - A^(-10) + A^(-6) + A^(-4)	PD[X[0,3,1,2],X[3,2,4,1]];
0.226129823	-0.0510916258	0.972756367	0_1	 + 1	PD[];
0.743787586	0.668243948	0.0151675139	0_1	 + 1	PD[];
0.535241948	0.758216728	-0.372321703	3_1m	 - A^(-16) + A^(-12) + A^(-4)	PD[X[3,1,4,0],X[1,5,2,4],X[5,3,6,2]];
-0.365307802	-0.820339762	0.439991914	3_1m	 - A^(-16) + A^(-12) + A^(-4)	PD[X[3,1,4,0],X[1,5,2,4],X[5,3,6,2]];
-0.173441166	0.109871941	0.978696234	0_1	 + 1	PD[];
0.624397367	0.77627639	-0.0867346209	0_1	 + 1	PD[];
-0.32861239	-0.801072114	-0.500297277	0_1	 + 1	PD[];
0.0768515225	0.722890795	-0.686675136	2_1s|2_1m	 - A^(-10) + A^(-6) + A^(-4)	PD[X[0,3,1,2],X[3,2,4,1]];
0.730460463	0.0668675372	-0.679673631	2_1s|2_1m	 - A^(-10) + A^(-6) + A^(-4)	PD[X[3,1,4,0],X[5,2,6,1],X[2,5,3,4]];
-0.800836544	0.555567465	-0.223619369	3_1m	 - A^(-16) + A^(-12) + A^(-4)	PD[X[0,4,1,3],X[4,2,5,1],X[2,6,3,5]];
0.136849258	-0.967354168	-0.213303059	2_1s|2_1m	 - A^(-10) + A^(-6) + A^(-4)	PD[X[0,3,1,2],X[3,2,4,1]];
-0.705787046	-0.427660706	0.564775146	2_1s|2_1m	 - A^(-10) + A^(-6) + A^(-4)	PD[X[0,4,1,3],X[1,6,2,5],X[4,3,5,2]];
-0.30996721	0.599989208	0.737518325	0_1	 + 1	PD[];
0.728053319	-0.619389539	-0.293760044	3_1m	 - A^(-16) + A^(-12) + A^(-4)	PD[X[3,1,4,0],X[1,5,2,4],X[5,3,6,2]];
0.252508615	0.846272533	0.469107876	0_1	 + 1	PD[];
0.874496306	-0.0639649931	0.480795893	0_1	 + 1	PD[];
0.366657593	0.319565314	0.873750662	0_1	 + 1	PD[];
-0.0106055484	-0.361959572	-0.932133462	0_1	 + 1	PD[];
-0.182411016	0.34669728	-0.920069137	0_1	 + 1	PD[];
0.627764891	0.716242072	0.304809014	0_1	 + 1	PD[];
-0.389129576	0.829097209	0.401467299	3_1m	 - A^(-16) + A^(-12) + A^(-4)	PD[X[3,1,4,0],X[1,5,2,4],X[5,3,6,2]];
-0.224389237	0.969075681	0.102673242	3_1m	 - A^(-16) + A^(-12) + A^(-4)	PD[X[3,1,4,0],X[1,5,2,4],X[5,3,6,2]];
-0.817105024	-0.541295831	-0.198338608	0_1	 + 1	PD[];
-0.0266674313	0.999535223	0.0147711271	2_1s|2_1m	 - A^(-10) + A^(-6) + A^(-4)	PD[X[2,1,3,0],X[1,4,2,3]];
-0.487173055	-0.531081591	0.693263845	2_1s|2_1m	 - A^(-10) + A^(-6) + A^(-4)	PD[X[0,3,1,2],X[3,2,4,1]];
0.362023677	-0.601919113	0.711781033	2_1s|2_1m	 - A^(-10) + A^(-6) + A^(-4)	PD[X[0,5,1,4],X[3,2,4,1],X[2,6,3,5]];
0.0369533445	0.185164608	-0.982012484	0_1	 + 1	PD[];
-0.536012643	0.0187104744	0.844002586	2_1s|2_1m	 - A^(-10) + A^(-6) + A^(-4)	PD[X[0,3,1,2],X[3,2,4,1]];
-0.418829817	0.440427764	-0.794106396	2_1s|2_1m	 - A^(-10) + A^(-6) + A^(-4)	PD[X[0,3,1,2],X[3,2,4,1]];
0.782117402	0.130247662	0.609366816	0_1	 + 1	PD[];
0.909806926	0.402357349	0.101783692	0_1	 + 1	PD[];
