#projection.x	projection.y	projection.z	knotoid_type	polynomial	PD_code
0.538444278	0.726443906	-0.427032799	2_1s|2_1m	 - A^(-10) + A^(-6) + A^(-4)	PD[X[2,1,3,0],X[1,4,2,3]];
-0.335542715	0.822422057	-0.459383334	3_1m	 - A^(-16) + A^(-12) + A^(-4)	PD[X[3,1,4,0],X[1,5,2,4],X[5,3,6,2]];
-0.923083758	-0.358767705	0.138571678	0_1	 + 1	PD[];
0.0685485007	-0.987275494	-0.143485893	3_1m	 - A^(-16) + A^(-12) + A^(-4)	PD[X[0,4,1,3],X[4,2,5,1],X[2,6,3,5]];
-0.740131356	0.235432858	0.62990233	4_6s|4_6m	 - A^(-22) + A^(-18) - A^(-14) + A^(-10) + A^(-8)	PD[X[0,7,1,6],X[7,2,8,1],X[2,9,3,8],X[5,4,6,3],X[4,10,5,9]];
0.478653737	-0.0244705409	-0.877662687	2_1s|2_1m	 - A^(-10) + A^(-6) + A^(-4)	PD[X[2,1,3,0],X[1,4,2,3]];
0.202698221	0.84941878	-0.487238307	2_1s|2_1m	 - A^(-10) + A^(-6) + A^(-4)	PD[X[2,1,3,0],X[1,4,2,3]];
0.439412307	-0.294975929	0.848472761	4_6s|4_6m	 - A^(-22) + A^(-18) - A^(-14) + A^(-10) + A^(-8)	PD[X[5,2,6,1],X[0,7,1,6],X[4,8,5,7],X[8,3,9,2],X[3,10,4,9]];
-0.467303224	0.477669266	0.743948768	3_1m	 - A^(-16) + A^(-12) + A^(-4)	PD[X[3,1,4,0],X[1,5,2,4],X[5,3,6,2]];
-0.923821505	-0.119609679	-0.36365829	2_1s|2_1m	 - A^(-10) + A^(-6) + A^(-4)	PD[X[0,3,1,2],X[3,2,4,1]];
0.708119185	0.703957587	-0.0548719936	2_1s|2_1m	 - A^(-10) + A^(-6) + A^(-4)	PD[X[2,1,3,0],X[1,4,2,3]];
-0.603656659	0.66696384	-0.436758371	3_1m	 - A^(-16) + A^(-12) + A^(-4)	PD[X[3,1,4,0],X[1,5,2,4],X[5,3,6,2]];
0.574983334	0.773346148	0.267076585	0_1	 + 1	PD[];
0.315980342	0.427642345	-0.846922929	3_1m	 - A^(-16) + A^(-12) + A^(-4)	PD[X[3,1,4,0],X[1,5,2,4],X[5,3,6,2]];
0.117551019	-0.814745545	0.567777645	2_1s|2_1m	 - A^(-10) + A^(-6) + A^(-4)	PD[X[0,3,1,2],X[3,2,4,1]];
0.397500142	0.762826822	-0.509989094	4_7|4_7ms	 - A^(-4) + 2 + A^(2) - A^(6)	PD[X[5,1,6,0],X[1,7,2,6],X[2,4,3,5],X[7,3,8,4]];
0.810549628	-0.439686418	0.386891657	6_29s|6_29m	 - A^(-28) + A^(-24) - A^(-20) - A^(-18) + A^(-16) + A^(-14) + A^(-12)	PD[X[6,1,7,0],X[2,10,3,9],X[10,4,11,3],X[8,2,9,1],X[4,12,5,11],X[5,8,6,7]];
-0.765119757	0.172566385	-0.620332653	4_6s|4_6m	 - A^(-22) + A^(-18) - A^(-14) + A^(-10) + A^(-8)	PD[X[1,5,2,4],X[20,9,21,8],X[22,3,23,2],X[3,24,4,23],X[17,11,18,12],X[12,16,13,17],X[0,15,1,14],X[21,19,22,18],X[9,20,10,19],X[7,10,8,11],X[13,6,14,7],X[15,6,16,5]];
-0.586553474	-0.568610282	0.576747232	0_1	 + 1	PD[];
0.393004576	0.817527948	0.420945908	2_1s|2_1m	 - A^(-10) + A^(-6) + A^(-4)	PD[X[2,1,3,0],X[1,4,2,3]];
0.962237098	0.167038313	-0.21493713	3_2|3_2ms	 + A^(-8) - A^(-4) - A^(-2) + 1 + A^(2)	PD[X[3,0,4,1],X[1,6,2,5],X[4,3,5,2]];
0.606974929	0.62677385	0.488606156	3_2|3_2ms	 + A^(-8) - A^(-4) - A^(-2) + 1 + A^(2)	PD[X[3,0,4,1],X[1,6,2,5],X[4,3,5,2]];
0.938860272	-0.286305218	-0.191234701	0_1	 + 1	PD[];
0.951769387	0.0908579246	0.293052678	2_1s|2_1m	 - A^(-10) + A^(-6) + A^(-4)	PD[X[2,1,3,0],X[1,4,2,3]];
-0.950631141	0.228774513	-0.209672734	4_3s|4_3m	 - A^(-16) - A^(-14) + A^(-12) + A^(-10) + A^(-8)	PD[X[0,6,1,5],X[1,4,2,3],X[7,3,8,2],X[6,5,7,4]];
