#projection.x	projection.y	projection.z	knotoid_type	polynomial	PD_code
-0.736820822	0.592267738	0.32605828	3_1m	 - A^(-16) + A^(-12) + A^(-4)	PD[X[3,1,4,0],X[1,5,2,4],X[5,3,6,2]];
0.586182664	0.467910825	-0.661399535	0_1	 + 1	PD[];
-0.662286902	0.703120242	-0.258839689	4_6s|4_6m	 - A^(-22) + A^(-18) - A^(-14) + A^(-10) + A^(-8)	PD[X[0,7,1,6],X[3,10,4,9],X[8,5,9,4],X[2,6,3,5],X[7,2,8,1]];
0.295034231	-0.931645704	0.212111019	3_1m	 - A^(-16) + A^(-12) + A^(-4)	PD[X[0,4,1,3],X[4,2,5,1],X[2,6,3,5]];
0.265721229	0.789620528	-0.553074724	2_1s|2_1m	 - A^(-10) + A^(-6) + A^(-4)	PD[X[2,1,3,0],X[1,4,2,3]];
-0.340432117	-0.935358051	0.0959754712	2_1s|2_1m	 - A^(-10) + A^(-6) + A^(-4)	PD[X[0,3,1,2],X[3,2,4,1]];
0.402049195	-0.912978231	-0.0694780126	3_1m	 - A^(-16) + A^(-12) + A^(-4)	PD[X[0,4,1,3],X[4,2,5,1],X[2,6,3,5]];
0.846036395	0.502484961	-0.178132764	0_1	 + 1	PD[];
0.765313064	0.559612344	-0.318009337	0_1	 + 1	PD[];
-0.67585523	-0.427662393	-0.600270427	2_1s|2_1m	 - A^(-10) + A^(-6) + A^(-4)	PD[X[0,3,1,2],X[3,2,4,1]];
0.314291585	-0.459709979	0.830594688	3_1m	 - A^(-16) + A^(-12) + A^(-4)	PD[X[0,4,1,3],X[4,2,5,1],X[2,6,3,5]];
-0.894246158	-0.101192793	-0.43598604	4_8s|4_8m	 - A^(-18) + A^(-14) + A^(-12) - A^(-10) - A^(-8) + A^(-6) + A^(-4)	PD[X[3,8,4,7],X[8,3,9,2],X[1,4,2,5],X[0,7,1,6],X[9,6,10,5]];
0.0906697117	0.354915003	0.930491453	2_1s|2_1m	 - A^(-10) + A^(-6) + A^(-4)	PD[X[0,3,1,2],X[3,2,4,1]];
0.541283151	0.0717088554	-0.837777053	0_1	 + 1	PD[];
0.0833433507	-0.272604557	-0.958509594	4_6s|4_6m	 - A^(-22) + A^(-18) - A^(-14) + A^(-10) + A^(-8)	PD[X[6,1,7,0],X[1,8,2,7],X[8,3,9,2],X[3,6,4,5],X[9,5,10,4]];
