#projection.x	projection.y	projection.z	knotoid_type	polynomial	PD_code
0.211854132	-0.40041047	0.891509552	0_1	 + 1	PD[];
0.238421413	-0.342518346	0.908755419	0_1	 + 1	PD[];
0.507851492	0.860559278	-0.0390460179	2_1s|2_1m	 - A^(-10) + A^(-6) + A^(-4)	PD[X[2,1,3,0],X[1,4,2,3]];
-0.441321136	0.174001846	-0.880317564	0_1	 + 1	PD[];
-0.179483014	-0.974152822	-0.137157308	2_1s|2_1m	 - A^(-10) + A^(-6) + A^(-4)	PD[X[0,3,1,2],X[3,2,4,1]];
0.590306421	-0.799632367	-0.110119964	0_1	 + 1	PD[];
0.986523806	0.149430958	0.0666420944	2_1s|2_1m	 - A^(-10) + A^(-6) + A^(-4)	PD[X[2,1,3,0],X[1,4,2,3]];
0.322887418	-0.229776423	-0.918121185	0_1	 + 1	PD[];
-0.537451222	0.661987296	0.522416504	0_1	 + 1	PD[];
0.261330302	-0.96401749	-0.0487519344	0_1	 + 1	PD[];
0.906364625	0.173552274	-0.385204848	0_1	 + 1	PD[];
-0.89822595	0.180720489	0.400662261	0_1	 + 1	PD[X[2,1,3,0],X[3,1,4,2]];
0.895535233	0.367101813	0.251501303	2_1s|2_1m	 - A^(-10) + A^(-6) + A^(-4)	PD[X[2,1,3,0],X[1,4,2,3]];
0.0933490449	-0.726961434	0.68030363	0_1	 + 1	PD[];
-0.0519798208	-0.626027202	0.778066861	0_1	 + 1	PD[];
0.687437177	0.693105085	0.21687662	2_1s|2_1m	 - A^(-10) + A^(-6) + A^(-4)	PD[X[2,1,3,0],X[1,4,2,3]];
-0.960015853	0.13145261	-0.247163456	0_1	 + 1	PD[];
0.720721287	0.692949951	0.0195241221	2_1s|2_1m	 - A^(-10) + A^(-6) + A^(-4)	PD[X[2,1,3,0],X[1,4,2,3]];
-0.483705031	0.751520663	-0.448604654	0_1	 + 1	PD[X[0,3,1,2],X[1,3,2,4]];
0.456035296	0.824850983	0.334144678	2_1s|2_1m	 - A^(-10) + A^(-6) + A^(-4)	PD[X[2,1,3,0],X[1,4,2,3]];
-0.271587822	0.520742298	0.809362412	2_1s|2_1m	 - A^(-10) + A^(-6) + A^(-4)	PD[X[2,1,3,0],X[1,4,2,3]];
0.567265223	-0.619485191	-0.542630873	0_1	 + 1	PD[];
-0.669477699	-0.718383757	0.189008963	2_1s|2_1m	 - A^(-10) + A^(-6) + A^(-4)	PD[X[0,3,1,2],X[3,2,4,1]];
0.354802172	0.906310988	-0.22959924	0_1	 + 1	PD[];
0.92503101	-0.0598733721	-0.375143719	0_1	 + 1	PD[];
-0.573747402	0.474432957	-0.667628106	0_1	 + 1	PD[];
-0.120560282	-0.986938541	0.106852862	0_1	 + 1	PD[];
0.613205428	0.789207148	0.033633016	2_1s|2_1m	 - A^(-10) + A^(-6) + A^(-4)	PD[X[2,1,3,0],X[1,4,2,3]];
0.254639276	0.928064513	-0.271762945	0_1	 + 1	PD[X[0,3,1,2],X[1,3,2,4]];
0.209324988	-0.79553676	-0.568598552	2_1s|2_1m	 - A^(-10) + A^(-6) + A^(-4)	PD[X[0,3,1,2],X[3,2,4,1]];
0.0178674144	0.983390882	-0.180618738	0_1	 + 1	PD[];
-0.631708117	0.601958145	-0.48845803	0_1	 + 1	PD[X[0,3,1,2],X[1,3,2,4]];
0.856733672	0.515743304	-0.00403234037	2_1s|2_1m	 - A^(-10) + A^(-6) + A^(-4)	PD[X[2,1,3,0],X[1,4,2,3]];
0.781028054	-0.59963427	-0.174453206	0_1	 + 1	PD[];
-0.600149543	0.713950144	0.36068784	0_1	 + 1	PD[];
-0.592930463	0.4444077	-0.671517135	0_1	 + 1	PD[];
0.492813515	-0.762509278	-0.419183062	0_1	 + 1	PD[];
-0.71242333	-0.654140754	-0.254072576	2_1s|2_1m	 - A^(-10) + A^(-6) + A^(-4)	PD[X[0,3,1,2],X[3,2,4,1]];
-0.854537754	0.340845706	-0.391904877	0_1	 + 1	PD[];
0.373560389	-0.74933525	0.54676258	0_1	 + 1	PD[X[2,1,3,0],X[3,1,4,2]];
-0.89177362	0.386644645	0.235044099	0_1	 + 1	PD[];
0.63174489	0.433633206	0.642542323	2_1s|2_1m	 - A^(-10) + A^(-6) + A^(-4)	PD[X[2,1,3,0],X[1,4,2,3]];
0.359477195	-0.792434957	0.492770723	0_1	 + 1	PD[X[2,1,3,0],X[3,1,4,2]];
0.161937498	-0.822323967	-0.545490184	2_1s|2_1m	 - A^(-10) + A^(-6) + A^(-4)	PD[X[0,3,1,2],X[3,2,4,1]];
-0.141212448	0.621357247	-0.770697228	0_1	 + 1	PD[];
0.00557596798	0.336435682	0.941689939	0_1	 + 1	PD[];
0.036512774	-0.356289289	-0.933662016	0_1	 + 1	PD[];
-0.23418914	-0.965394398	-0.114756714	2_1s|2_1m	 - A^(-10) + A^(-6) + A^(-4)	PD[X[0,3,1,2],X[3,2,4,1]];
-0.999848179	-0.0123420817	0.0123000699	2_1s|2_1m	 - A^(-10) + A^(-6) + A^(-4)	PD[X[0,3,1,2],X[3,2,4,1]];
0.00610960588	-0.990108407	0.140171377	0_1	 + 1	PD[];
0.386965969	0.309902328	0.868457187	0_1	 + 1	PD[];
0.470731936	0.800962341	0.369960503	2_1s|2_1m	 - A^(-10) + A^(-6) + A^(-4)	PD[X[2,1,3,0],X[1,4,2,3]];
0.102139358	0.972241878	-0.210507203	0_1	 + 1	PD[];
0.807161539	0.139025524	-0.573726549	0_1	 + 1	PD[];
0.893752041	-0.108286716	0.435294471	0_1	 + 1	PD[];
0.201484004	0.725331256	0.658254332	2_1s|2_1m	 - A^(-10) + A^(-6) + A^(-4)	PD[X[2,1,3,0],X[1,4,2,3]];
0.905117998	0.378315034	-0.194008105	0_1	 + 1	PD[];
0.991614854	0.122148808	0.0421859031	2_1s|2_1m	 - A^(-10) + A^(-6) + A^(-4)	PD[X[2,1,3,0],X[1,4,2,3]];
0.0597480889	0.914963944	0.399087893	2_1s|2_1m	 - A^(-10) + A^(-6) + A^(-4)	PD[X[2,1,3,0],X[1,4,2,3]];
-0.616475547	0.389938357	0.684036532	0_1	 + 1	PD[];
0.888002352	-0.438726286	-0.137735506	0_1	 + 1	PD[];
0.337985571	-0.579399223	-0.741661846	2_1s|2_1m	 - A^(-10) + A^(-6) + A^(-4)	PD[X[0,3,1,2],X[3,2,4,1]];
0.011195436	-0.965545477	-0.25999345	0_1	 + 1	PD[];
