#projection.x	projection.y	projection.z	knotoid_type	polynomial	PD_code
0.89722826	0.439420362	0.0434878641	0_1	 + 1	PD[X[2,1,3,0],X[3,1,4,2]];
-0.0959375288	-0.287883566	0.952847859	0_1	 + 1	PD[];
0.218891332	0.9633098	0.155308769	0_1	 + 1	PD[];
-0.882441524	0.177888866	-0.435491111	0_1	 + 1	PD[];
0.675128823	0.111364671	0.729245489	0_1	 + 1	PD[];
-0.0617017862	0.747059757	0.661887157	0_1	 + 1	PD[];
0.943129919	-0.305490259	-0.131078823	0_1	 + 1	PD[];
-0.428267704	-0.563475145	0.706457738	0_1	 + 1	PD[];
-0.388739485	0.0847256851	0.917443824	0_1	 + 1	PD[];
0.868455661	-0.0434983703	-0.493854894	0_1	 + 1	PD[];
-0.0502002172	-0.495692764	0.867045917	0_1	 + 1	PD[];
0.641371585	-0.112100724	0.758996652	0_1	 + 1	PD[];
-0.0360144969	-0.608975259	0.792371182	0_1	 + 1	PD[];
-0.359755701	0.927342544	0.103012822	0_1	 + 1	PD[];
-0.414044563	-0.279139251	-0.866399664	0_1	 + 1	PD[];
0.944696043	-0.250333481	-0.211854986	0_1	 + 1	PD[];
-0.716676454	0.664003887	0.213245628	0_1	 + 1	PD[];
0.777864667	0.372436004	-0.506179793	0_1	 + 1	PD[];
0.0728549663	-0.99733949	-0.00246909121	0_1	 + 1	PD[];
0.505972315	0.839177356	-0.199432651	0_1	 + 1	PD[];
0.9793806	0.109944349	0.169487109	0_1	 + 1	PD[X[2,1,3,0],X[3,1,4,2]];
0.306178421	0.858986059	-0.410362919	0_1	 + 1	PD[];
-0.248223507	-0.775040187	0.581117715	0_1	 + 1	PD[X[2,0,3,1],X[3,2,4,1]];
-0.190690047	0.824186249	0.533248848	0_1	 + 1	PD[];
0.47158208	0.139570889	-0.870706787	0_1	 + 1	PD[];
0.0672762781	-0.317505571	-0.945866859	2_1s|2_1m	 - A^(-10) + A^(-6) + A^(-4)	PD[X[0,3,1,2],X[3,2,4,1]];
0.15937509	0.979823939	0.120601119	0_1	 + 1	PD[];
0.814362703	-0.443525215	-0.374297703	0_1	 + 1	PD[];
0.242264246	-0.896980625	0.369775329	0_1	 + 1	PD[];
-0.763468141	-0.643444999	0.0556321004	0_1	 + 1	PD[];
-0.844760994	-0.243000323	0.47679105	0_1	 + 1	PD[];
0.477652852	0.860098796	-0.179102804	0_1	 + 1	PD[];
-0.673155736	-0.226552892	0.70394257	0_1	 + 1	PD[];
-0.16998659	0.966183899	-0.193889744	0_1	 + 1	PD[];
0.68610799	-0.586033311	0.431069349	0_1	 + 1	PD[];
-0.176375079	0.70116132	0.690843423	0_1	 + 1	PD[];
0.767603614	0.416980733	0.486735823	0_1	 + 1	PD[];
0.847564967	-0.069176988	-0.526163635	0_1	 + 1	PD[];
0.940637506	0.244124767	0.235805387	0_1	 + 1	PD[X[2,1,3,0],X[3,1,4,2]];
-0.963839365	-0.24092081	-0.113889606	0_1	 + 1	PD[X[0,3,1,2],X[1,3,2,4]];
-0.830715669	0.473363173	0.292982566	0_1	 + 1	PD[];
-0.370877239	-0.45855798	-0.807573311	2_1s|2_1m	 - A^(-10) + A^(-6) + A^(-4)	PD[X[0,3,1,2],X[3,2,4,1]];
0.0209928136	0.181708361	0.98312836	0_1	 + 1	PD[];
0.117921964	0.508547321	0.852920883	2_1s|2_1m	 - A^(-10) + A^(-6) + A^(-4)	PD[X[2,1,3,0],X[1,4,2,3]];
0.714616801	-0.52813774	-0.458686553	0_1	 + 1	PD[];
0.248807038	-0.260678668	-0.932813856	0_1	 + 1	PD[];
0.8957619	-0.025786655	-0.443785609	0_1	 + 1	PD[];
0.641314945	-0.572877846	-0.510417589	0_1	 + 1	PD[];
0.570476105	-0.691952401	0.442446481	0_1	 + 1	PD[];
0.076133976	-0.321950499	-0.943690359	2_1s|2_1m	 - A^(-10) + A^(-6) + A^(-4)	PD[X[0,3,1,2],X[3,2,4,1]];
-0.600514948	0.430563688	-0.673792779	0_1	 + 1	PD[];
-0.119699834	-0.862859358	0.491065859	0_1	 + 1	PD[];
-0.850300042	0.170166942	-0.498029166	0_1	 + 1	PD[];
0.482156413	0.0985768601	0.870521565	0_1	 + 1	PD[];
0.193020045	-0.787217972	-0.585688591	0_1	 + 1	PD[];
0.0637858042	0.855920779	0.513157863	0_1	 + 1	PD[];
-0.0933146557	-0.867613071	0.488405501	0_1	 + 1	PD[];
0.261134472	-0.869488862	-0.41928261	0_1	 + 1	PD[];
0.443399269	0.538042682	0.716873183	2_1s|2_1m	 - A^(-10) + A^(-6) + A^(-4)	PD[X[2,1,3,0],X[1,4,2,3]];
0.00403332724	-0.940764641	0.339036315	0_1	 + 1	PD[];
0.0162113281	0.678124416	-0.73476831	0_1	 + 1	PD[];
-0.00308666861	0.666178028	0.745786368	0_1	 + 1	PD[];
0.542317711	0.417202432	0.729269244	2_1s|2_1m	 - A^(-10) + A^(-6) + A^(-4)	PD[X[2,1,3,0],X[1,4,2,3]];
-0.197843327	-0.792804362	0.576471389	0_1	 + 1	PD[X[2,0,3,1],X[3,2,4,1]];
0.799431984	0.352534338	-0.486444287	0_1	 + 1	PD[];
0.0396577183	0.995392105	0.0873030555	0_1	 + 1	PD[];
-0.695448165	-0.702701693	0.150207127	0_1	 + 1	PD[];
-0.0326553675	-0.915626008	-0.400702683	0_1	 + 1	PD[];
-0.503620336	-0.446817737	0.739405483	0_1	 + 1	PD[];
0.813788473	-0.534808077	-0.227439317	0_1	 + 1	PD[];
-0.631707545	-0.769592801	0.0931262444	0_1	 + 1	PD[];
-0.214570122	-0.976430812	-0.0232923138	0_1	 + 1	PD[];
-0.450087742	-0.763928923	0.46242148	0_1	 + 1	PD[];
0.462063534	0.814644501	-0.350501965	0_1	 + 1	PD[];
0.33281535	-0.935642182	-0.117505959	0_1	 + 1	PD[];
0.864496094	-0.3444995	-0.366014478	0_1	 + 1	PD[];
-0.831493151	-0.34301368	-0.436990566	0_1	 + 1	PD[];
0.783395906	-0.603803045	-0.147352422	0_1	 + 1	PD[];
0.752459849	-0.146650965	-0.642104096	0_1	 + 1	PD[];
-0.818108891	-0.387707009	0.424712982	0_1	 + 1	PD[];
-0.741289303	-0.513765462	0.431897232	0_1	 + 1	PD[];
0.792817953	0.601078174	-0.100721011	0_1	 + 1	PD[];
0.149708154	-0.985694077	-0.0774251595	0_1	 + 1	PD[];
-0.697903095	-0.020757829	0.71589132	0_1	 + 1	PD[];
0.660213139	0.154256241	-0.735067088	0_1	 + 1	PD[];
0.94887277	-0.301953084	-0.0920043574	0_1	 + 1	PD[];
-0.652938391	0.584461079	0.481743401	0_1	 + 1	PD[];
0.157775865	-0.338162796	0.927767589	0_1	 + 1	PD[];
-0.480043959	0.219638489	-0.849303674	0_1	 + 1	PD[];
0.946755352	-0.193553558	-0.257276745	0_1	 + 1	PD[];
-0.0838250456	0.896462542	-0.435118689	0_1	 + 1	PD[];
0.694325724	0.0876180728	-0.71430726	0_1	 + 1	PD[];
-0.24801802	0.966558252	-0.0652089422	0_1	 + 1	PD[];
-0.414292265	-0.867241075	0.276142785	0_1	 + 1	PD[];
0.735611326	-0.589581855	0.333570402	0_1	 + 1	PD[];
0.256698025	-0.133439787	-0.957235576	0_1	 + 1	PD[];
-0.0858058883	0.305024604	-0.948471054	0_1	 + 1	PD[];
0.57923961	0.798144033	0.165673099	0_1	 + 1	PD[];
0.975162112	-0.0868024051	-0.20377487	0_1	 + 1	PD[];
0.345608129	0.336847948	-0.875835876	0_1	 + 1	PD[];
0.174115757	-0.95360101	-0.24561925	0_1	 + 1	PD[];
-0.0382867497	-0.917133107	0.396737934	0_1	 + 1	PD[];
-0.423768971	-0.347180893	0.836591469	0_1	 + 1	PD[];
-0.269303825	-0.954326649	-0.129368066	0_1	 + 1	PD[];
-0.0243404849	-0.855147528	-0.517812946	0_1	 + 1	PD[];
-0.0967541888	-0.966584715	0.237387058	0_1	 + 1	PD[];
0.45392562	-0.678325235	0.577777125	0_1	 + 1	PD[];
-0.97084647	0.0133092101	0.239332397	0_1	 + 1	PD[];
-0.745709825	0.54038652	0.389742563	2_1s|2_1m	 - A^(-10) + A^(-6) + A^(-4)	PD[X[2,1,3,0],X[1,4,2,3]];
-0.127370617	-0.991269072	0.0340932892	0_1	 + 1	PD[];
-0.444394553	0.400641223	0.801249082	0_1	 + 1	PD[];
0.801700415	0.468409041	0.37130771	0_1	 + 1	PD[];
-0.77779512	0.394907189	-0.488961208	0_1	 + 1	PD[];
0.293635822	0.647888759	0.702864254	2_1s|2_1m	 - A^(-10) + A^(-6) + A^(-4)	PD[X[2,1,3,0],X[1,4,2,3]];
-0.978007581	-0.0518179174	0.202029887	0_1	 + 1	PD[];
0.395932019	0.799030697	-0.45253484	0_1	 + 1	PD[];
0.196006529	-0.418486625	0.886820379	0_1	 + 1	PD[];
-0.677210187	-0.724280884	-0.129628562	0_1	 + 1	PD[];
-0.709992165	0.261850193	-0.65371676	0_1	 + 1	PD[];
