#projection.x	projection.y	projection.z	knotoid_type	polynomial	PD_code
-0.172935287	0.591099971	0.787841489	2_1s|2_1m	 - A^(-10) + A^(-6) + A^(-4)	PD[X[2,1,3,0],X[1,4,2,3]];
-0.0985682688	0.502639471	-0.858858462	0_1	 + 1	PD[];
-0.367279592	0.0555297744	-0.928451477	0_1	 + 1	PD[];
-0.99655913	0.0752277831	0.0347948321	3_1m	 - A^(-16) + A^(-12) + A^(-4)	PD[X[0,4,1,3],X[4,2,5,1],X[2,6,3,5]];
0.515320264	-0.155679844	-0.842738875	2_1s|2_1m	 - A^(-10) + A^(-6) + A^(-4)	PD[X[0,3,1,2],X[3,2,4,1]];
-0.680728902	-0.403673584	0.611273916	0_1	 + 1	PD[];
-0.290265219	-0.159420903	-0.943573568	0_1	 + 1	PD[];
-0.31529022	0.568878055	0.759585306	2_1s|2_1m	 - A^(-10) + A^(-6) + A^(-4)	PD[X[2,1,3,0],X[1,4,2,3]];
0.837608899	-0.296986852	0.458486796	3_1m	 - A^(-16) + A^(-12) + A^(-4)	PD[X[3,1,4,0],X[1,5,2,4],X[5,3,6,2]];
0.812943008	-0.446374029	-0.373997182	3_1m	 - A^(-16) + A^(-12) + A^(-4)	PD[X[0,4,1,3],X[4,2,5,1],X[2,6,3,5]];
0.431757737	-0.0502708119	-0.900587643	0_1	 + 1	PD[];
-0.0095765997	0.666228424	-0.745686245	0_1	 + 1	PD[];
-0.89920997	0.0197687679	-0.437070503	3_1m	 - A^(-16) + A^(-12) + A^(-4)	PD[X[0,4,1,3],X[4,2,5,1],X[2,6,3,5]];
0.163753118	-0.317493297	-0.934014413	0_1	 + 1	PD[];
0.145586065	0.602568794	0.78467544	2_1s|2_1m	 - A^(-10) + A^(-6) + A^(-4)	PD[X[2,1,3,0],X[1,4,2,3]];
-0.651747899	-0.355700292	-0.669852206	0_1	 + 1	PD[];
0.223245746	0.626664215	0.746627952	2_1s|2_1m	 - A^(-10) + A^(-6) + A^(-4)	PD[X[0,5,1,4],X[3,2,4,1],X[2,6,3,5]];
-0.347472037	-0.45490594	0.819953516	0_1	 + 1	PD[];
0.874401394	0.460466491	-0.152947091	0_1	 + 1	PD[];
