#projection.x	projection.y	projection.z	knotoid_type	polynomial	PD_code
0.878676959	-0.469756542	0.0851797638	0_1	 + 1	PD[];
-0.294432572	-0.497674383	-0.815861305	3_1m	 - A^(-16) + A^(-12) + A^(-4)	PD[X[3,1,4,0],X[1,5,2,4],X[5,3,6,2]];
0.932831469	-0.359539399	0.0235980954	0_1	 + 1	PD[];
-0.877164823	0.285904172	-0.385798754	2_1s|2_1m	 - A^(-10) + A^(-6) + A^(-4)	PD[X[0,4,1,3],X[1,6,2,5],X[4,3,5,2]];
-0.478912616	0.869698895	-0.119442612	3_1m	 - A^(-16) + A^(-12) + A^(-4)	PD[X[3,1,4,0],X[1,5,2,4],X[5,3,6,2]];
-0.672180224	0.21433963	-0.708683476	2_1s|2_1m	 - A^(-10) + A^(-6) + A^(-4)	PD[X[0,3,1,2],X[3,2,4,1]];
0.810263929	-0.283433449	-0.512969634	0_1	 + 1	PD[];
0.59223196	0.588962558	-0.549894909	2_1s|2_1m	 - A^(-10) + A^(-6) + A^(-4)	PD[X[0,5,1,4],X[3,2,4,1],X[2,6,3,5]];
0.825009184	-0.461732845	-0.325826068	0_1	 + 1	PD[];
-0.739217845	0.587663221	0.328951236	0_1	 + 1	PD[];
-0.110396538	0.993758621	0.0160127347	3_1m	 - A^(-16) + A^(-12) + A^(-4)	PD[X[3,1,4,0],X[1,5,2,4],X[5,3,6,2]];
0.636501045	0.51591171	-0.573324975	0_1	 + 1	PD[];
-0.203254135	-0.00928386493	0.979082002	0_1	 + 1	PD[];
0.134260007	0.983171076	-0.123890618	3_1m	 - A^(-16) + A^(-12) + A^(-4)	PD[X[3,1,4,0],X[1,5,2,4],X[5,3,6,2]];
0.0130567379	-0.465831256	0.884777239	0_1	 + 1	PD[];
0.0211413885	-0.779038107	-0.626620037	2_1s|2_1m	 - A^(-10) + A^(-6) + A^(-4)	PD[X[2,1,3,0],X[1,4,2,3]];
-0.31607528	-0.933536987	0.169130454	3_1m	 - A^(-16) + A^(-12) + A^(-4)	PD[X[0,4,1,3],X[4,2,5,1],X[2,6,3,5]];
0.503869273	0.5220476	-0.688172986	2_1s|2_1m	 - A^(-10) + A^(-6) + A^(-4)	PD[X[2,1,3,0],X[1,4,2,3]];
0.986510456	0.115629871	-0.115874297	0_1	 + 1	PD[];
0.837572813	-0.40237216	0.369551658	2_1s|2_1m	 - A^(-10) + A^(-6) + A^(-4)	PD[X[3,1,4,0],X[5,2,6,1],X[2,5,3,4]];
-0.162493767	0.531101969	0.831580708	2_1s|2_1m	 - A^(-10) + A^(-6) + A^(-4)	PD[X[0,4,1,3],X[1,6,2,5],X[4,3,5,2]];
-0.612310219	0.592099056	0.523922612	0_1	 + 1	PD[];
-0.579070629	0.429655664	-0.692873161	2_1s|2_1m	 - A^(-10) + A^(-6) + A^(-4)	PD[X[0,3,1,2],X[3,2,4,1]];
0.543675404	0.725308641	0.422308455	3_1m	 - A^(-16) + A^(-12) + A^(-4)	PD[X[3,1,4,0],X[1,5,2,4],X[5,3,6,2]];
0.283503594	-0.158826117	-0.945727221	0_1	 + 1	PD[];
0.529772094	-0.825264044	0.19565476	3_1m	 - A^(-16) + A^(-12) + A^(-4)	PD[X[0,4,1,3],X[4,2,5,1],X[2,6,3,5]];
-0.813570776	0.356261908	-0.459543302	2_1s|2_1m	 - A^(-10) + A^(-6) + A^(-4)	PD[X[0,4,1,3],X[1,6,2,5],X[4,3,5,2]];
0.208727581	-0.957888344	-0.19718701	2_1s|2_1m	 - A^(-10) + A^(-6) + A^(-4)	PD[X[2,1,3,0],X[1,4,2,3]];
-0.882253833	0.43718179	0.174643227	0_1	 + 1	PD[];
0.563192251	-0.653115192	0.506216391	3_1m	 - A^(-16) + A^(-12) + A^(-4)	PD[X[0,4,1,3],X[4,2,5,1],X[2,6,3,5]];
0.557799023	0.619730044	-0.552082351	2_1s|2_1m	 - A^(-10) + A^(-6) + A^(-4)	PD[X[0,5,1,4],X[3,2,4,1],X[2,6,3,5]];
