#projection.x	projection.y	projection.z	knotoid_type	polynomial	PD_code
-0.602780835	-0.658881577	-0.450033702	3_1m	 - A^(-16) + A^(-12) + A^(-4)	PD[X[3,1,4,0],X[1,5,2,4],X[5,3,6,2]];
0.797751261	0.0960772164	-0.595283205	0_1	 + 1	PD[];
0.841038959	-0.0174199485	0.540694013	2_1s|2_1m	 - A^(-10) + A^(-6) + A^(-4)	PD[X[2,1,3,0],X[1,4,2,3]];
-0.633310498	0.123949929	-0.763907212	0_1	 + 1	PD[];
-0.193978709	-0.394352398	0.898252997	0_1	 + 1	PD[];
0.369878206	0.821374349	-0.434205357	2_1s|2_1m	 - A^(-10) + A^(-6) + A^(-4)	PD[X[2,1,3,0],X[1,4,2,3]];
-0.157849175	-0.736066544	-0.658247431	3_1m	 - A^(-16) + A^(-12) + A^(-4)	PD[X[0,6,1,5],X[4,2,5,1],X[7,3,8,2],X[3,7,4,6]];
0.922474488	0.246773214	0.296890214	2_1s|2_1m	 - A^(-10) + A^(-6) + A^(-4)	PD[X[0,4,1,3],X[1,6,2,5],X[4,3,5,2]];
0.607934284	0.775877043	-0.168614116	3_1m	 - A^(-16) + A^(-12) + A^(-4)	PD[X[3,1,4,0],X[1,5,2,4],X[5,3,6,2]];
0.675562644	-0.711934358	-0.191740928	2_1s|2_1m	 - A^(-10) + A^(-6) + A^(-4)	PD[X[2,1,3,0],X[1,4,2,3]];
-0.707810427	-0.346362638	0.615660071	0_1	 + 1	PD[];
-0.678846865	0.668660695	0.303413594	0_1	 + 1	PD[];
0.426272432	0.69703716	0.576568305	3_1m	 - A^(-16) + A^(-12) + A^(-4)	PD[X[0,4,1,3],X[4,2,5,1],X[2,6,3,5]];
0.332482883	0.885221085	0.325328699	3_1m	 - A^(-16) + A^(-12) + A^(-4)	PD[X[0,6,1,5],X[4,2,5,1],X[7,3,8,2],X[3,7,4,6]];
0.741496495	-0.633955605	-0.219734474	0_1	 + 1	PD[];
-0.713984104	-0.560083272	-0.420158813	2_1s|2_1m	 - A^(-10) + A^(-6) + A^(-4)	PD[X[3,1,4,0],X[5,2,6,1],X[2,5,3,4]];
0.797243673	-0.489417094	0.353374353	0_1	 + 1	PD[];
0.720358463	-0.527897698	0.449897438	0_1	 + 1	PD[];
0.0371889089	0.812046244	-0.582406974	2_1s|2_1m	 - A^(-10) + A^(-6) + A^(-4)	PD[X[2,1,3,0],X[1,4,2,3]];
0.443617463	-0.809221209	-0.385181232	2_1s|2_1m	 - A^(-10) + A^(-6) + A^(-4)	PD[X[2,1,3,0],X[1,4,2,3]];
0.176589227	0.957268618	0.229026283	3_1m	 - A^(-16) + A^(-12) + A^(-4)	PD[X[0,6,1,5],X[4,2,5,1],X[7,3,8,2],X[3,7,4,6]];
0.178323899	-0.181563493	0.967075636	0_1	 + 1	PD[];
-0.731869241	0.361172418	0.577859756	0_1	 + 1	PD[];
-0.460458902	0.577593252	0.674065008	0_1	 + 1	PD[];
-0.0299765469	-0.214681862	-0.976223901	0_1	 + 1	PD[];
-0.319607095	0.57069417	0.756412235	0_1	 + 1	PD[];
-0.616514293	-0.717056271	0.325177537	2_1s|2_1m	 - A^(-10) + A^(-6) + A^(-4)	PD[X[0,4,1,3],X[1,6,2,5],X[4,3,5,2]];
-0.364322439	-0.44285033	0.819239126	0_1	 + 1	PD[];
-0.952534968	0.0887185737	0.291214956	2_1s|2_1m	 - A^(-10) + A^(-6) + A^(-4)	PD[X[2,1,3,0],X[1,4,2,3]];
-0.967075495	-0.0476999987	-0.249979394	2_1s|2_1m	 - A^(-10) + A^(-6) + A^(-4)	PD[X[3,1,4,0],X[5,2,6,1],X[2,5,3,4]];
0.304859451	-0.827787842	0.470986202	0_1	 + 1	PD[];
-0.714721398	0.120344841	0.688977824	0_1	 + 1	PD[];
-0.344367713	0.302355697	0.888814891	0_1	 + 1	PD[];
0.622422411	-0.548203687	-0.558626046	0_1	 + 1	PD[];
0.492541824	-0.867718452	-0.0668374156	0_1	 + 1	PD[];
-0.83279386	-0.395713089	-0.387124706	2_1s|2_1m	 - A^(-10) + A^(-6) + A^(-4)	PD[X[3,1,4,0],X[5,2,6,1],X[2,5,3,4]];
-0.126100393	0.779069346	-0.614125106	2_1s|2_1m	 - A^(-10) + A^(-6) + A^(-4)	PD[X[2,1,3,0],X[1,4,2,3]];
-0.461105987	0.517926736	0.720508962	0_1	 + 1	PD[];
-0.591327364	-0.668091463	-0.451647812	3_1m	 - A^(-16) + A^(-12) + A^(-4)	PD[X[3,1,4,0],X[1,5,2,4],X[5,3,6,2]];
-0.136361105	0.40781006	0.902827007	0_1	 + 1	PD[];
-0.979691222	0.161782545	-0.118454704	2_1s|2_1m	 - A^(-10) + A^(-6) + A^(-4)	PD[X[3,1,4,0],X[5,2,6,1],X[2,5,3,4]];
0.19473989	0.95123504	0.239224319	3_1m	 - A^(-16) + A^(-12) + A^(-4)	PD[X[0,6,1,5],X[4,2,5,1],X[7,3,8,2],X[3,7,4,6]];
0.191300237	-0.128533173	0.973079361	0_1	 + 1	PD[];
-0.391589191	0.717768236	-0.575731417	0_1	 + 1	PD[];
0.416968226	0.289881514	0.861455865	0_1	 + 1	PD[];
-0.676404452	0.708005834	0.202989546	2_1s|2_1m	 - A^(-10) + A^(-6) + A^(-4)	PD[X[0,3,1,2],X[3,2,4,1]];
0.40091429	-0.902216621	-0.158974532	2_1s|2_1m	 - A^(-10) + A^(-6) + A^(-4)	PD[X[4,1,5,0],X[1,4,2,3],X[5,3,6,2]];
