#projection.x	projection.y	projection.z	knotoid_type	polynomial	PD_code
-0.998851206	-0.0313485688	-0.0362427286	0_1	 + 1	PD[];
-0.822237145	0.395632021	-0.409147138	3_2|3_2ms	 + A^(-8) - A^(-4) - A^(-2) + 1 + A^(2)	PD[X[3,0,4,1],X[1,6,2,5],X[4,3,5,2]];
0.316484989	-0.718939098	-0.61884071	2_1s|2_1m	 - A^(-10) + A^(-6) + A^(-4)	PD[X[2,1,3,0],X[1,4,2,3]];
-0.519729961	0.404691236	0.752400008	3_1m	 - A^(-16) + A^(-12) + A^(-4)	PD[X[3,1,4,0],X[1,5,2,4],X[5,3,6,2]];
-0.417034629	0.031068086	-0.908359451	0_1	 + 1	PD[];
0.926243434	-0.365911989	-0.0904517421	2_1s|2_1m	 - A^(-10) + A^(-6) + A^(-4)	PD[X[0,3,1,2],X[3,2,4,1]];
-0.35960951	0.0322650387	0.932544888	2_1s|2_1m	 - A^(-10) + A^(-6) + A^(-4)	PD[X[4,1,5,0],X[1,4,2,3],X[5,3,6,2]];
-0.171043444	0.530571553	-0.83020357	2_1s|2_1m	 - A^(-10) + A^(-6) + A^(-4)	PD[X[2,1,3,0],X[1,4,2,3]];
-0.35461809	-0.934467934	0.0318699055	2_1s|2_1m	 - A^(-10) + A^(-6) + A^(-4)	PD[X[0,3,1,2],X[3,2,4,1]];
-0.155414038	0.898034594	0.411558435	3_1m	 - A^(-16) + A^(-12) + A^(-4)	PD[X[0,4,1,3],X[4,2,5,1],X[2,6,3,5]];
-0.612591956	-0.318896642	0.723212297	2_1s|2_1m	 - A^(-10) + A^(-6) + A^(-4)	PD[X[4,1,5,0],X[1,4,2,3],X[5,3,6,2]];
0.805836957	0.525374253	0.273145918	0_1	 + 1	PD[];
0.904946689	0.152262127	0.397350897	2_1s|2_1m	 - A^(-10) + A^(-6) + A^(-4)	PD[X[0,3,1,2],X[3,2,4,1]];
-0.857898001	-0.406833683	-0.313842913	0_1	 + 1	PD[];
-0.470469746	-0.698940507	0.53864681	6_29s|6_29m	 - A^(-28) + A^(-24) - A^(-20) - A^(-18) + A^(-16) + A^(-14) + A^(-12)	PD[X[0,7,1,6],X[1,9,2,8],X[9,3,10,2],X[3,11,4,10],X[11,5,12,4],X[7,6,8,5]];
-0.0568967414	0.357886435	0.932030075	0_1	 + 1	PD[];
-0.287797311	-0.738978388	-0.609166356	0_1	 + 1	PD[];
0.887841749	0.395479587	0.235229517	0_1	 + 1	PD[];
0.216058896	-0.237709191	0.947002056	0_1	 + 1	PD[];
0.273683509	0.694919483	-0.66496936	4_6s|4_6m	 - A^(-22) + A^(-18) - A^(-14) + A^(-10) + A^(-8)	PD[X[5,1,6,0],X[7,2,8,1],X[2,9,3,8],X[9,4,10,3],X[4,7,5,6]];
-0.893793984	-0.418143582	-0.162136546	0_1	 + 1	PD[];
0.594370853	0.719466351	0.359293	0_1	 + 1	PD[];
0.570877221	0.508364481	0.644720679	0_1	 + 1	PD[];
0.652869138	-0.397411786	0.644845533	2_1s|2_1m	 - A^(-10) + A^(-6) + A^(-4)	PD[X[0,3,1,2],X[3,2,4,1]];
-0.865936679	-0.203301923	0.456970454	3_1m	 - A^(-16) + A^(-12) + A^(-4)	PD[X[3,1,4,0],X[1,5,2,4],X[5,3,6,2]];
-0.432336147	-0.858558707	0.275612778	2_1s|2_1m	 - A^(-10) + A^(-6) + A^(-4)	PD[X[4,3,5,2],X[1,6,2,5],X[0,4,1,3]];
-0.30886691	0.904164482	-0.295106459	UNKNOWN	 - A^(-30) + 3*A^(-26) - 5*A^(-22) - 3*A^(-20) + 5*A^(-18) + 5*A^(-16) - 2*A^(-14) - 4*A^(-12) + 3*A^(-8) + A^(-6) - A^(-2)	PD[X[12,10,13,9],X[13,5,14,6],X[18,16,19,17],X[3,23,4,22],X[23,5,24,4],X[17,1,18,0],X[6,14,7,15],X[8,20,9,19],X[15,2,16,1],X[21,11,22,10],X[11,21,12,20],X[7,3,8,2]];
-0.330228919	-0.583480487	-0.741956456	0_1	 + 1	PD[];
-0.506407554	0.456686029	0.7314296	3_1m	 - A^(-16) + A^(-12) + A^(-4)	PD[X[3,1,4,0],X[1,5,2,4],X[5,3,6,2]];
-0.143933758	0.424466071	0.893930438	2_1s|2_1m	 - A^(-10) + A^(-6) + A^(-4)	PD[X[0,3,1,2],X[3,2,4,1]];
-0.857386671	-0.512409296	-0.0482162805	0_1	 + 1	PD[];
0.0965240919	0.974992686	0.200180822	2_1s|2_1m	 - A^(-10) + A^(-6) + A^(-4)	PD[X[0,3,1,2],X[3,2,4,1]];
-0.964647568	0.263509608	-0.00421385467	0_1	 + 1	PD[];
0.870288702	0.491775966	0.0274585877	0_1	 + 1	PD[];
-0.367369571	0.705219106	-0.606387344	0_1	 + 1	PD[];
0.935043711	-0.353564747	0.026176862	0_1	 + 1	PD[];
0.234789649	-0.152113913	-0.960070403	0_1	 + 1	PD[];
0.0617441492	0.835632449	-0.545807722	4_6s|4_6m	 - A^(-22) + A^(-18) - A^(-14) + A^(-10) + A^(-8)	PD[X[5,1,6,0],X[7,2,8,1],X[2,9,3,8],X[9,4,10,3],X[4,7,5,6]];
-0.502746314	0.862685139	-0.0549590327	3_1m	 - A^(-16) + A^(-12) + A^(-4)	PD[X[3,1,4,0],X[1,5,2,4],X[5,3,6,2]];
-0.953241293	0.302208472	0.00103778671	0_1	 + 1	PD[];
0.562754995	0.440953403	0.699190183	0_1	 + 1	PD[];
0.848611163	-0.525970304	0.0566950999	0_1	 + 1	PD[];
-0.159993588	0.535158243	-0.8294623	2_1s|2_1m	 - A^(-10) + A^(-6) + A^(-4)	PD[X[0,5,1,4],X[3,2,4,1],X[2,6,3,5]];
