#projection.x	projection.y	projection.z	knotoid_type	polynomial	PD_code
-0.267634005	0.603127548	-0.751404818	0_1	 + 1	PD[];
-0.399571875	0.428985659	-0.810131854	0_1	 + 1	PD[];
-0.999413173	0.0341442391	-0.0027351412	2_1s|2_1m	 - A^(-10) + A^(-6) + A^(-4)	PD[X[2,1,3,0],X[1,4,2,3]];
0.0793459531	0.630299569	0.772286652	0_1	 + 1	PD[];
0.990504634	-0.109830905	0.0826906441	2_1s|2_1m	 - A^(-10) + A^(-6) + A^(-4)	PD[X[0,3,1,2],X[3,2,4,1]];
-0.564303154	0.823764684	0.0545316096	0_1	 + 1	PD[];
0.141754711	0.787822472	-0.599367462	0_1	 + 1	PD[];
-0.395075883	-0.594785587	-0.700103673	0_1	 + 1	PD[];
0.964827364	-0.220066669	0.143801318	2_1s|2_1m	 - A^(-10) + A^(-6) + A^(-4)	PD[X[0,3,1,2],X[3,2,4,1]];
-0.622497875	0.742364003	0.247774256	0_1	 + 1	PD[];
0.349681794	-0.936527905	-0.0252611642	0_1	 + 1	PD[];
0.366861815	-0.357070528	-0.859018653	0_1	 + 1	PD[];
-0.596861042	-0.363517303	-0.715270625	0_1	 + 1	PD[];
0.891212446	0.373861313	-0.256842548	0_1	 + 1	PD[];
0.810222936	0.3075164	-0.4989714	0_1	 + 1	PD[];
0.512666718	-0.191433505	-0.836974342	0_1	 + 1	PD[];
0.0417778771	0.7790135	-0.62561376	0_1	 + 1	PD[];
-0.39543843	0.561235323	0.727078648	0_1	 + 1	PD[];
-0.933138026	-0.345278025	-0.100182382	2_1s|2_1m	 - A^(-10) + A^(-6) + A^(-4)	PD[X[3,1,4,0],X[5,2,6,1],X[2,5,3,4]];
0.756294909	-0.492928851	0.430161783	0_1	 + 1	PD[];
-0.0119820746	-0.640483091	-0.767878792	0_1	 + 1	PD[];
-0.916816097	0.0333498891	0.397914601	2_1s|2_1m	 - A^(-10) + A^(-6) + A^(-4)	PD[X[2,1,3,0],X[1,4,2,3]];
0.773899034	-0.612177182	-0.162232497	0_1	 + 1	PD[];
-0.904835519	0.228130839	-0.359484358	0_1	 + 1	PD[];
-0.753747279	0.0334145522	0.656314336	2_1s|2_1m	 - A^(-10) + A^(-6) + A^(-4)	PD[X[2,1,3,0],X[1,4,2,3]];
-0.415093933	0.523947078	0.743758352	0_1	 + 1	PD[];
0.702021306	0.106584838	-0.704134759	0_1	 + 1	PD[];
0.677051248	-0.345308685	-0.649895007	0_1	 + 1	PD[];
0.730220996	-0.0753123387	-0.679047383	2_1s|2_1m	 - A^(-10) + A^(-6) + A^(-4)	PD[X[0,3,1,2],X[3,2,4,1]];
-0.826096154	-0.330156586	0.456685639	0_1	 + 1	PD[];
-0.940478418	-0.287603725	-0.181064746	0_1	 + 1	PD[];
0.535308643	-0.843415434	0.045771847	0_1	 + 1	PD[];
-0.256544159	-0.242630864	0.935582898	0_1	 + 1	PD[];
-0.33527459	0.526640331	-0.78117918	0_1	 + 1	PD[];
0.483534606	0.862854937	0.147226504	0_1	 + 1	PD[];
0.306796923	-0.362729645	0.879944801	0_1	 + 1	PD[];
0.848374738	0.310162057	-0.429021914	0_1	 + 1	PD[];
0.821929155	-0.508972239	-0.255694591	2_1s|2_1m	 - A^(-10) + A^(-6) + A^(-4)	PD[X[0,3,1,2],X[3,2,4,1]];
-0.003291122	0.416147754	0.909291051	0_1	 + 1	PD[];
0.862481049	0.293269777	0.412455183	0_1	 + 1	PD[];
-0.369595507	0.550801943	-0.748342422	0_1	 + 1	PD[];
-0.668185957	-0.271119011	-0.692836206	0_1	 + 1	PD[];
-0.495356672	0.350423172	0.794874435	0_1	 + 1	PD[];
-0.288620212	0.855778194	0.429350738	0_1	 + 1	PD[];
-0.970086349	0.153955222	-0.187697269	2_1s|2_1m	 - A^(-10) + A^(-6) + A^(-4)	PD[X[2,1,3,0],X[1,4,2,3]];
