#projection.x	projection.y	projection.z	knotoid_type	polynomial	PD_code
-0.431057234	-0.902247813	0.0117705092	2_1s|2_1m	 - A^(-10) + A^(-6) + A^(-4)	PD[X[0,3,1,2],X[3,2,4,1]];
-0.434580396	0.342915438	-0.832795822	0_1	 + 1	PD[];
-0.354789321	0.483228666	0.800384029	0_1	 + 1	PD[];
0.883871119	0.376664898	-0.277300197	3_1m	 - A^(-16) + A^(-12) + A^(-4)	PD[X[0,4,1,3],X[4,2,5,1],X[2,6,3,5]];
0.414335633	-0.599282984	-0.68497145	0_1	 + 1	PD[];
0.58167258	0.671933314	-0.45843498	3_1m	 - A^(-16) + A^(-12) + A^(-4)	PD[X[0,4,1,3],X[4,2,5,1],X[2,6,3,5]];
0.271785766	0.526654769	0.805460894	3_2|3_2ms	 + A^(-8) - A^(-4) - A^(-2) + 1 + A^(2)	PD[X[3,0,4,1],X[5,2,6,1],X[2,7,3,6],X[4,7,5,8]];
0.516589873	0.540182427	0.664332634	3_2|3_2ms	 + A^(-8) - A^(-4) - A^(-2) + 1 + A^(2)	PD[X[3,0,4,1],X[1,6,2,5],X[4,3,5,2]];
-0.829711163	0.511485504	0.223521735	2_1s|2_1m	 - A^(-10) + A^(-6) + A^(-4)	PD[X[0,3,1,2],X[3,2,4,1]];
0.797503082	-0.382902105	0.466234718	3_2|3_2ms	 + A^(-8) - A^(-4) - A^(-2) + 1 + A^(2)	PD[X[4,0,5,1],X[7,2,8,1],X[2,7,3,6],X[5,4,6,3]];
0.835422746	-0.2185982	0.504265468	3_2|3_2ms	 + A^(-8) - A^(-4) - A^(-2) + 1 + A^(2)	PD[X[4,0,5,1],X[7,2,8,1],X[2,7,3,6],X[5,4,6,3]];
-0.84610372	-0.173237165	-0.504080727	0_1	 + 1	PD[];
-0.298361759	-0.728212726	0.616997963	4_6s|4_6m	 - A^(-22) + A^(-18) - A^(-14) + A^(-10) + A^(-8)	PD[X[6,1,7,0],X[4,2,5,1],X[2,9,3,8],X[9,4,10,3],X[5,8,6,7]];
0.0976532887	0.59822717	-0.795354065	3_1m	 - A^(-16) + A^(-12) + A^(-4)	PD[X[0,4,1,3],X[4,2,5,1],X[2,6,3,5]];
-0.723502475	-0.448675111	0.524628262	3_1m	 - A^(-16) + A^(-12) + A^(-4)	PD[X[3,1,4,0],X[1,5,2,4],X[5,3,6,2]];
0.134391722	0.776500192	0.615618646	0_1	 + 1	PD[];
-0.466424043	0.137216837	0.873853622	2_1s|2_1m	 - A^(-10) + A^(-6) + A^(-4)	PD[X[2,1,3,0],X[1,4,2,3]];
0.398443405	0.871064488	0.287209872	2_1s|2_1m	 - A^(-10) + A^(-6) + A^(-4)	PD[X[0,3,1,2],X[3,2,4,1]];
-0.996455126	-0.0265898544	0.0798132867	2_1s|2_1m	 - A^(-10) + A^(-6) + A^(-4)	PD[X[0,3,1,2],X[3,2,4,1]];
-0.849680888	0.514795657	-0.114139476	0_1	 + 1	PD[];
-0.566708313	0.0519316661	-0.822280238	3_2|3_2ms	 + A^(-8) - A^(-4) - A^(-2) + 1 + A^(2)	PD[X[0,3,1,4],X[5,2,6,1],X[2,5,3,4]];
-0.734180783	0.21236488	-0.644887382	3_2|3_2ms	 + A^(-8) - A^(-4) - A^(-2) + 1 + A^(2)	PD[X[0,4,1,5],X[1,8,2,7],X[6,3,7,2],X[3,6,4,5]];
-0.708272255	-0.284565798	-0.646043899	0_1	 + 1	PD[];
-0.0616166496	0.137690147	0.988556934	0_1	 + 1	PD[];
-0.666637309	-0.190750914	0.720561439	3_1m	 - A^(-16) + A^(-12) + A^(-4)	PD[X[3,1,4,0],X[1,5,2,4],X[5,3,6,2]];
0.965366312	0.0501951555	0.25602408	0_1	 + 1	PD[];
0.543379591	0.584968607	0.60212154	0_1	 + 1	PD[];
-0.302553227	-0.943807398	-0.133000528	0_1	 + 1	PD[];
0.0325174224	0.83662592	-0.546808639	2_1s|2_1m	 - A^(-10) + A^(-6) + A^(-4)	PD[X[0,4,1,3],X[1,6,2,5],X[4,3,5,2]];
-0.0861080162	-0.130895469	-0.987649627	0_1	 + 1	PD[];
0.81070279	-0.532291301	-0.24377645	2_1s|2_1m	 - A^(-10) + A^(-6) + A^(-4)	PD[X[2,1,3,0],X[1,4,2,3]];
-0.173996441	-0.146417655	-0.973800343	0_1	 + 1	PD[];
-0.0575427626	-0.00627292384	-0.998323335	2_1s|2_1m	 - A^(-10) + A^(-6) + A^(-4)	PD[X[0,3,1,2],X[3,2,4,1]];
-0.35218394	0.870250248	0.344428482	0_1	 + 1	PD[];
-0.742383674	-0.278221451	-0.609474614	0_1	 + 1	PD[];
-0.472324053	0.663756906	-0.579945479	2_1s|2_1m	 - A^(-10) + A^(-6) + A^(-4)	PD[X[0,4,1,3],X[1,6,2,5],X[4,3,5,2]];
-0.792480344	0.468935453	0.389967237	2_1s|2_1m	 - A^(-10) + A^(-6) + A^(-4)	PD[X[0,3,1,2],X[3,2,4,1]];
-0.423682067	0.84917572	0.315268302	2_1s|2_1m	 - A^(-10) + A^(-6) + A^(-4)	PD[X[0,3,1,2],X[3,2,4,1]];
-0.911936591	-0.143905893	0.384269109	3_1m	 - A^(-16) + A^(-12) + A^(-4)	PD[X[3,1,4,0],X[1,5,2,4],X[5,3,6,2]];
0.607412963	0.767422065	0.205214198	0_1	 + 1	PD[];
-0.390325108	0.733226074	0.556799636	0_1	 + 1	PD[];
-0.0603294081	0.914402176	-0.400286177	4_3s|4_3m	 - A^(-16) - A^(-14) + A^(-12) + A^(-10) + A^(-8)	PD[X[0,5,1,4],X[1,7,2,6],X[7,3,8,2],X[5,4,6,3]];
0.102517064	0.188265299	0.976753003	0_1	 + 1	PD[];
0.157165328	0.684772185	0.711608119	0_1	 + 1	PD[];
-0.955748459	-0.117789964	-0.269574495	0_1	 + 1	PD[];
0.560182718	-0.826912613	-0.0491004363	2_1s|2_1m	 - A^(-10) + A^(-6) + A^(-4)	PD[X[2,1,3,0],X[1,4,2,3]];
0.473963097	0.217909954	0.853155457	3_2|3_2ms	 + A^(-8) - A^(-4) - A^(-2) + 1 + A^(2)	PD[X[3,0,4,1],X[1,6,2,5],X[4,3,5,2]];
