#projection.x	projection.y	projection.z	knotoid_type	polynomial	PD_code
-0.397575616	-0.836410033	0.377295491	4_6s|4_6m	 - A^(-22) + A^(-18) - A^(-14) + A^(-10) + A^(-8)	PD[X[4,1,5,0],X[1,6,2,5],X[6,3,7,2],X[3,8,4,7]];
0.885399568	0.224019106	-0.407287423	3_1m	 - A^(-16) + A^(-12) + A^(-4)	PD[X[0,4,1,3],X[4,2,5,1],X[2,6,3,5]];
0.364997444	-0.874226643	0.320163463	4_3s|4_3m	 - A^(-16) - A^(-14) + A^(-12) + A^(-10) + A^(-8)	PD[X[3,1,4,0],X[8,2,9,1],X[5,10,6,9],X[2,8,3,7],X[6,5,7,4]];
0.261350422	0.0277813609	-0.964844108	2_1s|2_1m	 - A^(-10) + A^(-6) + A^(-4)	PD[X[0,3,1,2],X[3,2,4,1]];
-0.732102893	-0.227714165	0.642005929	3_1m	 - A^(-16) + A^(-12) + A^(-4)	PD[X[3,1,4,0],X[1,5,2,4],X[5,3,6,2]];
-0.774243811	0.238461775	-0.586244406	3_2|3_2ms	 + A^(-8) - A^(-4) - A^(-2) + 1 + A^(2)	PD[X[0,5,1,4],X[3,2,4,1],X[5,2,6,3]];
0.812436111	-0.387039095	-0.436059977	2_1s|2_1m	 - A^(-10) + A^(-6) + A^(-4)	PD[X[2,1,3,0],X[1,4,2,3]];
-0.708320493	0.53641699	0.458845172	2_1s|2_1m	 - A^(-10) + A^(-6) + A^(-4)	PD[X[0,3,1,2],X[3,2,4,1]];
0.0648604304	-0.375875748	-0.924397396	0_1	 + 1	PD[];
-0.384353643	0.825288022	-0.413729329	2_1s|2_1m	 - A^(-10) + A^(-6) + A^(-4)	PD[X[0,3,1,2],X[3,2,4,1]];
-0.741780965	0.669438227	-0.0401678891	0_1	 + 1	PD[];
0.28900727	0.946632451	0.142694779	0_1	 + 1	PD[];
-0.225571061	-0.246275621	0.942584752	2_1s|2_1m	 - A^(-10) + A^(-6) + A^(-4)	PD[X[2,1,3,0],X[1,4,2,3]];
0.465622859	-0.140776761	0.873714631	3_2|3_2ms	 + A^(-8) - A^(-4) - A^(-2) + 1 + A^(2)	PD[X[3,0,4,1],X[1,6,2,5],X[4,3,5,2]];
-0.323557946	-0.305946653	0.895380869	2_1s|2_1m	 - A^(-10) + A^(-6) + A^(-4)	PD[X[2,1,3,0],X[1,4,2,3]];
-0.627061222	0.541154835	-0.560308548	0_1	 + 1	PD[];
0.234951176	-0.83260085	-0.5015713	0_1	 + 1	PD[];
-0.771735195	0.604603537	0.197178478	2_1s|2_1m	 - A^(-10) + A^(-6) + A^(-4)	PD[X[0,3,1,2],X[3,2,4,1]];
-0.603616314	0.477409858	0.638535177	0_1	 + 1	PD[];
0.359949475	0.921187609	-0.147816658	3_1m	 - A^(-16) + A^(-12) + A^(-4)	PD[X[3,1,4,0],X[1,5,2,4],X[5,3,6,2]];
-0.871196239	-0.185949071	-0.45435675	0_1	 + 1	PD[];
0.553765172	-0.296390205	-0.778136865	2_1s|2_1m	 - A^(-10) + A^(-6) + A^(-4)	PD[X[0,3,1,2],X[3,2,4,1]];
-0.00903715228	0.865304589	0.50116494	0_1	 + 1	PD[];
0.160809645	0.000869497414	-0.986985057	2_1s|2_1m	 - A^(-10) + A^(-6) + A^(-4)	PD[X[0,3,1,2],X[3,2,4,1]];
-0.479879893	-0.550216615	0.683357128	3_1m	 - A^(-16) + A^(-12) + A^(-4)	PD[X[3,1,4,0],X[1,5,2,4],X[5,3,6,2]];
0.973099877	-0.0311355508	0.228270032	0_1	 + 1	PD[];
-0.226668784	0.284158977	0.931598056	0_1	 + 1	PD[];
0.299885293	0.94091162	-0.157334466	4_6s|4_6m	 - A^(-22) + A^(-18) - A^(-14) + A^(-10) + A^(-8)	PD[X[6,1,7,0],X[1,8,2,7],X[8,3,9,2],X[3,6,4,5],X[9,5,10,4]];
0.249389787	0.506996816	0.825081185	3_2|3_2ms	 + A^(-8) - A^(-4) - A^(-2) + 1 + A^(2)	PD[X[3,0,4,1],X[5,2,6,1],X[2,7,3,6],X[4,7,5,8]];
0.372610797	0.705385282	0.602986565	0_1	 + 1	PD[];
-0.829355852	-0.51819336	0.208912691	3_1m	 - A^(-16) + A^(-12) + A^(-4)	PD[X[3,1,4,0],X[1,5,2,4],X[5,3,6,2]];
0.907952108	0.39214223	-0.1478088	3_1m	 - A^(-16) + A^(-12) + A^(-4)	PD[X[0,4,1,3],X[4,2,5,1],X[2,6,3,5]];
0.27592573	-0.541449372	0.794164699	2_1s|2_1m	 - A^(-10) + A^(-6) + A^(-4)	PD[X[2,1,3,0],X[1,4,2,3]];
0.89484398	0.446282412	0.00928762322	3_1m	 - A^(-16) + A^(-12) + A^(-4)	PD[X[0,4,1,3],X[4,2,5,1],X[2,6,3,5]];
-0.138050978	0.390264213	0.910294333	0_1	 + 1	PD[];
0.372132091	0.923499746	0.0930909547	2_1s|2_1m	 - A^(-10) + A^(-6) + A^(-4)	PD[X[2,1,3,0],X[1,4,2,3]];
0.189015244	-0.963696533	0.188579504	4_3s|4_3m	 - A^(-16) - A^(-14) + A^(-12) + A^(-10) + A^(-8)	PD[X[6,1,7,0],X[4,2,5,1],X[9,3,10,2],X[3,9,4,8],X[5,8,6,7]];
