#projection.x	projection.y	projection.z	knotoid_type	polynomial	PD_code
0.601101058	-0.798895169	0.0210719635	2_1s|2_1m	 - A^(-10) + A^(-6) + A^(-4)	PD[X[0,3,1,2],X[3,2,4,1]];
-0.632949518	0.763818596	-0.126317299	2_1s|2_1m	 - A^(-10) + A^(-6) + A^(-4)	PD[X[2,1,3,0],X[1,4,2,3]];
0.0416218109	0.901501949	-0.430768918	3_1m	 - A^(-16) + A^(-12) + A^(-4)	PD[X[0,4,1,3],X[4,2,5,1],X[2,6,3,5]];
-0.343184582	-0.932913801	0.109069619	0_1	 + 1	PD[];
0.355118704	0.9340079	0.0389865306	0_1	 + 1	PD[];
-0.432932471	-0.107317134	0.895015368	0_1	 + 1	PD[];
-0.916564741	-0.361621366	0.170701678	0_1	 + 1	PD[];
0.294605586	0.871194646	0.392718012	0_1	 + 1	PD[];
0.00813243564	-0.915064495	0.403225536	3_1m	 - A^(-16) + A^(-12) + A^(-4)	PD[X[3,1,4,0],X[1,5,2,4],X[5,3,6,2]];
0.356971567	-0.862114485	0.359624688	3_1m	 - A^(-16) + A^(-12) + A^(-4)	PD[X[0,4,1,3],X[4,2,5,1],X[2,6,3,5]];
-0.261442706	0.305124137	0.915722104	2_1s|2_1m	 - A^(-10) + A^(-6) + A^(-4)	PD[X[2,1,3,0],X[1,4,2,3]];
0.512123462	-0.375425216	0.77251891	0_1	 + 1	PD[];
-0.283187609	-0.0274941427	-0.958670355	0_1	 + 1	PD[];
0.252728397	-0.353765493	0.900543354	2_1s|2_1m	 - A^(-10) + A^(-6) + A^(-4)	PD[X[2,1,3,0],X[1,4,2,3]];
0.151078741	0.767071023	-0.623520055	4_6s|4_6m	 - A^(-22) + A^(-18) - A^(-14) + A^(-10) + A^(-8)	PD[X[4,9,5,8],X[6,1,7,0],X[1,10,2,9],X[7,4,8,3],X[2,6,3,5]];
0.952157905	0.129658862	-0.27673797	0_1	 + 1	PD[];
-0.863107064	0.0198914973	-0.504629096	0_1	 + 1	PD[];
0.328398681	0.906171118	-0.266473658	2_1s|2_1m	 - A^(-10) + A^(-6) + A^(-4)	PD[X[2,1,3,0],X[1,4,2,3]];
0.600905993	-0.301350761	0.740337562	0_1	 + 1	PD[];
-0.0275487632	0.107986506	-0.993770587	2_1s|2_1m	 - A^(-10) + A^(-6) + A^(-4)	PD[X[0,3,1,2],X[3,2,4,1]];
0.782546679	0.0615860819	0.619538417	0_1	 + 1	PD[];
-0.0821862916	-0.967198245	0.240360081	3_1m	 - A^(-16) + A^(-12) + A^(-4)	PD[X[3,1,4,0],X[1,5,2,4],X[5,3,6,2]];
0.0576932628	0.720840743	0.690695382	0_1	 + 1	PD[];
-0.119154652	-0.763780803	-0.63438242	0_1	 + 1	PD[];
0.971857935	-0.0592391199	-0.227997547	0_1	 + 1	PD[];
0.692564846	-0.0695354549	-0.717996347	0_1	 + 1	PD[];
0.64123482	-0.72308276	0.256844756	2_1s|2_1m	 - A^(-10) + A^(-6) + A^(-4)	PD[X[0,3,1,2],X[3,2,4,1]];
0.722247674	0.462761594	0.514013623	0_1	 + 1	PD[];
-0.226869961	-0.935347951	0.271393131	2_1s|2_1m	 - A^(-10) + A^(-6) + A^(-4)	PD[X[0,3,1,2],X[3,2,4,1]];
0.973245639	-0.167615387	0.157155996	0_1	 + 1	PD[];
-0.283513022	0.934520426	-0.215155617	3_1m	 - A^(-16) + A^(-12) + A^(-4)	PD[X[0,4,1,3],X[4,2,5,1],X[2,6,3,5]];
0.598826317	0.637427664	-0.484863914	2_1s|2_1m	 - A^(-10) + A^(-6) + A^(-4)	PD[X[2,1,3,0],X[1,4,2,3]];
-0.237294002	0.18274274	0.954094674	2_1s|2_1m	 - A^(-10) + A^(-6) + A^(-4)	PD[X[2,1,3,0],X[1,4,2,3]];
0.610487162	-0.260890869	0.74782443	0_1	 + 1	PD[];
0.538439181	-0.415610424	0.733042443	0_1	 + 1	PD[];
-0.7367283	0.673813262	-0.0566312638	3_1m	 - A^(-16) + A^(-12) + A^(-4)	PD[X[0,4,1,3],X[4,2,5,1],X[2,6,3,5]];
-0.837247468	-0.085755407	-0.540058041	0_1	 + 1	PD[];
0.842592691	0.171434134	-0.510536869	0_1	 + 1	PD[];
-0.498107177	-0.647163091	0.577121455	0_1	 + 1	PD[];
-0.541158763	0.757299517	-0.36557439	2_1s|2_1m	 - A^(-10) + A^(-6) + A^(-4)	PD[X[2,1,3,0],X[1,4,2,3]];
0.0682740229	-0.240673811	0.968201825	3_1m	 - A^(-16) + A^(-12) + A^(-4)	PD[X[0,4,1,3],X[4,2,5,1],X[2,6,3,5]];
-0.586328111	-0.525151889	-0.616794	0_1	 + 1	PD[];
0.840831923	0.401600988	0.362930192	0_1	 + 1	PD[];
-0.888368745	0.0456535037	0.456855262	0_1	 + 1	PD[];
0.0673839837	0.614993263	0.785647939	0_1	 + 1	PD[];
-0.836983391	-0.355127967	-0.416344725	0_1	 + 1	PD[];
-0.5587051	-0.827921921	-0.0489275325	0_1	 + 1	PD[];
-0.122078503	0.803883197	-0.582124252	3_1m	 - A^(-16) + A^(-12) + A^(-4)	PD[X[0,4,1,3],X[4,2,5,1],X[2,6,3,5]];
0.191913645	-0.121487964	-0.973863352	2_1s|2_1m	 - A^(-10) + A^(-6) + A^(-4)	PD[X[0,3,1,2],X[3,2,4,1]];
0.0165796382	0.976298397	-0.215792854	3_1m	 - A^(-16) + A^(-12) + A^(-4)	PD[X[0,4,1,3],X[4,2,5,1],X[2,6,3,5]];
-0.0281830189	-0.982194793	-0.18573935	0_1	 + 1	PD[];
0.293807924	-0.887248503	-0.355621987	2_1s|2_1m	 - A^(-10) + A^(-6) + A^(-4)	PD[X[2,1,3,0],X[1,4,2,3]];
-0.154466482	-0.631131497	0.760140211	2_1s|2_1m	 - A^(-10) + A^(-6) + A^(-4)	PD[X[3,1,4,0],X[5,2,6,1],X[2,5,3,4]];
0.340963792	-0.932205624	0.121393435	3_1m	 - A^(-16) + A^(-12) + A^(-4)	PD[X[0,4,1,3],X[4,2,5,1],X[2,6,3,5]];
0.342848138	0.516241862	-0.784824499	0_1	 + 1	PD[];
0.801188014	-0.483957495	-0.351970041	0_1	 + 1	PD[];
0.635016909	0.605214028	0.480072396	0_1	 + 1	PD[];
0.444329831	-0.892419606	0.0784745067	2_1s|2_1m	 - A^(-10) + A^(-6) + A^(-4)	PD[X[0,3,1,2],X[3,2,4,1]];
0.606645705	0.779164534	0.157745421	0_1	 + 1	PD[];
-0.754289375	0.567683994	-0.329821804	2_1s|2_1m	 - A^(-10) + A^(-6) + A^(-4)	PD[X[2,1,3,0],X[1,4,2,3]];
-0.652918099	-0.155528201	-0.741288698	0_1	 + 1	PD[];
-0.245443867	-0.423883723	-0.871825612	0_1	 + 1	PD[];
0.688949478	0.437042197	0.578223776	0_1	 + 1	PD[];
-0.154405802	0.776560015	-0.610830084	3_1m	 - A^(-16) + A^(-12) + A^(-4)	PD[X[0,4,1,3],X[4,2,5,1],X[2,6,3,5]];
-0.745407362	0.66053276	0.0898016584	2_1s|2_1m	 - A^(-10) + A^(-6) + A^(-4)	PD[X[0,5,1,4],X[3,2,4,1],X[2,6,3,5]];
-0.783017632	-0.321921421	0.532212351	0_1	 + 1	PD[];
-0.580888953	-0.625727799	-0.520608054	0_1	 + 1	PD[];
-0.43847823	0.892695996	0.104070649	2_1s|2_1m	 - A^(-10) + A^(-6) + A^(-4)	PD[X[2,1,3,0],X[1,4,2,3]];
0.87100259	0.486705901	0.0668719229	0_1	 + 1	PD[];
0.29420593	-0.188882702	0.936891774	0_1	 + 1	PD[];
-0.0668076715	-0.158791794	-0.985049187	0_1	 + 1	PD[];
-0.628313872	-0.476928779	-0.614622338	0_1	 + 1	PD[];
-0.287480691	0.142548326	-0.947119225	0_1	 + 1	PD[];
-0.360601126	-0.783886284	0.505459317	3_1m	 - A^(-16) + A^(-12) + A^(-4)	PD[X[3,1,4,0],X[1,5,2,4],X[5,3,6,2]];
-0.411472332	-0.442598727	0.796741418	0_1	 + 1	PD[];
0.237639537	0.875141585	-0.421490993	3_1m	 - A^(-16) + A^(-12) + A^(-4)	PD[X[0,4,1,3],X[4,2,5,1],X[2,6,3,5]];
0.55188924	-0.828348847	-0.0962104718	2_1s|2_1m	 - A^(-10) + A^(-6) + A^(-4)	PD[X[0,3,1,2],X[3,2,4,1]];
-0.00750843712	0.604210663	0.796789243	0_1	 + 1	PD[];
0.700146795	0.153826583	-0.69723156	0_1	 + 1	PD[];
-0.163315138	-0.615893586	-0.770716067	0_1	 + 1	PD[];
0.562676104	0.41833885	-0.71301347	0_1	 + 1	PD[];
-0.116108376	0.307006659	-0.944598198	3_1m	 - A^(-16) + A^(-12) + A^(-4)	PD[X[3,1,4,0],X[1,5,2,4],X[5,3,6,2]];
-0.911908333	0.129446295	-0.389444282	2_1s|2_1m	 - A^(-10) + A^(-6) + A^(-4)	PD[X[2,1,3,0],X[1,4,2,3]];
0.87182228	-0.21189474	-0.441618083	0_1	 + 1	PD[];
0.140319142	-0.156510203	0.977657964	2_1s|2_1m	 - A^(-10) + A^(-6) + A^(-4)	PD[X[2,1,3,0],X[1,4,2,3]];
-0.129826927	0.961657301	-0.241578567	3_1m	 - A^(-16) + A^(-12) + A^(-4)	PD[X[0,4,1,3],X[4,2,5,1],X[2,6,3,5]];
-0.299309972	0.0526822934	-0.952700434	0_1	 + 1	PD[];
0.962773547	0.240169338	-0.124039455	0_1	 + 1	PD[];
0.700406878	-0.506871489	0.502505223	2_1s|2_1m	 - A^(-10) + A^(-6) + A^(-4)	PD[X[0,3,1,2],X[3,2,4,1]];
0.245733621	0.162201608	-0.95567025	2_1s|2_1m	 - A^(-10) + A^(-6) + A^(-4)	PD[X[0,3,1,2],X[3,2,4,1]];
-0.133858368	0.990645516	-0.0265216664	3_1m	 - A^(-16) + A^(-12) + A^(-4)	PD[X[0,4,1,3],X[4,2,5,1],X[2,6,3,5]];
-0.390441602	-0.797443206	-0.460043137	0_1	 + 1	PD[];
0.13484043	-0.105014276	-0.985286791	2_1s|2_1m	 - A^(-10) + A^(-6) + A^(-4)	PD[X[0,3,1,2],X[3,2,4,1]];
-0.25979946	-0.617932569	0.7420671	2_1s|2_1m	 - A^(-10) + A^(-6) + A^(-4)	PD[X[0,3,1,2],X[3,2,4,1]];
-0.399811648	-0.892832932	-0.207364419	0_1	 + 1	PD[];
-0.524836442	0.601721078	-0.602061835	2_1s|2_1m	 - A^(-10) + A^(-6) + A^(-4)	PD[X[3,1,4,0],X[5,2,6,1],X[2,5,3,4]];
-0.758047129	-0.578605785	-0.300964941	0_1	 + 1	PD[];
-0.243326694	-0.893270753	-0.377967567	0_1	 + 1	PD[];
0.770133923	0.433160898	-0.46825781	0_1	 + 1	PD[];
0.887097753	0.294734125	0.355231434	0_1	 + 1	PD[];
0.0732843524	-0.604423553	0.793285303	3_1m	 - A^(-16) + A^(-12) + A^(-4)	PD[X[3,1,4,0],X[1,5,2,4],X[5,3,6,2]];
0.494350044	-0.657436225	-0.568678858	2_1s|2_1m	 - A^(-10) + A^(-6) + A^(-4)	PD[X[0,3,1,2],X[3,2,4,1]];
0.358166462	0.81217157	-0.46053678	3_1m	 - A^(-16) + A^(-12) + A^(-4)	PD[X[0,4,1,3],X[4,2,5,1],X[2,6,3,5]];
0.541685153	0.786415968	0.296862123	0_1	 + 1	PD[];
-0.127964879	0.342084096	-0.930915389	3_1m	 - A^(-16) + A^(-12) + A^(-4)	PD[X[0,4,1,3],X[4,2,5,1],X[2,6,3,5]];
-0.486694092	-0.817270375	-0.308541724	0_1	 + 1	PD[];
-0.774921157	-0.0891496818	0.625739191	0_1	 + 1	PD[];
0.640531983	0.529021538	-0.556646199	0_1	 + 1	PD[];
-0.993776187	-0.00596253291	0.111235507	0_1	 + 1	PD[];
0.936296697	0.179526702	-0.301858672	0_1	 + 1	PD[];
0.555810999	0.586023701	-0.589618823	0_1	 + 1	PD[];
0.586743483	0.805650217	-0.0816076756	0_1	 + 1	PD[];
0.792225682	-0.515008066	0.327330355	2_1s|2_1m	 - A^(-10) + A^(-6) + A^(-4)	PD[X[0,3,1,2],X[3,2,4,1]];
-0.361733895	0.931651881	-0.0342543647	2_1s|2_1m	 - A^(-10) + A^(-6) + A^(-4)	PD[X[2,1,3,0],X[1,4,2,3]];
-0.463060315	-0.149614392	-0.873607852	0_1	 + 1	PD[];
-0.489574328	-0.318017064	0.811900317	0_1	 + 1	PD[];
-0.907858306	0.388389626	0.157945543	0_1	 + 1	PD[];
0.126043717	-0.991809945	-0.0206400971	3_1m	 - A^(-16) + A^(-12) + A^(-4)	PD[X[3,1,4,0],X[1,5,2,4],X[5,3,6,2]];
-0.824464147	-0.513093106	0.238734862	2_1s|2_1m	 - A^(-10) + A^(-6) + A^(-4)	PD[X[0,3,1,2],X[3,2,4,1]];
-0.323360465	0.247286582	0.91339332	2_1s|2_1m	 - A^(-10) + A^(-6) + A^(-4)	PD[X[2,1,3,0],X[1,4,2,3]];
-0.399383661	0.376621229	0.835852344	2_1s|2_1m	 - A^(-10) + A^(-6) + A^(-4)	PD[X[2,1,3,0],X[1,4,2,3]];
0.287559408	-0.956353037	0.0519466517	3_1m	 - A^(-16) + A^(-12) + A^(-4)	PD[X[3,1,4,0],X[1,5,2,4],X[5,3,6,2]];
0.690550713	-0.71604595	0.102068163	2_1s|2_1m	 - A^(-10) + A^(-6) + A^(-4)	PD[X[0,3,1,2],X[3,2,4,1]];
0.942726221	-0.128973282	0.30762504	0_1	 + 1	PD[];
-0.444162665	0.0906383123	-0.891349664	0_1	 + 1	PD[];
0.712726999	-0.605751173	-0.353674626	2_1s|2_1m	 - A^(-10) + A^(-6) + A^(-4)	PD[X[4,1,5,0],X[1,4,2,3],X[5,3,6,2]];
0.882460498	0.444024489	0.155260175	0_1	 + 1	PD[];
-0.435155936	-0.128986536	0.891067778	0_1	 + 1	PD[];
-0.605074704	-0.739768781	0.294324231	2_1s|2_1m	 - A^(-10) + A^(-6) + A^(-4)	PD[X[0,3,1,2],X[3,2,4,1]];
0.438553867	0.753130235	-0.490372669	2_1s|2_1m	 - A^(-10) + A^(-6) + A^(-4)	PD[X[2,1,3,0],X[1,4,2,3]];
-0.300128353	0.779447151	0.549895545	2_1s|2_1m	 - A^(-10) + A^(-6) + A^(-4)	PD[X[0,3,1,2],X[3,2,4,1]];
0.0213091363	0.239826452	0.970581884	0_1	 + 1	PD[];
-0.973962159	0.172629408	0.146958497	0_1	 + 1	PD[];
0.956894791	-0.104109832	0.271133733	0_1	 + 1	PD[];
-0.582009912	0.500969577	0.640541916	2_1s|2_1m	 - A^(-10) + A^(-6) + A^(-4)	PD[X[2,1,3,0],X[1,4,2,3]];
0.375160735	-0.413232533	0.829754962	2_1s|2_1m	 - A^(-10) + A^(-6) + A^(-4)	PD[X[0,5,1,4],X[3,2,4,1],X[2,6,3,5]];
0.474270951	-0.259951924	0.841125473	0_1	 + 1	PD[];
-0.502692139	-0.682291476	0.530828556	2_1s|2_1m	 - A^(-10) + A^(-6) + A^(-4)	PD[X[0,3,1,2],X[3,2,4,1]];
-0.17305061	-0.589391498	0.789095145	2_1s|2_1m	 - A^(-10) + A^(-6) + A^(-4)	PD[X[3,1,4,0],X[5,2,6,1],X[2,5,3,4]];
0.32137281	0.652875858	-0.685910075	2_1s|2_1m	 - A^(-10) + A^(-6) + A^(-4)	PD[X[2,1,3,0],X[1,4,2,3]];
-0.196844871	-0.542689184	-0.816541822	0_1	 + 1	PD[];
0.803785307	-0.282735265	-0.523440494	0_1	 + 1	PD[];
0.260089625	0.8821315	-0.392679771	3_1m	 - A^(-16) + A^(-12) + A^(-4)	PD[X[0,4,1,3],X[4,2,5,1],X[2,6,3,5]];
-0.10316403	-0.989268382	-0.10346618	0_1	 + 1	PD[];
0.413224407	-0.909725414	-0.0405618246	2_1s|2_1m	 - A^(-10) + A^(-6) + A^(-4)	PD[X[0,3,1,2],X[3,2,4,1]];
0.635778678	-0.343793289	0.691080059	0_1	 + 1	PD[];
-0.90807342	-0.091940616	-0.40859465	0_1	 + 1	PD[];
0.343747504	0.22942597	-0.910604951	0_1	 + 1	PD[];
-0.784141245	-0.613349649	0.0944707184	0_1	 + 1	PD[];
-0.345240474	0.766294534	0.541850258	2_1s|2_1m	 - A^(-10) + A^(-6) + A^(-4)	PD[X[0,3,1,2],X[3,2,4,1]];
-0.357881837	-0.0795095856	-0.930375632	0_1	 + 1	PD[];
-0.783632178	-0.550555878	0.287765243	2_1s|2_1m	 - A^(-10) + A^(-6) + A^(-4)	PD[X[0,3,1,2],X[3,2,4,1]];
0.93277369	-0.334641184	0.133972091	0_1	 + 1	PD[];
-0.772339664	-0.356465677	-0.525760082	0_1	 + 1	PD[];
