#projection.x	projection.y	projection.z	knotoid_type	polynomial	PD_code
-0.873563028	-0.34654107	-0.341755648	0_1	 + 1	PD[];
-0.22764991	0.644231377	0.730165359	0_1	 + 1	PD[];
-0.506979642	-0.568827206	-0.647616594	0_1	 + 1	PD[];
0.78674073	-0.576653759	-0.220248646	0_1	 + 1	PD[];
0.10962098	0.37618133	-0.920038504	0_1	 + 1	PD[];
-0.590782088	0.677410104	-0.438283101	0_1	 + 1	PD[];
-0.532020542	0.160767878	0.831328955	0_1	 + 1	PD[];
-0.78860695	-0.611145431	0.0678258156	0_1	 + 1	PD[];
-0.678091427	-0.0662124072	0.731989026	0_1	 + 1	PD[];
0.951541313	0.15161726	-0.267546885	0_1	 + 1	PD[];
-0.768677829	-0.589389413	0.248504556	0_1	 + 1	PD[];
0.721590483	0.0938585078	0.68592839	0_1	 + 1	PD[];
-0.485370448	-0.145878033	0.862052856	0_1	 + 1	PD[];
0.46708097	-0.826742503	0.313579657	0_1	 + 1	PD[];
0.604804846	0.156487809	0.780847401	0_1	 + 1	PD[];
0.420121651	0.649951498	0.633293651	0_1	 + 1	PD[];
0.896900732	-0.316360083	0.309007079	0_1	 + 1	PD[];
0.884946236	0.434573936	-0.167378772	0_1	 + 1	PD[];
0.933177474	0.281376406	0.223622718	0_1	 + 1	PD[];
0.308525525	-0.862309555	0.401539825	0_1	 + 1	PD[];
-0.356526143	-0.566788187	0.742724889	0_1	 + 1	PD[];
0.62054555	-0.117173106	0.775366805	0_1	 + 1	PD[];
-0.0541277722	0.964720313	-0.257652677	0_1	 + 1	PD[];
0.492625493	0.325767146	-0.806967094	0_1	 + 1	PD[];
-0.413449543	0.706246731	0.574695597	0_1	 + 1	PD[];
0.343613708	0.889179182	0.302142355	0_1	 + 1	PD[];
0.0876722797	0.448688273	0.889377538	0_1	 + 1	PD[];
0.497744995	0.733669057	-0.462579329	0_1	 + 1	PD[];
-0.819527342	-0.560639478	0.11856775	0_1	 + 1	PD[X[2,0,3,1],X[3,2,4,1]];
0.36266308	-0.528861038	-0.767320984	0_1	 + 1	PD[];
0.0214493165	-0.751432345	0.659461415	0_1	 + 1	PD[];
0.45357966	0.512513323	0.729106018	0_1	 + 1	PD[];
-0.0805641997	-0.811989035	-0.578085821	0_1	 + 1	PD[];
-0.913406625	-0.383130811	-0.137474068	0_1	 + 1	PD[];
0.936530124	-0.209341868	0.281224659	0_1	 + 1	PD[];
-0.337182694	0.940456137	0.0430126218	0_1	 + 1	PD[X[2,1,3,0],X[3,1,4,2]];
0.836343241	-0.152497951	0.526568474	0_1	 + 1	PD[];
0.915791817	-0.306312258	-0.259804059	0_1	 + 1	PD[];
-0.373377317	-0.90866842	0.186845073	0_1	 + 1	PD[];
0.163586913	-0.715217616	-0.679487368	0_1	 + 1	PD[];
0.426562874	-0.119509356	-0.896527539	0_1	 + 1	PD[];
0.62994808	0.442481313	0.638259904	0_1	 + 1	PD[];
-0.638261563	-0.403838034	-0.655390738	0_1	 + 1	PD[];
-0.350545173	-0.926528717	0.136611192	0_1	 + 1	PD[];
0.0959228584	-0.809162374	0.57970256	0_1	 + 1	PD[];
0.646118508	-0.578076911	0.498355254	0_1	 + 1	PD[];
0.148462173	-0.696987993	-0.701545951	0_1	 + 1	PD[];
-0.0333380599	-0.0247547494	-0.999137516	0_1	 + 1	PD[];
0.565738018	0.622378882	-0.540911288	0_1	 + 1	PD[];
-0.163931815	0.652877225	0.739511791	0_1	 + 1	PD[];
-0.346393457	0.852577044	-0.391310563	0_1	 + 1	PD[];
-0.154569971	0.796354205	-0.584746188	0_1	 + 1	PD[];
0.095666105	-0.125277784	0.987498594	0_1	 + 1	PD[];
-0.11417318	0.00205127785	-0.993458745	0_1	 + 1	PD[];
0.944644883	-0.0280226501	-0.326895665	0_1	 + 1	PD[];
-0.808664136	0.377758571	-0.450955405	0_1	 + 1	PD[];
-0.442511315	-0.468564171	-0.764611898	0_1	 + 1	PD[];
-0.0223305292	0.25587402	-0.966452189	0_1	 + 1	PD[];
0.671111427	0.70527097	0.228478252	0_1	 + 1	PD[];
-0.176116492	0.133577732	0.975264052	0_1	 + 1	PD[];
0.379940007	0.704090741	0.599918177	0_1	 + 1	PD[];
0.582652526	-0.136271015	0.80121548	2_1s|2_1m	 - A^(-10) + A^(-6) + A^(-4)	PD[X[0,3,1,2],X[3,2,4,1]];
-0.6145393	-0.0521473107	-0.787160789	0_1	 + 1	PD[];
0.433463489	0.464302992	-0.772354929	0_1	 + 1	PD[];
-0.345224966	-0.292711602	-0.891706028	0_1	 + 1	PD[];
-0.866934975	0.473294074	-0.156257699	0_1	 + 1	PD[];
