#projection.x	projection.y	projection.z	knotoid_type	polynomial	PD_code
0.0704632756	-0.539061883	-0.839313537	0_1	 + 1	PD[];
-0.0632199555	0.995534882	0.0700966176	0_1	 + 1	PD[];
-0.747975583	0.0400085606	0.662519314	0_1	 + 1	PD[];
0.714491049	-0.0250760109	0.699195062	0_1	 + 1	PD[];
-0.725298302	0.291214673	-0.623807973	0_1	 + 1	PD[];
-0.477198988	0.589731246	-0.651535251	0_1	 + 1	PD[];
-0.31467817	0.493527992	-0.810806864	0_1	 + 1	PD[];
-0.948761691	-0.200792932	-0.243994778	0_1	 + 1	PD[];
-0.998803099	0.0347304236	0.0344407912	0_1	 + 1	PD[];
-0.923020597	-0.345096524	0.170121624	0_1	 + 1	PD[];
0.301717173	-0.696941341	0.650568609	0_1	 + 1	PD[];
-0.815070736	-0.567380685	-0.117212854	0_1	 + 1	PD[];
0.595180026	0.478294414	0.645751647	2_1s|2_1m	 - A^(-10) + A^(-6) + A^(-4)	PD[X[2,1,3,0],X[1,4,2,3]];
-0.560145022	-0.452587331	0.693831581	0_1	 + 1	PD[];
-0.484756287	-0.814334939	-0.319170722	2_1s|2_1m	 - A^(-10) + A^(-6) + A^(-4)	PD[X[0,4,1,3],X[1,6,2,5],X[4,3,5,2]];
-0.96858793	-0.234076107	-0.0839392571	0_1	 + 1	PD[];
-0.833748243	0.399578844	-0.381051984	0_1	 + 1	PD[];
-0.841508481	0.484970446	-0.238048615	0_1	 + 1	PD[];
-0.490432448	-0.580672518	0.649842628	0_1	 + 1	PD[];
0.439030302	-0.455861677	-0.774236737	0_1	 + 1	PD[];
-0.933154053	-0.296631264	-0.203060108	0_1	 + 1	PD[];
0.204785707	-0.686667368	-0.697531892	0_1	 + 1	PD[];
-0.951825554	-0.231111512	-0.201533081	0_1	 + 1	PD[];
-0.537812301	-0.838459565	0.0879970873	0_1	 + 1	PD[];
0.411989951	0.910873839	0.0239401381	0_1	 + 1	PD[X[2,1,3,0],X[3,1,4,2]];
0.504333889	0.774815868	0.38119247	2_1s|2_1m	 - A^(-10) + A^(-6) + A^(-4)	PD[X[3,1,4,0],X[5,2,6,1],X[2,5,3,4]];
-0.949537046	0.197641704	0.243551133	0_1	 + 1	PD[];
-0.00889003176	0.137674759	-0.990437594	0_1	 + 1	PD[];
0.665898849	0.520580788	-0.534391585	0_1	 + 1	PD[];
-0.021190251	0.0744834793	0.996997084	0_1	 + 1	PD[];
0.973517477	-0.227985799	-0.0169173661	0_1	 + 1	PD[];
-0.643473829	0.551471524	0.53086777	0_1	 + 1	PD[];
0.567104747	0.0510895934	-0.822059644	0_1	 + 1	PD[];
0.942817356	-0.0862520185	-0.321956553	0_1	 + 1	PD[];
0.955920287	-0.267861956	-0.12027625	0_1	 + 1	PD[];
0.376844668	-0.796724753	-0.472459273	0_1	 + 1	PD[];
0.296757602	-0.499502187	0.813899558	0_1	 + 1	PD[];
-0.171239716	0.570009394	0.803595825	0_1	 + 1	PD[];
0.828110504	0.433569843	-0.355317019	0_1	 + 1	PD[];
-0.207693104	0.0610932837	-0.976284377	0_1	 + 1	PD[];
-0.245527217	-0.875865601	-0.415422477	2_1s|2_1m	 - A^(-10) + A^(-6) + A^(-4)	PD[X[0,4,1,3],X[1,6,2,5],X[4,3,5,2]];
0.120397423	-0.968241588	-0.219117979	0_1	 + 1	PD[];
0.812369521	0.494752858	0.308667089	2_1s|2_1m	 - A^(-10) + A^(-6) + A^(-4)	PD[X[2,1,3,0],X[1,4,2,3]];
0.00677173569	0.995601061	0.0934487614	0_1	 + 1	PD[];
0.709484508	0.695647755	0.112720601	0_1	 + 1	PD[];
0.413557576	0.837392861	0.357411986	2_1s|2_1m	 - A^(-10) + A^(-6) + A^(-4)	PD[X[3,1,4,0],X[5,2,6,1],X[2,5,3,4]];
-0.389843435	0.851227155	-0.35133236	0_1	 + 1	PD[];
0.035129653	-0.141199548	-0.989357668	0_1	 + 1	PD[];
