#projection.x	projection.y	projection.z	knotoid_type	polynomial	PD_code
0.167158529	0.985908986	-0.00644178921	0_1	 + 1	PD[];
-0.459114596	0.19030203	0.867755107	0_1	 + 1	PD[];
0.154039762	0.854468734	-0.496140036	0_1	 + 1	PD[];
0.483285298	-0.606078581	-0.631746843	0_1	 + 1	PD[];
-0.2131013	-0.960039303	0.181417677	0_1	 + 1	PD[];
0.489979455	0.834521974	0.25197859	2_1s|2_1m	 - A^(-10) + A^(-6) + A^(-4)	PD[X[0,3,1,2],X[3,2,4,1]];
-0.841589938	-0.54011159	0.00241797324	2_1s|2_1m	 - A^(-10) + A^(-6) + A^(-4)	PD[X[2,1,3,0],X[1,4,2,3]];
-0.729340563	0.54180118	-0.417748518	2_1s|2_1m	 - A^(-10) + A^(-6) + A^(-4)	PD[X[4,1,5,0],X[1,4,2,3],X[5,3,6,2]];
0.923856496	0.309951223	0.224542679	2_1s|2_1m	 - A^(-10) + A^(-6) + A^(-4)	PD[X[0,4,1,3],X[1,6,2,5],X[4,3,5,2]];
0.458109429	-0.0813006368	-0.885170016	0_1	 + 1	PD[];
0.84154512	-0.536564868	-0.0624496103	0_1	 + 1	PD[];
0.919403943	0.366637903	0.142383419	2_1s|2_1m	 - A^(-10) + A^(-6) + A^(-4)	PD[X[0,3,1,2],X[3,2,4,1]];
0.247463918	-0.964563724	0.0915337745	0_1	 + 1	PD[];
-0.229024016	-0.728854333	0.645228147	0_1	 + 1	PD[];
-0.644678463	0.739342601	-0.194324979	2_1s|2_1m	 - A^(-10) + A^(-6) + A^(-4)	PD[X[0,3,1,2],X[3,2,4,1]];
0.651963528	-0.478508832	-0.588194573	0_1	 + 1	PD[];
-0.360897313	0.14476797	-0.921300909	3_1m	 - A^(-16) + A^(-12) + A^(-4)	PD[X[0,4,1,3],X[4,2,5,1],X[2,6,3,5]];
-0.0266111129	0.923381774	-0.382959461	0_1	 + 1	PD[];
0.617044718	-0.786050349	-0.0371572976	2_1s|2_1m	 - A^(-10) + A^(-6) + A^(-4)	PD[X[0,5,1,4],X[3,2,4,1],X[2,6,3,5]];
-0.252006486	-0.0124068807	-0.96764601	3_1m	 - A^(-16) + A^(-12) + A^(-4)	PD[X[7,5,8,4],X[3,1,4,0],X[2,6,3,5],X[6,2,7,1]];
0.935873012	0.322518027	0.141858477	2_1s|2_1m	 - A^(-10) + A^(-6) + A^(-4)	PD[X[0,3,1,2],X[3,2,4,1]];
0.236579576	0.817898646	0.524472983	0_1	 + 1	PD[];
-0.831062234	0.523982802	0.186487499	0_1	 + 1	PD[];
