#projection.x	projection.y	projection.z	knotoid_type	polynomial	PD_code
-0.987774475	-0.0455773005	0.149078156	0_1	 + 1	PD[];
-0.650018957	0.203042387	0.732290342	0_1	 + 1	PD[];
-0.438176722	-0.47474888	0.763291989	0_1	 + 1	PD[];
-0.932440381	0.231212677	-0.277661004	0_1	 + 1	PD[];
-0.515282157	-0.661833092	0.544482559	0_1	 + 1	PD[X[2,0,3,1],X[3,2,4,1]];
-0.588811594	0.196514635	-0.784017158	0_1	 + 1	PD[];
-0.196936335	0.849395138	0.48963658	0_1	 + 1	PD[];
-0.438527483	-0.572009902	0.69317986	0_1	 + 1	PD[];
0.579053984	-0.392714791	0.714472936	0_1	 + 1	PD[];
-0.972522643	-0.155524616	0.173239146	0_1	 + 1	PD[X[0,3,1,2],X[1,3,2,4]];
0.80985064	-0.375445485	-0.450757839	0_1	 + 1	PD[];
-0.800375863	-0.454773469	-0.390614349	0_1	 + 1	PD[X[2,0,3,1],X[3,2,4,1]];
0.951875867	-0.287293047	-0.106747545	0_1	 + 1	PD[];
-0.573218456	-0.203079109	-0.793838446	0_1	 + 1	PD[];
-0.180192492	0.50028389	-0.846904183	0_1	 + 1	PD[];
-0.853993995	-0.481871951	0.196198063	0_1	 + 1	PD[];
-0.40727191	-0.910122041	0.0762067055	0_1	 + 1	PD[];
0.0158085777	-0.633783908	0.773348594	0_1	 + 1	PD[];
-0.262145766	0.636161992	0.725656611	0_1	 + 1	PD[];
-0.0395324073	-0.683189456	-0.729170321	0_1	 + 1	PD[];
-0.629330243	0.776098362	-0.0401842939	0_1	 + 1	PD[];
0.255009148	0.856227295	0.449271804	0_1	 + 1	PD[];
-0.676050415	0.526478639	0.51553475	0_1	 + 1	PD[];
0.955065799	-0.0844246507	0.284115816	0_1	 + 1	PD[X[2,1,3,0],X[3,1,4,2]];
-0.835762873	0.372719341	0.403212986	0_1	 + 1	PD[];
0.435729942	-0.223428683	0.871905408	0_1	 + 1	PD[];
0.975448826	0.0178259704	0.219503581	0_1	 + 1	PD[X[2,1,3,0],X[3,1,4,2]];
-0.492077847	0.0307064792	-0.870009486	0_1	 + 1	PD[];
-0.101886917	0.65024048	0.752865442	0_1	 + 1	PD[];
0.6531671	0.0851864684	0.752406809	0_1	 + 1	PD[];
-0.990788374	0.0258113278	-0.132936724	0_1	 + 1	PD[];
-0.37916898	-0.578442063	-0.722243494	0_1	 + 1	PD[];
0.0698851094	-0.916333582	-0.394270007	0_1	 + 1	PD[];
0.747628461	0.513841981	0.420735193	0_1	 + 1	PD[X[2,1,3,0],X[3,1,4,2]];
0.212690047	-0.790119777	0.574868403	0_1	 + 1	PD[];
-0.715022452	-0.324370558	-0.619295272	0_1	 + 1	PD[X[2,0,3,1],X[3,2,4,1]];
-0.0086994347	0.286051731	-0.958174685	0_1	 + 1	PD[];
-0.00880668344	-0.729225185	-0.684217124	0_1	 + 1	PD[];
0.972328329	0.218866901	0.0817000642	0_1	 + 1	PD[X[0,2,1,3],X[1,4,2,3],X[6,5,7,4],X[7,5,8,6]];
-0.0740025489	0.138203797	-0.987635223	0_1	 + 1	PD[];
0.200762588	-0.587937687	-0.783596618	0_1	 + 1	PD[];
-0.192615567	0.806191689	-0.559423099	0_1	 + 1	PD[];
0.287758831	-0.93315932	0.215426412	0_1	 + 1	PD[];
-0.0460049034	0.938744468	-0.34152946	0_1	 + 1	PD[];
0.479129171	-0.500708389	0.720920485	0_1	 + 1	PD[];
0.883376771	-0.44004391	-0.161266358	0_1	 + 1	PD[];
0.401539155	-0.912272313	-0.0807807771	0_1	 + 1	PD[];
0.708018556	-0.705390275	-0.0336791468	0_1	 + 1	PD[];
-0.163982213	0.66218988	0.731173302	0_1	 + 1	PD[];
0.781700709	-0.146202517	-0.606274546	0_1	 + 1	PD[X[0,2,1,3],X[1,4,2,3]];
-0.951896041	0.306412993	-0.00223711552	0_1	 + 1	PD[];
-0.741532337	0.294852703	0.602653862	0_1	 + 1	PD[];
0.524147194	0.0921241558	0.846630297	0_1	 + 1	PD[];
-0.743586017	-0.0961956962	0.661684383	0_1	 + 1	PD[];
0.363182861	0.930167542	-0.053726662	0_1	 + 1	PD[];
-0.356947016	-0.820880854	-0.445806518	0_1	 + 1	PD[];
-0.413664164	-0.365367032	0.833899809	0_1	 + 1	PD[];
-0.0350138895	-0.0601439378	-0.997575428	0_1	 + 1	PD[];
0.130003196	-0.931635067	0.339345355	0_1	 + 1	PD[];
0.195176209	0.88742963	-0.417582207	0_1	 + 1	PD[];
-0.832452119	0.395530719	0.388044996	0_1	 + 1	PD[];
-0.386854894	0.883944919	0.262649333	0_1	 + 1	PD[];
-0.354228529	0.310054207	-0.882263304	0_1	 + 1	PD[];
0.44604046	-0.403573536	-0.79885938	0_1	 + 1	PD[];
-0.40827713	0.860476261	0.304779246	0_1	 + 1	PD[];
0.746694849	-0.315483825	-0.585590948	0_1	 + 1	PD[];
0.756810828	-0.314435075	-0.573033991	0_1	 + 1	PD[];
-0.624279629	-0.771503897	0.122705671	0_1	 + 1	PD[X[2,0,3,1],X[3,2,4,1]];
-0.0914448862	0.444317059	0.891190318	0_1	 + 1	PD[];
-0.791511798	0.341183573	-0.507053097	0_1	 + 1	PD[];
-0.877262793	-0.392292212	0.276616725	0_1	 + 1	PD[];
0.726653192	-0.30031398	0.617888867	0_1	 + 1	PD[];
0.747550514	-0.372791746	0.549722242	0_1	 + 1	PD[];
0.426749709	-0.456457557	0.780724782	0_1	 + 1	PD[];
0.0707490731	-0.265658122	0.9614678	0_1	 + 1	PD[];
