#projection.x	projection.y	projection.z	knotoid_type	polynomial	PD_code
0.638509549	0.262140573	-0.723593723	0_1	 + 1	PD[];
0.026256472	-0.971244766	0.236630942	2_1s|2_1m	 - A^(-10) + A^(-6) + A^(-4)	PD[X[2,1,3,0],X[1,4,2,3]];
0.953191495	-0.299180096	-0.0437863562	2_1s|2_1m	 - A^(-10) + A^(-6) + A^(-4)	PD[X[0,3,1,2],X[3,2,4,1]];
-0.434979383	-0.890915853	0.13062113	0_1	 + 1	PD[];
-0.606100675	0.759124791	0.23742688	2_1s|2_1m	 - A^(-10) + A^(-6) + A^(-4)	PD[X[3,1,4,0],X[5,2,6,1],X[2,5,3,4]];
-0.907028936	0.359719689	0.21886127	2_1s|2_1m	 - A^(-10) + A^(-6) + A^(-4)	PD[X[2,1,3,0],X[1,4,2,3]];
-0.833553533	-0.525556372	0.170232218	0_1	 + 1	PD[];
0.747625693	0.24687931	0.61652772	2_1s|2_1m	 - A^(-10) + A^(-6) + A^(-4)	PD[X[3,1,4,0],X[5,2,6,1],X[2,5,3,4]];
-0.545259045	-0.405649896	-0.733580763	2_1s|2_1m	 - A^(-10) + A^(-6) + A^(-4)	PD[X[0,4,1,3],X[1,6,2,5],X[4,3,5,2]];
0.931188009	0.0139933678	0.36427061	3_1m	 - A^(-16) + A^(-12) + A^(-4)	PD[X[5,1,6,0],X[1,5,2,4],X[2,8,3,7],X[6,4,7,3]];
0.61876356	-0.784187423	0.046709124	3_1m	 - A^(-16) + A^(-12) + A^(-4)	PD[X[5,1,6,0],X[1,5,2,4],X[2,8,3,7],X[6,4,7,3]];
-0.280384241	0.894441293	0.348366833	0_1	 + 1	PD[];
0.17018819	0.89315418	-0.416307088	0_1	 + 1	PD[];
-0.827826662	0.0568087958	-0.558100151	3_1m	 - A^(-16) + A^(-12) + A^(-4)	PD[X[0,4,1,3],X[4,2,5,1],X[2,6,3,5]];
-0.18041276	-0.904922642	-0.385442924	2_1s|2_1m	 - A^(-10) + A^(-6) + A^(-4)	PD[X[0,4,1,3],X[1,6,2,5],X[4,3,5,2]];
-0.156427221	0.544763218	-0.823871083	2_1s|2_1m	 - A^(-10) + A^(-6) + A^(-4)	PD[X[0,4,1,3],X[4,3,5,2],X[1,6,2,5]];
0.533506936	0.570212623	-0.62468225	0_1	 + 1	PD[];
0.763739938	-0.547566288	0.341866153	3_1m	 - A^(-16) + A^(-12) + A^(-4)	PD[X[3,1,4,0],X[1,5,2,4],X[5,3,6,2]];
0.768746343	-0.241342076	0.592269417	3_1m	 - A^(-16) + A^(-12) + A^(-4)	PD[X[3,1,4,0],X[1,5,2,4],X[5,3,6,2]];
0.70124298	0.314143594	-0.639978192	0_1	 + 1	PD[];
0.544464464	-0.399640459	0.737459118	3_1m	 - A^(-16) + A^(-12) + A^(-4)	PD[X[3,1,4,0],X[1,5,2,4],X[5,3,6,2]];
0.710763652	-0.561743888	0.423389697	3_1m	 - A^(-16) + A^(-12) + A^(-4)	PD[X[3,1,4,0],X[1,5,2,4],X[5,3,6,2]];
0.696678855	0.540513244	-0.471682102	0_1	 + 1	PD[];
0.745644929	0.348461865	-0.567968281	0_1	 + 1	PD[];
-0.252879847	0.967273795	-0.020813195	2_1s|2_1m	 - A^(-10) + A^(-6) + A^(-4)	PD[X[4,1,5,0],X[1,4,2,3],X[5,3,6,2]];
0.0557400996	0.674858343	0.735839153	0_1	 + 1	PD[];
-0.263834091	-0.757191954	0.597538214	0_1	 + 1	PD[];
0.608978515	-0.493678834	0.620827172	3_1m	 - A^(-16) + A^(-12) + A^(-4)	PD[X[3,1,4,0],X[1,5,2,4],X[5,3,6,2]];
0.318660396	-0.35773879	-0.877769053	0_1	 + 1	PD[];
0.691768347	-0.316021153	-0.649297455	0_1	 + 1	PD[];
0.782463725	0.440861686	-0.439762997	0_1	 + 1	PD[];
-0.751648525	0.367652593	-0.547591148	3_1m	 - A^(-16) + A^(-12) + A^(-4)	PD[X[0,4,1,3],X[4,2,5,1],X[2,6,3,5]];
-0.0728018341	0.179019603	-0.981148243	0_1	 + 1	PD[];
-0.819946582	0.34101509	0.459778545	0_1	 + 1	PD[];
-0.648740173	0.759079764	-0.0541673261	3_1m	 - A^(-16) + A^(-12) + A^(-4)	PD[X[0,6,1,5],X[4,2,5,1],X[7,3,8,2],X[3,7,4,6]];
0.725969122	0.0571353668	-0.685349826	0_1	 + 1	PD[];
-0.0702248831	0.994218259	0.0812312677	2_1s|2_1m	 - A^(-10) + A^(-6) + A^(-4)	PD[X[0,3,1,2],X[3,2,4,1]];
-0.323168928	-0.842034669	-0.431902141	2_1s|2_1m	 - A^(-10) + A^(-6) + A^(-4)	PD[X[0,4,1,3],X[1,6,2,5],X[4,3,5,2]];
0.0696878693	-0.116769667	0.990711081	0_1	 + 1	PD[];
0.542450217	0.7678774	-0.3407522	0_1	 + 1	PD[];
0.792674746	0.512726838	0.329815003	2_1s|2_1m	 - A^(-10) + A^(-6) + A^(-4)	PD[X[2,1,3,0],X[1,4,2,3]];
0.741317656	-0.218719307	-0.634515562	0_1	 + 1	PD[];
0.40739602	0.816304984	0.409480959	2_1s|2_1m	 - A^(-10) + A^(-6) + A^(-4)	PD[X[3,1,4,0],X[5,2,6,1],X[2,5,3,4]];
0.0648192277	-0.973819455	-0.217885606	3_1m	 - A^(-16) + A^(-12) + A^(-4)	PD[X[5,1,6,0],X[1,5,2,4],X[2,8,3,7],X[6,4,7,3]];
0.244968073	-0.363503905	-0.898807852	0_1	 + 1	PD[];
0.829901551	-0.553339557	-0.0712653459	2_1s|2_1m	 - A^(-10) + A^(-6) + A^(-4)	PD[X[0,4,1,3],X[1,6,2,5],X[4,3,5,2]];
-0.819161641	-0.563005865	0.109538135	0_1	 + 1	PD[];
0.865857246	-0.256118418	0.42976108	3_1m	 - A^(-16) + A^(-12) + A^(-4)	PD[X[3,1,4,0],X[1,5,2,4],X[5,3,6,2]];
0.613399948	-0.73786274	-0.281600923	2_1s|2_1m	 - A^(-10) + A^(-6) + A^(-4)	PD[X[0,4,1,3],X[1,6,2,5],X[4,3,5,2]];
-0.0212858985	0.481791127	0.876027523	0_1	 + 1	PD[];
-0.754482622	-0.613400909	-0.233442282	2_1s|2_1m	 - A^(-10) + A^(-6) + A^(-4)	PD[X[0,3,1,2],X[3,2,4,1]];
0.753023041	-0.451571336	-0.478580848	2_1s|2_1m	 - A^(-10) + A^(-6) + A^(-4)	PD[X[0,3,1,2],X[3,2,4,1]];
0.632552746	0.747592087	0.202442819	0_1	 + 1	PD[];
-0.275957497	-0.84250349	-0.462639525	2_1s|2_1m	 - A^(-10) + A^(-6) + A^(-4)	PD[X[0,4,1,3],X[1,6,2,5],X[4,3,5,2]];
0.290912303	0.94593511	0.143446154	2_1s|2_1m	 - A^(-10) + A^(-6) + A^(-4)	PD[X[0,3,1,2],X[3,2,4,1]];
0.169964302	0.742853386	-0.647519099	0_1	 + 1	PD[];
-0.670682773	-0.38680512	-0.632903166	2_1s|2_1m	 - A^(-10) + A^(-6) + A^(-4)	PD[X[0,4,1,3],X[1,6,2,5],X[4,3,5,2]];
0.752295576	0.638445987	-0.162597933	0_1	 + 1	PD[];
0.808262878	0.00135054281	0.588820257	2_1s|2_1m	 - A^(-10) + A^(-6) + A^(-4)	PD[X[3,1,4,0],X[5,2,6,1],X[2,5,3,4]];
0.355854564	-0.755219466	0.550464429	3_1m	 - A^(-16) + A^(-12) + A^(-4)	PD[X[3,1,4,0],X[1,5,2,4],X[5,3,6,2]];
0.531613734	-0.830711332	0.165243822	3_1m	 - A^(-16) + A^(-12) + A^(-4)	PD[X[3,1,4,0],X[1,5,2,4],X[5,3,6,2]];
-0.0872700212	-0.253587007	-0.963367829	0_1	 + 1	PD[];
0.31223582	0.517947669	0.796391238	2_1s|2_1m	 - A^(-10) + A^(-6) + A^(-4)	PD[X[3,1,4,0],X[5,2,6,1],X[2,5,3,4]];
0.367517378	0.681028498	-0.633349163	0_1	 + 1	PD[];
0.887883438	-0.445555589	0.114643872	2_1s|2_1m	 - A^(-10) + A^(-6) + A^(-4)	PD[X[0,4,1,3],X[1,6,2,5],X[4,3,5,2]];
0.939769562	0.0379751947	0.339692587	3_1m	 - A^(-16) + A^(-12) + A^(-4)	PD[X[5,1,6,0],X[1,5,2,4],X[2,8,3,7],X[6,4,7,3]];
-0.847387757	-0.19486993	0.493922767	0_1	 + 1	PD[];
-0.432875466	-0.743717624	0.509414298	0_1	 + 1	PD[];
0.424086074	-0.747582297	0.511147446	3_1m	 - A^(-16) + A^(-12) + A^(-4)	PD[X[3,1,4,0],X[1,5,2,4],X[5,3,6,2]];
0.630073256	-0.526725916	-0.570585228	0_1	 + 1	PD[];
0.60417064	-0.788068289	0.118009357	3_1m	 - A^(-16) + A^(-12) + A^(-4)	PD[X[3,1,4,0],X[1,5,2,4],X[5,3,6,2]];
0.549481066	-0.690886427	0.469836676	3_1m	 - A^(-16) + A^(-12) + A^(-4)	PD[X[3,1,4,0],X[1,5,2,4],X[5,3,6,2]];
-0.205646957	-0.541804367	-0.8149585	2_1s|2_1m	 - A^(-10) + A^(-6) + A^(-4)	PD[X[0,4,1,3],X[1,6,2,5],X[4,3,5,2]];
0.012922247	-0.17896399	-0.983770759	0_1	 + 1	PD[];
0.300338764	0.933031572	0.198112878	2_1s|2_1m	 - A^(-10) + A^(-6) + A^(-4)	PD[X[0,3,1,2],X[3,2,4,1]];
0.532087679	0.502790542	-0.681237384	0_1	 + 1	PD[];
-0.914317619	0.364176283	-0.177197424	2_1s|2_1m	 - A^(-10) + A^(-6) + A^(-4)	PD[X[3,1,4,0],X[5,2,6,1],X[2,5,3,4]];
0.0802377492	0.525179761	-0.847200166	0_1	 + 1	PD[];
-0.570992887	0.228733962	-0.788446509	3_1m	 - A^(-16) + A^(-12) + A^(-4)	PD[X[0,4,1,3],X[4,2,5,1],X[2,6,3,5]];
-0.125762748	-0.0328263451	-0.991517101	0_1	 + 1	PD[];
-0.909313278	0.404111201	-0.0992144113	2_1s|2_1m	 - A^(-10) + A^(-6) + A^(-4)	PD[X[3,1,4,0],X[5,2,6,1],X[2,5,3,4]];
0.834409672	-0.536065181	0.128041478	3_1m	 - A^(-16) + A^(-12) + A^(-4)	PD[X[5,1,6,0],X[1,5,2,4],X[2,8,3,7],X[6,4,7,3]];
-0.433771502	-0.831745644	0.34647001	0_1	 + 1	PD[];
-0.687003246	-0.638860005	-0.346243317	2_1s|2_1m	 - A^(-10) + A^(-6) + A^(-4)	PD[X[0,3,1,2],X[3,2,4,1]];
0.718771334	0.0832234939	-0.690247505	0_1	 + 1	PD[];
-0.977638408	-0.1953676	-0.0778115923	0_1	 + 1	PD[];
-0.42707826	-0.903785936	0.0278413831	0_1	 + 1	PD[];
-0.980585176	-0.178387238	-0.0814291476	0_1	 + 1	PD[];
-0.284013107	-0.0480150832	0.957617411	0_1	 + 1	PD[];
-0.728313435	-0.332398121	0.599225358	0_1	 + 1	PD[];
-0.581636249	-0.81342638	-0.00606609276	0_1	 + 1	PD[];
-0.675171875	-0.052041358	0.735822421	0_1	 + 1	PD[];
-0.721124079	-0.259078668	-0.64254051	2_1s|2_1m	 - A^(-10) + A^(-6) + A^(-4)	PD[X[0,4,1,3],X[1,6,2,5],X[4,3,5,2]];
-0.478013496	-0.755528625	-0.447972761	2_1s|2_1m	 - A^(-10) + A^(-6) + A^(-4)	PD[X[0,4,1,3],X[1,6,2,5],X[4,3,5,2]];
-0.88628907	0.404024776	-0.226397138	3_1m	 - A^(-16) + A^(-12) + A^(-4)	PD[X[0,6,1,5],X[4,2,5,1],X[7,3,8,2],X[3,7,4,6]];
-0.606724537	0.743880346	-0.28022735	3_1m	 - A^(-16) + A^(-12) + A^(-4)	PD[X[0,4,1,3],X[4,2,5,1],X[2,6,3,5]];
0.152522262	-0.916504807	-0.369805218	2_1s|2_1m	 - A^(-10) + A^(-6) + A^(-4)	PD[X[4,1,5,0],X[1,4,2,3],X[5,3,6,2]];
-0.68639705	0.255703579	-0.680789812	3_1m	 - A^(-16) + A^(-12) + A^(-4)	PD[X[0,4,1,3],X[4,2,5,1],X[2,6,3,5]];
