#projection.x	projection.y	projection.z	knotoid_type	polynomial	PD_code
-0.85336891	-0.311699598	0.417857468	0_1	 + 1	PD[];
-0.722061116	-0.333202024	0.606303683	0_1	 + 1	PD[];
0.590390691	-0.272783359	0.759623638	4_6s|4_6m	 - A^(-22) + A^(-18) - A^(-14) + A^(-10) + A^(-8)	PD[X[7,11,8,10],X[1,10,2,9],X[5,1,6,0],X[4,7,5,6],X[8,3,9,2],X[11,4,12,3]];
0.279139838	0.714724048	0.641288145	3_1m	 - A^(-16) + A^(-12) + A^(-4)	PD[X[3,1,4,0],X[1,5,2,4],X[5,3,6,2]];
0.0699630171	0.550845732	-0.831669499	2_1s|2_1m	 - A^(-10) + A^(-6) + A^(-4)	PD[X[2,1,3,0],X[1,4,2,3]];
-0.53784458	0.0876966454	-0.838470337	UNKNOWN	 - A^(-30) + 3*A^(-26) - 5*A^(-22) - 3*A^(-20) + 5*A^(-18) + 5*A^(-16) - 2*A^(-14) - 4*A^(-12) + 3*A^(-8) + A^(-6) - A^(-2)	PD[X[0,15,1,14],X[9,19,10,18],X[22,18,23,17],X[21,9,22,8],X[20,2,21,1],X[5,11,6,12],X[3,11,4,10],X[12,16,13,17],X[13,7,14,8],X[2,20,3,19],X[15,7,16,6],X[4,24,5,23]];
-0.147916139	0.978300648	-0.145081559	3_1m	 - A^(-16) + A^(-12) + A^(-4)	PD[X[3,1,4,0],X[1,5,2,4],X[5,3,6,2]];
-0.6383331	-0.0416140116	0.768634587	2_1s|2_1m	 - A^(-10) + A^(-6) + A^(-4)	PD[X[0,3,1,2],X[3,2,4,1]];
-0.302407639	-0.62964277	-0.715611349	3_1m	 - A^(-16) + A^(-12) + A^(-4)	PD[X[0,4,1,3],X[4,2,5,1],X[2,6,3,5]];
0.79986649	0.598826149	-0.0402596723	0_1	 + 1	PD[];
0.33517799	-0.644979592	0.686772918	3_1m	 - A^(-16) + A^(-12) + A^(-4)	PD[X[0,6,1,5],X[4,2,5,1],X[7,3,8,2],X[3,7,4,6]];
0.638391467	0.734542601	0.230007613	0_1	 + 1	PD[];
0.822003734	0.340644249	0.456367569	2_1s|2_1m	 - A^(-10) + A^(-6) + A^(-4)	PD[X[0,3,1,2],X[3,2,4,1]];
0.0420690005	-0.978352246	-0.202625473	3_1m	 - A^(-16) + A^(-12) + A^(-4)	PD[X[0,4,1,3],X[4,2,5,1],X[2,6,3,5]];
-0.539770931	-0.217996312	0.813095904	2_1s|2_1m	 - A^(-10) + A^(-6) + A^(-4)	PD[X[2,1,3,0],X[1,4,2,3]];
-0.726073357	-0.54329691	0.421480661	0_1	 + 1	PD[];
0.479277765	-0.874146078	-0.0784949646	3_1m	 - A^(-16) + A^(-12) + A^(-4)	PD[X[0,4,1,3],X[4,2,5,1],X[2,6,3,5]];
-0.839164816	-0.324998203	0.436094691	0_1	 + 1	PD[];
-0.197079902	0.260684979	0.945094098	3_1m	 - A^(-16) + A^(-12) + A^(-4)	PD[X[0,4,1,3],X[4,2,5,1],X[2,6,3,5]];
0.639827466	0.0147410264	-0.768377196	2_1s|2_1m	 - A^(-10) + A^(-6) + A^(-4)	PD[X[2,1,3,0],X[1,4,2,3]];
-0.704333881	-0.697827095	-0.130196507	2_1s|2_1m	 - A^(-10) + A^(-6) + A^(-4)	PD[X[0,3,1,2],X[3,2,4,1]];
0.110838885	0.825784399	-0.552987222	3_1m	 - A^(-16) + A^(-12) + A^(-4)	PD[X[3,1,4,0],X[1,5,2,4],X[5,3,6,2]];
-0.30240261	-0.948080943	-0.0984641369	2_1s|2_1m	 - A^(-10) + A^(-6) + A^(-4)	PD[X[0,3,1,2],X[3,2,4,1]];
0.713597333	0.688359781	0.130152443	2_1s|2_1m	 - A^(-10) + A^(-6) + A^(-4)	PD[X[2,1,3,0],X[1,4,2,3]];
-0.514165681	0.820871128	-0.248604593	3_1m	 - A^(-16) + A^(-12) + A^(-4)	PD[X[5,1,6,0],X[1,5,2,4],X[2,8,3,7],X[6,4,7,3]];
-0.405065314	0.673717749	-0.618082912	3_1m	 - A^(-16) + A^(-12) + A^(-4)	PD[X[5,1,6,0],X[1,5,2,4],X[2,8,3,7],X[6,4,7,3]];
-0.88529467	0.422547866	-0.194181998	4_6s|4_6m	 - A^(-22) + A^(-18) - A^(-14) + A^(-10) + A^(-8)	PD[X[1,8,2,7],X[6,5,7,4],X[8,3,9,2],X[3,10,4,9],X[0,6,1,5]];
-0.739251453	-0.00185682406	0.673426939	4_6s|4_6m	 - A^(-22) + A^(-18) - A^(-14) + A^(-10) + A^(-8)	PD[X[7,11,8,10],X[3,10,4,9],X[1,12,2,11],X[6,1,7,0],X[8,5,9,4],X[2,6,3,5]];
-0.0567805868	0.919323371	-0.389384776	2_1s|2_1m	 - A^(-10) + A^(-6) + A^(-4)	PD[X[2,1,3,0],X[1,4,2,3]];
0.529466522	0.122918745	-0.839378451	0_1	 + 1	PD[];
-0.416653059	-0.565383484	0.711857953	3_1m	 - A^(-16) + A^(-12) + A^(-4)	PD[X[0,4,1,3],X[4,2,5,1],X[2,6,3,5]];
0.667062058	0.716571319	-0.203847383	2_1s|2_1m	 - A^(-10) + A^(-6) + A^(-4)	PD[X[2,1,3,0],X[1,4,2,3]];
