#projection.x	projection.y	projection.z	knotoid_type	polynomial	PD_code
-0.812277143	0.398666909	0.42575878	0_1	 + 1	PD[];
0.0109738357	0.497114782	0.867615392	0_1	 + 1	PD[];
0.974397639	-0.175945252	0.139973245	0_1	 + 1	PD[];
-0.344242163	-0.0226776466	0.938606977	0_1	 + 1	PD[];
-0.577767196	-0.665107236	-0.473093471	0_1	 + 1	PD[];
-0.131593951	0.928897623	-0.346167933	0_1	 + 1	PD[];
-0.409483243	0.800933915	0.436839028	0_1	 + 1	PD[];
0.520685597	0.633699739	0.572111134	0_1	 + 1	PD[];
-0.112489011	0.891255907	0.439328044	0_1	 + 1	PD[];
-0.0345094626	0.889618122	0.455399488	0_1	 + 1	PD[];
-0.585095193	0.808993836	0.056502989	0_1	 + 1	PD[];
0.510173282	-0.806973386	-0.297518365	0_1	 + 1	PD[];
-0.389483738	-0.285962444	-0.87551579	0_1	 + 1	PD[];
-0.0879209208	0.948845683	0.303252011	0_1	 + 1	PD[];
0.622145343	-0.40053085	-0.672688792	0_1	 + 1	PD[];
0.719005746	0.2754881	0.638072915	0_1	 + 1	PD[];
0.152225089	-0.973353897	-0.171492605	0_1	 + 1	PD[];
-0.538115846	0.81875005	0.200199132	0_1	 + 1	PD[];
-0.719161376	-0.194821347	-0.666971932	0_1	 + 1	PD[];
-0.201837874	0.617735371	0.760042422	0_1	 + 1	PD[];
-0.703603634	0.49389847	-0.510887686	0_1	 + 1	PD[];
-0.630828711	0.744685191	-0.217942891	0_1	 + 1	PD[];
-0.149754934	0.929779867	-0.336277949	0_1	 + 1	PD[];
0.10318944	-0.128335197	0.986347817	0_1	 + 1	PD[];
0.696992246	-0.592878362	0.403357233	0_1	 + 1	PD[];
0.68475774	0.569032801	0.455311441	0_1	 + 1	PD[];
-0.621267042	-0.539987587	0.567838593	2_1s|2_1m	 - A^(-10) + A^(-6) + A^(-4)	PD[X[0,3,1,2],X[3,2,4,1]];
-0.439064087	0.359818048	-0.823257979	0_1	 + 1	PD[X[0,3,1,2],X[1,3,2,4]];
-0.385336369	0.916611591	-0.106485087	0_1	 + 1	PD[];
0.669351356	0.67076135	-0.319449486	2_1s|2_1m	 - A^(-10) + A^(-6) + A^(-4)	PD[X[2,1,3,0],X[1,4,2,3]];
-0.222111012	-0.395284005	-0.891300877	0_1	 + 1	PD[];
0.808858546	0.30504812	-0.502686282	0_1	 + 1	PD[];
-0.302623933	0.94411724	-0.130619264	0_1	 + 1	PD[];
0.0703883912	0.088879273	0.993552187	0_1	 + 1	PD[];
0.10819252	0.206476826	0.972451387	0_1	 + 1	PD[];
0.319675355	0.302696037	-0.897876816	0_1	 + 1	PD[];
0.98395919	0.171578715	0.0488370354	0_1	 + 1	PD[];
0.941237312	-0.272518932	-0.199513794	0_1	 + 1	PD[];
0.70748607	0.624342164	0.33115	0_1	 + 1	PD[];
0.526331385	0.832923367	0.170920855	0_1	 + 1	PD[];
0.923901787	0.27216574	0.268944787	0_1	 + 1	PD[];
0.547929908	0.0466986575	-0.835219762	0_1	 + 1	PD[];
0.197579205	-0.784693376	0.587553201	0_1	 + 1	PD[];
-0.734487716	-0.675802004	-0.0618016678	0_1	 + 1	PD[];
0.366059336	0.473420973	0.80116986	0_1	 + 1	PD[X[2,0,3,1],X[3,2,4,1]];
0.341898101	-0.139549498	-0.929317828	0_1	 + 1	PD[];
-0.743359497	0.110599157	-0.65968514	0_1	 + 1	PD[];
-0.160322631	0.179249606	-0.970652478	0_1	 + 1	PD[];
0.980692152	-0.144751142	0.131491486	0_1	 + 1	PD[];
-0.657171597	-0.720441665	0.22156105	0_1	 + 1	PD[];
-0.0129339839	0.112766014	-0.993537386	0_1	 + 1	PD[];
0.209688566	0.189115935	0.959304888	0_1	 + 1	PD[];
0.169536357	-0.546231573	0.820297807	0_1	 + 1	PD[];
-0.978885491	0.203949028	-0.0137109407	0_1	 + 1	PD[];
0.322280162	-0.371924774	-0.870521372	0_1	 + 1	PD[];
0.553440231	-0.802905839	0.221463596	0_1	 + 1	PD[];
0.214714016	0.392182872	0.894477773	0_1	 + 1	PD[];
0.910982028	-0.152392518	0.38326005	0_1	 + 1	PD[];
0.432112911	0.593658861	0.678857562	0_1	 + 1	PD[];
-0.961345935	-0.2124529	-0.175150676	0_1	 + 1	PD[];
