#projection.x	projection.y	projection.z	knotoid_type	polynomial	PD_code
-0.207311589	0.136311935	-0.968731625	3_1m	 - A^(-16) + A^(-12) + A^(-4)	PD[X[3,1,4,0],X[1,5,2,4],X[5,3,6,2]];
0.244366826	-0.362903145	-0.899214191	3_1m	 - A^(-16) + A^(-12) + A^(-4)	PD[X[0,4,1,3],X[4,2,5,1],X[2,6,3,5]];
0.182590028	-0.182794075	-0.966047208	3_1m	 - A^(-16) + A^(-12) + A^(-4)	PD[X[0,4,1,3],X[4,2,5,1],X[2,6,3,5]];
-0.784286822	-0.229673123	0.576319735	3_1m	 - A^(-16) + A^(-12) + A^(-4)	PD[X[3,1,4,0],X[1,5,2,4],X[5,3,6,2]];
-0.917654366	-0.356159887	-0.176240175	2_1s|2_1m	 - A^(-10) + A^(-6) + A^(-4)	PD[X[0,3,1,2],X[3,2,4,1]];
-0.00549540406	-0.994133306	0.108022083	4_3s|4_3m	 - A^(-16) - A^(-14) + A^(-12) + A^(-10) + A^(-8)	PD[X[0,6,1,5],X[1,4,2,3],X[7,3,8,2],X[6,5,7,4]];
0.923503848	-0.0533190111	-0.379865404	3_1m	 - A^(-16) + A^(-12) + A^(-4)	PD[X[0,4,1,3],X[4,2,5,1],X[2,6,3,5]];
-0.563385131	-0.691348714	-0.452365063	0_1	 + 1	PD[];
-0.736756094	-0.568278032	0.366402152	0_1	 + 1	PD[];
-0.669069677	-0.321457943	-0.670082501	3_1m	 - A^(-16) + A^(-12) + A^(-4)	PD[X[3,1,4,0],X[1,5,2,4],X[5,3,6,2]];
0.61726414	0.78666992	0.0116369762	0_1	 + 1	PD[];
0.616918683	0.755876507	0.219230573	0_1	 + 1	PD[];
0.984666295	-0.0152259864	0.173782789	2_1s|2_1m	 - A^(-10) + A^(-6) + A^(-4)	PD[X[2,1,3,0],X[1,4,2,3]];
