#projection.x	projection.y	projection.z	knotoid_type	polynomial	PD_code
0.207149097	-0.477240536	0.85400862	3_1m	 - A^(-16) + A^(-12) + A^(-4)	PD[X[0,6,1,5],X[4,2,5,1],X[7,3,8,2],X[3,7,4,6]];
-0.751284419	-0.59720559	-0.280922063	0_1	 + 1	PD[];
0.534847821	-0.818040579	0.211535858	3_1m	 - A^(-16) + A^(-12) + A^(-4)	PD[X[0,4,1,3],X[4,2,5,1],X[2,6,3,5]];
-0.968880369	0.189778302	-0.1589183	4_3s|4_3m	 - A^(-16) - A^(-14) + A^(-12) + A^(-10) + A^(-8)	PD[X[12,14,13,15],X[1,4,2,3],X[16,5,17,4],X[21,3,22,2],X[6,9,7,10],X[10,5,11,6],X[19,8,20,7],X[15,11,16,12],X[8,19,9,18],X[0,14,1,13],X[20,18,21,17]];
0.574879801	0.617310042	-0.537067525	0_1	 + 1	PD[];
0.733305644	-0.336316006	-0.590892864	4_6s|4_6m	 - A^(-22) + A^(-18) - A^(-14) + A^(-10) + A^(-8)	PD[X[0,5,1,4],X[5,2,6,1],X[2,7,3,6],X[7,4,8,3]];
0.837446367	0.437893745	-0.327005581	4_8s|4_8m	 - A^(-18) + A^(-14) + A^(-12) - A^(-10) - A^(-8) + A^(-6) + A^(-4)	PD[X[4,9,5,8],X[3,0,4,1],X[6,3,7,2],X[1,8,2,7],X[9,6,10,5]];
-0.0402883865	0.997137986	-0.0639740825	2_1s|2_1m	 - A^(-10) + A^(-6) + A^(-4)	PD[X[2,1,3,0],X[1,4,2,3]];
-0.102543777	0.864873467	0.491404782	3_1m	 - A^(-16) + A^(-12) + A^(-4)	PD[X[3,1,4,0],X[1,5,2,4],X[5,3,6,2]];
-0.199837194	0.887788548	-0.414604136	2_1s|2_1m	 - A^(-10) + A^(-6) + A^(-4)	PD[X[2,1,3,0],X[1,4,2,3]];
-0.711327977	0.600414971	-0.365396185	3_1m	 - A^(-16) + A^(-12) + A^(-4)	PD[X[0,4,1,3],X[4,2,5,1],X[2,6,3,5]];
-0.59021287	-0.428173463	0.684336361	0_1	 + 1	PD[];
0.163492922	0.682338357	-0.712519776	2_1s|2_1m	 - A^(-10) + A^(-6) + A^(-4)	PD[X[2,1,3,0],X[1,4,2,3]];
-0.340220589	-0.165195629	-0.925721532	4_6s|4_6m	 - A^(-22) + A^(-18) - A^(-14) + A^(-10) + A^(-8)	PD[X[9,2,10,1],X[8,5,9,4],X[11,7,12,6],X[2,11,3,10],X[0,4,1,3],X[5,8,6,7]];
-0.154140212	-0.984426387	0.0845309673	2_1s|2_1m	 - A^(-10) + A^(-6) + A^(-4)	PD[X[0,3,1,2],X[3,2,4,1]];
0.252431121	0.675936104	-0.692379169	3_1m	 - A^(-16) + A^(-12) + A^(-4)	PD[X[3,1,4,0],X[1,5,2,4],X[5,3,6,2]];
-0.375992597	-0.895385024	0.23856912	2_1s|2_1m	 - A^(-10) + A^(-6) + A^(-4)	PD[X[0,3,1,2],X[3,2,4,1]];
-0.641546195	-0.349522578	0.682826806	0_1	 + 1	PD[];
