#projection.x	projection.y	projection.z	knotoid_type	polynomial	PD_code
0.0145593043	-0.576432889	0.81701478	3_1m	 - A^(-16) + A^(-12) + A^(-4)	PD[X[3,1,4,0],X[1,5,2,4],X[5,3,6,2]];
-0.968435455	-0.0433517542	-0.245465671	0_1	 + 1	PD[];
-0.500212411	-0.818808388	0.281674224	3_1m	 - A^(-16) + A^(-12) + A^(-4)	PD[X[3,1,4,0],X[1,5,2,4],X[5,3,6,2]];
-0.621422934	0.0348133155	0.782701456	2_1s|2_1m	 - A^(-10) + A^(-6) + A^(-4)	PD[X[3,1,4,0],X[5,2,6,1],X[2,5,3,4]];
0.165312965	-0.352821236	0.92097166	2_1s|2_1m	 - A^(-10) + A^(-6) + A^(-4)	PD[X[0,4,1,3],X[1,6,2,5],X[4,3,5,2]];
0.98251305	-0.101349673	-0.156193314	0_1	 + 1	PD[];
-0.353342993	-0.420078443	-0.835872497	0_1	 + 1	PD[];
0.949209124	-0.31305194	-0.031631032	0_1	 + 1	PD[];
-0.0993255482	-0.994324004	0.0381341116	3_1m	 - A^(-16) + A^(-12) + A^(-4)	PD[X[3,1,4,0],X[1,5,2,4],X[5,3,6,2]];
0.629040365	-0.768472751	0.117293867	2_1s|2_1m	 - A^(-10) + A^(-6) + A^(-4)	PD[X[2,1,3,0],X[1,4,2,3]];
-0.357287061	-0.71789549	0.597471356	3_1m	 - A^(-16) + A^(-12) + A^(-4)	PD[X[3,1,4,0],X[1,5,2,4],X[5,3,6,2]];
0.837975401	0.29423921	0.459587331	0_1	 + 1	PD[];
0.420711771	0.0692347821	-0.90454859	2_1s|2_1m	 - A^(-10) + A^(-6) + A^(-4)	PD[X[0,4,1,3],X[1,6,2,5],X[4,3,5,2]];
-0.439752574	0.484739701	0.756072151	2_1s|2_1m	 - A^(-10) + A^(-6) + A^(-4)	PD[X[2,1,3,0],X[1,4,2,3]];
0.924601617	-0.17615989	0.337756633	0_1	 + 1	PD[];
-0.258622233	-0.957660939	0.126491366	3_1m	 - A^(-16) + A^(-12) + A^(-4)	PD[X[3,1,4,0],X[1,5,2,4],X[5,3,6,2]];
0.576460336	-0.73451153	0.358031133	0_1	 + 1	PD[];
0.86384214	0.20730093	-0.459132968	2_1s|2_1m	 - A^(-10) + A^(-6) + A^(-4)	PD[X[2,1,3,0],X[1,4,2,3]];
-0.068408665	0.704724933	-0.706174924	3_1m	 - A^(-16) + A^(-12) + A^(-4)	PD[X[0,4,1,3],X[4,2,5,1],X[2,6,3,5]];
-0.268276918	0.630054627	-0.728737718	2_1s|2_1m	 - A^(-10) + A^(-6) + A^(-4)	PD[X[3,1,4,0],X[5,2,6,1],X[2,5,3,4]];
