#projection.x	projection.y	projection.z	knotoid_type	polynomial	PD_code
-0.365291799	0.142517632	-0.919918815	2_1s|2_1m	 - A^(-10) + A^(-6) + A^(-4)	PD[X[0,3,1,2],X[3,2,4,1]];
-0.145531424	0.404885834	-0.902711507	0_1	 + 1	PD[];
0.574760628	-0.186587261	-0.796765596	0_1	 + 1	PD[];
0.131826703	0.208920496	-0.96900668	2_1s|2_1m	 - A^(-10) + A^(-6) + A^(-4)	PD[X[2,1,3,0],X[1,4,2,3]];
-0.523861384	0.788783227	-0.321543574	2_1s|2_1m	 - A^(-10) + A^(-6) + A^(-4)	PD[X[0,3,1,2],X[3,2,4,1]];
0.764232431	0.639682212	0.082191607	0_1	 + 1	PD[];
0.139109784	-0.985783473	-0.0942306323	3_1m	 - A^(-16) + A^(-12) + A^(-4)	PD[X[0,4,1,3],X[4,2,5,1],X[2,6,3,5]];
-0.128747632	0.662841384	0.737607855	3_1m	 - A^(-16) + A^(-12) + A^(-4)	PD[X[0,4,1,3],X[4,2,5,1],X[2,6,3,5]];
0.936743395	-0.0458316083	-0.347003279	0_1	 + 1	PD[];
0.00230195098	0.981511562	0.191389014	3_1m	 - A^(-16) + A^(-12) + A^(-4)	PD[X[3,1,4,0],X[1,5,2,4],X[5,3,6,2]];
-0.929688425	0.367792275	-0.0202057967	0_1	 + 1	PD[];
-0.116199897	-0.992543217	0.0368177397	3_1m	 - A^(-16) + A^(-12) + A^(-4)	PD[X[0,4,1,3],X[4,2,5,1],X[2,6,3,5]];
-0.747464446	-0.100084258	-0.656719151	0_1	 + 1	PD[];
-0.739154745	0.169948765	-0.651742036	0_1	 + 1	PD[];
0.806036571	0.49915523	0.318039467	0_1	 + 1	PD[];
0.834732332	0.337097531	-0.43541611	0_1	 + 1	PD[];
0.311306727	0.761946533	-0.567913376	0_1	 + 1	PD[];
-0.139700197	-0.282918281	0.94891575	2_1s|2_1m	 - A^(-10) + A^(-6) + A^(-4)	PD[X[0,3,1,2],X[3,2,4,1]];
0.799399463	0.429238965	0.420374131	0_1	 + 1	PD[];
-0.178322678	-0.549367064	0.816331337	2_1s|2_1m	 - A^(-10) + A^(-6) + A^(-4)	PD[X[4,1,5,0],X[1,4,2,3],X[5,3,6,2]];
-0.196190814	-0.816943972	-0.542320671	3_1m	 - A^(-16) + A^(-12) + A^(-4)	PD[X[0,4,1,3],X[4,2,5,1],X[2,6,3,5]];
-0.864668473	-0.232233716	-0.445439034	0_1	 + 1	PD[];
-0.327623507	0.206029754	-0.92207081	2_1s|2_1m	 - A^(-10) + A^(-6) + A^(-4)	PD[X[4,1,5,0],X[1,4,2,3],X[5,3,6,2]];
-0.417002	-0.682220525	0.600570135	0_1	 + 1	PD[];
-0.855189603	0.432108918	-0.286238755	0_1	 + 1	PD[];
0.950452162	0.212089	-0.227286039	0_1	 + 1	PD[];
-0.716202293	-0.5798563	-0.388356725	0_1	 + 1	PD[];
0.990688268	-0.13614734	-0.000810530968	0_1	 + 1	PD[];
-0.473653485	0.694856351	-0.541134944	2_1s|2_1m	 - A^(-10) + A^(-6) + A^(-4)	PD[X[0,3,1,2],X[3,2,4,1]];
