#projection.x	projection.y	projection.z	knotoid_type	polynomial	PD_code
-0.127487047	-0.489771496	-0.862479527	0_1	 + 1	PD[];
-0.336739063	-0.401673912	0.851624842	2_1s|2_1m	 - A^(-10) + A^(-6) + A^(-4)	PD[X[2,1,3,0],X[1,4,2,3]];
-0.921279678	-0.31043035	-0.234257878	3_1m	 - A^(-16) + A^(-12) + A^(-4)	PD[X[0,4,1,3],X[4,2,5,1],X[2,6,3,5]];
0.52157532	-0.669211875	-0.529258586	0_1	 + 1	PD[];
-0.84191917	-0.36717632	0.395415808	3_1m	 - A^(-16) + A^(-12) + A^(-4)	PD[X[0,4,1,3],X[4,2,5,1],X[2,6,3,5]];
-0.256107757	-0.788634262	0.558985525	2_1s|2_1m	 - A^(-10) + A^(-6) + A^(-4)	PD[X[2,1,3,0],X[1,4,2,3]];
0.143629089	0.418428006	-0.896821436	2_1s|2_1m	 - A^(-10) + A^(-6) + A^(-4)	PD[X[0,3,1,2],X[3,2,4,1]];
-0.901136958	0.396770351	-0.174715401	0_1	 + 1	PD[];
-0.257342878	-0.927964085	0.269550181	2_1s|2_1m	 - A^(-10) + A^(-6) + A^(-4)	PD[X[3,1,4,0],X[5,2,6,1],X[2,5,3,4]];
0.667030703	0.501326319	-0.551127902	2_1s|2_1m	 - A^(-10) + A^(-6) + A^(-4)	PD[X[0,4,1,3],X[1,6,2,5],X[4,3,5,2]];
-0.556541074	0.769160002	0.314093816	0_1	 + 1	PD[];
0.60153429	0.0782336501	0.795006915	0_1	 + 1	PD[];
-0.120037082	0.0257214767	0.992436146	2_1s|2_1m	 - A^(-10) + A^(-6) + A^(-4)	PD[X[2,1,3,0],X[1,4,2,3]];
0.557170626	-0.817234824	0.147268923	0_1	 + 1	PD[];
-0.44400397	0.635656392	-0.631507265	0_1	 + 1	PD[];
0.460700556	-0.874926219	-0.14919487	0_1	 + 1	PD[];
0.696997461	-0.682363813	-0.220395477	0_1	 + 1	PD[];
-0.45030966	-0.885529659	0.114273497	3_1m	 - A^(-16) + A^(-12) + A^(-4)	PD[X[7,1,8,0],X[4,2,5,1],X[2,6,3,5],X[6,4,7,3]];
0.470208909	-0.805048664	-0.361663144	0_1	 + 1	PD[];
-0.756189507	-0.650001912	-0.075332223	3_1m	 - A^(-16) + A^(-12) + A^(-4)	PD[X[0,4,1,3],X[4,2,5,1],X[2,6,3,5]];
0.684788375	0.0959564918	0.722396866	0_1	 + 1	PD[];
-0.730387394	0.567114394	0.38067771	0_1	 + 1	PD[];
0.11884596	-0.260437438	-0.958148203	2_1s|2_1m	 - A^(-10) + A^(-6) + A^(-4)	PD[X[4,1,5,0],X[1,4,2,3],X[5,3,6,2]];
-0.921489279	0.321782517	-0.217516714	0_1	 + 1	PD[];
0.145309306	0.989343786	-0.00916939648	0_1	 + 1	PD[];
-0.300091911	0.549062391	-0.78004829	0_1	 + 1	PD[];
0.362841515	-0.919305333	0.15239337	0_1	 + 1	PD[];
0.914903915	0.39327857	-0.0910098497	3_1m	 - A^(-16) + A^(-12) + A^(-4)	PD[X[3,1,4,0],X[1,5,2,4],X[5,3,6,2]];
0.386244838	0.00809778135	-0.922360749	2_1s|2_1m	 - A^(-10) + A^(-6) + A^(-4)	PD[X[0,3,1,2],X[3,2,4,1]];
0.209586328	-0.413027185	-0.886274289	2_1s|2_1m	 - A^(-10) + A^(-6) + A^(-4)	PD[X[2,1,3,0],X[1,4,2,3]];
0.914280613	-0.353415835	-0.197960117	0_1	 + 1	PD[];
-0.662430525	0.692604246	0.285456054	0_1	 + 1	PD[];
-0.87184209	-0.423393623	0.246229993	3_1m	 - A^(-16) + A^(-12) + A^(-4)	PD[X[0,4,1,3],X[4,2,5,1],X[2,6,3,5]];
-0.489533621	-0.812956738	-0.315369902	3_1m	 - A^(-16) + A^(-12) + A^(-4)	PD[X[0,4,1,3],X[4,2,5,1],X[2,6,3,5]];
-0.879938754	-0.243832763	-0.407741798	3_1m	 - A^(-16) + A^(-12) + A^(-4)	PD[X[0,4,1,3],X[4,2,5,1],X[2,6,3,5]];
0.108901515	0.456047807	0.88326715	0_1	 + 1	PD[];
0.232311491	0.950360901	-0.206991617	0_1	 + 1	PD[];
0.324251033	-0.70382651	-0.632051827	0_1	 + 1	PD[];
0.880896215	-0.228232942	-0.414646334	2_1s|2_1m	 - A^(-10) + A^(-6) + A^(-4)	PD[X[2,1,3,0],X[1,4,2,3]];
-0.438198722	0.744500551	-0.503687215	0_1	 + 1	PD[];
-0.0116322778	0.369013871	-0.929351092	2_1s|2_1m	 - A^(-10) + A^(-6) + A^(-4)	PD[X[0,3,1,2],X[3,2,4,1]];
0.392963814	0.769934985	-0.502771876	2_1s|2_1m	 - A^(-10) + A^(-6) + A^(-4)	PD[X[0,3,1,2],X[3,2,4,1]];
0.268951219	-0.929447241	-0.252572896	0_1	 + 1	PD[];
0.939453345	0.334340561	0.0751252468	3_1m	 - A^(-16) + A^(-12) + A^(-4)	PD[X[3,1,4,0],X[1,5,2,4],X[5,3,6,2]];
-0.161139999	0.961917134	-0.220792498	0_1	 + 1	PD[];
-0.0902803714	0.882376743	0.461801622	0_1	 + 1	PD[];
-0.380441122	0.902557375	0.201630203	0_1	 + 1	PD[];
0.192721191	0.7425012	-0.641522026	2_1s|2_1m	 - A^(-10) + A^(-6) + A^(-4)	PD[X[0,3,1,2],X[3,2,4,1]];
-0.958623512	0.284530046	-0.00914409198	0_1	 + 1	PD[];
-0.606164259	0.58944299	-0.533968025	0_1	 + 1	PD[];
0.829473009	-0.246371785	0.501273848	0_1	 + 1	PD[];
0.272593151	0.655341904	0.70442882	2_1s|2_1m	 - A^(-10) + A^(-6) + A^(-4)	PD[X[3,1,4,0],X[5,2,6,1],X[2,5,3,4]];
-0.92027865	0.217721638	-0.325091518	0_1	 + 1	PD[];
0.702047849	-0.159153885	0.694117323	0_1	 + 1	PD[];
0.769579055	-0.223801473	0.59804764	0_1	 + 1	PD[];
0.131927505	0.883992097	0.448500955	2_1s|2_1m	 - A^(-10) + A^(-6) + A^(-4)	PD[X[2,1,3,0],X[1,4,2,3]];
0.940872941	-0.240007883	0.239069709	0_1	 + 1	PD[];
-0.466358968	0.346016585	-0.814114142	0_1	 + 1	PD[];
-0.956014457	0.257793189	-0.139925086	0_1	 + 1	PD[];
0.533193451	0.472976455	0.701425703	0_1	 + 1	PD[];
0.56055971	-0.826766407	0.04722413	0_1	 + 1	PD[];
-0.709052295	-0.533638973	0.460949335	3_1m	 - A^(-16) + A^(-12) + A^(-4)	PD[X[6,2,7,1],X[7,5,8,4],X[2,6,3,5],X[3,1,4,0]];
-0.226644762	-0.666810752	0.709926456	2_1s|2_1m	 - A^(-10) + A^(-6) + A^(-4)	PD[X[2,1,3,0],X[1,4,2,3]];
0.709545487	-0.0273725508	-0.704127791	3_1m	 - A^(-16) + A^(-12) + A^(-4)	PD[X[0,4,1,3],X[4,2,5,1],X[2,6,3,5]];
