#projection.x	projection.y	projection.z	knotoid_type	polynomial	PD_code
0.682736793	-0.141741282	0.716784403	0_1	 + 1	PD[];
0.836769759	0.165236128	-0.522028153	0_1	 + 1	PD[];
-0.688464132	-0.693219147	-0.213223718	0_1	 + 1	PD[];
0.157861964	-0.314489089	0.936042848	2_1s|2_1m	 - A^(-10) + A^(-6) + A^(-4)	PD[X[2,1,3,0],X[1,4,2,3]];
0.763424717	-0.645211922	0.0297368201	2_1s|2_1m	 - A^(-10) + A^(-6) + A^(-4)	PD[X[2,1,3,0],X[1,4,2,3]];
0.718191377	0.10922438	-0.687219893	0_1	 + 1	PD[];
-0.246315525	0.00812346273	0.969155649	4_7|4_7ms	 - A^(-4) + 2 + A^(2) - A^(6)	PD[X[0,6,1,5],X[3,1,4,2],X[7,3,8,2],X[4,6,5,7]];
0.845028387	0.507242107	-0.169211317	0_1	 + 1	PD[];
-0.744557648	-0.205532502	0.635130144	0_1	 + 1	PD[];
0.696883402	-0.364760037	-0.617497886	2_1s|2_1m	 - A^(-10) + A^(-6) + A^(-4)	PD[X[2,1,3,0],X[1,4,2,3]];
-0.982325148	0.0996022701	-0.158482465	0_1	 + 1	PD[];
0.978974119	0.20307589	-0.0192316598	0_1	 + 1	PD[];
-0.204450079	-0.34757708	0.915090344	0_1	 + 1	PD[];
0.794983234	0.52672318	0.300939112	0_1	 + 1	PD[];
0.667094041	-0.133915412	0.732838456	0_1	 + 1	PD[];
0.0427666677	0.520316613	-0.85290189	0_1	 + 1	PD[];
0.215435458	0.976117076	0.0279824333	2_1s|2_1m	 - A^(-10) + A^(-6) + A^(-4)	PD[X[2,1,3,0],X[1,4,2,3]];
0.991529288	0.121809223	0.0450797612	0_1	 + 1	PD[];
-0.35827454	-0.879695198	-0.312691083	4_3s|4_3m	 - A^(-16) - A^(-14) + A^(-12) + A^(-10) + A^(-8)	PD[X[0,6,1,5],X[1,4,2,3],X[7,3,8,2],X[6,5,7,4]];
0.437662685	0.441020026	0.783551346	0_1	 + 1	PD[];
-0.240008309	0.0944528546	-0.966164929	0_1	 + 1	PD[];
-0.606493781	-0.22392679	0.76290372	0_1	 + 1	PD[];
0.565922586	0.695701004	0.442415799	0_1	 + 1	PD[];
0.228715129	0.584343973	0.778608702	0_1	 + 1	PD[X[0,3,1,2],X[1,3,2,4]];
0.668161627	-0.332527194	-0.665571713	2_1s|2_1m	 - A^(-10) + A^(-6) + A^(-4)	PD[X[2,1,3,0],X[1,4,2,3]];
-0.790174157	0.597859574	0.134865602	4_5|4_5ms	 + A^(-14) - 2*A^(-10) - A^(-8) + A^(-6) + 2*A^(-4)	PD[X[4,0,5,1],X[8,2,9,1],X[2,8,3,7],X[5,4,6,3],X[9,7,10,6]];
-0.993480837	0.0435075235	0.105370404	2_1s|2_1m	 - A^(-10) + A^(-6) + A^(-4)	PD[X[2,1,3,0],X[1,4,2,3]];
-0.144641241	-0.200164774	-0.969026818	0_1	 + 1	PD[X[0,2,1,3],X[1,4,2,3]];
0.11869996	-0.495132667	-0.860670646	2_1s|2_1m	 - A^(-10) + A^(-6) + A^(-4)	PD[X[2,1,3,0],X[1,4,2,3]];
0.523755535	0.750136833	0.403701463	4_3s|4_3m	 - A^(-16) - A^(-14) + A^(-12) + A^(-10) + A^(-8)	PD[X[5,1,6,0],X[3,2,4,1],X[2,8,3,7],X[4,7,5,6]];
0.19877633	0.374441027	0.905694147	0_1	 + 1	PD[];
0.710658129	-0.629106655	-0.314944185	4_5|4_5ms	 + A^(-14) - 2*A^(-10) - A^(-8) + A^(-6) + 2*A^(-4)	PD[X[0,4,1,5],X[1,9,2,8],X[7,3,8,2],X[3,6,4,5],X[6,10,7,9]];
-0.567512944	0.559213706	0.604325317	2_1s|2_1m	 - A^(-10) + A^(-6) + A^(-4)	PD[X[0,3,1,2],X[3,2,4,1]];
-0.195542792	0.208068289	-0.95836872	2_1s|2_1m	 - A^(-10) + A^(-6) + A^(-4)	PD[X[0,3,1,2],X[3,2,4,1]];
-0.538283793	-0.363465031	0.760357632	0_1	 + 1	PD[];
-0.823956269	0.372714862	0.426825137	2_1s|2_1m	 - A^(-10) + A^(-6) + A^(-4)	PD[X[0,3,1,2],X[3,2,4,1]];
0.203135705	0.560777342	-0.802660985	2_1s|2_1m	 - A^(-10) + A^(-6) + A^(-4)	PD[X[2,1,3,0],X[1,4,2,3]];
-0.441666018	-0.43511776	0.784604145	0_1	 + 1	PD[];
-0.890658751	-0.163151795	0.424391895	0_1	 + 1	PD[];
-0.661087955	-0.589066102	0.464719101	0_1	 + 1	PD[];
0.244875538	-0.416537542	-0.875518388	2_1s|2_1m	 - A^(-10) + A^(-6) + A^(-4)	PD[X[2,1,3,0],X[1,4,2,3]];
-0.6234458	-0.634215237	0.457259628	0_1	 + 1	PD[X[5,0,6,1],X[3,1,4,2],X[7,3,8,2],X[6,5,7,4]];
0.526444875	-0.136147122	0.839237603	2_1s|2_1m	 - A^(-10) + A^(-6) + A^(-4)	PD[X[2,1,3,0],X[1,4,2,3]];
0.337657122	0.869402586	0.36073094	4_3s|4_3m	 - A^(-16) - A^(-14) + A^(-12) + A^(-10) + A^(-8)	PD[X[5,1,6,0],X[3,2,4,1],X[2,8,3,7],X[4,7,5,6]];
-0.90881099	-0.0144307426	-0.416958436	0_1	 + 1	PD[];
-0.652976664	-0.751222923	0.0963618006	0_1	 + 1	PD[];
-0.945009465	-0.0177726869	-0.326559708	0_1	 + 1	PD[];
-0.0101845259	-0.299068508	-0.954177291	0_1	 + 1	PD[X[0,2,1,3],X[1,4,2,3]];
-0.489794625	0.799499364	-0.347709637	2_1s|2_1m	 - A^(-10) + A^(-6) + A^(-4)	PD[X[0,3,1,2],X[3,2,4,1]];
-0.552384644	-0.726651913	-0.408470566	2_1s|2_1m	 - A^(-10) + A^(-6) + A^(-4)	PD[X[0,3,1,2],X[3,2,4,1]];
0.221569807	-0.966246786	-0.131430473	2_1s|2_1m	 - A^(-10) + A^(-6) + A^(-4)	PD[X[0,5,1,6],X[3,2,4,1],X[2,8,3,7],X[4,7,5,6]];
0.927912464	-0.320501931	-0.190412634	0_1	 + 1	PD[];
0.198870609	0.527978283	-0.825644847	2_1s|2_1m	 - A^(-10) + A^(-6) + A^(-4)	PD[X[5,1,6,0],X[3,2,4,1],X[7,2,8,3],X[4,7,5,6]];
0.298441065	0.30926526	0.90293296	0_1	 + 1	PD[X[2,0,3,1],X[3,2,4,1]];
0.239305634	0.693720657	-0.679326477	2_1s|2_1m	 - A^(-10) + A^(-6) + A^(-4)	PD[X[2,1,3,0],X[1,4,2,3]];
0.681905104	-0.599243539	-0.419419373	4_5|4_5ms	 + A^(-14) - 2*A^(-10) - A^(-8) + A^(-6) + 2*A^(-4)	PD[X[0,8,1,7],X[6,2,7,1],X[4,3,5,2],X[9,3,10,4],X[5,9,6,8]];
0.0845585361	0.0622682726	0.994470973	0_1	 + 1	PD[];
-0.313757488	0.863059796	-0.395833333	2_1s|2_1m	 - A^(-10) + A^(-6) + A^(-4)	PD[X[0,4,1,3],X[1,6,2,5],X[4,3,5,2]];
-0.148551251	-0.105381015	0.983273801	2_1s|2_1m	 - A^(-10) + A^(-6) + A^(-4)	PD[X[0,3,1,2],X[3,2,4,1]];
-0.54079073	-0.56502237	0.623133298	0_1	 + 1	PD[];
-0.646153341	0.550843557	0.528258682	2_1s|2_1m	 - A^(-10) + A^(-6) + A^(-4)	PD[X[0,3,1,2],X[3,2,4,1]];
-0.471225781	-0.60276066	0.643914474	0_1	 + 1	PD[];
-0.751918236	0.473855223	0.45834506	2_1s|2_1m	 - A^(-10) + A^(-6) + A^(-4)	PD[X[0,3,1,2],X[3,2,4,1]];
0.554591601	0.681955707	-0.47682761	2_1s|2_1m	 - A^(-10) + A^(-6) + A^(-4)	PD[X[0,2,1,3],X[1,4,2,3],X[6,5,7,4],X[5,8,6,7]];
-0.472895644	-0.361433245	-0.803576828	0_1	 + 1	PD[];
