#projection.x	projection.y	projection.z	knotoid_type	polynomial	PD_code
0.555727122	-0.428801173	-0.712247794	0_1	 + 1	PD[];
0.021299118	-0.922609147	-0.385147647	0_1	 + 1	PD[];
-0.730862004	-0.391335439	0.559193442	2_1s|2_1m	 - A^(-10) + A^(-6) + A^(-4)	PD[X[4,1,5,0],X[1,4,2,3],X[5,3,6,2]];
0.582867041	-0.326693189	0.744001057	3_2|3_2ms	 + A^(-8) - A^(-4) - A^(-2) + 1 + A^(2)	PD[X[3,0,4,1],X[1,6,2,5],X[4,3,5,2]];
0.122931171	-0.989587713	-0.0748604434	0_1	 + 1	PD[];
0.596100559	0.456528736	0.660488938	0_1	 + 1	PD[];
0.280303406	0.0115723462	0.959841696	4_2s|4_2m|6_30s|6_30m	 - A^(-12) - A^(-10) + A^(-8) + 2*A^(-6) + A^(-4) - A^(-2)	PD[X[0,6,1,5],X[1,8,2,7],X[2,10,3,9],X[8,4,9,3],X[4,6,5,7]];
-0.838781814	-0.0150814425	-0.544258779	2_1s|2_1m	 - A^(-10) + A^(-6) + A^(-4)	PD[X[0,5,1,4],X[3,2,4,1],X[2,6,3,5]];
0.296339241	-0.39398382	-0.87003437	4_3s|4_3m	 - A^(-16) - A^(-14) + A^(-12) + A^(-10) + A^(-8)	PD[X[4,1,5,0],X[6,2,7,1],X[2,8,3,7],X[3,6,4,5]];
-0.53522081	0.0525037246	0.843078907	4_6s|4_6m	 - A^(-22) + A^(-18) - A^(-14) + A^(-10) + A^(-8)	PD[X[8,1,9,0],X[1,8,2,7],X[4,3,5,2],X[3,12,4,11],X[5,11,6,10],X[9,7,10,6]];
-0.0127967033	-0.814504342	-0.580016311	0_1	 + 1	PD[];
0.248925038	0.254152013	-0.934581767	2_1s|2_1m	 - A^(-10) + A^(-6) + A^(-4)	PD[X[3,1,4,0],X[5,2,6,1],X[2,5,3,4]];
0.469039496	0.883117215	0.0102925287	2_1s|2_1m	 - A^(-10) + A^(-6) + A^(-4)	PD[X[2,1,3,0],X[1,4,2,3]];
0.161554944	-0.281342742	-0.945910282	3_1m	 - A^(-16) + A^(-12) + A^(-4)	PD[X[0,6,1,5],X[4,2,5,1],X[7,3,8,2],X[3,7,4,6]];
0.902530215	0.335523668	0.269931618	0_1	 + 1	PD[];
0.971395155	-0.166352459	-0.169464783	4_2s|4_2m|6_30s|6_30m	 - A^(-12) - A^(-10) + A^(-8) + 2*A^(-6) + A^(-4) - A^(-2)	PD[X[5,1,6,0],X[3,2,4,1],X[2,8,3,7],X[6,4,7,5]];
-0.658411156	0.541634536	-0.522615326	0_1	 + 1	PD[X[0,2,1,3],X[1,4,2,3]];
-0.0850421704	0.603371259	0.792912954	2_1s|2_1m	 - A^(-10) + A^(-6) + A^(-4)	PD[X[0,3,1,2],X[3,2,4,1]];
0.538561199	-0.190879481	-0.820680729	4_6s|4_6m	 - A^(-22) + A^(-18) - A^(-14) + A^(-10) + A^(-8)	PD[X[0,9,1,8],X[7,2,8,1],X[2,5,3,4],X[11,4,12,3],X[10,6,11,5],X[6,10,7,9]];
-0.372628869	0.568430262	-0.73350853	0_1	 + 1	PD[];
-0.668742368	-0.416811778	0.615671655	2_1s|2_1m	 - A^(-10) + A^(-6) + A^(-4)	PD[X[4,1,5,0],X[1,4,2,3],X[5,3,6,2]];
0.508853253	-0.682607734	-0.524514107	0_1	 + 1	PD[];
0.565960594	-0.795629119	0.216016	0_1	 + 1	PD[];
-0.537800866	0.843049019	-0.00621135579	0_1	 + 1	PD[];
-0.115146581	0.0136512349	0.993254705	4_2s|4_2m|6_30s|6_30m	 - A^(-12) - A^(-10) + A^(-8) + 2*A^(-6) + A^(-4) - A^(-2)	PD[X[4,6,5,7],X[1,8,2,7],X[8,4,9,3],X[2,10,3,9],X[0,6,1,5]];
0.351586073	0.241955523	0.904347698	3_1m	 - A^(-16) + A^(-12) + A^(-4)	PD[X[0,4,1,3],X[4,2,5,1],X[2,6,3,5]];
0.179438831	0.556653463	0.811134162	2_1s|2_1m	 - A^(-10) + A^(-6) + A^(-4)	PD[X[0,3,1,2],X[3,2,4,1]];
0.650685104	-0.696585465	0.302287257	0_1	 + 1	PD[];
0.16713361	0.958954446	0.229069263	2_1s|2_1m	 - A^(-10) + A^(-6) + A^(-4)	PD[X[0,3,1,2],X[3,2,4,1]];
0.0148333314	-0.352096855	0.935846022	2_1s|2_1m	 - A^(-10) + A^(-6) + A^(-4)	PD[X[2,0,3,1],X[3,2,4,1],X[4,7,5,6],X[7,6,8,5]];
-0.403187427	0.776678163	0.483953438	0_1	 + 1	PD[];
0.853641886	0.511472018	0.0984474751	2_1s|2_1m	 - A^(-10) + A^(-6) + A^(-4)	PD[X[0,3,1,2],X[3,2,4,1]];
0.528736923	-0.749585128	-0.398195181	0_1	 + 1	PD[];
0.191357912	-0.981434813	0.0129559985	0_1	 + 1	PD[];
0.269188048	-0.145412825	-0.952046693	2_1s|2_1m	 - A^(-10) + A^(-6) + A^(-4)	PD[X[3,1,4,0],X[5,2,6,1],X[2,5,3,4]];
0.441764275	-0.861063525	0.251821228	0_1	 + 1	PD[];
0.34939439	0.00238393811	0.93697272	4_4s|4_4m	 - A^(-18) - A^(-16) + A^(-14) + 2*A^(-12) - A^(-8) + A^(-4)	PD[X[5,2,6,1],X[2,7,3,6],X[0,4,1,3],X[7,5,8,4]];
-0.331799083	-0.00641796323	0.943328245	4_2s|4_2m|6_30s|6_30m	 - A^(-12) - A^(-10) + A^(-8) + 2*A^(-6) + A^(-4) - A^(-2)	PD[X[0,7,1,6],X[1,5,2,4],X[2,10,3,9],X[8,4,9,3],X[5,7,6,8]];
