#projection.x	projection.y	projection.z	knotoid_type	polynomial	PD_code
0.909052386	0.367670608	-0.196066527	2_1s|2_1m	 - A^(-10) + A^(-6) + A^(-4)	PD[X[0,3,1,2],X[3,2,4,1]];
0.99945744	0.0121203081	0.0306255459	2_1s|2_1m	 - A^(-10) + A^(-6) + A^(-4)	PD[X[0,3,1,2],X[3,2,4,1]];
0.553808944	-0.795449451	0.246080932	3_1m	 - A^(-16) + A^(-12) + A^(-4)	PD[X[0,6,1,5],X[4,2,5,1],X[7,3,8,2],X[3,7,4,6]];
-0.918020855	0.395623724	-0.0268249619	3_1m	 - A^(-16) + A^(-12) + A^(-4)	PD[X[1,5,2,4],X[3,7,4,6],X[5,3,6,2],X[0,8,1,7]];
0.153455803	-0.74443364	0.649822955	0_1	 + 1	PD[];
0.441444814	0.82482793	0.353249718	0_1	 + 1	PD[];
-0.968485367	0.248992765	0.00622063596	3_1m	 - A^(-16) + A^(-12) + A^(-4)	PD[X[0,4,1,3],X[4,2,5,1],X[2,6,3,5]];
-0.172860972	0.37212428	-0.911944409	0_1	 + 1	PD[];
-0.298780313	0.346785215	-0.889083989	0_1	 + 1	PD[];
0.877745622	0.139860859	0.458259276	2_1s|2_1m	 - A^(-10) + A^(-6) + A^(-4)	PD[X[4,1,5,0],X[1,4,2,3],X[5,3,6,2]];
-0.560382162	-0.186377631	-0.806991457	2_1s|2_1m	 - A^(-10) + A^(-6) + A^(-4)	PD[X[2,1,3,0],X[1,4,2,3]];
-0.827974393	-0.554503629	-0.0835710992	0_1	 + 1	PD[X[0,2,1,3],X[1,4,2,3]];
0.547772484	0.504669581	0.667273497	0_1	 + 1	PD[];
-0.346671808	-0.529252933	0.774409446	2_1s|2_1m	 - A^(-10) + A^(-6) + A^(-4)	PD[X[3,1,4,0],X[5,2,6,1],X[2,5,3,4]];
0.150823926	-0.665628056	-0.730884009	0_1	 + 1	PD[];
0.490014018	-0.314261359	0.813096588	2_1s|2_1m	 - A^(-10) + A^(-6) + A^(-4)	PD[X[0,3,1,2],X[3,2,4,1]];
0.554107655	-0.308932451	-0.772997702	0_1	 + 1	PD[];
0.473273824	0.794989561	-0.379477913	2_1s|2_1m	 - A^(-10) + A^(-6) + A^(-4)	PD[X[0,3,1,2],X[3,2,4,1]];
0.831689694	0.408064133	-0.376531427	2_1s|2_1m	 - A^(-10) + A^(-6) + A^(-4)	PD[X[0,3,1,2],X[3,2,4,1]];
0.852792527	-0.501981812	-0.144080416	3_1m	 - A^(-16) + A^(-12) + A^(-4)	PD[X[0,6,1,5],X[4,2,5,1],X[7,3,8,2],X[3,7,4,6]];
-0.450233044	-0.888388253	0.0897581112	0_1	 + 1	PD[];
