#projection.x	projection.y	projection.z	knotoid_type	polynomial	PD_code
-0.572848622	0.682099135	-0.454516474	0_1	 + 1	PD[];
0.264195344	-0.933198284	0.243601689	0_1	 + 1	PD[];
0.691165393	-0.220986218	0.68808102	2_1s|2_1m	 - A^(-10) + A^(-6) + A^(-4)	PD[X[0,3,1,2],X[3,2,4,1]];
0.851522777	-0.32758037	0.409389866	2_1s|2_1m	 - A^(-10) + A^(-6) + A^(-4)	PD[X[0,3,1,2],X[3,2,4,1]];
-0.953012324	0.00658773852	0.30285989	0_1	 + 1	PD[];
0.0243230693	-0.584884488	-0.810751826	2_1s|2_1m	 - A^(-10) + A^(-6) + A^(-4)	PD[X[0,5,1,4],X[3,2,4,1],X[2,6,3,5]];
0.975699161	0.194556628	-0.100791195	0_1	 + 1	PD[X[0,2,1,3],X[1,4,2,3]];
0.0132546886	0.878687855	-0.477212705	0_1	 + 1	PD[];
0.140868069	0.984213014	0.1071491	0_1	 + 1	PD[];
-0.221166273	0.88372744	-0.4124455	0_1	 + 1	PD[];
-0.716473088	-0.188969081	0.671533321	0_1	 + 1	PD[];
0.00511410489	-0.0316993592	-0.999484365	0_1	 + 1	PD[];
-0.994752894	0.00752939123	-0.102029353	0_1	 + 1	PD[];
0.648831094	-0.751206762	-0.12127082	0_1	 + 1	PD[X[2,0,3,1],X[3,2,4,1]];
-0.094116222	0.977646804	0.188012933	2_1|2_1ms	 + A^(4) + A^(6) - A^(10)	PD[X[0,2,1,3],X[3,1,4,2]];
0.0353609027	-0.382642498	0.923219543	0_1	 + 1	PD[];
0.582505996	0.766743766	0.269797632	0_1	 + 1	PD[X[0,2,1,3],X[1,4,2,3]];
-0.381860569	0.606395525	0.697471844	0_1	 + 1	PD[X[2,1,3,0],X[3,1,4,2]];
-0.950640047	-0.00703935972	0.310215971	0_1	 + 1	PD[];
0.156520678	-0.983816144	0.0872185314	0_1	 + 1	PD[];
0.889628126	0.00783438906	0.456618463	0_1	 + 1	PD[];
-0.799852425	0.117202763	-0.588642175	2_1s|2_1m	 - A^(-10) + A^(-6) + A^(-4)	PD[X[2,1,3,0],X[1,4,2,3]];
