#projection.x	projection.y	projection.z	knotoid_type	polynomial	PD_code
0.381230205	0.595629012	0.70702872	0_1	 + 1	PD[];
-0.471770279	0.586630673	-0.658253186	2_1s|2_1m	 - A^(-10) + A^(-6) + A^(-4)	PD[X[0,3,1,2],X[3,2,4,1]];
-0.656753816	-0.579666144	-0.482350067	0_1	 + 1	PD[];
0.455188125	0.0154140207	0.89026186	0_1	 + 1	PD[];
0.715085125	0.572761594	0.400746081	0_1	 + 1	PD[];
0.169021149	0.68640575	0.707304035	0_1	 + 1	PD[];
-0.832725117	0.465231069	-0.300214811	3_1m	 - A^(-16) + A^(-12) + A^(-4)	PD[X[0,4,1,3],X[4,2,5,1],X[2,6,3,5]];
-0.724708596	0.634690932	0.268262691	0_1	 + 1	PD[];
-0.189327638	-0.10244908	0.976554777	0_1	 + 1	PD[];
-0.598716167	0.579544885	-0.552871303	2_1s|2_1m	 - A^(-10) + A^(-6) + A^(-4)	PD[X[0,3,1,2],X[3,2,4,1]];
-0.403916026	0.886475172	0.225861935	3_1m	 - A^(-16) + A^(-12) + A^(-4)	PD[X[0,4,1,3],X[4,2,5,1],X[2,6,3,5]];
-0.0755309748	-0.951189519	-0.299221607	2_1s|2_1m	 - A^(-10) + A^(-6) + A^(-4)	PD[X[2,1,3,0],X[1,4,2,3]];
0.973551838	-0.162973599	0.160113784	2_1s|2_1m	 - A^(-10) + A^(-6) + A^(-4)	PD[X[0,3,1,2],X[3,2,4,1]];
-0.144632328	0.102227853	0.984190508	0_1	 + 1	PD[];
0.996076277	0.0681998469	-0.0563988667	2_1s|2_1m	 - A^(-10) + A^(-6) + A^(-4)	PD[X[0,3,1,2],X[3,2,4,1]];
0.666435248	-0.385203976	0.638343134	0_1	 + 1	PD[];
0.95240077	0.244187138	-0.182497714	2_1s|2_1m	 - A^(-10) + A^(-6) + A^(-4)	PD[X[0,3,1,2],X[3,2,4,1]];
0.660794496	0.523210291	-0.538146472	2_1s|2_1m	 - A^(-10) + A^(-6) + A^(-4)	PD[X[0,3,1,2],X[3,2,4,1]];
-0.592985203	0.308575438	0.743740377	0_1	 + 1	PD[];
0.694706676	-0.312066705	-0.64807176	0_1	 + 1	PD[];
0.841834536	0.533462851	0.0820487654	0_1	 + 1	PD[];
-0.306046975	0.915203713	0.26217821	3_1m	 - A^(-16) + A^(-12) + A^(-4)	PD[X[0,4,1,3],X[4,2,5,1],X[2,6,3,5]];
0.911383954	-0.383810331	-0.148556113	2_1s|2_1m	 - A^(-10) + A^(-6) + A^(-4)	PD[X[0,3,1,2],X[3,2,4,1]];
0.0172781185	0.216131989	0.976211263	0_1	 + 1	PD[];
-0.605586761	0.62391458	-0.493958776	3_1m	 - A^(-16) + A^(-12) + A^(-4)	PD[X[0,4,1,3],X[4,2,5,1],X[2,6,3,5]];
0.63719589	0.348718649	-0.687296662	0_1	 + 1	PD[];
0.969281927	0.239311298	-0.0567683838	2_1s|2_1m	 - A^(-10) + A^(-6) + A^(-4)	PD[X[0,3,1,2],X[3,2,4,1]];
0.218319035	0.132672468	0.966816847	0_1	 + 1	PD[];
-0.642710158	0.417966069	0.642049856	0_1	 + 1	PD[];
-0.767721858	0.574347128	0.284127658	0_1	 + 1	PD[];
-0.970907372	0.199403488	-0.132578745	2_1s|2_1m	 - A^(-10) + A^(-6) + A^(-4)	PD[X[2,1,3,0],X[1,4,2,3]];
0.450206961	-0.135745012	0.88254574	0_1	 + 1	PD[];
-0.318547195	-0.394754824	-0.861798302	0_1	 + 1	PD[];
0.101624548	0.994719822	0.014315296	0_1	 + 1	PD[];
-0.67003622	-0.741205532	0.0408144956	0_1	 + 1	PD[];
0.859413757	-0.422982232	0.287217731	2_1s|2_1m	 - A^(-10) + A^(-6) + A^(-4)	PD[X[4,1,5,0],X[1,4,2,3],X[5,3,6,2]];
0.674567416	0.566432432	-0.473405852	3_1m	 - A^(-16) + A^(-12) + A^(-4)	PD[X[3,1,4,0],X[1,5,2,4],X[5,3,6,2]];
0.651508235	0.341885252	-0.677238137	0_1	 + 1	PD[];
0.635839303	0.723492082	-0.268826317	2_1s|2_1m	 - A^(-10) + A^(-6) + A^(-4)	PD[X[2,1,3,0],X[1,4,2,3]];
0.132850183	-0.342644238	0.930024599	0_1	 + 1	PD[];
-0.137739068	0.259886802	0.955765034	0_1	 + 1	PD[];
0.0553553719	0.47408758	0.878735881	0_1	 + 1	PD[];
0.204967149	-0.173540352	0.963261239	0_1	 + 1	PD[];
-0.83060496	-0.454981643	-0.321071807	0_1	 + 1	PD[];
0.815002043	0.534315778	0.224228275	0_1	 + 1	PD[];
0.093456592	-0.95342103	0.286799939	2_1s|2_1m	 - A^(-10) + A^(-6) + A^(-4)	PD[X[0,3,1,2],X[3,2,4,1]];
-0.552209329	0.412654675	0.724417681	0_1	 + 1	PD[];
-0.00683642637	-0.0860180259	-0.996270125	0_1	 + 1	PD[];
-0.812572189	0.429240329	0.39430848	0_1	 + 1	PD[];
0.135533835	-0.965745568	-0.2212828	2_1s|2_1m	 - A^(-10) + A^(-6) + A^(-4)	PD[X[2,1,3,0],X[1,4,2,3]];
0.266977094	-0.744390932	0.612050138	2_1s|2_1m	 - A^(-10) + A^(-6) + A^(-4)	PD[X[2,1,3,0],X[1,4,2,3]];
-0.104521858	-0.669373513	0.73553673	2_1s|2_1m	 - A^(-10) + A^(-6) + A^(-4)	PD[X[2,1,3,0],X[1,4,2,3]];
-0.210606168	-0.0828949818	-0.974050032	0_1	 + 1	PD[];
0.584964151	-0.778879936	0.226192365	3_1m	 - A^(-16) + A^(-12) + A^(-4)	PD[X[3,1,4,0],X[1,5,2,4],X[5,3,6,2]];
-0.351919278	-0.164210042	0.921513909	0_1	 + 1	PD[];
0.267328279	0.637049726	0.722982184	0_1	 + 1	PD[];
0.43410239	-0.886018838	0.162867224	3_1m	 - A^(-16) + A^(-12) + A^(-4)	PD[X[3,1,4,0],X[1,5,2,4],X[5,3,6,2]];
-0.089889518	0.626949514	-0.773856693	2_1s|2_1m	 - A^(-10) + A^(-6) + A^(-4)	PD[X[0,3,1,2],X[3,2,4,1]];
