#projection.x	projection.y	projection.z	knotoid_type	polynomial	PD_code
-0.905300741	0.30306367	-0.29762893	6_7s|6_7m|6_12s|6_12m	 - A^(-22) - A^(-20) + A^(-16) + A^(-14) + A^(-12)	PD[X[16,9,17,10],X[25,4,26,3],X[18,6,19,5],X[20,14,21,15],X[15,19,16,20],X[8,7,9,6],X[0,8,1,7],X[24,22,25,21],X[10,13,11,14],X[12,23,13,22],X[23,12,24,11],X[1,18,2,17],X[2,5,3,4]];
0.561624172	-0.766847922	-0.31068079	3_1m	 - A^(-16) + A^(-12) + A^(-4)	PD[X[0,4,1,3],X[4,2,5,1],X[2,6,3,5]];
-0.125717563	0.969696113	0.209486379	3_1m	 - A^(-16) + A^(-12) + A^(-4)	PD[X[3,1,4,0],X[1,5,2,4],X[5,3,6,2]];
0.190705802	0.522107447	-0.831285216	2_1s|2_1m	 - A^(-10) + A^(-6) + A^(-4)	PD[X[2,1,3,0],X[1,4,2,3]];
-0.7854975	0.447693192	0.427275653	4_6s|4_6m	 - A^(-22) + A^(-18) - A^(-14) + A^(-10) + A^(-8)	PD[X[1,5,2,4],X[2,9,3,8],X[7,4,8,3],X[5,10,6,9],X[6,1,7,0]];
0.892616951	0.171224422	-0.417033782	0_1	 + 1	PD[];
-0.613286823	-0.500223141	0.611274147	2_1s|2_1m	 - A^(-10) + A^(-6) + A^(-4)	PD[X[0,3,1,2],X[3,2,4,1]];
-0.0277186214	-0.82684989	0.561739208	2_1s|2_1m	 - A^(-10) + A^(-6) + A^(-4)	PD[X[0,3,1,2],X[3,2,4,1]];
-0.559801161	-0.720291275	-0.409637814	2_1s|2_1m	 - A^(-10) + A^(-6) + A^(-4)	PD[X[0,3,1,2],X[3,2,4,1]];
0.143287682	0.0806660088	-0.986388177	3_1m	 - A^(-16) + A^(-12) + A^(-4)	PD[X[3,1,4,0],X[1,5,2,4],X[5,3,6,2]];
0.900308994	0.281337149	-0.332104085	0_1	 + 1	PD[];
0.60230872	-0.773137194	0.198703512	4_6s|4_6m	 - A^(-22) + A^(-18) - A^(-14) + A^(-10) + A^(-8)	PD[X[5,1,6,0],X[7,2,8,1],X[2,9,3,8],X[9,4,10,3],X[4,7,5,6]];
-0.156344651	0.563248866	-0.811361242	3_1m	 - A^(-16) + A^(-12) + A^(-4)	PD[X[3,1,4,0],X[1,5,2,4],X[5,3,6,2]];
-0.281632103	-0.926373195	0.250032121	4_7|4_7ms	 - A^(-4) + 2 + A^(2) - A^(6)	PD[X[0,6,1,5],X[6,2,7,1],X[4,2,5,3],X[3,7,4,8]];
-0.468549024	-0.138006064	-0.872591622	4_6s|4_6m	 - A^(-22) + A^(-18) - A^(-14) + A^(-10) + A^(-8)	PD[X[8,1,9,0],X[1,8,2,7],X[2,6,3,5],X[3,12,4,11],X[10,5,11,4],X[9,7,10,6]];
-0.839939597	0.120796142	-0.529064992	2_1s|2_1m	 - A^(-10) + A^(-6) + A^(-4)	PD[X[2,1,3,0],X[1,4,2,3]];
-0.93833803	0.222967529	-0.264210565	2_1s|2_1m	 - A^(-10) + A^(-6) + A^(-4)	PD[X[4,1,5,0],X[1,4,2,3],X[5,3,6,2]];
-0.510138878	-0.858264823	-0.0560340802	2_1s|2_1m	 - A^(-10) + A^(-6) + A^(-4)	PD[X[0,3,1,2],X[3,2,4,1]];
-0.101154953	-0.679612245	0.726563742	2_1s|2_1m	 - A^(-10) + A^(-6) + A^(-4)	PD[X[0,3,1,2],X[3,2,4,1]];
-0.238757047	0.248056926	0.938862521	4_6s|4_6m	 - A^(-22) + A^(-18) - A^(-14) + A^(-10) + A^(-8)	PD[X[0,7,1,6],X[7,2,8,1],X[2,9,3,8],X[5,4,6,3],X[4,10,5,9]];
0.259536624	-0.757528428	0.598992005	3_1m	 - A^(-16) + A^(-12) + A^(-4)	PD[X[0,4,1,3],X[4,2,5,1],X[2,6,3,5]];
0.65415766	-0.542049877	0.527503257	4_6s|4_6m	 - A^(-22) + A^(-18) - A^(-14) + A^(-10) + A^(-8)	PD[X[6,1,7,0],X[1,8,2,7],X[5,3,6,2],X[9,4,10,3],X[4,9,5,8]];
-0.883022692	-0.370613805	0.287951963	0_1	 + 1	PD[X[0,2,1,3],X[1,4,2,3]];
-0.779079782	0.0562203561	-0.624398883	UNKNOWN	 - A^(-26) - A^(-24) + 2*A^(-22) + 3*A^(-20) - A^(-18) - 5*A^(-16) - 2*A^(-14) + 4*A^(-12) + 3*A^(-10) - A^(-6)	PD[X[0,10,1,9],X[4,11,5,10],X[17,13,18,12],X[7,11,8,12],X[15,2,16,1],X[14,6,15,5],X[6,14,7,13],X[2,17,3,16],X[3,8,4,9]];
-0.432701346	0.717903842	-0.545328909	3_1m	 - A^(-16) + A^(-12) + A^(-4)	PD[X[5,1,6,0],X[1,5,2,4],X[2,8,3,7],X[6,4,7,3]];
0.336334036	-0.352274809	-0.873373846	6_29s|6_29m	 - A^(-28) + A^(-24) - A^(-20) - A^(-18) + A^(-16) + A^(-14) + A^(-12)	PD[X[0,10,1,9],X[10,2,11,1],X[2,9,3,8],X[11,8,12,7],X[3,7,4,6],X[4,14,5,13],X[12,6,13,5]];
-0.126777197	-0.950188082	-0.284728206	3_1m	 - A^(-16) + A^(-12) + A^(-4)	PD[X[0,4,1,3],X[4,2,5,1],X[2,6,3,5]];
0.821086019	-0.510011345	0.256332164	4_3s|4_3m	 - A^(-16) - A^(-14) + A^(-12) + A^(-10) + A^(-8)	PD[X[5,9,6,8],X[0,8,1,7],X[3,10,4,9],X[4,3,5,2],X[6,2,7,1]];
-0.0589712184	-0.963370149	0.261611068	2_1s|2_1m	 - A^(-10) + A^(-6) + A^(-4)	PD[X[0,3,1,2],X[3,2,4,1]];
-0.160397817	0.738845868	-0.654506932	3_1m	 - A^(-16) + A^(-12) + A^(-4)	PD[X[3,1,4,0],X[1,5,2,4],X[5,3,6,2]];
-0.0252396798	0.911392713	-0.410763047	2_1s|2_1m	 - A^(-10) + A^(-6) + A^(-4)	PD[X[2,1,3,0],X[1,4,2,3]];
-0.423024765	-0.877249921	0.226897829	2_1s|2_1m	 - A^(-10) + A^(-6) + A^(-4)	PD[X[0,3,1,2],X[3,2,4,1]];
