#projection.x	projection.y	projection.z	knotoid_type	polynomial	PD_code
-0.940261656	0.27668295	0.198379846	3_1m	 - A^(-16) + A^(-12) + A^(-4)	PD[X[3,1,4,0],X[1,5,2,4],X[5,3,6,2]];
-0.708512734	0.618023554	-0.340670798	0_1	 + 1	PD[];
0.445195092	-0.582676057	-0.67991907	2_1s|2_1m	 - A^(-10) + A^(-6) + A^(-4)	PD[X[2,1,3,0],X[1,4,2,3]];
-0.309067838	0.948770813	0.0656583216	0_1	 + 1	PD[];
-0.600426964	0.4549866	-0.657628052	2_1s|2_1m	 - A^(-10) + A^(-6) + A^(-4)	PD[X[2,1,3,0],X[1,4,2,3]];
0.516413068	0.205483296	-0.831320731	2_1s|2_1m	 - A^(-10) + A^(-6) + A^(-4)	PD[X[2,1,3,0],X[1,4,2,3]];
-0.0662885813	-0.923096732	0.378811626	2_1s|2_1m	 - A^(-10) + A^(-6) + A^(-4)	PD[X[0,3,1,2],X[3,2,4,1]];
0.531851803	-0.762877257	0.367630182	3_2|3_2ms	 + A^(-8) - A^(-4) - A^(-2) + 1 + A^(2)	PD[X[0,4,1,5],X[1,8,2,7],X[6,3,7,2],X[3,6,4,5]];
-0.954633694	-0.159957857	-0.251173235	0_1	 + 1	PD[X[2,1,3,0],X[3,1,4,2]];
0.0448630528	0.680305924	0.731553932	0_1	 + 1	PD[];
-0.834567878	0.354805923	0.421437082	2_1s|2_1m	 - A^(-10) + A^(-6) + A^(-4)	PD[X[0,3,1,2],X[3,2,4,1]];
-0.721883481	-0.672344483	0.16382044	2_1s|2_1m	 - A^(-10) + A^(-6) + A^(-4)	PD[X[0,3,1,2],X[3,2,4,1]];
-0.284816213	0.807139677	-0.517112432	2_1s|2_1m	 - A^(-10) + A^(-6) + A^(-4)	PD[X[2,1,3,0],X[1,4,2,3]];
-0.906664423	-0.357747127	0.223554505	2_1s|2_1m	 - A^(-10) + A^(-6) + A^(-4)	PD[X[0,3,1,2],X[3,2,4,1]];
0.830332591	0.544694701	-0.117709269	2_1s|2_1m	 - A^(-10) + A^(-6) + A^(-4)	PD[X[2,1,3,0],X[1,4,2,3]];
0.918679043	-0.02221685	0.394379548	0_1	 + 1	PD[X[0,3,1,2],X[1,3,2,4]];
-0.554107991	0.0161445488	-0.832288224	5_6s|5_6m	 - A^(-10) + A^(-8) + 2*A^(-6) - 2*A^(-2) - 1 + A^(2) + A^(4)	PD[X[0,4,1,3],X[1,8,2,9],X[9,2,10,3],X[4,7,5,6],X[11,6,12,5],X[10,8,11,7]];
0.445160169	-0.0379843295	0.894644966	2_1s*2_1s|2_1m*2_1s|2_1m*2_1m|6_25s|6_25m	 + A^(-20) - 2*A^(-16) - 2*A^(-14) + A^(-12) + 2*A^(-10) + A^(-8)	PD[X[0,7,1,6],X[3,2,4,1],X[2,10,3,9],X[4,9,5,8],X[7,6,8,5]];
0.170587755	-0.381467581	-0.908505532	2_1s|2_1m	 - A^(-10) + A^(-6) + A^(-4)	PD[X[2,1,3,0],X[1,4,2,3]];
-0.188354069	-0.130912064	-0.973336929	2_1s|2_1m	 - A^(-10) + A^(-6) + A^(-4)	PD[X[2,1,3,0],X[1,4,2,3]];
-0.649281663	-0.119489059	-0.75110298	0_1	 + 1	PD[];
-0.84226692	-0.0240709971	0.538523001	2_1s|2_1m	 - A^(-10) + A^(-6) + A^(-4)	PD[X[0,3,1,2],X[3,2,4,1]];
-0.831551476	0.507794138	-0.225093884	2_1s|2_1m	 - A^(-10) + A^(-6) + A^(-4)	PD[X[2,1,3,0],X[1,4,2,3]];
-0.566825355	0.793034455	0.223171167	2_1s|2_1m	 - A^(-10) + A^(-6) + A^(-4)	PD[X[2,1,3,0],X[1,4,2,3]];
-0.141009205	0.506125287	-0.850854628	2_1s|2_1m	 - A^(-10) + A^(-6) + A^(-4)	PD[X[2,1,3,0],X[1,4,2,3]];
-0.880600094	-0.449545352	0.149841417	2_1s|2_1m	 - A^(-10) + A^(-6) + A^(-4)	PD[X[0,3,1,2],X[3,2,4,1]];
0.118860905	0.895215691	-0.429489176	2_1s|2_1m	 - A^(-10) + A^(-6) + A^(-4)	PD[X[2,1,3,0],X[1,4,2,3]];
-0.545427673	-0.250616135	0.799812607	2_1s|2_1m	 - A^(-10) + A^(-6) + A^(-4)	PD[X[0,3,1,2],X[3,2,4,1]];
-0.384923689	-0.520529553	-0.762156636	0_1	 + 1	PD[X[2,1,3,0],X[3,1,4,2]];
0.317084241	0.84902318	0.42263131	0_1	 + 1	PD[];
0.759941819	-0.0810259151	0.644921105	2_1s|2_1m	 - A^(-10) + A^(-6) + A^(-4)	PD[X[0,3,1,2],X[3,2,4,1]];
-0.886007693	-0.04947439	-0.461023483	0_1	 + 1	PD[];
0.705001611	0.604688908	0.370572601	0_1	 + 1	PD[];
-0.0296625979	0.0268691077	-0.99919877	2_1s|2_1m	 - A^(-10) + A^(-6) + A^(-4)	PD[X[2,1,3,0],X[1,4,2,3]];
0.746090218	-0.560293111	0.359751325	0_1	 + 1	PD[];
0.373247963	0.414483422	0.829993645	0_1	 + 1	PD[];
-0.8109939	0.555037202	-0.18499351	2_1s|2_1m	 - A^(-10) + A^(-6) + A^(-4)	PD[X[2,1,3,0],X[1,4,2,3]];
-0.688094874	-0.682578444	0.246195274	2_1s|2_1m	 - A^(-10) + A^(-6) + A^(-4)	PD[X[0,3,1,2],X[3,2,4,1]];
0.00933222741	-0.712344302	0.701768128	2_1s|2_1m	 - A^(-10) + A^(-6) + A^(-4)	PD[X[0,3,1,2],X[3,2,4,1]];
-0.837822296	0.542032581	-0.0652263882	2_1s|2_1m	 - A^(-10) + A^(-6) + A^(-4)	PD[X[3,1,4,0],X[5,2,6,1],X[2,5,3,4]];
