#projection.x	projection.y	projection.z	knotoid_type	polynomial	PD_code
-0.338622636	-0.149407387	0.928984469	0_1	 + 1	PD[];
0.00127195929	-0.583871505	0.811845088	0_1	 + 1	PD[];
-0.88671045	0.318027413	0.335563918	0_1	 + 1	PD[];
0.356919755	-0.349711935	-0.866204278	2_1|2_1ms	 + A^(4) + A^(6) - A^(10)	PD[X[3,0,4,1],X[5,1,6,2],X[2,4,3,5]];
-0.412839292	0.898721076	0.147865298	0_1	 + 1	PD[];
-0.624649771	-0.765929285	0.152200507	2_1s|2_1m	 - A^(-10) + A^(-6) + A^(-4)	PD[X[0,3,1,2],X[3,2,4,1]];
-0.494035127	-0.0713713345	-0.866507603	0_1	 + 1	PD[];
-0.0812962894	-0.692308478	-0.71700759	0_1	 + 1	PD[];
-0.701967434	-0.705535604	0.0972688752	2_1s|2_1m	 - A^(-10) + A^(-6) + A^(-4)	PD[X[0,3,1,2],X[3,2,4,1]];
-0.100061709	0.179952709	0.978572776	0_1	 + 1	PD[];
-0.357090861	-0.127355083	-0.925346854	0_1	 + 1	PD[];
-0.0906072267	0.030386253	-0.995423029	0_1	 + 1	PD[];
0.279342912	0.915980659	0.288005156	0_1	 + 1	PD[];
-0.807778415	-0.579208614	0.109596596	2_1s|2_1m	 - A^(-10) + A^(-6) + A^(-4)	PD[X[0,3,1,2],X[3,2,4,1]];
0.0397770032	-0.308922126	-0.950255182	0_1	 + 1	PD[];
0.251293325	-0.428730915	0.867779619	0_1	 + 1	PD[];
0.247673707	0.527842702	-0.812428345	0_1	 + 1	PD[];
-0.175131996	-0.257562686	0.95025799	0_1	 + 1	PD[];
0.312840408	-0.949683435	0.0152398245	0_1	 + 1	PD[];
0.360642175	0.0929862998	0.928057525	0_1	 + 1	PD[];
0.849185815	0.375015041	0.371816044	0_1	 + 1	PD[];
-0.0854369872	0.983527912	-0.159290201	0_1	 + 1	PD[];
0.388845293	-0.0402128156	0.920425047	0_1	 + 1	PD[];
0.988266443	0.0074862442	-0.152556198	0_1	 + 1	PD[];
-0.00425653515	-0.00806923015	-0.999958384	0_1	 + 1	PD[];
-0.279974668	0.561066152	0.778985852	0_1	 + 1	PD[];
-0.822176876	0.132266757	-0.553652138	0_1	 + 1	PD[];
-0.769184458	0.349025084	-0.535291286	0_1	 + 1	PD[X[0,3,1,2],X[1,3,2,4]];
-0.724564343	-0.0226939673	0.688833431	0_1	 + 1	PD[X[0,3,1,2],X[1,3,2,4]];
0.284469558	0.788718627	-0.544977062	0_1	 + 1	PD[];
-0.643255136	0.392720455	-0.657262105	0_1	 + 1	PD[X[0,3,1,2],X[1,3,2,4]];
-0.52539035	-0.0326950434	-0.850232918	0_1	 + 1	PD[];
-0.887409945	-0.389830813	-0.246039684	0_1	 + 1	PD[];
-0.451950571	-0.652408163	-0.608361957	0_1	 + 1	PD[];
-0.642601761	-0.684508401	0.344254593	2_1s|2_1m	 - A^(-10) + A^(-6) + A^(-4)	PD[X[0,3,1,2],X[3,2,4,1]];
0.966951884	0.241035243	-0.083102745	0_1	 + 1	PD[];
