#projection.x	projection.y	projection.z	knotoid_type	polynomial	PD_code
-0.109170105	-0.993650312	-0.0272203186	0_1	 + 1	PD[];
-0.44721914	0.863696326	-0.232429982	0_1	 + 1	PD[];
-0.217261869	-0.738371398	0.638439471	2_1s|2_1m	 - A^(-10) + A^(-6) + A^(-4)	PD[X[2,1,3,0],X[1,4,2,3]];
-0.349130909	-0.35035116	0.869115454	0_1	 + 1	PD[];
0.176083394	0.0159724329	0.98424566	0_1	 + 1	PD[];
-0.914774035	-0.356608025	0.189787202	0_1	 + 1	PD[];
0.45305544	-0.779406992	0.432741849	0_1	 + 1	PD[];
-0.728132888	-0.187892689	0.659180427	2_1s|2_1m	 - A^(-10) + A^(-6) + A^(-4)	PD[X[0,3,1,2],X[3,2,4,1]];
0.911647334	0.328332371	0.247178058	0_1	 + 1	PD[];
0.801991757	-0.591710971	0.081776211	0_1	 + 1	PD[];
0.640872333	-0.723880141	-0.25549989	2_1s|2_1m	 - A^(-10) + A^(-6) + A^(-4)	PD[X[3,1,4,0],X[5,2,6,1],X[2,5,3,4]];
0.757583574	-0.492407997	0.428487447	2_1|2_1ms	 + A^(4) + A^(6) - A^(10)	PD[X[0,2,1,3],X[3,1,4,2]];
0.897183362	-0.431156536	-0.0957395267	3_2s|3_2m	 + A^(-2) + 1 - A^(2) - A^(4) + A^(8)	PD[X[0,4,1,3],X[5,1,6,2],X[2,4,3,5]];
-0.121471648	0.820670339	-0.558341145	0_1	 + 1	PD[];
0.667041069	0.287890379	-0.687150159	0_1	 + 1	PD[];
0.38603166	0.759504609	-0.523576457	2_1s|2_1m	 - A^(-10) + A^(-6) + A^(-4)	PD[X[0,3,1,2],X[3,2,4,1]];
0.993176691	0.0243587378	-0.114046978	0_1	 + 1	PD[];
-0.140197136	-0.857781311	-0.49452602	0_1	 + 1	PD[];
-0.852303133	-0.363900199	0.375707353	0_1	 + 1	PD[];
-0.605921008	-0.227934602	-0.762171601	0_1	 + 1	PD[];
0.387335468	-0.887894918	-0.248221373	0_1	 + 1	PD[];
0.331824178	0.554731679	-0.762997693	0_1	 + 1	PD[];
0.973870524	-0.0160844673	-0.226533646	0_1	 + 1	PD[];
-0.0246348182	0.0856691202	0.99601904	0_1	 + 1	PD[];
-0.698141423	-0.547123375	0.46179494	4_7|4_7ms	 - A^(-4) + 2 + A^(2) - A^(6)	PD[X[5,1,6,0],X[1,3,2,4],X[2,8,3,7],X[6,4,7,5]];
0.274449544	-0.0520341179	0.960192636	0_1	 + 1	PD[];
0.624542968	0.0912714273	0.775638839	0_1	 + 1	PD[];
-0.892956278	0.419915591	0.16217269	0_1	 + 1	PD[X[0,2,1,3],X[1,4,2,3]];
-0.875504091	0.356757005	-0.325909536	0_1	 + 1	PD[];
-0.607705117	0.794123195	0.00792729901	0_1	 + 1	PD[];
-0.204389327	-0.581198833	-0.787675644	0_1	 + 1	PD[];
0.585110611	0.767069691	0.263153307	0_1	 + 1	PD[];
-0.7724935	-0.0223131259	-0.634630536	0_1	 + 1	PD[];
-0.227882881	-0.673974978	-0.702728341	0_1	 + 1	PD[];
-0.834890872	0.521629481	-0.175669909	0_1	 + 1	PD[];
-0.226196042	0.853009615	0.470329615	0_1	 + 1	PD[];
-0.630764095	0.08042424	0.771795698	2_1s|2_1m	 - A^(-10) + A^(-6) + A^(-4)	PD[X[0,3,1,2],X[3,2,4,1]];
-0.838807411	-0.374914449	0.394767378	0_1	 + 1	PD[];
-0.914664375	0.403750447	-0.0193561004	0_1	 + 1	PD[];
0.327107284	0.790153247	-0.51832294	2_1s*2_1s|2_1m*2_1s|2_1m*2_1m|6_25s|6_25m	 + A^(-20) - 2*A^(-16) - 2*A^(-14) + A^(-12) + 2*A^(-10) + A^(-8)	PD[X[1,4,2,3],X[7,6,8,5],X[4,7,5,6],X[2,1,3,0]];
-0.570368483	-0.0159236963	-0.821234576	0_1	 + 1	PD[];
0.52362469	0.255177707	-0.812835482	0_1	 + 1	PD[];
0.360189556	0.739057	0.56926113	0_1	 + 1	PD[];
-0.334047503	0.505409536	-0.795596296	0_1	 + 1	PD[];
-0.989354196	-0.0166427895	0.144572791	0_1	 + 1	PD[];
0.705975124	-0.682261087	0.190049821	0_1	 + 1	PD[];
0.374568222	-0.892492131	-0.251309457	0_1	 + 1	PD[];
-0.173741188	-0.0378869034	0.984062286	0_1	 + 1	PD[];
0.692220124	-0.0681653175	0.718460013	0_1	 + 1	PD[];
