#projection.x	projection.y	projection.z	knotoid_type	polynomial	PD_code
-0.295675865	-0.713456171	-0.635260636	2_1s|2_1m	 - A^(-10) + A^(-6) + A^(-4)	PD[X[0,3,1,2],X[3,2,4,1]];
0.398994645	0.521883157	0.753950425	2_1s|2_1m	 - A^(-10) + A^(-6) + A^(-4)	PD[X[0,3,1,2],X[3,2,4,1]];
-0.791118023	0.123794608	0.59900515	3_1m	 - A^(-16) + A^(-12) + A^(-4)	PD[X[3,1,4,0],X[1,5,2,4],X[5,3,6,2]];
0.661207506	0.352155085	-0.662413338	3_2|3_2ms	 + A^(-8) - A^(-4) - A^(-2) + 1 + A^(2)	PD[X[5,2,6,3],X[3,2,4,1],X[0,5,1,4]];
-0.0986303367	-0.932007208	-0.348761554	2_1s|2_1m	 - A^(-10) + A^(-6) + A^(-4)	PD[X[0,3,1,2],X[3,2,4,1]];
-0.107336421	-0.59718739	-0.794887485	3_1m	 - A^(-16) + A^(-12) + A^(-4)	PD[X[5,1,6,0],X[1,5,2,4],X[2,8,3,7],X[6,4,7,3]];
-0.410431006	0.276002646	0.869119629	6_29s|6_29m	 - A^(-28) + A^(-24) - A^(-20) - A^(-18) + A^(-16) + A^(-14) + A^(-12)	PD[X[7,1,8,0],X[1,9,2,8],X[3,11,4,10],X[9,3,10,2],X[6,5,7,4],X[5,12,6,11]];
0.0824045072	-0.542111733	-0.83625616	3_1m	 - A^(-16) + A^(-12) + A^(-4)	PD[X[3,1,4,0],X[1,5,2,4],X[5,3,6,2]];
0.14831889	-0.878261543	0.45459671	2_1s|2_1m	 - A^(-10) + A^(-6) + A^(-4)	PD[X[0,3,1,2],X[3,2,4,1]];
0.783381862	0.0346260608	0.620575455	UNKNOWN	 - A^(-30) + 3*A^(-26) - 5*A^(-22) - 3*A^(-20) + 5*A^(-18) + 5*A^(-16) - 2*A^(-14) - 4*A^(-12) + 3*A^(-8) + A^(-6) - A^(-2)	PD[X[10,24,11,23],X[7,13,8,14],X[17,11,18,12],X[6,16,7,15],X[12,4,13,5],X[19,23,20,22],X[18,10,19,9],X[1,21,2,20],X[21,3,22,2],X[8,4,9,3],X[14,1,15,0],X[16,6,17,5]];
-0.552745939	0.427877401	-0.715117373	4_6s|4_6m	 - A^(-22) + A^(-18) - A^(-14) + A^(-10) + A^(-8)	PD[X[2,9,3,8],X[10,8,11,7],X[3,12,4,11],X[0,6,1,5],X[9,2,10,1],X[6,5,7,4]];
