#projection.x	projection.y	projection.z	knotoid_type	polynomial	PD_code
0.607644774	0.764614317	-0.214785415	0_1	 + 1	PD[];
0.798348005	0.592808983	0.105914931	0_1	 + 1	PD[];
0.321753793	0.789890122	0.522061387	0_1	 + 1	PD[];
-0.977265552	0.187951894	-0.0981128239	0_1	 + 1	PD[];
-0.887593953	-0.329738276	0.321635887	0_1	 + 1	PD[];
0.911350345	-0.411284954	-0.016888903	0_1	 + 1	PD[];
0.537797746	-0.791000007	0.291706314	0_1	 + 1	PD[];
-0.975922386	0.144378281	-0.163494367	0_1	 + 1	PD[];
0.12893495	0.774387378	-0.6194352	0_1	 + 1	PD[];
-0.426884114	-0.848768059	-0.312030023	0_1	 + 1	PD[];
-0.846045879	-0.524988551	0.0927005503	0_1	 + 1	PD[];
-0.665556359	-0.729316316	-0.158532155	0_1	 + 1	PD[];
-0.730757055	-0.552501099	-0.40091977	0_1	 + 1	PD[];
-0.394363954	-0.860071891	-0.32365632	0_1	 + 1	PD[];
0.338431553	0.874557811	-0.34729342	0_1	 + 1	PD[];
0.189405668	0.756015657	-0.626550731	0_1	 + 1	PD[];
-0.051913122	0.520683621	0.852169933	0_1	 + 1	PD[];
0.331767603	0.534860713	-0.77708061	0_1	 + 1	PD[];
-0.960143564	0.0132874113	-0.279191297	0_1	 + 1	PD[];
0.294071281	-0.917453099	0.267958752	0_1	 + 1	PD[];
0.844229961	0.120635003	-0.522228847	0_1	 + 1	PD[];
0.312847595	0.856610378	-0.410298724	0_1	 + 1	PD[];
0.450781015	0.390447139	0.802712594	0_1	 + 1	PD[];
0.444208494	-0.336717724	-0.830240922	0_1	 + 1	PD[];
-0.951275106	-0.251535735	-0.178340816	0_1	 + 1	PD[];
0.962565521	-0.173949759	-0.207867986	0_1	 + 1	PD[];
0.596830546	-0.802366735	0.00096014142	0_1	 + 1	PD[];
0.535371045	0.829842921	0.157284997	0_1	 + 1	PD[];
0.992445824	0.121987478	-0.0130514991	0_1	 + 1	PD[];
0.0778749295	0.994707405	-0.0670274128	0_1	 + 1	PD[];
-0.695986355	-0.51160287	-0.50385067	0_1	 + 1	PD[];
0.734917025	0.006203647	0.678128662	0_1	 + 1	PD[];
0.10421716	0.830954769	0.546491497	0_1	 + 1	PD[X[0,3,1,2],X[1,3,2,4]];
-0.583515056	-0.787375067	-0.198873538	0_1	 + 1	PD[];
-0.0166727398	0.974372987	-0.224319643	0_1	 + 1	PD[];
-0.229741378	0.964738292	-0.12844815	0_1	 + 1	PD[];
-0.479696499	0.827156784	-0.292750616	0_1	 + 1	PD[];
-0.288929327	-0.86077615	0.419027759	0_1	 + 1	PD[];
