#projection.x	projection.y	projection.z	knotoid_type	polynomial	PD_code
-0.573826748	0.407517508	0.710388868	3_1m	 - A^(-16) + A^(-12) + A^(-4)	PD[X[3,1,4,0],X[1,5,2,4],X[5,3,6,2]];
-0.543187643	-0.825986945	0.150641131	4_8s|4_8m	 - A^(-18) + A^(-14) + A^(-12) - A^(-10) - A^(-8) + A^(-6) + A^(-4)	PD[X[4,1,5,0],X[1,8,2,7],X[6,3,7,2],X[3,6,4,5]];
0.929658782	-0.210679535	0.302239445	0_1	 + 1	PD[];
-0.846774289	-0.280198738	-0.452174713	0_1	 + 1	PD[];
0.932093862	-0.119105877	-0.342074294	2_1s|2_1m	 - A^(-10) + A^(-6) + A^(-4)	PD[X[0,4,1,3],X[1,6,2,5],X[4,3,5,2]];
-0.756062127	0.439103893	0.485343005	3_1m	 - A^(-16) + A^(-12) + A^(-4)	PD[X[3,1,4,0],X[1,5,2,4],X[5,3,6,2]];
-0.996046842	-0.0257251926	-0.0850229547	3_2|3_2ms	 + A^(-8) - A^(-4) - A^(-2) + 1 + A^(2)	PD[X[0,5,1,4],X[3,2,4,1],X[5,2,6,3]];
-0.764614157	-0.182000416	-0.618256452	0_1	 + 1	PD[];
-0.219543756	-0.774587465	0.59313978	4_3s|4_3m	 - A^(-16) - A^(-14) + A^(-12) + A^(-10) + A^(-8)	PD[X[5,1,6,0],X[1,7,2,6],X[4,3,5,2],X[3,8,4,7]];
0.955088475	0.291244934	-0.0546112913	0_1	 + 1	PD[];
-0.334399636	0.498039513	0.80008345	2_1s|2_1m	 - A^(-10) + A^(-6) + A^(-4)	PD[X[0,3,1,2],X[3,2,4,1]];
-0.550446975	-0.693638962	0.464621478	0_1	 + 1	PD[];
-0.562505536	0.822711232	0.0820594337	2_1s|2_1m	 - A^(-10) + A^(-6) + A^(-4)	PD[X[2,1,3,0],X[1,4,2,3]];
0.838641351	0.388317805	0.38195545	0_1	 + 1	PD[];
-0.364278959	-0.874130723	-0.321241839	0_1	 + 1	PD[];
-0.0207117126	0.289736375	-0.956882364	0_1	 + 1	PD[];
-0.881546312	-0.455927877	0.122498454	0_1	 + 1	PD[];
-0.442559027	-0.842835689	0.306218076	4_3s|4_3m	 - A^(-16) - A^(-14) + A^(-12) + A^(-10) + A^(-8)	PD[X[4,10,5,9],X[2,9,3,8],X[0,8,1,7],X[6,2,7,1],X[5,4,6,3]];
-0.88498135	0.455888834	-0.0947279264	3_2|3_2ms	 + A^(-8) - A^(-4) - A^(-2) + 1 + A^(2)	PD[X[0,5,1,4],X[3,2,4,1],X[5,2,6,3]];
0.678178584	-0.549581643	0.487887104	2_1s|2_1m	 - A^(-10) + A^(-6) + A^(-4)	PD[X[3,1,4,0],X[5,2,6,1],X[2,5,3,4]];
-0.259374312	-0.181321146	-0.948602977	2_1s|2_1m	 - A^(-10) + A^(-6) + A^(-4)	PD[X[2,1,3,0],X[1,4,2,3]];
0.343270513	-0.840147265	-0.419902285	2_1s|2_1m	 - A^(-10) + A^(-6) + A^(-4)	PD[X[0,5,1,4],X[3,2,4,1],X[2,6,3,5]];
0.989491012	-0.0903786603	-0.11286822	0_1	 + 1	PD[];
-0.531437742	0.75904027	0.376074188	4_6s|4_6m	 - A^(-22) + A^(-18) - A^(-14) + A^(-10) + A^(-8)	PD[X[0,5,1,4],X[5,2,6,1],X[2,7,3,6],X[7,4,8,3]];
0.753808937	0.210068872	-0.622609955	2_1s|2_1m	 - A^(-10) + A^(-6) + A^(-4)	PD[X[0,3,1,2],X[3,2,4,1]];
-0.342628669	0.935515366	0.0861196611	0_1	 + 1	PD[];
-0.756373871	-0.580221003	0.302063165	0_1	 + 1	PD[];
-0.615696645	-0.709162243	-0.343520821	0_1	 + 1	PD[];
0.300201006	0.910351242	0.284850789	3_2|3_2ms	 + A^(-8) - A^(-4) - A^(-2) + 1 + A^(2)	PD[X[0,3,1,4],X[5,2,6,1],X[2,5,3,4]];
0.646657988	0.656038976	0.389161031	2_1s|2_1m	 - A^(-10) + A^(-6) + A^(-4)	PD[X[0,3,1,2],X[3,2,4,1]];
-0.42897557	-0.0166218263	0.90316315	2_1s|2_1m	 - A^(-10) + A^(-6) + A^(-4)	PD[X[0,5,1,4],X[3,2,4,1],X[2,6,3,5]];
0.34115814	0.774521845	-0.532660338	0_1	 + 1	PD[];
0.676728638	0.657871491	-0.330519971	3_2|3_2ms	 + A^(-8) - A^(-4) - A^(-2) + 1 + A^(2)	PD[X[0,3,1,4],X[5,2,6,1],X[2,5,3,4]];
0.147370147	-0.42192207	0.894574651	3_1m	 - A^(-16) + A^(-12) + A^(-4)	PD[X[3,1,4,0],X[1,5,2,4],X[5,3,6,2]];
-0.952878959	-0.0654915709	0.296196799	0_1	 + 1	PD[];
