#projection.x	projection.y	projection.z	knotoid_type	polynomial	PD_code
0.545792908	-0.245913022	0.801022401	3_1m	 - A^(-16) + A^(-12) + A^(-4)	PD[X[1,5,2,4],X[3,7,4,6],X[5,3,6,2],X[0,8,1,7]];
0.29864756	0.858366348	-0.417153266	0_1	 + 1	PD[];
-0.499958661	0.863392633	-0.0677827275	2_1s|2_1m	 - A^(-10) + A^(-6) + A^(-4)	PD[X[0,3,1,2],X[3,2,4,1]];
0.31082679	-0.214606017	-0.925921684	2_1s|2_1m	 - A^(-10) + A^(-6) + A^(-4)	PD[X[0,4,1,3],X[1,6,2,5],X[4,3,5,2]];
-0.218214353	0.900582367	0.375944007	0_1	 + 1	PD[];
-0.81152799	-0.584286077	-0.00566582661	0_1	 + 1	PD[];
0.907638326	-0.34601085	-0.237632408	2_1s|2_1m	 - A^(-10) + A^(-6) + A^(-4)	PD[X[4,1,5,0],X[1,4,2,3],X[5,3,6,2]];
0.245817917	0.753278391	-0.610037062	0_1	 + 1	PD[];
-0.403740554	0.89941189	0.167486765	2_1s|2_1m	 - A^(-10) + A^(-6) + A^(-4)	PD[X[0,3,1,2],X[3,2,4,1]];
0.131517191	0.0624381805	-0.989345593	2_1s|2_1m	 - A^(-10) + A^(-6) + A^(-4)	PD[X[0,4,1,3],X[1,6,2,5],X[4,3,5,2]];
-0.63924627	0.361506338	0.678732181	0_1	 + 1	PD[];
-0.0500790886	0.0308178561	-0.998269675	3_1m	 - A^(-16) + A^(-12) + A^(-4)	PD[X[0,6,1,5],X[4,2,5,1],X[7,3,8,2],X[3,7,4,6]];
-0.542897802	0.794793355	-0.271229606	2_1s|2_1m	 - A^(-10) + A^(-6) + A^(-4)	PD[X[0,3,1,2],X[3,2,4,1]];
0.149063094	-0.957581668	0.24661213	2_1s|2_1m	 - A^(-10) + A^(-6) + A^(-4)	PD[X[2,1,3,0],X[1,4,2,3]];
0.454053976	-0.882009045	-0.126075501	2_1s|2_1m	 - A^(-10) + A^(-6) + A^(-4)	PD[X[2,1,3,0],X[1,4,2,3]];
-0.00695184375	0.237561184	0.971347701	2_1s|2_1m	 - A^(-10) + A^(-6) + A^(-4)	PD[X[2,1,3,0],X[1,4,2,3]];
0.944693599	0.134072044	0.299296996	2_1s|2_1m	 - A^(-10) + A^(-6) + A^(-4)	PD[X[0,3,1,2],X[3,2,4,1]];
0.629119581	0.7299457	-0.267185006	0_1	 + 1	PD[];
0.704022196	-0.433713267	0.562357137	3_1m	 - A^(-16) + A^(-12) + A^(-4)	PD[X[3,1,4,0],X[1,5,2,4],X[5,3,6,2]];
