#projection.x	projection.y	projection.z	knotoid_type	polynomial	PD_code
0.0589566436	0.436806829	-0.89762125	0_1	 + 1	PD[];
0.651136321	-0.752547272	0.0984585974	3_1m	 - A^(-16) + A^(-12) + A^(-4)	PD[X[0,4,1,3],X[4,2,5,1],X[2,6,3,5]];
0.540753219	0.0597245755	-0.83905836	2_1s|2_1m	 - A^(-10) + A^(-6) + A^(-4)	PD[X[2,1,3,0],X[1,4,2,3]];
0.442632689	-0.300895632	-0.844711857	2_1s|2_1m	 - A^(-10) + A^(-6) + A^(-4)	PD[X[2,1,3,0],X[1,4,2,3]];
0.262156591	-0.338521658	0.903701836	0_1	 + 1	PD[];
-0.0184709934	0.957047459	-0.289342329	2_1s|2_1m	 - A^(-10) + A^(-6) + A^(-4)	PD[X[3,1,4,0],X[5,2,6,1],X[2,5,3,4]];
0.335476186	0.925557873	-0.175494596	2_1s|2_1m	 - A^(-10) + A^(-6) + A^(-4)	PD[X[3,1,4,0],X[5,2,6,1],X[2,5,3,4]];
0.764815087	-0.0425712828	-0.642841791	3_1m	 - A^(-16) + A^(-12) + A^(-4)	PD[X[0,4,1,3],X[4,2,5,1],X[2,6,3,5]];
0.113689777	-0.315319913	-0.942150724	0_1	 + 1	PD[];
-0.208299028	0.683456883	-0.699641482	2_1s|2_1m	 - A^(-10) + A^(-6) + A^(-4)	PD[X[0,3,1,2],X[3,2,4,1]];
-0.253198259	0.554030082	0.793058201	2_1s|2_1m	 - A^(-10) + A^(-6) + A^(-4)	PD[X[0,3,1,2],X[3,2,4,1]];
0.310485941	0.425048621	0.850254168	0_1	 + 1	PD[];
-0.227607936	-0.692015874	-0.685061061	0_1	 + 1	PD[];
-0.0223532297	-0.656482369	-0.754010101	2_1s|2_1m	 - A^(-10) + A^(-6) + A^(-4)	PD[X[2,1,3,0],X[1,4,2,3]];
0.971492001	0.222174806	-0.0827142582	2_1s|2_1m	 - A^(-10) + A^(-6) + A^(-4)	PD[X[0,3,1,2],X[3,2,4,1]];
0.827724866	-0.121416353	0.547840867	0_1	 + 1	PD[];
-0.539799393	-0.106028301	0.835089585	0_1	 + 1	PD[];
-0.00220708973	0.810059807	0.586343106	2_1s|2_1m	 - A^(-10) + A^(-6) + A^(-4)	PD[X[0,4,1,3],X[1,6,2,5],X[4,3,5,2]];
0.618144874	0.65956442	-0.427634997	2_1s|2_1m	 - A^(-10) + A^(-6) + A^(-4)	PD[X[3,1,4,0],X[5,2,6,1],X[2,5,3,4]];
-0.0522815568	0.34390587	-0.937547541	0_1	 + 1	PD[];
-0.555582057	-0.608469335	-0.566651256	0_1	 + 1	PD[];
0.514822484	0.710134523	0.480277803	0_1	 + 1	PD[];
0.410360495	-0.846267744	0.339757516	3_1m	 - A^(-16) + A^(-12) + A^(-4)	PD[X[0,4,1,3],X[4,2,5,1],X[2,6,3,5]];
-0.325864978	0.845827968	-0.422358929	2_1s|2_1m	 - A^(-10) + A^(-6) + A^(-4)	PD[X[3,1,4,0],X[5,2,6,1],X[2,5,3,4]];
-0.0657481392	0.906289503	-0.417512297	2_1s|2_1m	 - A^(-10) + A^(-6) + A^(-4)	PD[X[3,1,4,0],X[5,2,6,1],X[2,5,3,4]];
-0.576799108	-0.816745741	-0.0151388133	2_1s|2_1m	 - A^(-10) + A^(-6) + A^(-4)	PD[X[0,3,1,2],X[3,2,4,1]];
-0.285258401	0.912480537	-0.293269353	2_1s|2_1m	 - A^(-10) + A^(-6) + A^(-4)	PD[X[3,1,4,0],X[5,2,6,1],X[2,5,3,4]];
-0.793817486	-0.520846272	0.313963308	2_1s|2_1m	 - A^(-10) + A^(-6) + A^(-4)	PD[X[0,3,1,2],X[3,2,4,1]];
-0.0312429138	-0.972152083	0.232258923	2_1s|2_1m	 - A^(-10) + A^(-6) + A^(-4)	PD[X[0,4,1,3],X[1,6,2,5],X[4,3,5,2]];
-0.0998890141	-0.127705117	-0.986769268	0_1	 + 1	PD[];
