#projection.x	projection.y	projection.z	knotoid_type	polynomial	PD_code
-0.0499196601	0.864342835	-0.500419315	0_1	 + 1	PD[];
0.14539778	0.887122498	0.438033286	2_1s|2_1m	 - A^(-10) + A^(-6) + A^(-4)	PD[X[2,1,3,0],X[1,4,2,3]];
0.72288458	-0.301014517	0.621955099	3_1m	 - A^(-16) + A^(-12) + A^(-4)	PD[X[0,6,1,5],X[4,2,5,1],X[7,3,8,2],X[3,7,4,6]];
0.126992783	0.82952887	0.543833327	2_1s|2_1m	 - A^(-10) + A^(-6) + A^(-4)	PD[X[0,5,1,4],X[3,2,4,1],X[2,6,3,5]];
-0.36353404	-0.27779668	-0.889197394	0_1	 + 1	PD[];
-0.24713491	-0.820876607	0.514864966	0_1	 + 1	PD[];
-0.299578435	-0.0115626299	-0.954001607	0_1	 + 1	PD[];
0.62515629	0.659193698	-0.417903436	0_1	 + 1	PD[];
0.702583419	-0.691484431	-0.16800542	2_1s|2_1m	 - A^(-10) + A^(-6) + A^(-4)	PD[X[2,1,3,0],X[1,4,2,3]];
-0.937086495	-0.336213694	0.0939641022	2_1s|2_1m	 - A^(-10) + A^(-6) + A^(-4)	PD[X[4,3,5,2],X[1,6,2,5],X[0,4,1,3]];
-0.609886084	0.361912667	0.705023536	2_1s|2_1m	 - A^(-10) + A^(-6) + A^(-4)	PD[X[2,1,3,0],X[1,4,2,3]];
-0.595974051	0.569217979	-0.566397231	2_1s|2_1m	 - A^(-10) + A^(-6) + A^(-4)	PD[X[4,1,5,0],X[1,4,2,3],X[5,3,6,2]];
0.328818635	0.9022146	0.279082642	2_1s|2_1m	 - A^(-10) + A^(-6) + A^(-4)	PD[X[2,1,3,0],X[1,4,2,3]];
0.598899275	-0.394556101	0.696882445	0_1	 + 1	PD[];
0.816533497	0.450629999	-0.360840204	3_1m	 - A^(-16) + A^(-12) + A^(-4)	PD[X[3,1,4,0],X[1,5,2,4],X[5,3,6,2]];
