#projection.x	projection.y	projection.z	knotoid_type	polynomial	PD_code
0.596609056	-0.572608322	-0.562296491	3_1m	 - A^(-16) + A^(-12) + A^(-4)	PD[X[0,4,1,3],X[4,2,5,1],X[2,6,3,5]];
0.390214365	-0.896263877	0.210817012	0_1	 + 1	PD[];
0.440726114	0.387775046	0.809562231	0_1	 + 1	PD[];
-0.825539703	-0.458010142	-0.329713374	0_1	 + 1	PD[];
0.572972349	-0.346965308	0.742507752	2_1s|2_1m	 - A^(-10) + A^(-6) + A^(-4)	PD[X[0,3,1,2],X[3,2,4,1]];
-0.649741465	-0.127310173	0.74941854	0_1	 + 1	PD[];
0.814796529	0.562153963	-0.141737565	0_1	 + 1	PD[];
0.513895727	0.753965319	0.409203469	2_1s|2_1m	 - A^(-10) + A^(-6) + A^(-4)	PD[X[2,1,3,0],X[1,4,2,3]];
0.533579645	0.839151691	-0.105438147	0_1	 + 1	PD[];
0.521686012	-0.216089979	0.825317409	2_1s|2_1m	 - A^(-10) + A^(-6) + A^(-4)	PD[X[0,3,1,2],X[3,2,4,1]];
-0.990569659	-0.0563662921	-0.124878307	0_1	 + 1	PD[];
0.510832799	0.673273115	0.53455885	2_1s|2_1m	 - A^(-10) + A^(-6) + A^(-4)	PD[X[2,1,3,0],X[1,4,2,3]];
0.22786596	0.64654798	0.728047261	3_1m	 - A^(-16) + A^(-12) + A^(-4)	PD[X[3,1,4,0],X[1,5,2,4],X[5,3,6,2]];
0.0522311314	0.983494527	0.173235169	0_1	 + 1	PD[];
-0.609097333	-0.529873201	-0.590114251	0_1	 + 1	PD[];
-0.279626036	-0.234600405	-0.93100587	2_1s|2_1m	 - A^(-10) + A^(-6) + A^(-4)	PD[X[2,1,3,0],X[1,4,2,3]];
-0.512792925	0.721681177	0.464994296	3_1m	 - A^(-16) + A^(-12) + A^(-4)	PD[X[3,1,4,0],X[1,5,2,4],X[5,3,6,2]];
-0.598316837	-0.717216792	0.357235268	0_1	 + 1	PD[];
-0.45060363	-0.581551062	0.677314351	0_1	 + 1	PD[];
-0.691323511	-0.529040024	-0.492126464	0_1	 + 1	PD[];
0.214376644	0.377960104	-0.90066021	0_1	 + 1	PD[];
0.650868986	0.122999972	-0.74915991	0_1	 + 1	PD[];
-0.952019489	0.270362955	0.143397226	0_1	 + 1	PD[];
0.330959836	-0.938454686	-0.0988351633	0_1	 + 1	PD[];
-0.0612412311	0.504682608	-0.861130058	2_1s|2_1m	 - A^(-10) + A^(-6) + A^(-4)	PD[X[0,3,1,2],X[3,2,4,1]];
0.427979165	-0.413465357	0.803666743	3_1m	 - A^(-16) + A^(-12) + A^(-4)	PD[X[0,4,1,3],X[4,2,5,1],X[2,6,3,5]];
0.745873716	0.542714197	-0.386178325	0_1	 + 1	PD[];
-0.4973054	-0.86704607	0.030305963	0_1	 + 1	PD[];
0.460469348	-0.0639857582	0.885366479	2_1s|2_1m	 - A^(-10) + A^(-6) + A^(-4)	PD[X[0,3,1,2],X[3,2,4,1]];
0.798933809	0.545050839	0.254213202	0_1	 + 1	PD[];
0.808263969	-0.588515714	-0.0189370145	2_1s|2_1m	 - A^(-10) + A^(-6) + A^(-4)	PD[X[2,1,3,0],X[1,4,2,3]];
0.278302343	-0.533062387	-0.798994554	3_1m	 - A^(-16) + A^(-12) + A^(-4)	PD[X[0,4,1,3],X[4,2,5,1],X[2,6,3,5]];
0.624940774	-0.672396922	0.396650235	2_1s|2_1m	 - A^(-10) + A^(-6) + A^(-4)	PD[X[2,1,3,0],X[1,4,2,3]];
-0.155566972	-0.527290252	0.835322637	0_1	 + 1	PD[];
0.575764408	0.325540619	0.750012435	0_1	 + 1	PD[];
0.514943136	-0.855934426	0.0470087701	2_1s|2_1m	 - A^(-10) + A^(-6) + A^(-4)	PD[X[2,1,3,0],X[1,4,2,3]];
-0.171282929	0.549572429	-0.817699397	0_1	 + 1	PD[];
0.525408303	0.181299596	0.831310153	2_1s|2_1m	 - A^(-10) + A^(-6) + A^(-4)	PD[X[0,3,1,2],X[3,2,4,1]];
-0.691865782	0.59096355	0.414829871	2_1s|2_1m	 - A^(-10) + A^(-6) + A^(-4)	PD[X[4,1,5,0],X[1,4,2,3],X[5,3,6,2]];
-0.671739666	-0.173129848	0.720272085	0_1	 + 1	PD[];
-0.756100342	0.649224666	-0.0825809063	2_1s|2_1m	 - A^(-10) + A^(-6) + A^(-4)	PD[X[0,3,1,2],X[3,2,4,1]];
-0.0498248723	-0.475994878	0.878035511	0_1	 + 1	PD[];
0.588581642	0.253331697	0.767720458	2_1s|2_1m	 - A^(-10) + A^(-6) + A^(-4)	PD[X[0,3,1,2],X[3,2,4,1]];
0.842916489	-0.457099895	-0.283815923	0_1	 + 1	PD[];
0.877860846	0.0571500671	0.475493643	0_1	 + 1	PD[];
-0.922047749	-0.383113597	0.0552441934	0_1	 + 1	PD[];
0.0231646549	-0.999014268	0.0378667424	0_1	 + 1	PD[];
0.253194526	-0.949995535	-0.182759449	0_1	 + 1	PD[];
-0.192817642	0.0619722679	0.979275648	2_1s|2_1m	 - A^(-10) + A^(-6) + A^(-4)	PD[X[2,1,3,0],X[1,4,2,3]];
0.27211755	0.962219759	0.00922901416	0_1	 + 1	PD[];
0.0121773637	-0.768331731	-0.639935983	3_1m	 - A^(-16) + A^(-12) + A^(-4)	PD[X[0,4,1,3],X[4,2,5,1],X[2,6,3,5]];
0.327178822	-0.92211492	-0.206538357	0_1	 + 1	PD[];
-0.932682316	-0.360623461	-0.00737682451	0_1	 + 1	PD[];
-0.59444601	-0.701309076	0.393445703	0_1	 + 1	PD[];
0.781068938	0.514119621	-0.354418298	0_1	 + 1	PD[];
0.360069233	-0.047800551	0.931700196	2_1s|2_1m	 - A^(-10) + A^(-6) + A^(-4)	PD[X[0,3,1,2],X[3,2,4,1]];
-0.333000987	0.345208485	-0.877463073	3_1m	 - A^(-16) + A^(-12) + A^(-4)	PD[X[3,1,4,0],X[1,5,2,4],X[5,3,6,2]];
-0.842431047	-0.538804009	0.00041286042	0_1	 + 1	PD[];
0.350763273	-0.833723472	0.42646254	0_1	 + 1	PD[];
-0.30131318	-0.913716674	-0.272639336	0_1	 + 1	PD[];
0.335203018	-0.754281021	-0.564534391	3_1m	 - A^(-16) + A^(-12) + A^(-4)	PD[X[0,4,1,3],X[4,2,5,1],X[2,6,3,5]];
-0.321503104	-0.0475529068	0.945713738	2_1s|2_1m	 - A^(-10) + A^(-6) + A^(-4)	PD[X[2,1,3,0],X[1,4,2,3]];
0.333726262	0.051161355	0.941280669	2_1s|2_1m	 - A^(-10) + A^(-6) + A^(-4)	PD[X[0,3,1,2],X[3,2,4,1]];
0.434486061	-0.87864079	-0.198020768	2_1s|2_1m	 - A^(-10) + A^(-6) + A^(-4)	PD[X[2,1,3,0],X[1,4,2,3]];
0.681273446	-0.0423483903	0.730803055	0_1	 + 1	PD[];
-0.0315090942	0.418682093	-0.907586074	3_1m	 - A^(-16) + A^(-12) + A^(-4)	PD[X[3,1,4,0],X[1,5,2,4],X[5,3,6,2]];
0.311565251	0.663791131	-0.679932665	0_1	 + 1	PD[];
-0.818066734	0.522947295	-0.239359449	0_1	 + 1	PD[];
-0.762245012	0.639531397	-0.0999106248	2_1s|2_1m	 - A^(-10) + A^(-6) + A^(-4)	PD[X[0,3,1,2],X[3,2,4,1]];
-0.302375233	0.90561244	0.297380776	0_1	 + 1	PD[];
-0.970668499	0.236255051	-0.0445669899	0_1	 + 1	PD[];
-0.166063467	-0.981204707	-0.0982865565	0_1	 + 1	PD[];
0.583802569	0.174572893	0.792905332	2_1s|2_1m	 - A^(-10) + A^(-6) + A^(-4)	PD[X[0,3,1,2],X[3,2,4,1]];
-0.386782927	0.839680368	0.38122939	3_1m	 - A^(-16) + A^(-12) + A^(-4)	PD[X[3,1,4,0],X[1,5,2,4],X[5,3,6,2]];
-0.0386461926	-0.146073751	-0.988518554	0_1	 + 1	PD[];
-0.681534903	-0.722090334	-0.11872542	0_1	 + 1	PD[];
0.641913335	0.0748207856	-0.763118025	0_1	 + 1	PD[];
0.377432395	0.0286042209	0.92559526	2_1s|2_1m	 - A^(-10) + A^(-6) + A^(-4)	PD[X[0,3,1,2],X[3,2,4,1]];
0.783912309	-0.555956655	0.276394084	2_1s|2_1m	 - A^(-10) + A^(-6) + A^(-4)	PD[X[3,1,4,0],X[5,2,6,1],X[2,5,3,4]];
0.0272628224	0.225936619	-0.973760434	2_1s|2_1m	 - A^(-10) + A^(-6) + A^(-4)	PD[X[0,3,1,2],X[3,2,4,1]];
0.193699545	-0.92131384	-0.337136908	0_1	 + 1	PD[];
0.0305463307	0.336310722	-0.941255555	2_1s|2_1m	 - A^(-10) + A^(-6) + A^(-4)	PD[X[2,1,3,0],X[1,4,2,3]];
0.711009257	-0.481467732	-0.512498449	0_1	 + 1	PD[];
-0.34562435	0.840403136	-0.417452245	0_1	 + 1	PD[];
0.946350505	-0.0182059328	0.322628682	0_1	 + 1	PD[];
-0.60662581	0.0153412225	0.794839464	2_1s|2_1m	 - A^(-10) + A^(-6) + A^(-4)	PD[X[2,1,3,0],X[1,4,2,3]];
0.0888463596	0.888411141	-0.450368704	0_1	 + 1	PD[];
-0.402186222	0.412624768	-0.817304743	3_1m	 - A^(-16) + A^(-12) + A^(-4)	PD[X[3,1,4,0],X[1,5,2,4],X[5,3,6,2]];
-0.845335639	0.485854864	-0.222154694	0_1	 + 1	PD[];
-0.351249543	-0.183649937	0.918093927	2_1s|2_1m	 - A^(-10) + A^(-6) + A^(-4)	PD[X[2,1,3,0],X[1,4,2,3]];
0.0504525885	0.0699897988	0.99627103	0_1	 + 1	PD[];
0.867791914	0.129161183	0.4798485	0_1	 + 1	PD[];
-0.456850859	0.416431457	-0.78604843	2_1s|2_1m	 - A^(-10) + A^(-6) + A^(-4)	PD[X[2,1,3,0],X[1,4,2,3]];
-0.105564558	0.506795231	-0.855578586	2_1s|2_1m	 - A^(-10) + A^(-6) + A^(-4)	PD[X[0,3,1,2],X[3,2,4,1]];
-0.0239332378	0.599536877	0.799989209	3_1m	 - A^(-16) + A^(-12) + A^(-4)	PD[X[3,1,4,0],X[1,5,2,4],X[5,3,6,2]];
-0.663170582	-0.32683904	0.673335741	0_1	 + 1	PD[];
-0.516011256	0.275054452	0.811219719	2_1s|2_1m	 - A^(-10) + A^(-6) + A^(-4)	PD[X[2,1,3,0],X[1,4,2,3]];
0.385740089	-0.474099899	0.791475754	2_1s|2_1m	 - A^(-10) + A^(-6) + A^(-4)	PD[X[2,1,3,0],X[1,4,2,3]];
