#projection.x	projection.y	projection.z	knotoid_type	polynomial	PD_code
0.0651780319	0.577368296	0.81387817	0_1	 + 1	PD[];
0.195624753	-0.944738013	-0.263060909	0_1	 + 1	PD[];
0.731426471	-0.501361026	0.462225528	3_1m	 - A^(-16) + A^(-12) + A^(-4)	PD[X[0,4,1,3],X[4,2,5,1],X[2,6,3,5]];
0.812923321	0.467660216	-0.34705849	0_1	 + 1	PD[];
0.85877114	0.456525673	0.232586413	0_1	 + 1	PD[];
0.850405643	-0.111950964	0.514079006	2_1s|2_1m	 - A^(-10) + A^(-6) + A^(-4)	PD[X[3,1,4,0],X[5,2,6,1],X[2,5,3,4]];
0.112036053	0.653466907	0.74861801	0_1	 + 1	PD[];
-0.926556432	-0.332057716	-0.176722529	0_1	 + 1	PD[];
0.209287409	0.35921857	-0.909483809	0_1	 + 1	PD[];
0.162689653	-0.658136259	-0.73511138	0_1	 + 1	PD[];
0.18087553	0.918531892	-0.351544031	0_1	 + 1	PD[];
-0.479717634	-0.493637769	-0.725391442	0_1	 + 1	PD[];
0.349632189	-0.372703141	-0.859563669	2_1s|2_1m	 - A^(-10) + A^(-6) + A^(-4)	PD[X[0,4,1,3],X[1,6,2,5],X[4,3,5,2]];
0.0733177495	0.157535584	0.984787819	2_1*2_1s|2_1s*2_1ms|2_1*2_1m|2_1m*2_1ms|6_19|6_19ms|6_19s|6_19m	 - A^(-6) - A^(-4) + A^(-2) + 3 + A^(2) - A^(4) - A^(6)	PD[X[0,5,1,6],X[3,2,4,1],X[2,8,3,7],X[6,4,7,5]];
0.392996616	0.889841485	-0.231809819	0_1	 + 1	PD[];
-0.471876518	0.773803035	-0.42256528	3_1m	 - A^(-16) + A^(-12) + A^(-4)	PD[X[3,1,4,0],X[1,5,2,4],X[5,3,6,2]];
-0.805954882	-0.243804081	-0.539440727	2_1s|2_1m	 - A^(-10) + A^(-6) + A^(-4)	PD[X[0,3,1,2],X[3,2,4,1]];
-0.143978737	0.979696201	0.139518732	0_1	 + 1	PD[];
0.468470189	-0.819004125	-0.331312427	0_1	 + 1	PD[];
0.0919808228	-0.904258194	0.416961205	2_1s|2_1m	 - A^(-10) + A^(-6) + A^(-4)	PD[X[2,1,3,0],X[1,4,2,3]];
-0.731796216	0.559773288	-0.38875206	3_1m	 - A^(-16) + A^(-12) + A^(-4)	PD[X[0,6,1,5],X[4,2,5,1],X[7,3,8,2],X[3,7,4,6]];
-0.769731009	-0.248657701	0.58794857	0_1	 + 1	PD[];
-0.564895449	0.555137135	0.610504622	0_1	 + 1	PD[];
-0.753140132	-0.470688505	0.459600122	0_1	 + 1	PD[];
-0.907275627	-0.343120193	0.243144955	0_1	 + 1	PD[];
-0.0533662326	-0.400139427	0.914899166	2_1s|2_1m	 - A^(-10) + A^(-6) + A^(-4)	PD[X[0,3,1,2],X[3,2,4,1]];
0.947651271	-0.282868327	-0.148130273	2_1s|2_1m	 - A^(-10) + A^(-6) + A^(-4)	PD[X[4,1,5,0],X[1,4,2,3],X[5,3,6,2]];
-0.34008516	-0.771859767	-0.537191385	0_1	 + 1	PD[];
-0.856541549	0.152126988	0.493146991	2_1s|2_1m	 - A^(-10) + A^(-6) + A^(-4)	PD[X[2,1,3,0],X[1,4,2,3]];
0.0542887548	0.67636739	0.734561015	0_1	 + 1	PD[];
0.586082947	0.775806829	-0.233731776	0_1	 + 1	PD[];
-0.923400048	0.381773613	-0.0397650506	3_1m	 - A^(-16) + A^(-12) + A^(-4)	PD[X[5,1,6,0],X[1,5,2,4],X[2,8,3,7],X[6,4,7,3]];
0.513300292	-0.749281867	-0.418448914	0_1	 + 1	PD[];
-0.0370545462	0.864614069	-0.50106833	2_1s|2_1m	 - A^(-10) + A^(-6) + A^(-4)	PD[X[0,3,1,2],X[3,2,4,1]];
-0.789095981	0.575620059	-0.214450647	3_1m	 - A^(-16) + A^(-12) + A^(-4)	PD[X[3,1,4,0],X[1,5,2,4],X[5,3,6,2]];
-0.149369655	0.0123706676	-0.988704037	3_1m	 - A^(-16) + A^(-12) + A^(-4)	PD[X[4,8,5,7],X[0,4,1,3],X[5,3,6,2],X[1,7,2,6]];
0.287609095	0.895844621	0.338737987	0_1	 + 1	PD[];
-0.776774388	-0.335300112	0.533099788	0_1	 + 1	PD[];
-0.1532069	-0.987500783	-0.0370114618	0_1	 + 1	PD[];
0.367648321	-0.0267477279	-0.929580159	0_1	 + 1	PD[];
0.965040336	0.258671952	-0.042260746	0_1	 + 1	PD[];
-0.00923711613	-0.891071144	-0.453769647	0_1	 + 1	PD[];
-0.567245899	0.373911813	-0.733772476	3_1m	 - A^(-16) + A^(-12) + A^(-4)	PD[X[3,1,4,0],X[1,5,2,4],X[5,3,6,2]];
-0.476736132	-0.352319551	0.805353086	0_1	 + 1	PD[];
0.0659146049	-0.985682866	-0.155191984	0_1	 + 1	PD[];
0.00322387109	0.045313628	0.998967608	3_1m	 - A^(-16) + A^(-12) + A^(-4)	PD[X[4,2,5,1],X[6,4,7,3],X[2,6,3,5],X[7,1,8,0]];
-0.880710488	0.284142605	-0.378961762	3_1m	 - A^(-16) + A^(-12) + A^(-4)	PD[X[5,1,6,0],X[1,5,2,4],X[2,8,3,7],X[6,4,7,3]];
-0.715979402	0.543673865	-0.437940891	3_1m	 - A^(-16) + A^(-12) + A^(-4)	PD[X[3,1,4,0],X[1,5,2,4],X[5,3,6,2]];
-0.306554408	0.76233301	0.56997612	0_1	 + 1	PD[];
-0.218544079	-0.679831681	-0.700048121	0_1	 + 1	PD[];
-0.85563534	-0.334760231	-0.394745173	2_1s|2_1m	 - A^(-10) + A^(-6) + A^(-4)	PD[X[0,3,1,2],X[3,2,4,1]];
0.561414685	0.203522932	-0.802117178	0_1	 + 1	PD[];
-0.419536412	-0.11270684	0.900714365	0_1	 + 1	PD[];
-0.554748954	0.805027313	-0.21020139	2_1s|2_1m	 - A^(-10) + A^(-6) + A^(-4)	PD[X[0,3,1,2],X[3,2,4,1]];
-0.309254906	0.0950851281	0.946213624	0_1	 + 1	PD[];
0.655183595	0.755078579	-0.0243063048	0_1	 + 1	PD[];
-0.89226472	-0.390215055	-0.227147267	0_1	 + 1	PD[];
0.894410105	0.196434222	-0.401801146	0_1	 + 1	PD[];
0.321558764	-0.578824948	-0.749374166	0_1	 + 1	PD[];
0.491870267	0.0815656296	0.866839482	2_1s|2_1m	 - A^(-10) + A^(-6) + A^(-4)	PD[X[2,1,3,0],X[1,4,2,3]];
-0.542605514	-0.670599322	0.50584168	0_1	 + 1	PD[];
0.0931611887	0.307183213	-0.947079441	0_1	 + 1	PD[];
-0.224242876	0.87851769	0.421807777	0_1	 + 1	PD[];
-0.567178067	-0.16364066	0.807174563	0_1	 + 1	PD[];
-0.266112187	-0.945805106	0.186110198	0_1	 + 1	PD[];
-0.996940202	0.037976459	-0.0683229249	0_1	 + 1	PD[];
0.904399251	0.415799531	-0.0957744461	0_1	 + 1	PD[];
-0.808866677	-0.123794988	-0.574812578	2_1s|2_1m	 - A^(-10) + A^(-6) + A^(-4)	PD[X[0,3,1,2],X[3,2,4,1]];
-0.738204847	-0.525625341	-0.422813912	0_1	 + 1	PD[];
-0.548960031	0.0822902264	-0.831787955	2_1s|2_1m	 - A^(-10) + A^(-6) + A^(-4)	PD[X[0,4,1,3],X[1,6,2,5],X[4,3,5,2]];
0.00461209725	-0.668445197	0.743747099	0_1	 + 1	PD[];
0.632541804	-0.540706983	-0.554551012	0_1	 + 1	PD[];
-0.178891125	-0.803685747	-0.567527255	0_1	 + 1	PD[];
0.0879672822	-0.454422939	0.886431921	2_1s|2_1m	 - A^(-10) + A^(-6) + A^(-4)	PD[X[0,3,1,2],X[3,2,4,1]];
-0.424056981	-0.374904876	0.824391903	0_1	 + 1	PD[];
0.808463844	-0.471811775	0.351823624	3_1m	 - A^(-16) + A^(-12) + A^(-4)	PD[X[0,4,1,3],X[4,2,5,1],X[2,6,3,5]];
-0.125912744	0.0348380315	0.991429419	0_1	 + 1	PD[];
-0.406547047	0.494971252	0.767934215	0_1	 + 1	PD[];
0.201674881	-0.9355249	-0.290035178	0_1	 + 1	PD[];
-0.231299411	0.165762713	0.958657032	0_1	 + 1	PD[];
-0.187850263	0.147830339	0.971008996	0_1	 + 1	PD[];
0.378678277	0.867874575	0.321553238	0_1	 + 1	PD[];
0.263797353	-0.375709932	-0.888399124	0_1	 + 1	PD[];
-0.746737497	-0.0684425151	-0.661588038	2_1s|2_1m	 - A^(-10) + A^(-6) + A^(-4)	PD[X[0,4,1,3],X[1,6,2,5],X[4,3,5,2]];
-0.649073775	0.275076288	-0.709250499	3_1m	 - A^(-16) + A^(-12) + A^(-4)	PD[X[5,1,6,0],X[1,5,2,4],X[2,8,3,7],X[6,4,7,3]];
0.217065005	0.807182498	0.548943712	0_1	 + 1	PD[];
0.22070633	-0.96835702	0.11650493	2_1s|2_1m	 - A^(-10) + A^(-6) + A^(-4)	PD[X[2,1,3,0],X[1,4,2,3]];
0.700639265	0.360091343	0.615986075	2_1s|2_1m	 - A^(-10) + A^(-6) + A^(-4)	PD[X[2,1,3,0],X[1,4,2,3]];
-0.46167831	-0.866567013	0.189511874	0_1	 + 1	PD[];
0.975916952	-0.117588563	0.183736314	0_1	 + 1	PD[];
0.005289071	-0.98412731	-0.177385074	0_1	 + 1	PD[];
