#projection.x	projection.y	projection.z	knotoid_type	polynomial	PD_code
-0.656513402	-0.685850282	0.314005642	0_1	 + 1	PD[];
0.147068403	-0.206306528	0.967371956	0_1	 + 1	PD[];
-0.823265178	0.545100552	0.158429275	0_1	 + 1	PD[];
-0.458164438	-0.814001889	-0.357052199	0_1	 + 1	PD[];
-0.526669355	-0.643880023	0.555011628	0_1	 + 1	PD[];
0.846935173	0.470565979	0.247524692	0_1	 + 1	PD[];
-0.791763773	0.415681618	-0.447570018	0_1	 + 1	PD[];
-0.742460407	0.454123542	0.492467616	0_1	 + 1	PD[];
-0.137603643	0.986218453	0.0918607698	2_1s|2_1m	 - A^(-10) + A^(-6) + A^(-4)	PD[X[2,1,3,0],X[1,4,2,3]];
0.880507991	0.385223899	0.276239436	0_1	 + 1	PD[];
-0.683943621	0.729099615	0.0251967348	2_1s|2_1m	 - A^(-10) + A^(-6) + A^(-4)	PD[X[2,1,3,0],X[1,4,2,3]];
-0.473445726	0.787750988	-0.39407807	0_1	 + 1	PD[];
-0.431479543	-0.227176278	-0.873050023	0_1	 + 1	PD[X[0,3,1,2],X[1,3,2,4]];
-0.0440436201	-0.0167579834	0.998889048	0_1	 + 1	PD[];
-0.0771889533	0.687373262	0.722191016	0_1	 + 1	PD[];
-0.0805118093	0.205547333	0.975329761	0_1	 + 1	PD[];
0.312514185	-0.261524332	0.913203103	0_1	 + 1	PD[];
0.291168853	0.953614384	-0.0764218881	0_1	 + 1	PD[];
-0.482672249	-0.496604214	-0.721395699	0_1	 + 1	PD[];
0.287795908	-0.111490629	0.95117998	0_1	 + 1	PD[];
-0.355606451	-0.291818647	0.887910992	0_1	 + 1	PD[];
-0.38708114	0.209847811	-0.897848588	0_1	 + 1	PD[X[0,3,1,2],X[1,3,2,4]];
-0.288845937	-0.485336013	0.825237529	0_1	 + 1	PD[];
0.480838935	0.533516406	0.695811874	0_1	 + 1	PD[];
-0.185179883	-0.0152454545	0.982586376	0_1	 + 1	PD[];
0.311361812	0.723435255	0.616194169	0_1	 + 1	PD[];
-0.149565568	-0.925950725	-0.346764178	0_1	 + 1	PD[];
-0.600854288	-0.102435193	-0.792768034	0_1	 + 1	PD[];
0.215424172	-0.975438488	-0.0459584864	2_1s|2_1m	 - A^(-10) + A^(-6) + A^(-4)	PD[X[0,3,1,2],X[3,2,4,1]];
0.892474706	0.370128227	-0.257864294	0_1	 + 1	PD[];
0.904392375	-0.117352917	0.410247151	0_1	 + 1	PD[];
0.852057169	0.514031076	0.0988465198	0_1	 + 1	PD[];
0.606723849	0.372333604	0.702320339	0_1	 + 1	PD[];
-0.448586579	-0.279438246	-0.848931298	0_1	 + 1	PD[];
0.748944109	0.6408904	0.168351469	0_1	 + 1	PD[];
-0.575313502	0.451807918	0.68182401	0_1	 + 1	PD[];
-0.455835855	-0.208412074	0.865319641	0_1	 + 1	PD[];
0.958690588	-0.0460774845	-0.280694178	0_1	 + 1	PD[];
0.687879761	0.64486461	-0.333123202	0_1	 + 1	PD[];
0.864191627	-0.456365753	0.21190359	0_1	 + 1	PD[];
0.73810621	-0.649920664	-0.181114199	2_1s|2_1m	 - A^(-10) + A^(-6) + A^(-4)	PD[X[0,3,1,2],X[3,2,4,1]];
0.390421632	0.767007134	-0.509186611	0_1	 + 1	PD[];
-0.518644654	0.853841947	0.0442905505	2_1s|2_1m	 - A^(-10) + A^(-6) + A^(-4)	PD[X[2,1,3,0],X[1,4,2,3]];
-0.588285281	-0.0841436993	-0.804263804	0_1	 + 1	PD[];
0.787415574	0.59413134	0.164270094	0_1	 + 1	PD[];
-0.0539063843	-0.281231354	-0.958124745	0_1	 + 1	PD[];
0.431606718	0.55719254	-0.709402646	0_1	 + 1	PD[];
-0.5297434	0.631902712	-0.565748082	0_1	 + 1	PD[];
0.357756663	0.717903648	-0.597180477	0_1	 + 1	PD[];
-0.625676886	0.323648634	0.709774609	0_1	 + 1	PD[];
-0.88149455	0.441088652	0.168547203	0_1	 + 1	PD[];
0.995265969	0.0679763125	0.069461294	0_1	 + 1	PD[];
0.748060482	0.623282136	-0.227870344	0_1	 + 1	PD[];
-0.826253801	0.486559501	-0.283838877	0_1	 + 1	PD[];
0.3643345	-0.22583771	-0.903469812	0_1	 + 1	PD[];
0.179556905	0.289213175	-0.940273927	0_1	 + 1	PD[];
0.698753547	-0.688529702	0.19408846	0_1	 + 1	PD[];
-0.570845664	-0.589634186	0.571372692	0_1	 + 1	PD[];
0.76950241	0.363516404	0.525092245	0_1	 + 1	PD[];
-0.911180922	-0.36823239	0.184808641	0_1	 + 1	PD[];
0.684476322	0.721700609	0.10315229	0_1	 + 1	PD[X[0,2,1,3],X[1,4,2,3]];
-0.62875875	-0.167279619	0.759394472	0_1	 + 1	PD[];
0.820837815	0.125540348	0.557193775	0_1	 + 1	PD[];
0.917456955	0.375836192	-0.13046031	0_1	 + 1	PD[];
-0.929660729	0.336434223	-0.150143074	0_1	 + 1	PD[];
0.337851074	-0.800382889	0.495221044	0_1	 + 1	PD[];
0.682519424	0.0405653737	-0.729740835	0_1	 + 1	PD[];
-0.139587411	0.602579256	0.785756702	0_1	 + 1	PD[];
-0.184695077	-0.828793754	-0.528193754	0_1	 + 1	PD[];
0.582178371	0.093159754	-0.807706385	0_1	 + 1	PD[];
0.1202826	-0.638369321	-0.760274099	0_1	 + 1	PD[];
0.849892093	0.422440599	-0.315003764	0_1	 + 1	PD[];
-0.534771688	0.386709657	0.751315435	0_1	 + 1	PD[];
-0.529512309	-0.839082021	-0.124732022	0_1	 + 1	PD[];
-0.0982075379	-0.0587122013	-0.993432513	0_1	 + 1	PD[];
0.93855798	-0.285555931	0.193821381	0_1	 + 1	PD[];
0.465747821	-0.0210073382	0.884668107	0_1	 + 1	PD[X[2,1,3,0],X[3,1,4,2]];
0.0709766519	-0.704584994	0.706061117	0_1	 + 1	PD[];
-0.9038629	0.259071878	-0.340460893	0_1	 + 1	PD[];
-0.622018456	-0.11500587	0.774510614	0_1	 + 1	PD[];
-0.817522785	0.373640881	-0.438233941	0_1	 + 1	PD[];
0.918810613	-0.202843836	-0.338587413	0_1	 + 1	PD[];
0.41705027	0.648956638	-0.636336667	0_1	 + 1	PD[];
0.361537579	0.356708904	0.861422856	0_1	 + 1	PD[];
-0.333468018	0.941685995	0.0450174082	0_1	 + 1	PD[];
-0.510644348	-0.20882978	-0.834045846	0_1	 + 1	PD[X[0,3,1,2],X[1,3,2,4]];
0.370100265	0.922254435	-0.111680574	0_1	 + 1	PD[];
0.914658574	-0.00594025377	0.404183629	0_1	 + 1	PD[];
0.677911994	-0.0878737243	0.729872274	0_1	 + 1	PD[];
-0.899666747	0.0292105268	0.435599	0_1	 + 1	PD[];
0.0322307351	-0.190685017	-0.981122013	0_1	 + 1	PD[X[0,2,1,3],X[1,4,2,3]];
-0.40074868	0.0102074166	0.916131161	0_1	 + 1	PD[];
-0.732475667	-0.618396883	-0.284718619	0_1	 + 1	PD[];
-0.399889448	-0.911857815	0.0927564329	0_1	 + 1	PD[];
-0.923312819	-0.327956566	-0.199844763	0_1	 + 1	PD[];
0.189079321	0.940868722	0.281096173	0_1	 + 1	PD[];
-0.666100467	-0.604291233	0.437198209	0_1	 + 1	PD[];
0.909388671	0.38563623	-0.155874767	0_1	 + 1	PD[];
0.332858755	0.769685864	-0.544783186	0_1	 + 1	PD[];
-0.592954303	-0.591616101	0.546255969	0_1	 + 1	PD[];
-0.587604037	0.37342259	0.717828019	0_1	 + 1	PD[];
0.740450726	-0.666171572	0.0891524446	2_1s|2_1m	 - A^(-10) + A^(-6) + A^(-4)	PD[X[0,3,1,2],X[3,2,4,1]];
0.442521686	0.650309739	-0.617472106	0_1	 + 1	PD[];
-0.960466166	0.128652745	-0.246887051	0_1	 + 1	PD[];
0.9177325	-0.31787128	-0.238169914	0_1	 + 1	PD[];
-0.614096217	-0.648094491	0.450399119	0_1	 + 1	PD[];
0.593924236	-0.638823063	0.489038952	0_1	 + 1	PD[];
0.745869764	-0.665096627	0.0363974022	2_1s|2_1m	 - A^(-10) + A^(-6) + A^(-4)	PD[X[0,3,1,2],X[3,2,4,1]];
0.876078107	0.0677152144	0.477390616	0_1	 + 1	PD[];
-0.573095414	0.473241512	0.669032224	0_1	 + 1	PD[];
0.0917747467	-0.957396278	-0.273806069	2_1s|2_1m	 - A^(-10) + A^(-6) + A^(-4)	PD[X[0,3,1,2],X[3,2,4,1]];
0.287012886	-0.435080853	-0.853421499	0_1	 + 1	PD[];
-0.161495456	-0.91046739	0.380747093	0_1	 + 1	PD[];
0.909764774	-0.308208316	-0.278092954	0_1	 + 1	PD[];
-0.950203314	-0.186618442	-0.249574076	0_1	 + 1	PD[];
0.771693839	0.33314488	-0.541759271	0_1	 + 1	PD[];
-0.875316551	0.270616158	-0.400734115	0_1	 + 1	PD[];
-0.0191756789	-0.995464145	0.0931849158	0_1	 + 1	PD[];
-0.282623642	0.913214018	-0.29353711	0_1	 + 1	PD[];
