#projection.x	projection.y	projection.z	knotoid_type	polynomial	PD_code
-0.114477055	-0.315675271	0.941936371	2_1s|2_1m	 - A^(-10) + A^(-6) + A^(-4)	PD[X[2,1,3,0],X[1,4,2,3]];
-0.682833955	0.717377301	0.138230238	0_1	 + 1	PD[];
-0.841377626	-0.318413297	0.43668829	3_1m	 - A^(-16) + A^(-12) + A^(-4)	PD[X[0,4,1,3],X[4,2,5,1],X[2,6,3,5]];
-0.40980666	-0.505027164	0.759609153	2_1s|2_1m	 - A^(-10) + A^(-6) + A^(-4)	PD[X[2,1,3,0],X[1,4,2,3]];
-0.545981893	0.709494405	0.445557473	0_1	 + 1	PD[];
-0.258079747	-0.963358318	-0.0730451578	0_1	 + 1	PD[];
-0.762112939	0.145229172	-0.630945604	2_1s|2_1m	 - A^(-10) + A^(-6) + A^(-4)	PD[X[2,1,3,0],X[1,4,2,3]];
0.679372014	0.0304410773	0.733162334	2_1s|2_1m	 - A^(-10) + A^(-6) + A^(-4)	PD[X[0,3,1,2],X[3,2,4,1]];
0.896437225	-0.326971959	0.299148191	0_1	 + 1	PD[];
0.370463694	-0.561561034	-0.73986881	0_1	 + 1	PD[];
-0.39621901	-0.201158394	-0.895849204	2_1s|2_1m	 - A^(-10) + A^(-6) + A^(-4)	PD[X[0,3,1,2],X[3,2,4,1]];
-0.924510949	-0.379530799	0.0351550486	3_1m	 - A^(-16) + A^(-12) + A^(-4)	PD[X[3,1,4,0],X[1,5,2,4],X[5,3,6,2]];
0.141348906	0.782450448	-0.606458393	0_1	 + 1	PD[];
0.0539722551	-0.811108837	-0.582399733	0_1	 + 1	PD[];
0.759828802	-0.417626692	0.498245058	0_1	 + 1	PD[];
-0.378344681	0.466258989	-0.799661089	0_1	 + 1	PD[];
-0.541407721	-0.836184918	0.0875925948	0_1	 + 1	PD[];
-0.279826044	-0.214158348	-0.935859811	2_1s|2_1m	 - A^(-10) + A^(-6) + A^(-4)	PD[X[0,3,1,2],X[3,2,4,1]];
-0.746822742	0.65518729	-0.113953531	0_1	 + 1	PD[];
-0.888034182	-0.219277176	0.404119798	3_1m	 - A^(-16) + A^(-12) + A^(-4)	PD[X[3,1,4,0],X[1,5,2,4],X[5,3,6,2]];
-0.833641335	0.301044911	0.463048687	2_1s|2_1m	 - A^(-10) + A^(-6) + A^(-4)	PD[X[0,3,1,2],X[3,2,4,1]];
0.82937016	0.385780397	0.404126988	2_1s|2_1m	 - A^(-10) + A^(-6) + A^(-4)	PD[X[3,1,4,0],X[5,2,6,1],X[2,5,3,4]];
0.296381631	-0.641266106	0.707768118	0_1	 + 1	PD[];
-0.108750403	0.913080416	-0.393010818	0_1	 + 1	PD[];
0.295423018	-0.513391935	-0.805700913	0_1	 + 1	PD[];
0.223338964	-0.913140296	-0.341019804	2_1s|2_1m	 - A^(-10) + A^(-6) + A^(-4)	PD[X[2,1,3,0],X[1,4,2,3]];
0.405186905	-0.875430304	0.263524865	0_1	 + 1	PD[];
-0.219017327	-0.112287049	-0.969238376	0_1	 + 1	PD[];
0.844363318	0.296393983	-0.44631961	3_1m	 - A^(-16) + A^(-12) + A^(-4)	PD[X[3,1,4,0],X[1,5,2,4],X[5,3,6,2]];
