#projection.x	projection.y	projection.z	knotoid_type	polynomial	PD_code
-0.587345736	-0.77502317	-0.233161044	0_1	 + 1	PD[];
-0.344715491	0.403243994	-0.847682436	4_6s|4_6m	 - A^(-22) + A^(-18) - A^(-14) + A^(-10) + A^(-8)	PD[X[0,5,1,4],X[5,2,6,1],X[2,7,3,6],X[7,4,8,3]];
-0.596814773	0.605254973	-0.526762323	2_1s|2_1m	 - A^(-10) + A^(-6) + A^(-4)	PD[X[2,1,3,0],X[1,4,2,3]];
0.82960482	-0.360157194	0.426664549	0_1	 + 1	PD[];
-0.000496279347	0.759344158	-0.650689022	0_1	 + 1	PD[];
-0.521468777	-0.813817481	0.256459395	0_1	 + 1	PD[];
0.853972234	-0.508884031	0.108482563	0_1	 + 1	PD[];
-0.142338026	-0.4268215	0.893063992	2_1s|2_1m	 - A^(-10) + A^(-6) + A^(-4)	PD[X[3,1,4,0],X[5,2,6,1],X[2,5,3,4]];
0.458272835	0.837411664	-0.297871976	0_1	 + 1	PD[];
0.0812546581	-0.658944916	-0.747789595	2_1s|2_1m	 - A^(-10) + A^(-6) + A^(-4)	PD[X[0,3,1,2],X[3,2,4,1]];
0.992950862	0.0378723561	-0.112313266	0_1	 + 1	PD[];
-0.709502584	0.66556851	0.231569951	3_1m	 - A^(-16) + A^(-12) + A^(-4)	PD[X[3,1,4,0],X[1,5,2,4],X[5,3,6,2]];
-0.308279688	0.883640217	-0.352340177	3_1m	 - A^(-16) + A^(-12) + A^(-4)	PD[X[0,4,1,3],X[4,2,5,1],X[2,6,3,5]];
-0.772237587	-0.537252066	-0.339130252	0_1	 + 1	PD[];
0.48245683	-0.647942087	0.58941196	3_1m	 - A^(-16) + A^(-12) + A^(-4)	PD[X[0,4,1,3],X[4,2,5,1],X[2,6,3,5]];
-0.743206035	0.364271716	-0.56120487	4_3s|4_3m	 - A^(-16) - A^(-14) + A^(-12) + A^(-10) + A^(-8)	PD[X[0,5,1,4],X[5,4,6,3],X[7,3,8,2],X[1,7,2,6]];
-0.23467173	0.943530629	-0.233835693	2_1s|2_1m	 - A^(-10) + A^(-6) + A^(-4)	PD[X[2,1,3,0],X[1,4,2,3]];
0.149574068	-0.56159447	-0.813780836	6_7s|6_7m|6_12s|6_12m	 - A^(-22) - A^(-20) + A^(-16) + A^(-14) + A^(-12)	PD[X[0,9,1,8],X[9,2,10,1],X[2,8,3,7],X[10,4,11,3],X[4,7,5,6],X[11,6,12,5]];
-0.393327422	0.37276799	-0.840438912	4_6s|4_6m	 - A^(-22) + A^(-18) - A^(-14) + A^(-10) + A^(-8)	PD[X[0,7,1,6],X[2,6,3,5],X[8,5,9,4],X[3,10,4,9],X[7,2,8,1]];
0.785600854	0.600515753	0.149037341	0_1	 + 1	PD[];
0.881773866	0.47113627	0.0224825176	0_1	 + 1	PD[];
0.990166624	0.0589175059	0.126880988	3_2|3_2ms	 + A^(-8) - A^(-4) - A^(-2) + 1 + A^(2)	PD[X[3,0,4,1],X[1,6,2,5],X[4,3,5,2]];
-0.213369353	-0.591941135	-0.777225329	0_1	 + 1	PD[];
