#projection.x	projection.y	projection.z	knotoid_type	polynomial	PD_code
-0.304805759	-0.648915711	0.697138329	0_1	 + 1	PD[];
-0.136386751	0.908550936	0.394884604	0_1	 + 1	PD[];
-0.917619044	-0.188235737	0.350060849	0_1	 + 1	PD[];
0.00723511462	0.422431058	0.906366181	0_1	 + 1	PD[];
-0.684376767	0.340535184	0.644720272	2_1s|2_1m	 - A^(-10) + A^(-6) + A^(-4)	PD[X[0,3,1,2],X[3,2,4,1]];
-0.487021824	-0.250277746	0.836762088	2_1s|2_1m	 - A^(-10) + A^(-6) + A^(-4)	PD[X[0,3,1,2],X[3,2,4,1]];
-0.527272189	0.845456288	0.0847803289	0_1	 + 1	PD[];
0.577493696	0.809157157	-0.108469936	0_1	 + 1	PD[];
0.213787312	0.642547666	0.73581756	0_1	 + 1	PD[];
0.321636168	-0.916586207	0.237528735	0_1	 + 1	PD[];
-0.000394447836	-0.313405633	-0.949619268	0_1	 + 1	PD[];
-0.496440827	0.375063836	-0.782862455	0_1	 + 1	PD[];
-0.0607346735	-0.806254904	-0.58844229	0_1	 + 1	PD[];
0.709601201	0.654513934	-0.260916933	0_1	 + 1	PD[];
-0.664365355	-0.583420444	0.467160851	0_1	 + 1	PD[];
-0.153902574	-0.241238595	-0.95818471	0_1	 + 1	PD[];
0.956704722	-0.17246555	0.234460465	0_1	 + 1	PD[X[2,1,3,0],X[3,1,4,2]];
-0.176366273	0.01210288	-0.984250201	0_1	 + 1	PD[];
-0.0908798769	-0.455510009	0.885579742	0_1	 + 1	PD[];
-0.262459321	0.90199436	-0.342813769	0_1	 + 1	PD[];
0.0618068315	-0.738432906	0.671488465	0_1	 + 1	PD[];
0.104217776	-0.481410864	0.870277103	0_1	 + 1	PD[];
0.115987541	0.566149173	0.816101712	0_1	 + 1	PD[];
-0.937096729	0.199716871	0.286291621	0_1	 + 1	PD[];
0.91777549	0.213725255	-0.334678451	0_1	 + 1	PD[];
0.967318739	-0.200590842	0.155105679	0_1	 + 1	PD[X[2,1,3,0],X[3,1,4,2]];
-0.143822293	-0.713188153	-0.686059623	0_1	 + 1	PD[];
-0.153848397	0.767502882	0.62231021	0_1	 + 1	PD[];
-0.86621864	0.231365882	0.442871422	2_1s|2_1m	 - A^(-10) + A^(-6) + A^(-4)	PD[X[0,4,1,3],X[1,6,2,5],X[4,3,5,2]];
0.889538073	0.323046512	0.323052579	0_1	 + 1	PD[];
-0.197174013	0.298877492	-0.933699445	0_1	 + 1	PD[];
-0.502648644	0.810164104	0.301626366	0_1	 + 1	PD[];
0.73620894	0.0496299568	-0.674932044	2_1s|2_1m	 - A^(-10) + A^(-6) + A^(-4)	PD[X[2,1,3,0],X[1,4,2,3]];
0.441632336	-0.503517345	0.742584112	0_1	 + 1	PD[];
-0.501730029	0.708743326	0.495933338	0_1	 + 1	PD[];
-0.183910568	-0.226333324	0.956530255	0_1	 + 1	PD[];
0.297259746	-0.212615872	-0.930822826	0_1	 + 1	PD[];
-0.970198345	0.0784878807	0.229248391	0_1	 + 1	PD[];
0.464625269	0.838714665	-0.284044134	0_1	 + 1	PD[];
-0.0364740559	0.879102208	-0.47523568	0_1	 + 1	PD[];
-0.738629716	0.568531346	0.362212993	2_1s|2_1m	 - A^(-10) + A^(-6) + A^(-4)	PD[X[0,4,1,3],X[1,6,2,5],X[4,3,5,2]];
-0.459264072	0.0565247459	-0.886499557	0_1	 + 1	PD[];
0.153723303	0.98566985	-0.0694556944	0_1	 + 1	PD[];
0.506112715	0.461717131	-0.728469087	0_1	 + 1	PD[];
0.727513272	0.686059621	-0.00682906341	0_1	 + 1	PD[];
-0.38627772	0.365901665	-0.846702719	0_1	 + 1	PD[];
0.239705376	0.301530141	-0.922833087	0_1	 + 1	PD[];
0.530075459	-0.0183362723	0.847752198	0_1	 + 1	PD[];
-0.676379261	0.312852787	0.66680899	2_1s|2_1m	 - A^(-10) + A^(-6) + A^(-4)	PD[X[0,3,1,2],X[3,2,4,1]];
0.987071878	0.13049885	-0.0930545996	0_1	 + 1	PD[];
-0.940846499	0.155238299	0.301179242	0_1	 + 1	PD[];
-0.0943237964	-0.922312233	0.374757476	0_1	 + 1	PD[];
0.877887711	-0.0799258767	-0.472149362	0_1	 + 1	PD[];
0.132792325	0.622187578	0.771523698	0_1	 + 1	PD[];
0.689178364	0.720643617	-0.0755378064	0_1	 + 1	PD[];
-0.868912011	0.282057577	0.406737557	2_1s|2_1m	 - A^(-10) + A^(-6) + A^(-4)	PD[X[0,4,1,3],X[1,6,2,5],X[4,3,5,2]];
-0.149448537	0.802805858	0.577206973	0_1	 + 1	PD[];
-0.841041212	0.026000927	0.540345844	2_1s|2_1m	 - A^(-10) + A^(-6) + A^(-4)	PD[X[0,4,1,3],X[1,6,2,5],X[4,3,5,2]];
0.92356121	-0.0102308363	-0.383314521	0_1	 + 1	PD[];
-0.11723005	0.549152578	0.827459099	0_1	 + 1	PD[];
-0.286756256	-0.70000906	-0.654032235	0_1	 + 1	PD[];
-0.407773252	-0.517438709	-0.752315198	0_1	 + 1	PD[];
-0.992567265	-0.00383771056	0.121636739	0_1	 + 1	PD[];
0.204690511	0.966561688	-0.154467788	0_1	 + 1	PD[];
0.56658217	0.794488843	0.218568349	0_1	 + 1	PD[];
-0.19175932	-0.979964647	0.0538298558	0_1	 + 1	PD[];
-0.500732729	-0.533918125	-0.681320901	0_1	 + 1	PD[];
-0.976681273	-0.0760337768	0.200779868	0_1	 + 1	PD[];
-0.127458935	0.971176856	-0.2014193	0_1	 + 1	PD[];
-0.132512419	-0.0482197339	-0.990007735	0_1	 + 1	PD[];
-0.336992813	-0.940982907	-0.0314167528	0_1	 + 1	PD[];
-0.47149577	0.844924177	-0.252576473	0_1	 + 1	PD[];
-0.578799846	0.715091772	0.391962366	0_1	 + 1	PD[];
0.0193246432	-0.999119884	-0.0372292274	0_1	 + 1	PD[];
-0.676438417	-0.416588047	0.607359422	0_1	 + 1	PD[];
0.608821081	0.320177717	0.72582582	0_1	 + 1	PD[];
-0.81422095	0.447733725	-0.369565631	0_1	 + 1	PD[X[0,3,1,2],X[1,3,2,4]];
-0.156148498	0.964987529	0.210752734	0_1	 + 1	PD[];
0.328253389	0.521315766	0.787705265	0_1	 + 1	PD[];
-0.496536139	-0.849145547	-0.180010286	0_1	 + 1	PD[];
0.10224186	0.381516731	0.918690147	0_1	 + 1	PD[];
0.495482217	-0.460206809	-0.736686545	0_1	 + 1	PD[];
-0.870944072	0.203648632	0.447195324	2_1s|2_1m	 - A^(-10) + A^(-6) + A^(-4)	PD[X[0,4,1,3],X[1,6,2,5],X[4,3,5,2]];
-0.0977150575	-0.399918706	0.911326942	0_1	 + 1	PD[];
-0.656275875	-0.452234592	0.603975041	0_1	 + 1	PD[];
-0.152703317	-0.131681235	-0.979459927	0_1	 + 1	PD[];
-0.989310402	0.10207972	0.104137692	0_1	 + 1	PD[];
-0.701045815	-0.712388148	-0.032216317	0_1	 + 1	PD[];
-0.960117148	-0.26905273	0.076063728	0_1	 + 1	PD[];
-0.443393443	0.895379036	-0.0412145257	0_1	 + 1	PD[];
-0.862943699	-0.162066148	-0.478604991	0_1	 + 1	PD[];
0.475703339	-0.192881089	0.858197657	0_1	 + 1	PD[];
0.721131069	0.692786406	0.00412022881	0_1	 + 1	PD[];
0.850775141	0.269197646	-0.45134719	0_1	 + 1	PD[];
0.421128933	-0.0887149865	-0.90265169	2_1s|2_1m	 - A^(-10) + A^(-6) + A^(-4)	PD[X[2,1,3,0],X[1,4,2,3]];
0.420551177	0.157428087	0.893506074	0_1	 + 1	PD[];
0.113458177	-0.982389197	-0.148454399	0_1	 + 1	PD[];
0.357498931	-0.110306873	-0.927376357	2_1s|2_1m	 - A^(-10) + A^(-6) + A^(-4)	PD[X[2,1,3,0],X[1,4,2,3]];
0.394325719	-0.897146872	0.199084701	0_1	 + 1	PD[];
-0.520774872	-0.804906603	-0.284462463	0_1	 + 1	PD[];
0.102382078	-0.887489458	-0.449310996	0_1	 + 1	PD[];
-0.225452778	-0.252678795	0.940916825	2_1s|2_1m	 - A^(-10) + A^(-6) + A^(-4)	PD[X[0,3,1,2],X[3,2,4,1]];
0.836543042	-0.345014622	-0.42562971	2_1s|2_1m	 - A^(-10) + A^(-6) + A^(-4)	PD[X[3,1,4,0],X[5,2,6,1],X[2,5,3,4]];
0.895259434	-0.409320669	0.175974814	0_1	 + 1	PD[X[2,1,3,0],X[3,1,4,2]];
0.234012585	-0.746364805	-0.623039074	0_1	 + 1	PD[];
-0.100529083	0.992036472	-0.0758784693	0_1	 + 1	PD[];
0.643175335	0.52186832	0.560338242	0_1	 + 1	PD[];
-0.60680291	0.747275994	0.270866789	0_1	 + 1	PD[];
-0.287240479	0.797953877	-0.529870283	0_1	 + 1	PD[];
0.249027478	-0.893745195	0.373101651	0_1	 + 1	PD[];
0.507734144	0.481177495	0.714614762	0_1	 + 1	PD[];
-0.478122156	0.232005613	-0.84709657	0_1	 + 1	PD[];
0.385677935	0.910577747	-0.148663032	0_1	 + 1	PD[];
-0.438492485	0.873355226	-0.212073077	0_1	 + 1	PD[];
0.208968158	0.156990204	-0.96523903	0_1	 + 1	PD[];
0.291167341	-0.78603302	-0.545319787	0_1	 + 1	PD[];
0.0467399792	-0.625197565	-0.779065709	0_1	 + 1	PD[];
-0.231429735	-0.0258790358	0.972507354	2_1s|2_1m	 - A^(-10) + A^(-6) + A^(-4)	PD[X[0,3,1,2],X[3,2,4,1]];
0.378712236	-0.675363795	0.632819712	0_1	 + 1	PD[];
-0.879941642	-0.104919953	-0.463351389	0_1	 + 1	PD[];
0.595594518	0.740486691	0.311362538	0_1	 + 1	PD[];
-0.296355763	-0.590773151	0.750440102	0_1	 + 1	PD[];
0.171237232	-0.565943173	0.80646521	0_1	 + 1	PD[];
-0.310610686	0.578466709	-0.754252788	0_1	 + 1	PD[];
-0.00752196177	0.245018311	0.969489271	0_1	 + 1	PD[];
0.169431131	-0.334222386	0.927139951	0_1	 + 1	PD[];
0.317416951	0.536131218	0.782182713	0_1	 + 1	PD[];
-0.241837996	0.771090416	-0.589010996	0_1	 + 1	PD[];
-0.172413625	-0.97495116	-0.140512556	0_1	 + 1	PD[];
0.401805528	-0.684909203	-0.607825387	0_1	 + 1	PD[];
-0.302083187	0.78019981	-0.547753599	0_1	 + 1	PD[];
0.864869402	0.0390728137	-0.500474007	0_1	 + 1	PD[];
0.107056941	-0.755686963	-0.646123847	0_1	 + 1	PD[];
-0.226337287	-0.965920588	-0.125574084	0_1	 + 1	PD[];
-0.957847653	0.0963654865	0.270631791	0_1	 + 1	PD[];
-0.17359913	0.568088501	-0.804449375	0_1	 + 1	PD[];
0.478136509	-0.877874664	0.0268617631	0_1	 + 1	PD[];
0.567659772	-0.664632111	-0.485825627	0_1	 + 1	PD[];
-0.14158625	-0.759421319	0.635005979	0_1	 + 1	PD[];
-0.190961049	-0.545157034	-0.816295098	0_1	 + 1	PD[];
-0.105766206	0.598709903	-0.793952115	0_1	 + 1	PD[];
-0.399141569	-0.0400615463	-0.91601369	0_1	 + 1	PD[];
