#projection.x	projection.y	projection.z	knotoid_type	polynomial	PD_code
0.849318223	0.414073562	-0.327416617	3_2|3_2ms	 + A^(-8) - A^(-4) - A^(-2) + 1 + A^(2)	PD[X[0,5,1,4],X[3,2,4,1],X[5,2,6,3]];
-0.775196914	-0.530639885	-0.342769685	0_1	 + 1	PD[X[0,2,1,3],X[1,4,2,3]];
0.329422585	0.938739782	-0.101234289	2_1s|2_1m	 - A^(-10) + A^(-6) + A^(-4)	PD[X[2,1,3,0],X[1,4,2,3]];
-0.850061833	0.245524408	0.46595348	2_1s|2_1m	 - A^(-10) + A^(-6) + A^(-4)	PD[X[0,3,1,2],X[3,2,4,1]];
0.214482343	-0.45801745	-0.862680323	6_7s|6_7m|6_12s|6_12m	 - A^(-22) - A^(-20) + A^(-16) + A^(-14) + A^(-12)	PD[X[0,9,1,8],X[9,2,10,1],X[4,7,5,6],X[2,8,3,7],X[10,4,11,3],X[11,6,12,5]];
-0.128424761	0.971271945	0.200344428	2_1s|2_1m	 - A^(-10) + A^(-6) + A^(-4)	PD[X[2,1,3,0],X[1,4,2,3]];
-0.740474171	-0.625707521	-0.245332633	0_1	 + 1	PD[];
0.719525194	-0.307544759	0.622655376	6_7s|6_7m|6_12s|6_12m	 - A^(-22) - A^(-20) + A^(-16) + A^(-14) + A^(-12)	PD[X[7,1,8,0],X[3,26,4,25],X[14,20,15,21],X[17,2,18,1],X[4,3,5,2],X[6,9,7,8],X[9,16,10,17],X[11,24,12,23],X[21,25,22,24],X[22,13,23,12],X[13,10,14,11],X[19,15,20,16],X[5,19,6,18]];
-0.65072534	-0.758877286	-0.0257254168	2_1s|2_1m	 - A^(-10) + A^(-6) + A^(-4)	PD[X[0,3,1,2],X[3,2,4,1]];
0.0353789809	-0.957415289	-0.286538464	2_1s|2_1m	 - A^(-10) + A^(-6) + A^(-4)	PD[X[0,3,1,2],X[3,2,4,1]];
-0.635842839	-0.54111043	-0.550366594	0_1	 + 1	PD[];
-0.682991871	0.693982422	-0.227838763	4_3s|4_3m	 - A^(-16) - A^(-14) + A^(-12) + A^(-10) + A^(-8)	PD[X[0,6,1,5],X[6,2,7,1],X[2,5,3,4],X[7,4,8,3]];
0.556025263	-0.303840037	-0.773638894	3_1m	 - A^(-16) + A^(-12) + A^(-4)	PD[X[0,4,1,3],X[4,2,5,1],X[2,6,3,5]];
-0.935236525	0.212151561	0.283415521	2_1s|2_1m	 - A^(-10) + A^(-6) + A^(-4)	PD[X[3,2,4,1],X[0,3,1,2]];
0.690597801	-0.268058004	0.671728803	6_7s|6_7m|6_12s|6_12m	 - A^(-22) - A^(-20) + A^(-16) + A^(-14) + A^(-12)	PD[X[7,1,8,0],X[5,2,6,1],X[2,13,3,12],X[6,9,7,8],X[4,10,5,9],X[11,4,12,3],X[10,14,11,13]];
0.195248695	0.962865816	-0.186460098	2_1s|2_1m	 - A^(-10) + A^(-6) + A^(-4)	PD[X[2,1,3,0],X[1,4,2,3]];
-0.232881647	0.0507974835	-0.971177509	4_6s|4_6m	 - A^(-22) + A^(-18) - A^(-14) + A^(-10) + A^(-8)	PD[X[0,6,1,5],X[1,8,2,7],X[8,3,9,2],X[3,10,4,9],X[6,5,7,4]];
-0.835670393	0.30061515	-0.459658053	4_3s|4_3m	 - A^(-16) - A^(-14) + A^(-12) + A^(-10) + A^(-8)	PD[X[0,6,1,5],X[1,4,2,3],X[7,3,8,2],X[6,5,7,4]];
0.605204747	-0.764162635	0.223120332	2_1s|2_1m	 - A^(-10) + A^(-6) + A^(-4)	PD[X[0,5,1,4],X[3,2,4,1],X[2,6,3,5]];
-0.708454651	0.248389362	-0.660601795	4_3s|4_3m	 - A^(-16) - A^(-14) + A^(-12) + A^(-10) + A^(-8)	PD[X[5,4,6,3],X[0,5,1,4],X[8,2,9,1],X[9,7,10,6],X[2,8,3,7]];
0.440963528	0.491955236	-0.75068716	3_1m	 - A^(-16) + A^(-12) + A^(-4)	PD[X[5,1,6,0],X[1,5,2,4],X[2,8,3,7],X[6,4,7,3]];
-0.114423772	0.363931057	-0.924370806	3_1m	 - A^(-16) + A^(-12) + A^(-4)	PD[X[5,1,6,0],X[1,5,2,4],X[2,8,3,7],X[6,4,7,3]];
0.732068501	0.674716429	-0.0939864353	0_1	 + 1	PD[];
0.795404177	0.0945559682	0.59865797	4_8s|4_8m	 - A^(-18) + A^(-14) + A^(-12) - A^(-10) - A^(-8) + A^(-6) + A^(-4)	PD[X[1,12,2,11],X[6,1,7,0],X[3,10,4,9],X[5,2,6,3],X[8,5,9,4],X[7,11,8,10]];
