#projection.x	projection.y	projection.z	knotoid_type	polynomial	PD_code
-0.741235293	-0.650837042	-0.164260115	2_1s|2_1m	 - A^(-10) + A^(-6) + A^(-4)	PD[X[0,3,1,2],X[3,2,4,1]];
-0.0185946307	0.415264956	-0.909510449	0_1	 + 1	PD[X[2,1,3,0],X[3,1,4,2]];
0.823931733	-0.130065934	0.551560833	2_1*2_1s|2_1s*2_1ms|2_1*2_1m|2_1m*2_1ms|6_19|6_19ms|6_19s|6_19m	 - A^(-6) - A^(-4) + A^(-2) + 3 + A^(2) - A^(4) - A^(6)	PD[X[0,6,1,5],X[3,1,4,2],X[2,7,3,8],X[6,5,7,4]];
0.316009068	-0.0165774335	-0.948611331	0_1	 + 1	PD[];
-0.315318783	-0.316116992	0.894787188	0_1	 + 1	PD[];
-0.185588975	0.277122669	-0.942740557	2_1s|2_1m	 - A^(-10) + A^(-6) + A^(-4)	PD[X[2,1,3,0],X[1,4,2,3]];
-0.268170797	0.316523732	-0.909888538	2_1*2_1s|2_1s*2_1ms|2_1*2_1m|2_1m*2_1ms|6_19|6_19ms|6_19s|6_19m	 - A^(-6) - A^(-4) + A^(-2) + 3 + A^(2) - A^(4) - A^(6)	PD[X[0,5,1,6],X[3,2,4,1],X[2,8,3,7],X[6,4,7,5]];
0.418404427	-0.902491937	0.102205869	2_1s|2_1m	 - A^(-10) + A^(-6) + A^(-4)	PD[X[2,1,3,0],X[1,4,2,3]];
0.411200783	-0.318865551	0.853954727	2_1*2_1s|2_1s*2_1ms|2_1*2_1m|2_1m*2_1ms|6_19|6_19ms|6_19s|6_19m	 - A^(-6) - A^(-4) + A^(-2) + 3 + A^(2) - A^(4) - A^(6)	PD[X[5,0,6,1],X[1,4,2,3],X[7,3,8,2],X[4,6,5,7]];
-0.0241095723	0.921881038	-0.386722225	0_1	 + 1	PD[];
-0.304971879	-0.864022395	-0.40057141	0_1	 + 1	PD[];
0.18116761	0.333315551	-0.925245395	2_1s|2_1m	 - A^(-10) + A^(-6) + A^(-4)	PD[X[4,1,5,0],X[1,4,2,3],X[5,3,6,2]];
-0.593952749	0.370092341	0.71431911	0_1	 + 1	PD[];
-0.0948154542	0.261359548	0.960573379	2_1|2_1ms	 + A^(4) + A^(6) - A^(10)	PD[X[2,0,3,1],X[1,3,2,4]];
0.727452292	-0.349209431	-0.590648742	2_1s|2_1m	 - A^(-10) + A^(-6) + A^(-4)	PD[X[2,1,3,0],X[1,4,2,3]];
-0.27783896	0.95877702	0.0595998233	2_1s|2_1m	 - A^(-10) + A^(-6) + A^(-4)	PD[X[4,1,5,0],X[1,4,2,3],X[5,3,6,2]];
0.95948598	0.00379594393	0.281730801	2_1*2_1s|2_1s*2_1ms|2_1*2_1m|2_1m*2_1ms|6_19|6_19ms|6_19s|6_19m	 - A^(-6) - A^(-4) + A^(-2) + 3 + A^(2) - A^(4) - A^(6)	PD[X[3,1,4,2],X[2,7,3,8],X[0,6,1,5],X[6,5,7,4]];
-0.151417943	0.465786421	-0.871846097	2_1s|2_1m	 - A^(-10) + A^(-6) + A^(-4)	PD[X[2,1,3,0],X[1,4,2,3]];
0.998081202	-0.0394528647	-0.0477219522	3_1m	 - A^(-16) + A^(-12) + A^(-4)	PD[X[3,1,4,0],X[1,5,2,4],X[5,3,6,2]];
0.28150419	0.744862312	-0.604926051	0_1	 + 1	PD[];
0.77038395	0.00734504359	-0.637537936	2_1s|2_1m	 - A^(-10) + A^(-6) + A^(-4)	PD[X[0,5,1,4],X[3,2,4,1],X[2,6,3,5]];
-0.0199050845	-0.356071475	0.934246698	2_1s|2_1m	 - A^(-10) + A^(-6) + A^(-4)	PD[X[0,3,1,2],X[3,2,4,1]];
0.388232638	-0.3809949	-0.839117575	0_1	 + 1	PD[];
-0.352710672	0.935732184	0.000678773504	2_1s|2_1m	 - A^(-10) + A^(-6) + A^(-4)	PD[X[0,3,1,2],X[3,2,4,1]];
0.85626636	0.497062915	0.140486222	2_1s|2_1m	 - A^(-10) + A^(-6) + A^(-4)	PD[X[2,1,3,0],X[1,4,2,3]];
0.558356786	-0.691923978	0.457688658	0_1	 + 1	PD[];
-0.504461376	-0.0857801314	0.859162667	0_1	 + 1	PD[];
0.774243847	0.339831763	0.533910889	0_1	 + 1	PD[];
-0.47690611	-0.874608142	-0.0872992571	0_1	 + 1	PD[];
0.499984951	0.574331424	0.648196316	0_1	 + 1	PD[];
0.60449752	-0.642141667	-0.471420013	2_1s|2_1m	 - A^(-10) + A^(-6) + A^(-4)	PD[X[2,1,3,0],X[1,4,2,3]];
-0.141479869	-0.953890866	0.264718081	0_1	 + 1	PD[];
0.0363714227	0.892287236	-0.450000676	0_1	 + 1	PD[];
-0.0998296008	0.917798654	0.384291142	2_1s|2_1m	 - A^(-10) + A^(-6) + A^(-4)	PD[X[0,3,1,2],X[3,2,4,1]];
-0.740005871	0.237779691	-0.629167807	2_1*2_1s|2_1s*2_1ms|2_1*2_1m|2_1m*2_1ms|6_19|6_19ms|6_19s|6_19m	 - A^(-6) - A^(-4) + A^(-2) + 3 + A^(2) - A^(4) - A^(6)	PD[X[5,1,6,0],X[1,3,2,4],X[7,2,8,3],X[4,7,5,6]];
-0.171700038	-0.179509425	0.968656525	2_1s|2_1m	 - A^(-10) + A^(-6) + A^(-4)	PD[X[0,5,1,4],X[3,2,4,1],X[2,6,3,5]];
0.824408779	-0.293142732	0.484166814	2_1*2_1s|2_1s*2_1ms|2_1*2_1m|2_1m*2_1ms|6_19|6_19ms|6_19s|6_19m	 - A^(-6) - A^(-4) + A^(-2) + 3 + A^(2) - A^(4) - A^(6)	PD[X[3,1,4,2],X[6,5,7,4],X[2,7,3,8],X[0,6,1,5]];
-0.267499166	-0.963455961	-0.0140288328	0_1	 + 1	PD[];
-0.612895547	0.733622239	0.293525908	2_1s|2_1m	 - A^(-10) + A^(-6) + A^(-4)	PD[X[0,3,1,2],X[3,2,4,1]];
-0.813868156	-0.316045742	0.487579443	2_1s|2_1m	 - A^(-10) + A^(-6) + A^(-4)	PD[X[0,3,1,2],X[3,2,4,1]];
0.94013307	-0.116813838	0.320162985	2_1*2_1s|2_1s*2_1ms|2_1*2_1m|2_1m*2_1ms|6_19|6_19ms|6_19s|6_19m	 - A^(-6) - A^(-4) + A^(-2) + 3 + A^(2) - A^(4) - A^(6)	PD[X[0,6,1,5],X[2,7,3,8],X[3,1,4,2],X[6,5,7,4]];
-0.541332854	0.225448556	-0.810019561	2_1s|2_1m	 - A^(-10) + A^(-6) + A^(-4)	PD[X[2,1,3,0],X[1,4,2,3]];
-0.589858732	-0.255475784	-0.766027937	2_1s|2_1m	 - A^(-10) + A^(-6) + A^(-4)	PD[X[2,1,3,0],X[1,4,2,3]];
-0.309156678	-0.950569627	0.028974703	0_1	 + 1	PD[];
0.899847605	-0.33681935	0.277176861	2_1s|2_1m	 - A^(-10) + A^(-6) + A^(-4)	PD[X[0,3,1,2],X[3,2,4,1]];
