#projection.x	projection.y	projection.z	knotoid_type	polynomial	PD_code
0.618464227	0.668424921	0.413170817	0_1	 + 1	PD[];
-0.614660092	-0.435477937	-0.657686808	2_1s|2_1m	 - A^(-10) + A^(-6) + A^(-4)	PD[X[0,3,1,2],X[3,2,4,1]];
0.991248865	-0.00924912928	0.131681967	3_2|3_2ms	 + A^(-8) - A^(-4) - A^(-2) + 1 + A^(2)	PD[X[3,0,4,1],X[1,6,2,5],X[4,3,5,2]];
0.337365852	-0.847176075	0.410459474	3_1m	 - A^(-16) + A^(-12) + A^(-4)	PD[X[3,1,4,0],X[5,3,6,2],X[1,5,2,4]];
-0.932404193	-0.263039293	-0.247856312	0_1	 + 1	PD[];
0.169496327	-0.0315738805	-0.985024916	UNKNOWN	 - A^(-18) + A^(-16) + 4*A^(-14) - A^(-12) - 9*A^(-10) - 3*A^(-8) + 9*A^(-6) + 8*A^(-4) - 3*A^(-2) - 6 + 2*A^(4)	PD[X[19,2,20,1],X[0,13,1,12],X[6,18,7,17],X[16,8,17,7],X[14,5,15,4],X[2,19,3,18],X[11,13,12,14],X[21,8,22,9],X[20,6,21,5],X[15,9,16,10],X[10,3,11,4]];
-0.988816988	-0.0733654137	-0.129840209	3_2|3_2ms	 + A^(-8) - A^(-4) - A^(-2) + 1 + A^(2)	PD[X[0,3,1,4],X[5,2,6,1],X[2,5,3,4]];
0.768254395	-0.44594322	-0.459260088	3_1m	 - A^(-16) + A^(-12) + A^(-4)	PD[X[3,1,4,0],X[1,5,2,4],X[5,3,6,2]];
-0.20888002	0.236127403	0.949006315	0_1	 + 1	PD[];
0.850392475	-0.102635031	-0.516041363	2_1s|2_1m	 - A^(-10) + A^(-6) + A^(-4)	PD[X[3,1,4,0],X[5,2,6,1],X[2,5,3,4]];
0.458367878	0.0859114107	0.884600542	6_6s|6_6m	 - A^(-18) - 2*A^(-16) + 3*A^(-12) + 2*A^(-10) - A^(-6)	PD[X[8,4,9,3],X[0,11,1,10],X[9,2,10,1],X[7,13,8,12],X[2,12,3,11],X[4,6,5,7],X[5,14,6,13]];
-0.91584511	-0.393807765	0.0783784334	0_1	 + 1	PD[];
-0.216641832	0.963016858	-0.16020252	2_1s|2_1m	 - A^(-10) + A^(-6) + A^(-4)	PD[X[2,1,3,0],X[1,4,2,3]];
0.443285213	-0.827053665	0.34565945	2_1s|2_1m	 - A^(-10) + A^(-6) + A^(-4)	PD[X[0,5,1,4],X[3,2,4,1],X[2,6,3,5]];
-0.156276799	0.3215181	0.933918451	0_1	 + 1	PD[];
-0.0960991296	0.00371254926	0.995364845	UNKNOWN	 - A^(-24) + 2*A^(-20) - 4*A^(-16) - 2*A^(-14) + 4*A^(-12) + 4*A^(-10) - 2*A^(-6)	PD[X[9,1,10,0],X[1,16,2,15],X[5,17,6,16],X[3,7,4,8],X[10,8,11,9],X[12,18,13,17],X[4,12,5,11],X[14,3,15,2],X[13,7,14,6]];
0.00960356197	-0.595729586	0.803127656	2_1s|2_1m	 - A^(-10) + A^(-6) + A^(-4)	PD[X[3,1,4,0],X[2,5,3,4],X[5,2,6,1]];
