#projection.x	projection.y	projection.z	knotoid_type	polynomial	PD_code
0.0891288404	-0.527831825	0.844659467	3_1m	 - A^(-16) + A^(-12) + A^(-4)	PD[X[0,6,1,5],X[4,2,5,1],X[7,3,8,2],X[3,7,4,6]];
-0.884913058	0.411562392	0.218048796	2_1s|2_1m	 - A^(-10) + A^(-6) + A^(-4)	PD[X[4,1,5,0],X[1,4,2,3],X[5,3,6,2]];
-0.363503743	-0.160493841	0.917663749	3_1m	 - A^(-16) + A^(-12) + A^(-4)	PD[X[0,4,1,3],X[4,2,5,1],X[2,6,3,5]];
0.664473325	-0.293729433	0.687166807	6_7s|6_7m|6_12s|6_12m	 - A^(-22) - A^(-20) + A^(-16) + A^(-14) + A^(-12)	PD[X[7,1,8,0],X[6,9,7,8],X[2,11,3,10],X[5,4,6,3],X[4,12,5,11],X[9,2,10,1]];
-0.226897901	-0.971744328	-0.0650407854	0_1	 + 1	PD[];
-0.863361745	-0.448118269	0.231940755	0_1	 + 1	PD[];
-0.160367813	0.910617364	-0.380865043	2_1s|2_1m	 - A^(-10) + A^(-6) + A^(-4)	PD[X[2,1,3,0],X[1,4,2,3]];
-0.962310209	0.243968701	0.120159624	2_1s|2_1m	 - A^(-10) + A^(-6) + A^(-4)	PD[X[0,3,1,2],X[3,2,4,1]];
0.472430196	0.529806651	-0.704354046	2_1s|2_1m	 - A^(-10) + A^(-6) + A^(-4)	PD[X[0,4,1,3],X[1,6,2,5],X[4,3,5,2]];
0.980396004	0.0858800575	0.17733666	3_2|3_2ms	 + A^(-8) - A^(-4) - A^(-2) + 1 + A^(2)	PD[X[3,0,4,1],X[1,6,2,5],X[4,3,5,2]];
-0.0337365931	0.533504477	-0.845124142	2_1s|2_1m	 - A^(-10) + A^(-6) + A^(-4)	PD[X[4,3,5,2],X[0,4,1,3],X[1,6,2,5]];
0.0976444385	-0.00203833438	-0.995219277	UNKNOWN	 + A^(-28) - 3*A^(-24) - A^(-22) + 4*A^(-20) + 4*A^(-18) - 4*A^(-16) - 6*A^(-14) + A^(-12) + 5*A^(-10) + 2*A^(-8) - 2*A^(-6) - A^(-4) + 1	PD[X[14,8,15,9],X[6,12,7,11],X[2,6,3,5],X[1,17,2,16],X[9,5,10,4],X[17,13,18,12],X[7,13,8,14],X[3,11,4,10],X[15,1,16,0]];
-0.00493179579	-0.307620722	-0.951496279	3_1m	 - A^(-16) + A^(-12) + A^(-4)	PD[X[5,1,6,0],X[1,5,2,4],X[2,8,3,7],X[6,4,7,3]];
-0.0237366642	-0.123719111	-0.992033342	3_1m	 - A^(-16) + A^(-12) + A^(-4)	PD[X[3,1,4,0],X[1,5,2,4],X[5,3,6,2]];
-0.468057726	0.331054718	-0.819344091	4_3s|4_3m	 - A^(-16) - A^(-14) + A^(-12) + A^(-10) + A^(-8)	PD[X[0,5,1,4],X[5,4,6,3],X[7,3,8,2],X[1,7,2,6]];
-0.765135119	0.512592556	0.389637166	3_1m	 - A^(-16) + A^(-12) + A^(-4)	PD[X[3,1,4,0],X[1,5,2,4],X[5,3,6,2]];
0.856804065	0.515044439	-0.0248197457	0_1	 + 1	PD[];
-0.0687172795	-0.412640805	0.908298135	2_1s|2_1m	 - A^(-10) + A^(-6) + A^(-4)	PD[X[3,1,4,0],X[5,2,6,1],X[2,5,3,4]];
0.0340179683	-0.117684208	-0.992468239	4_6s|4_6m	 - A^(-22) + A^(-18) - A^(-14) + A^(-10) + A^(-8)	PD[X[0,6,1,5],X[9,2,10,1],X[3,12,4,11],X[6,5,7,4],X[10,8,11,7],X[2,9,3,8]];
0.585133172	0.620902704	-0.5216311	2_1s|2_1m	 - A^(-10) + A^(-6) + A^(-4)	PD[X[0,3,1,2],X[3,2,4,1]];
-0.508631487	0.102949688	-0.854807213	2_1s|2_1m	 - A^(-10) + A^(-6) + A^(-4)	PD[X[0,3,1,2],X[3,2,4,1]];
-0.934788501	-0.0732789213	-0.347563892	3_2|3_2ms	 + A^(-8) - A^(-4) - A^(-2) + 1 + A^(2)	PD[X[0,3,1,4],X[5,2,6,1],X[2,5,3,4]];
-0.25524679	-0.934197966	-0.249245332	0_1	 + 1	PD[];
0.0564207026	-0.378602476	-0.923838119	2_1s|2_1m	 - A^(-10) + A^(-6) + A^(-4)	PD[X[4,1,5,0],X[1,4,2,3],X[5,3,6,2]];
0.184217156	0.57704285	0.795666757	0_1	 + 1	PD[];
0.301766737	0.136920494	0.943498604	4_3s|4_3m	 - A^(-16) - A^(-14) + A^(-12) + A^(-10) + A^(-8)	PD[X[2,9,3,8],X[5,4,6,3],X[0,8,1,7],X[6,2,7,1],X[4,10,5,9]];
-0.282829697	0.766835225	-0.576169332	3_1m	 - A^(-16) + A^(-12) + A^(-4)	PD[X[0,4,1,3],X[4,2,5,1],X[2,6,3,5]];
0.0112143864	-0.715375269	-0.698650457	0_1	 + 1	PD[];
0.70725098	-0.318458428	-0.631173733	4_6s|4_6m	 - A^(-22) + A^(-18) - A^(-14) + A^(-10) + A^(-8)	PD[X[0,5,1,4],X[5,2,6,1],X[2,7,3,6],X[7,4,8,3]];
0.251221002	-0.967157785	-0.0386500503	2_1s|2_1m	 - A^(-10) + A^(-6) + A^(-4)	PD[X[0,3,1,2],X[3,2,4,1]];
0.993509806	0.0697814238	0.0898266057	3_2|3_2ms	 + A^(-8) - A^(-4) - A^(-2) + 1 + A^(2)	PD[X[1,6,2,5],X[3,0,4,1],X[4,3,5,2]];
0.827477126	0.530809277	0.183093195	0_1	 + 1	PD[];
0.890331271	-0.416908623	0.183023025	0_1	 + 1	PD[];
0.770879412	-0.244681541	-0.588112129	3_1m	 - A^(-16) + A^(-12) + A^(-4)	PD[X[0,4,1,3],X[4,2,5,1],X[2,6,3,5]];
0.756934798	0.653282642	-0.016477291	0_1	 + 1	PD[];
0.827691192	0.539432084	0.154726587	0_1	 + 1	PD[];
0.670616816	-0.688684485	-0.275656971	2_1s|2_1m	 - A^(-10) + A^(-6) + A^(-4)	PD[X[2,1,3,0],X[1,4,2,3]];
-0.498147815	0.666054656	-0.555175602	2_1s|2_1m	 - A^(-10) + A^(-6) + A^(-4)	PD[X[2,1,3,0],X[1,4,2,3]];
-0.932150832	-0.142546529	0.332829255	0_1	 + 1	PD[];
-0.976184139	-0.062306163	-0.207803921	3_2|3_2ms	 + A^(-8) - A^(-4) - A^(-2) + 1 + A^(2)	PD[X[0,3,1,4],X[5,2,6,1],X[2,5,3,4]];
-0.0253691375	0.797054926	-0.603373725	2_1s|2_1m	 - A^(-10) + A^(-6) + A^(-4)	PD[X[2,1,3,0],X[1,4,2,3]];
-0.192301834	-0.587915101	-0.785732676	0_1	 + 1	PD[];
-0.0989900012	-0.787315922	-0.608551246	0_1	 + 1	PD[];
0.996321313	0.0854584756	-0.00637887837	3_2|3_2ms	 + A^(-8) - A^(-4) - A^(-2) + 1 + A^(2)	PD[X[3,0,4,1],X[1,6,2,5],X[4,3,5,2]];
0.570956645	0.350166653	-0.742557623	2_1s|2_1m	 - A^(-10) + A^(-6) + A^(-4)	PD[X[2,1,3,0],X[1,4,2,3]];
-0.397305872	-0.682490485	0.613477614	0_1	 + 1	PD[];
-0.403551071	0.836854975	0.36989226	3_1m	 - A^(-16) + A^(-12) + A^(-4)	PD[X[3,1,4,0],X[1,5,2,4],X[5,3,6,2]];
-0.916403427	0.103417091	-0.386664796	2_1s|2_1m	 - A^(-10) + A^(-6) + A^(-4)	PD[X[0,3,1,2],X[3,2,4,1]];
-0.506589376	-0.841831472	0.186244402	0_1	 + 1	PD[];
-0.282864929	-0.823771497	-0.491312479	0_1	 + 1	PD[];
