#projection.x	projection.y	projection.z	knotoid_type	polynomial	PD_code
0.421251547	-0.827376078	0.371478074	2_1s|2_1m	 - A^(-10) + A^(-6) + A^(-4)	PD[X[0,3,1,2],X[3,2,4,1]];
-0.824497431	0.0382384163	-0.564572236	3_1m	 - A^(-16) + A^(-12) + A^(-4)	PD[X[3,1,4,0],X[1,5,2,4],X[5,3,6,2]];
-0.93744132	-0.150643901	0.313863324	3_1m	 - A^(-16) + A^(-12) + A^(-4)	PD[X[3,1,4,0],X[1,5,2,4],X[5,3,6,2]];
0.919034176	-0.161263181	0.359680927	3_1m	 - A^(-16) + A^(-12) + A^(-4)	PD[X[0,4,1,3],X[4,2,5,1],X[2,6,3,5]];
0.732959571	0.295700062	-0.61264324	3_1m	 - A^(-16) + A^(-12) + A^(-4)	PD[X[0,4,1,3],X[4,2,5,1],X[2,6,3,5]];
-0.368509459	-0.866223516	-0.337427916	3_1m	 - A^(-16) + A^(-12) + A^(-4)	PD[X[3,1,4,0],X[1,5,2,4],X[5,3,6,2]];
0.00902203145	-0.858698426	0.512401811	4_3s|4_3m	 - A^(-16) - A^(-14) + A^(-12) + A^(-10) + A^(-8)	PD[X[11,15,12,16],X[0,5,1,4],X[21,3,22,2],X[12,5,13,6],X[19,8,20,7],X[6,9,7,10],X[20,18,21,17],X[8,19,9,18],X[16,10,17,11],X[13,4,14,3],X[1,15,2,14]];
-0.658609717	0.740102626	-0.135946107	0_1	 + 1	PD[];
-0.3771746	0.80013612	-0.466392015	0_1	 + 1	PD[];
-0.0504365234	0.987668821	0.148210851	3_1m	 - A^(-16) + A^(-12) + A^(-4)	PD[X[4,2,5,1],X[7,3,8,2],X[3,7,4,6],X[0,6,1,5]];
-0.709625662	0.309271647	0.633073825	3_1m	 - A^(-16) + A^(-12) + A^(-4)	PD[X[2,6,3,5],X[0,4,1,3],X[4,2,5,1]];
0.224708096	0.136434473	-0.964827397	0_1	 + 1	PD[];
0.144905036	0.509740809	-0.84803705	4_1	 + A^(-8) - A^(-4) + 1 - A^(4) + A^(8)	PD[X[7,4,8,5],X[3,0,4,1],X[1,7,2,6],X[5,3,6,2]];
